LQGsigma_higher,DenMISELogLast,LQGmu1_higher,IWFirstEpisode,ReturnAbsMax,Regret,ReturnMean,DenMISELogFirst,Iteration,DenMISEMeanLog,ReturnLastEpisode,ReturnStepMax,ReturnMin,Bound,IWMean,delta,ReturnMax,TimestepsSoFar,IWMin,IWMax,Regret/t,IWLastEpisode,TimeElapsed,LQGmu1_actor
0.14999999,0.89325774,1.0,1.0227122e-13,16.62435,0.735651,16.62435,0.89325774,1,0.89325774,16.62435,18.38158,,35834997000000.0,1.0227122e-13,0.0012158542,16.62435,20,,1.0227122e-13,0.735651,1.0227122e-13,0.047039031982421875,0.9728855
0.14999999,0.2686966,-1.0,3.6110401e-07,16.62435,17.608608,8.5556965,0.20011058,2,0.2344036,0.48704273,18.38158,,5428502000.0,1.8055201e-07,0.00030396355,16.62435,40,,3.6110401e-07,8.804304,5.543675e-38,0.748755931854248,-1.142421
0.14999999,-0.5711807,0.46938777,0.0004664852,17.201927,17.766682,11.437774,-0.20535435,3,-0.3044345,17.201927,18.99151,,43628.867,0.0037902342,0.00013509492,17.201927,60,,0.010904217,5.922227,3.9839026e-25,1.1801702976226807,0.46023908
0.14999999,-0.40749356,-0.5510204,0.15030144,17.201927,27.950577,10.372356,-0.49288094,4,-0.5450149,7.1761055,18.99151,,5891.269,0.03823648,7.599089e-05,17.201927,80,,0.15030144,6.987644,5.3981836e-10,1.4322113990783691,-0.71662164
0.14999999,-0.9712715,0.18367347,0.36963648,17.372986,27.937592,11.772482,-0.6791379,5,-0.8012716,17.372986,19.162292,,412.2197,0.2565452,4.8634163e-05,17.372986,100,,0.9130844,5.5875187,1.05732134e-07,1.6962754726409912,0.09457934
0.14999999,-0.5408188,0.71428573,2.292263e-07,17.372986,36.274384,11.31427,-0.7901372,6,-0.86995524,9.02321,19.162292,,315.7561,0.43067944,3.377373e-05,17.372986,120,,1.374902,6.0457306,0.0008981847,1.9789342880249023,0.942818
0.14999999,-0.7445173,-0.75510204,0.0027410374,17.372986,52.62291,9.8424425,-0.9442878,7,-0.9284586,1.0114746,19.162292,,232.26202,1.4158146,2.4813347e-05,17.372986,140,,9.51643,7.517558,8.414146e-28,2.265380859375,-0.9563275
0.14999999,-0.7711482,-0.30612245,4.9178123,17.372986,52.735794,10.768026,-1.0774276,8,-0.91147697,17.247114,19.162292,,223.57231,0.65033996,1.8997722e-05,17.372986,160,,4.9178123,6.5919743,0.00047819814,2.551325559616089,-0.24983244
0.14999999,-0.6935873,-1.0,9.0263825e-07,17.372986,53.05844,11.464619,-0.7160451,9,-0.9348015,17.037357,19.162292,,124.53474,1.733953,1.5010546e-05,17.372986,180,,8.517633,5.895382,1.9721178e-05,2.8397939205169678,-0.82732606
0.14999999,-0.57899857,0.020408163,2.8911679,17.372986,53.08593,12.051408,-0.8214055,10,-0.86563367,17.332514,19.162292,,124.271,1.074763,1.2158541e-05,17.372986,200,,6.594116,5.308593,5.5024884e-07,3.1453356742858887,-0.001998011
