IWFirstEpisode,ReturnMin,LQGsigma_higher,ReturnMax,LQGmu1_actor,TimeElapsed,IWLastEpisode,DenMISEMeanLog,DenMISELogFirst,ReturnLastEpisode,LQGmu1_higher,delta,TimestepsSoFar,IWMax,Regret,Bound,IWMean,ReturnMean,DenMISELogLast,ReturnStepMax,IWMin,Iteration,Regret/t,ReturnAbsMax
1.13324904e-13,,0.14999999,16.270638,0.966789,0.09361600875854492,1.13324904e-13,0.8989275,0.8989275,16.270638,1.0,0.0012158542,20,1.13324904e-13,1.0893631,35072544000000.0,1.13324904e-13,16.270638,0.8989275,18.003763,,1,1.0893631,16.270638
3.3202025e-07,,0.14999999,16.270638,-0.8331039,0.9958984851837158,9.531227e-38,0.23315209,0.20578033,0.59470695,-1.0,0.00030396355,40,3.3202025e-07,17.854656,5313001000.0,1.6601012e-07,8.4326725,0.26052386,18.003763,,2,8.927328,16.270638
0.0004919375,,0.14999999,17.323553,0.40372616,1.378286600112915,2.3614847e-16,-0.36134312,-0.1996846,17.323553,0.46938777,0.00013509492,60,0.0125902435,17.891102,43937.344,0.004360727,11.3963,-0.7394034,19.113186,,3,5.9637003,17.323553
0.14410675,,0.14999999,17.323553,-0.44212997,1.6355705261230469,6.990757e-09,-0.6105832,-0.4872027,7.6206417,-0.5510204,7.599089e-05,80,1.2674665,27.630463,5938.358,0.35289332,10.452385,-0.49960917,19.113186,,4,6.9076157,17.323553
0.38011444,,0.14999999,17.368834,-0.012673214,1.886537790298462,0.0009845691,-0.7651321,-0.67495334,17.368834,0.18367347,4.8634163e-05,100,1.8679906,27.621628,413.66977,0.44981918,11.835675,-0.8014018,19.15518,,5,5.5243254,17.368834
2.4720543e-07,,0.14999999,17.368834,0.7588899,2.1400771141052246,3.7329686e-05,-0.8193707,-0.7840032,12.350847,0.71428573,3.377373e-05,120,1.4847376,32.630783,314.98312,0.34101713,11.921536,-0.5698591,19.15518,,6,5.438464,17.368834
4.2208166,,0.14999999,17.368834,-0.33129376,2.4252874851226807,5.7047478e-11,-0.8815504,-0.9381538,3.861157,-0.30612245,2.4813347e-05,140,5.5002356,46.129623,235.23045,1.5073097,10.770055,-0.6402709,19.15518,,7,6.589946,17.368834
0.0006013014,,0.14999999,17.368834,-0.39236522,2.7114977836608887,0.040368382,-0.8188572,-0.59982467,17.22378,-0.79591835,1.8997722e-05,160,10.90793,46.265854,234.6355,1.4097292,11.576769,-0.6093557,19.15518,,8,5.7832317,17.368834
1.716271,,0.14999999,17.368834,-0.532477,3.000452756881714,5.634396,-0.8154178,-0.7175326,17.337196,-0.3877551,1.5010546e-05,180,5.634396,46.28865,132.14268,2.0185683,12.216817,-0.75118077,19.15518,,9,5.1431837,17.368834
2.4732013,,0.14999999,17.400452,-0.007757848,3.2900798320770264,0.0051503205,-0.7217659,-0.6483544,17.400452,0.020408163,1.2158541e-05,200,6.6509576,46.2482,124.69304,0.97782487,12.735181,-0.5460567,19.188759,,10,4.6248198,17.400452
