IWMax,Regret,Bound,DenMISELogFirst,ReturnStepMax,ReturnLastEpisode,DenMISEMeanLog,Regret/t,LQGmu1_higher,DenMISELogLast,TimestepsSoFar,IWFirstEpisode,LQGmu1_actor,ReturnMean,IWMin,ReturnMin,ReturnAbsMax,TimeElapsed,LQGsigma_higher,IWMean,delta,ReturnMax,Iteration,IWLastEpisode
1.6599438e-07,8.410825,19290600000000.0,-0.20431255,9.829233,8.949176,-0.20431255,8.410825,1.0,-0.20431255,20,1.6599438e-07,1.0217053,8.949176,,,8.949176,0.07108497619628906,0.14999999,1.6599438e-07,0.0012158542,8.949176,1,1.6599438e-07
2.9953377e-12,25.770824,2922257000.0,-0.89745957,9.829233,,-0.31144726,12.885412,-1.0,0.274565,40,2.9953377e-12,-1.2399067,4.474588,,,8.949176,1.126685380935669,0.14999999,1.4976689e-12,0.00030396355,8.949176,2,
0.76465786,25.935776,43613.7,-1.3029246,18.984377,17.19505,-0.9444201,8.645259,0.46938777,-1.3994355,60,0.76465786,0.2541703,8.714742,,,17.19505,1.7910728454589844,0.14999999,0.25603536,0.00013509492,17.19505,3,6.845586e-28
0.00037801522,34.77931,5888.2803,-1.363562,18.984377,8.516469,-1.1866249,8.694827,-0.5510204,-1.2783866,80,0.0003404649,-0.61032903,8.665174,,,17.19505,2.2611873149871826,0.14999999,0.00018094105,7.599089e-05,17.19505,4,5.2840896e-06
12.211643,34.7319,450.5564,-1.5866205,19.196093,17.40741,-1.2617534,6.9463797,0.18367347,-0.66987485,100,12.211643,0.20386209,10.413621,,,17.40741,2.8728418350219727,0.14999999,4.5802474,4.8634163e-05,17.40741,5,4.279288e-06
0.7415069,43.36563,314.90283,-0.5327939,19.196093,8.726266,-0.89506894,7.227605,0.71428573,-0.5297465,120,0.0023393643,0.6424589,10.132396,,,17.40741,3.4568042755126953,0.14999999,0.13316633,3.377373e-05,17.40741,6,0.013819424
4.5665917,55.37896,219.77557,-0.6865548,19.196093,5.346676,-0.96420735,7.9112797,-0.75510204,-0.58021384,140,1.415021e-07,-0.79119074,9.448721,,,17.40741,4.085695505142212,0.14999999,0.6717388,2.4813347e-05,17.40741,7,6.709908e-19
0.6436291,55.377235,214.91661,-0.8200861,19.196093,17.361723,-0.9720455,6.9221544,-0.30612245,-0.61358666,160,0.08702069,-0.35222358,10.437846,,,17.40741,4.533203125,0.14999999,0.097649515,1.8997722e-05,17.40741,8,0.026333144
6.4005795,55.519638,126.81828,-0.92705035,19.196093,17.217596,-1.0386138,6.168849,0.30612245,-0.7234051,180,3.3912992,0.34364915,11.191152,,,17.40741,4.827333927154541,0.14999999,1.7370123,1.5010546e-05,17.40741,9,0.00035980035
4.1396604,64.850204,117.53976,-0.7126409,19.196093,8.029442,-0.9410865,6.4850206,0.020408163,-0.4918531,200,4.1396604,-0.0012849905,10.87498,,,17.40741,5.135607957839966,0.14999999,0.8382441,1.2158541e-05,17.40741,10,0.4266255
