ReturnStepMax,IWMean,LQGmu1_higher,DenMISELogLast,DenMISEMeanLog,ReturnMin,ReturnMean,ReturnLastEpisode,delta,Regret/t,Regret,DenMISELogFirst,IWLastEpisode,TimeElapsed,IWMin,ReturnAbsMax,ReturnMax,IWFirstEpisode,LQGsigma_higher,TimestepsSoFar,Bound,Iteration,IWMax,LQGmu1_actor
19.18328,1.281174,1.0,-0.63970166,-0.8183519,,12.220049,17.366827,2.7570386e-06,5.1399517,107.938965,-0.6645031,2.2000652e-29,6.149562120437622,,17.393871,17.393871,1.4966253e-09,0.14999999,420,88.69682,21,15.613446,0.9333725
19.18328,1.2989357,-0.8367347,-0.9581566,-0.82246757,,11.717901,1.172823,2.5120953e-06,5.6420994,124.12619,-0.7110231,3.9966026e-30,6.451757907867432,,17.393871,17.393871,7.617478e-07,0.14999999,440,84.43563,22,5.2841654,-1.0193355
19.18328,1.0147674,0.3877551,-0.9310473,-0.81862956,,11.9562645,17.200266,2.2984013e-06,5.403736,124.28595,-0.7554748,5.2618075e-19,6.754414319992065,,17.393871,17.393871,0.22148661,0.14999999,460,83.61376,23,6.8979387,0.099844486
19.18328,0.8544205,0.75510204,-0.83098733,-0.8219498,,11.833667,9.013889,2.110858e-06,5.526334,132.63202,-0.78845066,0.0004384687,7.058865547180176,,17.393871,17.393871,2.2359407e-05,0.14999999,480,82.090775,24,7.47691,0.4921041
19.18328,1.2586136,-0.020408163,-0.8572788,-0.83127016,,11.6363125,6.8998117,1.9453666e-06,5.723688,143.0922,-0.82927173,0.018285882,7.367945432662964,,17.393871,17.393871,6.0021915,0.14999999,500,81.78425,25,6.0021915,-0.103140615
19.18328,0.91814816,-1.0,-0.60666746,-0.8154287,,11.80693,16.07236,1.7986008e-06,5.553071,144.37985,-0.65331036,8.4227096e-08,7.674211263656616,,17.393871,17.393871,8.794297e-10,0.14999999,520,81.98015,26,7.56493,-1.2324089
19.18328,1.0914764,-0.30612245,-2.3357134,-0.8768767,,12.006745,17.201975,1.6678383e-06,5.3532553,144.5379,-0.6910507,1.4407655e-07,7.982454061508179,,17.393871,17.393871,0.6103858,0.14999999,540,81.10385,27,6.0463705,-0.20360401
19.18328,1.0824286,-1.0,-0.58351177,-0.8653485,,12.176587,16.762291,1.5508342e-06,5.1834135,145.13559,-0.7050632,3.6068398e-06,8.292148351669312,,17.393871,17.393871,9.261403e-10,0.14999999,560,75.74184,28,8.584462,-0.7327524
19.18328,0.8577705,-0.67346936,-0.7088149,-0.8596541,,12.355662,17.369804,1.4457245e-06,5.0043383,145.1258,-0.7401545,4.997296,8.602850675582886,,17.393871,17.393871,0.00019611078,0.14999999,580,77.70982,29,5.325794,-0.663272
19.195608,1.0239791,0.5510204,-0.6665708,-0.85917544,,12.524023,17.40648,1.3509492e-06,4.8359776,145.07935,-0.77404934,3.0469354e-14,8.913229703903198,,17.40648,17.40648,0.0078102536,0.14999999,600,75.93631,30,7.6574907,0.34184813
19.195608,1.4134455,-0.14285715,-0.94978595,-0.8637738,,12.379399,8.040682,1.2651968e-06,4.9806013,154.39865,-0.8065788,0.037145816,9.22383451461792,,17.40648,17.40648,3.6448126,0.14999999,620,75.58913,31,5.306276,0.0065051615
19.195608,1.0087824,0.2244898,-0.7282451,-0.84893286,,12.298942,9.804744,1.1873576e-06,5.061059,161.95389,-0.7271667,1.9164728,9.531049966812134,,17.40648,17.40648,1.9023803,0.14999999,640,75.82322,32,7.3137517,0.24942121
19.195608,0.5191446,-0.46938777,-0.8437716,-0.84989643,,12.184981,8.538244,1.1164868e-06,5.1750193,170.77563,-0.70018905,6.378654e-05,9.845554828643799,,17.40648,17.40648,0.035413623,0.14999999,660,72.3531,33,3.306961,-0.7261351
19.195608,1.2294042,-0.75510204,-0.6796683,-0.8590027,,12.33785,17.382507,1.051777e-06,5.022151,170.75311,-0.72896945,5.151065,10.160436630249023,,17.40648,17.40648,1.4221236e-05,0.14999999,680,73.33741,34,5.1735907,-0.8248297
19.195608,0.99195385,1.0,-0.5337699,-0.8448814,,12.481029,17.349106,9.925341e-07,4.878972,170.76404,-0.75795656,3.3021926e-32,10.477457523345947,,17.40648,17.40648,1.6432353e-09,0.14999999,700,70.95105,35,14.59711,0.96337485
19.195608,1.2081858,0.020408163,-1.10821,-0.8554035,,12.152519,0.6547055,9.3815913e-07,5.2074814,187.46933,-0.78612745,2.1114506e-08,10.797709703445435,,17.40648,17.40648,5.810129,0.14999999,720,70.25515,36,5.8164506,-0.10973679
19.195608,1.2022816,-0.2244898,-0.6104588,-0.84450585,,12.259647,16.116262,8.881331e-07,5.1003532,188.71304,-0.66390675,3.654694,11.115895986557007,,17.40648,17.40648,1.5888314,0.14999999,740,68.56831,37,5.125629,-0.26668587
19.195608,1.234531,-0.79591835,-0.58240443,-0.83359355,,12.38633,17.073532,8.4200434e-07,4.973671,188.99954,-0.64853,0.009432719,11.434288740158081,,17.40648,17.40648,3.179915e-06,0.14999999,760,68.57021,38,4.903524,-1.1137853
19.195608,1.0838699,-1.0,-1.3834332,-0.8430218,,12.509882,17.204893,7.993782e-07,4.8501186,189.15463,-0.6745054,7.9558034,11.756105184555054,,17.40648,17.40648,8.982676e-10,0.14999999,780,69.51674,39,8.998441,-0.88703513
19.195608,1.0552533,0.3469388,-0.50627273,-0.8339511,,12.629789,17.306154,7.599088e-07,4.7302113,189.20847,-0.6998232,8.896258e-15,12.077807903289795,,17.40648,17.40648,0.4036213,0.14999999,800,67.84462,40,7.469523,0.3640398
19.195608,0.70144403,0.75510204,-0.8945072,-0.835324,,12.51438,7.898059,7.2329226e-07,4.84562,198.67041,-0.71447587,0.21745823,12.400645732879639,,17.40648,17.40648,2.0765077e-05,0.14999999,820,66.68622,41,8.332601,0.7898588
19.195608,1.1981131,-0.2244898,-1.027585,-0.8476181,,12.297954,3.42447,6.8925965e-07,5.062047,212.60596,-0.7385729,8.732902e-10,12.725449323654175,,17.40648,17.40648,1.7120045,0.14999999,840,64.8974,42,5.1092896,-0.22050755
19.195608,0.7655972,-0.63265306,-0.5554047,-0.8372723,,12.404101,16.862286,6.5757393e-07,4.9558992,213.1037,-0.72215027,0.10633423,13.051621437072754,,17.40648,17.40648,0.0006365024,0.14999999,860,64.58007,43,5.3704414,-0.6973797
19.195608,1.0243424,-1.0,-0.59236795,-0.8374261,,12.517257,17.382938,6.280238e-07,4.842744,213.08075,-0.745125,0.6284237,13.376616477966309,,17.40648,17.40648,9.639964e-10,0.14999999,880,64.4815,44,8.247106,-1.0629725
19.195608,0.89471775,0.5510204,-0.9128928,-0.8395139,,12.621305,17.199461,6.0042186e-07,4.738695,213.24127,-0.76759785,4.7941883e-25,13.703462362289429,,17.40648,17.40648,0.0077600274,0.14999999,900,63.94901,45,7.7364597,0.5583966
19.195608,0.9885174,0.10204082,-0.9332893,-0.8446634,,12.483142,6.265761,5.7460034e-07,4.8768587,224.33551,-0.78940433,0.066102915,14.029766082763672,,17.40648,17.40648,4.7683234,0.14999999,920,63.728783,46,6.5685625,0.31307396
19.195608,0.66253835,-0.3877551,-0.91633034,-0.84709656,,12.392272,8.212257,5.5040925e-07,4.9677286,233.48328,-0.7122793,0.00012094346,14.357641696929932,,17.40648,17.40648,0.17335476,0.14999999,940,62.93104,47,4.975026,-0.4474448
19.195608,1.1654075,-0.79591835,-0.7718416,-0.85274297,,12.49508,17.32712,5.277145e-07,4.8649206,233.51617,-0.7296511,0.38731915,14.687522172927856,,17.40648,17.40648,3.4486259e-06,0.14999999,960,62.605465,48,4.7230587,-0.6496327
19.195608,1.1098242,0.30612245,-0.6535685,-0.8460327,,12.594679,17.375433,5.063948e-07,4.7653217,233.50073,-0.7502703,7.812525e-09,15.01813817024231,,17.40648,17.40648,0.75949013,0.14999999,980,61.467285,49,6.9247923,0.100614905
