ReturnLastEpisode,LQGmu1_higher,IWMean,IWMin,DenMISELogFirst,TimeElapsed,IWMax,IWFirstEpisode,TimestepsSoFar,delta,Iteration,Regret/t,DenMISELogLast,ReturnMean,LQGsigma_higher,DenMISEMeanLog,Bound,IWLastEpisode,ReturnMax,LQGmu1_actor,ReturnAbsMax,Regret,ReturnMin,ReturnStepMax
15.665496,1.0,5.6081095e-13,,0.9619692,0.06470942497253418,5.6081095e-13,5.6081095e-13,20,0.0012158542,1,1.6945047,0.9619692,15.665496,0.14999999,0.9619692,33768115000000.0,5.6081095e-13,15.665496,1.107094,15.665496,1.6945047,,17.35306
,-1.0,4.4865736e-08,,0.26882198,0.7430753707885742,8.973147e-08,8.973147e-08,40,0.00030396355,2,9.527252,0.03016459,7.832748,0.14999999,0.14949329,5115398700.0,,15.665496,-0.9697506,15.665496,19.054504,,17.35306
17.23046,0.46938777,0.00052864617,,-0.13664307,1.0371465682983398,0.0011256309,0.0011256309,60,0.00013509492,3,6.394683,-0.14076467,10.965318,0.14999999,-0.21756943,43701.24,3.1448693e-20,17.23046,0.3427083,17.23046,19.184048,,19.02058
8.035321,-0.5510204,0.039430924,,-0.42395002,1.308565378189087,0.082934424,0.07478917,80,7.599089e-05,4,7.127182,-0.7464606,10.232819,0.14999999,-0.56542164,5901.0537,1.09714854e-07,17.23046,-0.6106765,17.23046,28.508728,,19.02058
17.376251,0.18367347,0.9163125,,-0.6285689,1.5500426292419434,3.997781,0.5837772,100,4.8634163e-05,5,5.698495,-0.670568,11.661506,0.14999999,-0.7571565,418.01096,4.230058e-06,17.376251,0.24435031,17.376251,28.492474,,19.16434
8.561041,0.71428573,0.08368569,,-0.70046294,1.9018521308898926,0.25098115,7.9115097e-07,120,3.377373e-05,6,6.2152376,-0.5376958,11.144763,0.14999999,-0.7561863,314.59634,0.033652663,17.376251,0.6025756,17.376251,37.291428,,19.16434
5.7987776,-0.75510204,1.0135572,,-0.8546135,2.133780002593994,4.579975,0.00097423367,140,2.4813347e-05,7,6.9789515,-0.5741989,10.381049,0.14999999,-0.85057765,225.27324,7.6670825e-18,17.376251,-0.8241922,17.376251,48.85266,,19.16434
17.32953,-0.30612245,0.5203789,,-0.9880057,2.3136134147644043,3.5017815,3.5017815,160,1.8997722e-05,8,6.1103907,-0.6356494,11.24961,0.14999999,-0.8392571,221.23828,0.012899954,17.376251,-0.34515202,17.376251,48.883125,,19.16434
17.157701,0.30612245,1.5281266,,-0.74272835,2.490302324295044,6.5706778,0.08646054,180,1.5010546e-05,9,5.4539366,-0.720936,11.906064,0.14999999,-0.88162047,124.213844,0.00044092955,17.376251,0.5174373,17.376251,49.085426,,19.16434
6.666961,-0.877551,1.3179867,,-0.838528,2.6781110763549805,6.0897136,2.2515098e-05,200,1.2158541e-05,10,5.977846,-0.7182356,11.382154,0.14999999,-0.8425573,123.15593,9.036336e-19,17.376251,-0.983328,17.376251,59.778465,,19.16434
