LQGmu1_higher,LQGsigma_higher,LQGmu1_actor,delta,IWFirstEpisode,DenMISEMeanLog,TimestepsSoFar,Regret/t,ReturnMean,IWMax,ReturnLastEpisode,IWMin,IWMean,Bound,ReturnMin,DenMISELogLast,ReturnAbsMax,Regret,DenMISELogFirst,TimeElapsed,IWLastEpisode,Iteration,ReturnStepMax,ReturnMax
-0.46938777,0.14999999,-0.68835616,2.7570386e-06,3.524341,-0.94462293,420,5.7325335,11.627467,6.236693,17.236624,,1.1107671,90.29428,,-0.6468414,17.39706,120.383194,-0.8607367,7.256768703460693,0.026083909,21,19.185783,17.39706
0.26530612,0.14999999,0.093018785,2.5120953e-06,0.0038021181,-0.9327711,440,5.4707575,11.889243,7.31394,17.386545,,1.0610012,88.57956,,-0.7099561,17.39706,120.35666,-0.75211304,7.560052871704102,9.033297e-09,22,19.185783,17.39706
-0.67346936,0.14999999,-0.5493097,2.2984013e-06,0.30283645,-0.92472166,460,5.595251,11.76475,5.6274953,9.025875,,1.0005852,83.4758,,-0.7330313,17.39706,128.6908,-0.796392,7.8663952350616455,1.1835184e-05,23,19.185783,17.39706
-0.26530612,0.14999999,-0.39954114,2.110858e-06,5.833741,-0.9126587,480,5.361079,11.998921,5.833741,17.384924,,0.77702093,81.586296,,-0.576031,17.39706,128.6659,-0.82587075,8.16948652267456,0.78805435,24,19.185783,17.39706
0.5510204,0.14999999,0.47717354,1.9453666e-06,3.8555228e-07,-0.9109359,500,5.1507387,12.209262,7.0937023,17.257395,,0.8661464,79.79485,,-0.6199696,17.39706,128.76846,-0.6491066,8.473067998886108,9.413499e-09,25,19.185783,17.39706
-1.0,0.14999999,-0.7695871,1.7986008e-06,0.0001263147,-0.91583306,520,5.34988,12.01012,8.119807,7.031573,,1.1021838,79.0616,,-0.84174895,17.39706,139.0969,-0.6883273,8.774366617202759,5.3892134e-21,26,19.185783,17.39706
-0.5510204,0.14999999,-0.50776947,1.6678383e-06,1.4787318,-0.90693426,540,5.151602,12.208399,5.1424694,17.36364,,1.2717633,78.97817,,-0.6744237,17.39706,139.09326,-0.7260628,9.08087706565857,1.8058262,27,19.185783,17.39706
-0.020408163,0.14999999,-0.05277893,1.5508342e-06,0.8607663,-0.88644177,560,4.9666615,12.393339,6.363082,17.386724,,1.3142946,78.30345,,-0.53391564,17.39706,139.06653,-0.7091097,9.390535116195679,0.023140997,28,19.185783,17.39706
0.79591835,0.14999999,0.78065753,1.4457245e-06,9.4425995e-12,-0.8727756,580,4.91117,12.448831,7.5112133,14.002613,,0.6035097,77.12092,,-0.7111512,17.39706,142.42392,-0.71392244,9.698988914489746,6.0559825e-07,29,19.185783,17.39706
-0.79591835,0.14999999,-0.7061086,1.3509492e-06,0.028280117,-0.8890913,600,5.207596,12.152405,5.353854,3.556039,,0.8420996,74.7199,,-0.9373681,17.39706,156.2279,-0.747824,10.009135723114014,6.9742025e-24,30,19.185783,17.39706
-0.3877551,0.14999999,-0.32277682,1.2651968e-06,5.034381,-0.8845913,620,5.0394325,12.320568,5.394305,17.36548,,0.99898237,74.33876,,-0.5681788,17.39706,156.22241,-0.7796716,10.320812225341797,0.49369395,31,19.185783,17.39706
0.18367347,0.14999999,0.3245482,1.1873576e-06,0.02395317,-0.8783681,640,4.8890753,12.470925,6.726249,17.132006,,1.0855465,74.03723,,-0.6471424,17.39706,156.45041,-0.660934,10.636092901229858,0.01700076,32,19.185783,17.39706
0.3877551,0.14999999,0.43934682,1.1164868e-06,0.000113210815,-0.8792796,660,5.0201435,12.339857,6.9937572,8.145646,,1.0326008,72.98715,,-0.943057,17.39706,165.66473,-0.69095737,10.94726300239563,6.24923,33,19.185783,17.39706
1.0,0.14999999,0.945294,1.051777e-06,1.6897578e-16,-0.8793685,680,5.1669855,12.193015,15.26216,7.347222,,0.9584623,72.024734,,-0.85576385,17.39706,175.67749,-0.7208069,11.262176513671875,0.0057923817,34,19.185783,17.39706
-0.14285715,0.14999999,-0.3666028,9.925341e-07,3.0721016,-0.8890287,700,5.4876747,11.872326,6.090693,0.96891,,0.9714494,71.32421,,-1.0526589,17.39706,192.06863,-0.7497945,11.577676773071289,2.8477682e-11,35,19.185783,17.39706
-0.5510204,0.14999999,-0.693357,9.3815913e-07,1.4318304,-0.88487405,720,5.3366966,12.023304,5.0748672,17.307577,,1.2860272,72.107346,,-0.676412,17.39706,192.12106,-0.6938316,11.894455909729004,2.4567003,36,19.185783,17.39706
-0.75510204,0.14999999,-0.9096526,8.881331e-07,0.061853025,-0.871753,740,5.19186,12.16814,5.3468957,17.382235,,0.9944349,69.50877,,-0.6332493,17.39706,192.09882,-0.6822281,12.21194863319397,4.6030064,37,19.185783,17.39706
-1.0,0.14999999,-0.779932,8.4200434e-07,0.0001287245,-0.86924464,760,5.0574236,12.302577,8.7945385,17.27673,,0.97825783,69.79605,,-0.74000245,17.39706,192.18213,-0.70722604,12.53174352645874,4.649648,38,19.185783,17.39706
