IWFirstEpisode,Iteration,DenMISEMeanLog,IWMean,ReturnMax,IWMin,delta,LQGsigma_higher,ReturnStepMax,LQGmu1_actor,IWMax,ReturnLastEpisode,IWLastEpisode,Regret,DenMISELogLast,DenMISELogFirst,ReturnAbsMax,TimestepsSoFar,ReturnMin,LQGmu1_higher,Bound,Regret/t,ReturnMean,TimeElapsed
1.0619208,24,-0.9617011,1.4047413,17.42954,,2.110858e-06,0.14999999,19.218552,-0.65595734,4.6212993,17.308765,3.2861843,132.1983,-0.65684444,-0.6945267,17.42954,480,,-0.5102041,84.770355,5.5082626,11.851738,5.164942264556885
0.0056437016,25,-0.9347178,0.8887203,17.42954,,1.9453666e-06,0.14999999,19.218552,-1.0062177,4.911281,17.378908,3.1893122,132.17938,-0.6169368,-0.6920529,17.42954,500,,-0.79591835,81.01041,5.287176,12.0728245,5.352699041366577
1.513235e-05,26,-0.9387685,1.0973428,17.42954,,1.7986008e-06,0.14999999,19.218552,-1.044703,8.490444,17.20204,6.4971128,132.33734,-0.8940355,-0.73104787,17.42954,520,,-1.0,79.42395,5.089898,12.2701025,5.540472984313965
0.75550306,27,-0.9344998,0.48016757,17.42954,,1.6678383e-06,0.14999999,19.218552,0.1538468,7.4957995,17.202538,9.479484e-12,132.49481,-0.819389,-0.7687876,17.42954,540,,0.06122449,78.437675,4.907215,12.4527855,5.728875398635864
4.5063443,28,-0.95111245,1.157279,17.42954,,1.5508342e-06,0.14999999,19.218552,-0.39756435,5.2417946,8.889156,0.023871899,140.96567,-0.8597929,-0.777558,17.42954,560,,-0.3469388,78.38288,5.0344877,12.325513,5.917023420333862
8.110765e-09,29,-0.93332016,0.57542974,17.42954,,1.4457245e-06,0.14999999,19.218552,0.6580776,5.1239905,17.328178,5.2915164e-12,140.99747,-0.5282502,-0.6634186,17.42954,580,,0.71428573,78.10172,4.8619823,12.498018,6.150857925415039
0.34556508,30,-0.94770867,1.1985916,17.42954,,1.3509492e-06,0.14999999,19.218552,-0.5114652,4.892485,5.1617365,5.6284857e-15,153.19577,-0.928357,-0.6973201,17.42954,600,,-0.59183675,75.63406,5.1065245,12.253476,6.58679461479187
0.0025287382,31,-0.9277416,1.269974,17.42954,,1.2651968e-06,0.14999999,19.218552,0.2143795,7.0444107,17.37999,3.3145903e-07,153.17575,-0.47666752,-0.71865696,17.42954,620,,0.3469388,74.92857,4.9411526,12.418848,7.020887851715088
7.793064e-15,32,-0.9198724,1.2341342,17.42954,,1.1873576e-06,0.14999999,19.218552,1.1060051,14.500393,8.686216,6.990981e-06,161.84955,-0.8664764,-0.7503241,17.42954,640,,1.0,73.37274,5.0577984,12.302202,7.449902534484863
1.5908963e-05,33,-0.93764096,1.0760847,17.42954,,1.1164868e-06,0.14999999,19.218552,-1.0500476,8.123291,,,179.20953,-1.5605628,-0.78109574,17.42954,660,,-1.0,72.58951,5.4305925,11.929408,7.875943422317505
