DenMISELogLast,ReturnMax,Regret,Regret/t,IWFirstEpisode,ReturnMean,LQGsigma_higher,TimeElapsed,Iteration,ReturnMin,Bound,LQGmu1_actor,IWMin,ReturnLastEpisode,IWMax,ReturnAbsMax,TimestepsSoFar,delta,LQGmu1_higher,IWLastEpisode,IWMean,DenMISEMeanLog,DenMISELogFirst,ReturnStepMax
0.9432691,14.322826,3.0371742,3.0371742,1.4583897e-11,14.322826,0.14999999,0.07488894462585449,1,,30873896000000.0,1.0229574,,14.322826,1.4583897e-11,14.322826,20,0.0012158542,1.0,1.4583897e-11,1.4583897e-11,0.9432691,0.9432691,15.868348
0.2733222,14.322826,20.397175,10.198587,6.2398056e-09,7.161413,0.14999999,0.6167001724243164,2,,4676964400.0,-0.78560925,,,6.2398056e-09,14.322826,40,0.00030396355,-1.0,,3.1199028e-09,0.26172203,0.2501219,15.868348
-1.1417589,17.346912,20.410263,6.803421,0.0060794596,10.55658,0.14999999,0.8603298664093018,3,,43996.613,0.5970471,,17.346912,0.0060794596,17.346912,60,0.00013509492,0.46938777,5.2504896e-15,0.0031424325,-0.476415,-0.1553432,19.135582
-0.7320505,17.346912,31.911102,7.9777756,0.019630108,9.382225,0.14999999,1.0530879497528076,4,,5954.5317,-0.39984465,,5.859161,3.269675,17.346912,80,7.599089e-05,-0.5510204,1.0523753e-12,0.8223263,-0.7553005,-0.44100085,19.135582
-0.9354386,17.346912,31.955643,6.3911285,1.3689008,10.968872,0.14999999,1.2784032821655273,5,,413.18057,0.04966657,,17.315462,1.3689008,17.346912,100,4.8634163e-05,0.18367347,0.003507325,0.30549487,-0.8493805,-0.6592489,19.135582
-0.5519055,17.346912,40.23345,6.705575,7.831327e-06,10.654426,0.14999999,1.457123041152954,6,,319.51587,0.83646953,,9.082194,5.928155,17.346912,120,3.377373e-05,0.71428573,0.0002520498,1.1097082,-0.90619713,-0.5995814,19.135582
-0.6902698,17.346912,54.859154,7.837022,0.00012416416,9.522979,0.14999999,1.6461894512176514,7,,234.74551,-0.88928026,,2.7342978,10.476547,17.346912,140,2.4813347e-05,-0.75510204,1.8953066e-24,1.5786594,-0.8929115,-0.75373083,19.135582
-0.6888483,17.346912,54.92839,6.866049,1.6875181,10.493952,0.14999999,1.830756664276123,8,,233.93845,-0.35654378,,17.290764,8.239356,17.346912,160,1.8997722e-05,-0.30612245,0.002766568,1.2911046,-0.8600222,-0.88724446,19.135582
-0.72486174,17.346912,55.08014,6.120015,5.1905174,11.239985,0.14999999,2.013636589050293,9,,125.72623,-0.06516954,,17.208244,6.4968653,17.346912,180,1.5010546e-05,0.020408163,0.2334997,1.3371389,-0.84430087,-0.81363076,19.135582
-0.46657133,17.346912,58.006195,5.800619,0.20783678,11.5593815,0.14999999,2.1894044876098633,10,,120.64795,-0.33812436,,14.433942,5.982404,17.346912,200,1.2158541e-05,-0.42857143,0.22538732,1.2159064,-0.79766244,-0.4636419,19.135582
