DenMISELogLast,Regret,LQGmu1_actor,TimestepsSoFar,ReturnLastEpisode,IWMax,IWLastEpisode,ReturnMean,Iteration,ReturnMin,ReturnStepMax,DenMISEMeanLog,ReturnMax,LQGmu1_higher,IWFirstEpisode,Bound,IWMin,delta,Regret/t,LQGsigma_higher,TimeElapsed,ReturnAbsMax,DenMISELogFirst,IWMean
-0.636434,124.119446,0.69027376,480,17.368017,7.1375074,8.6373836e-18,12.188357,24,,19.196016,-1.0033952,17.407738,0.75510204,2.922359e-12,82.21753,,2.110858e-06,5.1716433,0.14999999,6.581953525543213,17.407738,-0.6395621,0.78355545
-0.89969647,136.71295,0.307949,500,4.7664876,6.406676,0.00030546373,11.891482,25,,19.196016,-1.0103977,17.407738,0.020408163,0.17471805,82.37781,,1.9453666e-06,5.4685183,0.14999999,6.978271484375,17.407738,-0.6803841,1.1288764
-0.9540438,145.83176,0.29131895,520,8.241236,6.601799,4.997296,11.751087,26,,19.196016,-1.0059699,17.407738,0.42857143,3.6766737e-06,80.4388,,1.7986008e-06,5.6089134,0.14999999,7.378864049911499,17.407738,-0.7126404,0.8727242
-0.8141634,154.8598,-0.5801831,540,8.331971,5.231589,5.982136e-05,11.624453,27,,19.196016,-1.0052592,17.407738,-0.42857143,5.231589,79.957985,,1.6678383e-06,5.735548,0.14999999,7.786160707473755,17.407738,-0.7503806,1.0728132
-0.67427933,154.8335,-1.0625473,560,17.38627,9.053425,0.10392119,11.830233,28,,19.196016,-0.9927905,17.407738,-1.0,0.0007418962,77.81743,,1.5508342e-06,5.529768,0.14999999,8.190959692001343,17.407738,-0.6096381,1.0514659
-0.9422982,154.99542,-0.8070676,580,17.198088,5.583474,0.83525103,12.01533,29,,19.196016,-0.99232614,17.407738,-0.75510204,0.19072197,76.40731,,1.4457245e-06,5.3446703,0.14999999,8.606366395950317,17.407738,-0.6447029,0.91800463
-0.5955576,154.99994,-0.48900914,600,17.355501,5.8730173,0.0008568332,12.193337,30,,19.196016,-0.9831333,17.407738,-0.18367347,2.389419,75.12077,,1.3509492e-06,5.166663,0.14999999,9.017112970352173,17.407738,-0.6720494,0.90524906
-0.66605604,154.99298,0.13624689,620,17.366938,6.5747128,6.3233856e-05,12.360228,31,,19.196016,-0.97709805,17.407738,0.2244898,0.0018888094,74.624245,,1.2651968e-06,4.999773,0.14999999,9.413004636764526,17.407738,-0.62820476,1.3200138
-0.76496047,163.41733,-0.34876117,640,8.935641,5.3031936,0.00015795151,12.253209,32,,19.196016,-0.9632597,17.407738,-0.5510204,2.5025506,74.48996,,1.1873576e-06,5.1067915,0.14999999,9.815216064453125,17.407738,-0.65989256,1.0661641
-0.623344,163.58295,0.3216121,660,17.194376,7.8632994,1.4357158e-08,12.402941,33,,19.196016,-0.9522399,17.407738,0.59183675,5.577867e-09,71.89032,,1.1164868e-06,4.95706,0.14999999,10.223318338394165,17.407738,-0.6153669,0.7137077
-0.8444696,172.78003,-0.9720458,680,8.162919,8.286183,8.601712e-17,12.2782345,34,,19.196016,-0.95851594,17.407738,-1.0,0.0007687693,71.46523,,1.051777e-06,5.081766,0.14999999,10.638096809387207,17.407738,-0.6452198,1.0742621
-0.67619276,172.92255,-0.36666507,700,17.217503,5.26851,0.0008856792,12.419357,35,,19.196016,-0.95033187,17.407738,-0.3469388,5.15301,71.39545,,9.925341e-07,4.9406433,0.14999999,11.05575156211853,17.407738,-0.67418474,1.1349798
-0.56577015,172.98163,0.97862726,720,17.30089,16.037504,4.412335e-18,12.5549555,36,,19.196016,-0.93728137,17.407738,1.0,3.402416e-18,70.96559,,9.3815913e-07,4.805045,0.14999999,11.46747899055481,17.407738,-0.5650063,1.1303307
-1.1547347,189.9566,0.113985375,740,0.38502374,6.6009007,6.3646254e-08,12.226038,37,,19.196016,-0.94356763,17.407738,0.06122449,0.07581308,69.1645,,8.881331e-07,5.1339626,0.14999999,11.90544605255127,17.407738,-0.59240526,1.1012601
-0.78064406,198.33029,-0.6473874,760,8.98636,5.4940186,5.93683e-08,12.140783,38,,19.196016,-0.93791723,17.407738,-0.79591835,0.08905007,69.21662,,8.4200434e-07,5.2192173,0.14999999,12.324106693267822,17.407738,-0.6170266,0.937764
-0.6565479,198.28754,-0.47201532,780,17.402737,5.0400243,2.5361404,12.275705,39,,19.196016,-0.9331146,17.407738,-0.46938777,4.0690117,68.47853,,7.993782e-07,5.0842953,0.14999999,12.743291854858398,17.407738,-0.6406614,1.137201
-0.5478384,198.28891,0.42216742,800,17.358624,7.157522,1.548675e-06,12.402778,40,,19.196016,-0.9209733,17.407738,0.3469388,4.98334e-05,67.98042,,7.599088e-07,4.957223,0.14999999,13.170830726623535,17.407738,-0.5667371,1.1338294
-0.89781725,208.16693,0.7980867,820,7.481973,8.399258,0.29281378,12.282758,41,,19.196016,-0.9184575,17.407738,0.79591835,3.4803746e-13,66.23417,,7.2329226e-07,5.077243,0.14999999,13.592044830322266,17.407738,-0.59142846,0.78946966
-0.99546975,222.2214,-0.7957864,840,3.3055136,5.1603823,1.2630362e-19,12.069014,42,,19.196016,-0.92633057,17.407738,-0.63265306,1.0740643,66.04814,,6.8925965e-07,5.290987,0.14999999,14.016237497329712,17.407738,-0.615526,1.0018198
-0.63987243,222.23334,-0.8494439,860,17.34813,8.3813,1.996341,12.191784,43,,19.196016,-0.9202691,17.407738,-1.0,0.00074499415,65.86468,,6.5757393e-07,5.1682167,0.14999999,14.443524599075317,17.407738,-0.61380506,1.0327867
-0.61866075,222.2785,-0.259285,880,17.314817,5.9595547,0.00083972263,12.308216,44,,19.196016,-0.91385514,17.407738,-0.2244898,3.1218996,65.38125,,6.280238e-07,5.0517845,0.14999999,14.871658086776733,17.407738,-0.6367773,0.882876
-0.66016626,222.5954,-0.68924546,900,17.043016,5.0432744,0.008556137,12.413436,45,,19.196016,-0.91135144,17.407738,-0.79591835,0.08673644,64.51105,,6.0042186e-07,4.9465647,0.14999999,15.296072721481323,17.407738,-0.5907019,1.0291291
-0.5637208,222.57184,-0.38512093,920,17.38365,4.8678007,0.6200106,12.521483,46,,19.196016,-0.9038094,17.407738,-0.3877551,4.8678007,63.67723,,5.7460034e-07,4.838517,0.14999999,15.721939086914062,17.407738,-0.6107552,1.1383293
-0.52640754,222.66504,0.2511142,940,17.266773,6.774954,0.0033968687,12.622447,47,,19.196016,-0.89356655,17.407738,0.18367347,0.004867154,63.339996,,5.5040925e-07,4.7375536,0.14999999,16.149389028549194,17.407738,-0.53167266,1.2986751
-0.8423335,231.4945,0.52903616,960,8.530529,8.0456085,0.83674586,12.537198,48,,19.196016,-0.8875191,17.407738,0.5510204,2.8949422e-08,62.277428,,5.277145e-07,4.8228025,0.14999999,16.582226753234863,17.407738,-0.55262256,0.7056528
-0.9679312,242.2981,-0.53891456,980,6.5564494,4.8701367,6.621619e-13,12.415141,49,,19.196016,-0.8955608,17.407738,-0.63265306,1.0295951,61.907166,,5.063948e-07,4.9448595,0.14999999,17.014776706695557,17.407738,-0.57324183,1.0309061
