ReturnMax,Bound,Iteration,DenMISEMeanLog,TimeElapsed,LQGmu1_higher,IWLastEpisode,ReturnStepMax,LQGsigma_higher,IWMean,Regret,IWMax,DenMISELogFirst,ReturnMin,IWFirstEpisode,TimestepsSoFar,LQGmu1_actor,delta,IWMin,Regret/t,ReturnAbsMax,ReturnMean,ReturnLastEpisode,DenMISELogLast
16.08531,34673057000000.0,1,0.9761759,0.10172104835510254,1.0,1.3200675e-12,17.794819,0.14999999,1.3200675e-12,1.2746906,1.3200675e-12,0.9761759,,1.3200675e-12,20,1.0938538,0.0012158542,,1.2746906,16.08531,16.08531,16.08531,0.9761759
16.08531,5252484600.0,2,0.18615885,0.805476188659668,-1.0,,17.794819,0.14999999,2.2270598e-08,18.634691,4.4541196e-08,0.28302875,,4.4541196e-08,40,-0.9053986,0.00030396355,,9.317346,16.08531,8.042655,,0.08928895
17.283216,43835.043,3,-0.2526396,1.059875249862671,0.46938777,2.1026145e-18,19.073248,0.14999999,0.000794077,18.711475,0.0017532277,-0.12243634,,0.0017532277,60,0.41491303,0.00013509492,,6.237159,17.283216,11.122842,17.283216,-0.31930628
17.283216,5919.9756,4,-0.5226884,1.2617027759552002,-0.5510204,4.212628e-09,19.073248,0.14999999,0.088039085,28.534214,0.2995169,-0.4095342,,0.052639447,80,-0.54481286,7.599089e-05,,7.1335535,17.283216,10.226447,7.5372615,-0.47058257
17.391676,414.92044,5,-0.7016122,1.4350476264953613,0.18367347,3.6986166e-05,19.179405,0.14999999,0.47076568,28.50254,1.6219789,-0.6196037,,0.7318123,100,0.053885788,4.8634163e-05,,5.700508,17.391676,11.6594925,17.391676,-0.6100153
17.391676,315.36322,6,-0.7588317,1.6090030670166016,0.71428573,0.0002850985,19.179405,0.14999999,0.15922005,36.784325,0.6581173,-0.6653314,,1.4601064e-06,120,0.63739485,3.377373e-05,,6.130721,17.391676,11.2292795,9.078217,-0.55087894
17.391676,227.12233,7,-0.843497,1.7843003273010254,-0.79591835,7.069953e-20,19.179405,0.14999999,1.1107781,48.73864,6.0874143,-0.81948185,,0.00017118189,140,-0.8676901,2.4813347e-05,,6.9626627,17.391676,10.397338,5.405686,-0.5790105
17.391676,223.33958,8,-0.8226896,1.9769392013549805,-0.30612245,0.004314904,19.179405,0.14999999,0.6314703,48.78572,2.9213653,-0.9529888,,2.9213653,160,-0.102579415,1.8997722e-05,,6.098215,17.391676,11.2617855,17.312922,-0.58410025
17.391676,131.27849,9,-0.8594753,2.202141523361206,0.020408163,4.0903797,19.179405,0.14999999,1.6310107,50.62693,6.470927,-0.7594924,,3.9065251,180,0.3517685,1.5010546e-05,,5.6252146,17.391676,11.734786,15.518787,-0.76658845
17.391676,123.88972,10,-0.8356454,2.380396842956543,0.3469388,7.033695,19.179405,0.14999999,1.5191848,60.008896,7.033695,-0.50434446,,0.042973444,200,0.18218641,1.2158541e-05,,6.00089,17.391676,11.359111,7.9780335,-0.97304916
