LQGmu1_higher,LQGmu1_actor,Regret/t,ReturnMean,LQGsigma_higher,Iteration,ReturnLastEpisode,Regret
-1.0,-0.94710684,0.11666313512305138,0.9887234440869809,0.14999999,1,17.243336864876948,0.11666313512305138
-0.9591837,-1.0618298,0.14023541600464462,0.9873718224767978,0.14999999,2,17.19619230311376,0.28047083200928924
-0.9183673,-1.0812893,0.14647842841317527,0.9870138515818132,0.14999999,3,17.201035546769763,0.4394352852395258
-0.877551,-0.9965511,0.15128027060449512,0.9867385165937788,0.14999999,4,17.194314202821545,0.6051210824179805
-0.8367347,-1.0955123,0.15572943477582157,0.9864834039692761,0.14999999,5,17.186473908538872,0.7786471738791079
-0.79591835,-0.8560535,0.13773874729273436,0.9875149800864257,0.14999999,6,17.3122146901227,0.8264324837564061
-0.75510204,-0.624946,0.11666154065329946,0.9887235355129987,0.14999999,7,17.36980169918331,0.8166307845730962
-0.71428573,-0.5683842,0.09388938097718436,0.9900292786136934,0.14999999,8,17.42551573675562,0.7511150478174748
-0.67346936,-0.81192946,0.0855319930586127,0.9905084866365473,0.14999999,9,17.34132711028996,0.7697879375275143
-0.63265306,-0.60606104,0.07610186062363873,0.9910492052394702,0.14999999,10,17.368769331291126,0.7610186062363873
-0.59183675,-0.68505234,0.06688783900962618,0.991577532166879,0.14999999,11,17.3852523771305,0.735766229105888
-0.5510204,-0.18764994,0.1108376607558809,0.9890574735805112,0.14999999,12,16.765714300035317,1.3300519290705708
-0.5102041,-0.56440663,0.09961010064691131,0.9897012556968512,0.14999999,13,17.395120620660723,1.294931308409847
-0.46938777,-0.30372483,0.1057826747004891,0.9893473236983663,0.14999999,14,17.173973862603,1.4809574458068475
-0.42857143,-0.4430095,0.09769129820600095,0.9898112787725916,0.14999999,15,17.375587972716833,1.4653694730900142
-0.3877551,0.048650384,0.6088916119341489,0.9604993341780876,0.14999999,16,9.083103682143632,9.742265790946382
-0.3469388,-0.32977402,0.5837847977304473,0.9619389450842633,0.14999999,17,17.177924229528777,9.924341561417604
-0.30612245,-0.28243303,0.568545202937556,0.9628127750609199,0.14999999,18,17.050527908541596,10.233813652876007
-0.26530612,-0.501019,0.538240939142745,0.9645504048656682,0.14999999,19,17.36723580916385,10.226577843712155
-0.2244898,-0.3659231,0.5163969919234254,0.9658029247750329,0.14999999,20,17.258638005243647,10.327939838468508
-0.18367347,-0.37075537,0.496057484395394,0.9669691809406311,0.14999999,21,17.270732666165234,10.417207172303273
-0.14285715,-0.100964025,0.5548692152477522,0.9635969486669868,0.14999999,22,15.570084436852724,12.207122735450548
-0.10204082,-0.092239924,0.6108209038524477,0.960388709641488,0.14999999,23,15.51824194684425,14.048880788606297
-0.06122449,-0.21437402,0.6083687092792555,0.9605293171284831,0.14999999,24,16.808031765904165,14.600849022702132
-0.020408163,0.12632477,0.9200594994289184,0.9426571387942134,0.14999999,25,8.95936153697917,23.00148748572296
0.020408163,0.13538633,1.2086045281855162,0.9261121256774361,0.14999999,26,8.937769752899543,31.42371773282342
0.06122449,0.027955696,1.4682169233622975,0.911226093843905,0.14999999,27,9.141860802041387,39.64185693078203
0.10204082,-0.10713025,1.477294805810556,0.9107055730613213,0.14999999,28,15.637602368086469,41.364254562695564
0.14285715,0.08543794,1.713312487756045,0.897172449096557,0.14999999,29,9.038192417770253,49.68606214492531
0.18367347,0.046358526,1.9320325317449452,0.884631162170588,0.14999999,30,9.085086192576952,57.960975952348356
