LQGsigma_higher,ReturnLastEpisode,LQGmu1_actor,Iteration,LQGmu1_higher,Regret,Regret/t,ReturnMean
0.14999999,17.19067835623016,-1.1408191,1,-1.0,0.16932164376984105,0.16932164376984105,0.985704034187509
0.14999999,17.23962651190427,-0.953842,2,-0.9591837,0.28969513186557094,0.14484756593278547,0.9871073643387163
0.14999999,17.193683996572563,-1.0333538,3,-0.9183673,0.4560111352930072,0.15200371176433572,0.9866970348758981
0.14999999,17.21878870543071,-0.97999406,4,-0.877551,0.5972224298622955,0.14930560746557386,0.986851742691194
0.14999999,17.415690635703875,-0.6467914,5,-0.8367347,0.5415317941584199,0.10830635883168398,0.9892026170394675
0.14999999,17.392278611631706,-0.70902413,6,-0.79591835,0.509253182526713,0.08487553042111884,0.9905461278428257
0.14999999,17.213310337706655,-0.9843233,7,-0.75510204,0.655942844820057,0.09370612068857957,0.9900397866577648
0.14999999,17.346694168950826,-0.79888725,8,-0.71428573,0.6692486758692304,0.0836560844836538,0.9906160502016252
0.14999999,17.424184531788825,-0.500455,9,-0.67346936,0.605064144080405,0.06722934934226722,0.9915579501523928
0.14999999,17.38695446476866,-0.58944863,10,-0.63265306,0.5781096793117442,0.05781096793117442,0.9920979949580747
0.14999999,17.361829074832052,-0.47486502,11,-0.59183675,0.5762806044796918,0.05238914586179016,0.9924088792510439
0.14999999,17.40732110981387,-0.5281285,12,-0.5510204,0.5289594946658198,0.04407995788881832,0.9928853235155493
0.14999999,17.183773719524186,-0.27125412,13,-0.5102041,0.7051857751416328,0.05424505962627945,0.992302462177392
0.14999999,17.362074605598444,-0.44154665,14,-0.46938777,0.7031111695431882,0.05022222639594202,0.9925331292204159
0.14999999,17.360136056715,-0.71921766,15,-0.42857143,0.702975112828188,0.0468650075218792,0.9927256303026444
0.14999999,17.35578778505488,-0.5650468,16,-0.3877551,0.7071873277733083,0.04419920798583177,0.9928784857806288
0.14999999,17.276870252242638,-0.39122128,17,-0.3469388,0.7903170755306697,0.04648923973709822,0.9927471766205791
