Regret/t,ReturnLastEpisode,LQGmu1_higher,Iteration,Regret,LQGsigma_higher,LQGmu1_actor,ReturnMean
0.16340719312259466,17.196592806877405,-1.0,1,0.16340719312259466,0.14999999,-1.0297719,0.9860431655319613
0.16299180813980207,17.19742357684299,-0.9591837,2,0.32598361627960415,0.14999999,-1.2749791,0.9860669834782223
0.1628459211799793,17.197445852739666,-0.9183673,3,0.48853776353993794,0.14999999,-1.043916,0.9860753485561937
0.16162615835132055,17.202033130134655,-0.877551,4,0.6465046334052822,0.14999999,-1.007674,0.9861452890853599
0.1538136518126308,17.237436374342128,-0.8367347,5,0.7690682590631539,0.14999999,-0.9582521,0.986593253909826
0.12686086634705754,17.367903060980808,-0.79591835,6,0.7611651980823453,0.14999999,-0.6926479,0.9881387117920264
0.11944868634013973,17.285024393701367,-0.75510204,7,0.8361408043809782,0.14999999,-0.4045205,0.988563722113524
0.10104543799308496,17.387777300436298,-0.71428573,8,0.8083635039446797,0.14999999,-0.7432614,0.9896189542435156
0.08877279366619067,17.369408360948963,-0.67346936,9,0.798955142995716,0.14999999,-0.67157793,0.9903226609136357
0.07919398545088648,17.36701528848685,-0.63265306,10,0.7919398545088647,0.14999999,-0.7154141,0.9908719045039629
0.07005083066874657,17.381380717152652,-0.59183675,11,0.7705591373562122,0.14999999,-0.68133724,0.9913961679662416
0.06914425834111615,17.300828037262818,-0.5510204,12,0.8297311000933938,0.14999999,-0.36473387,0.9914481503244773
0.060280035634892926,17.406090636839785,-0.5102041,13,0.783640463253608,0.14999999,-0.5653271,0.9919564199750635
0.05874486307839558,17.32121238015607,-0.46938777,14,0.8224280830975381,0.14999999,-0.38153014,0.9920444459244039
0.05345309643401848,17.38063163658726,-0.42857143,15,0.8017964465102771,0.14999999,-0.4534231,0.9923478729108933
0.0489721143995816,17.37824261611697,-0.3877551,16,0.7835538303933056,0.14999999,-0.7233566,0.9926048099541523
0.04544661627741487,17.370961353677252,-0.3469388,17,0.7725924767160528,0.14999999,-0.41350067,0.9928069600758362
0.045856702755877166,17.307171827110263,-0.30612245,18,0.825420649605789,0.14999999,-0.39103925,0.9927834459428969
0.054775363521740526,17.14468874269272,-0.26530612,19,1.04073190691307,0.14999999,-0.2548188,0.9922720548439369
0.22929363526433572,13.814859201626355,-0.2244898,20,4.5858727052867145,0.14999999,-0.049675643,0.9822652732073202
0.2511010453773836,16.672750752361658,-0.18367347,21,5.273121952925056,0.14999999,-0.16503504,0.9810148483155169
0.27351167025136097,16.615865207395114,-0.14285715,22,6.0172567455299415,0.14999999,-0.16448365,0.9797298354213669
0.2855603719711992,16.80936819019236,-0.10204082,23,6.567888555337582,0.14999999,-0.19812691,0.9790389694970643
0.6184820402642383,9.084319588995863,-0.06122449,24,14.843568966341719,0.14999999,0.04995115,0.9599494242967754
0.7845987706779703,12.588599699392459,-0.020408163,25,19.61496926694926,0.14999999,-0.022118282,0.9504243824152541
1.0729597888742382,9.07801475621907,0.020408163,26,27.89695451073019,0.14999999,0.054090634,0.9338899203627158
1.3373594632862773,9.1482490020007,0.06122449,27,36.108705508729486,0.14999999,0.020488314,0.9187293885730347
1.598545663140784,8.709426940787537,0.10204082,28,44.75927856794195,0.14999999,0.20834887,0.9037531156455972
1.8681304048756062,7.94349682654936,0.14285715,29,54.17578174139258,0.14999999,0.35711956,0.8882952749497932
2.0874724314904705,8.911608796678467,0.18367347,30,62.62417294471412,0.14999999,0.14561188,0.8757183238824272
2.306881731147284,8.470839279148322,0.2244898,31,71.5133336655658,0.14999999,0.26384518,0.8631375154158668
2.498470655050797,8.922272703940296,0.26530612,32,79.9510609616255,0.14999999,0.1415329,0.8521519119810322
2.68505790000902,8.704150261327852,0.30612245,33,88.60691070029765,0.14999999,0.2097351,0.8414531020637029
2.8685904807635723,8.43483435433619,0.3469388,34,97.53207634596146,0.14999999,0.27123576,0.8309294449103455
3.093187458341405,6.630515304012279,0.3877551,35,108.26156104194918,0.14999999,0.521291,0.8180511778473963
3.264391319989306,8.103473522334165,0.42857143,36,117.51808751961501,0.14999999,0.33160746,0.8082344426611635
3.4307994761403307,7.938506902422772,0.46938777,37,126.93958061719223,0.14999999,0.35788608,0.7986926905882836
3.7136905010569907,3.179341577026605,0.5102041,38,141.12023904016564,0.14999999,0.806722,0.7824718749393926
3.8563862565735634,8.081175033796672,0.5510204,39,150.39906400636897,0.14999999,0.33527994,0.7742897788661947
3.9991772662529224,7.791973356252078,0.59183675,40,159.9670906501169,0.14999999,0.3797062,0.766102220971736
4.175903410168732,6.115050833198867,0.63265306,41,171.212039816918,0.14999999,0.5730269,0.7559688411600497
4.3394579608642125,6.314805460621097,0.67346936,42,182.25723435629692,0.14999999,0.55355215,0.7465907132531987
4.59798218041993,1.9040005982399482,0.71428573,43,197.71323375805696,0.14999999,0.88931215,0.7317670768107838
4.888028039955841,,0.75510204,44,215.07323375805697,0.14999999,1.0398844,0.715136006883266
5.060360301005907,4.717020212791147,0.79591835,45,227.71621354526582,0.14999999,0.69419813,0.7052545698964502
5.243326209679078,3.8832079000282196,0.8367347,46,241.1930056452376,0.14999999,0.7572925,0.6947634054083097
5.476813438503067,1.142774035593466,0.877551,47,257.41023160964414,0.14999999,0.9351388,0.6813753762326223
5.592789965363289,6.316313272206275,0.9183673,48,268.45391833743787,0.14999999,0.55340254,0.6747253460227473
5.768730485220321,3.1461245616421065,0.9591837,49,282.66779377579576,0.14999999,0.80898005,0.6646370134621374
6.000555875515915,,1.0,50,300.0277937757958,0.14999999,1.0348647,0.6513442731928947
