LQGmu1_actor,Regret/t,Regret,ReturnMean,LQGmu1_higher,Iteration,ReturnLastEpisode,LQGsigma_higher
-0.8594285,0.045160880327895114,0.045160880327895114,0.9928233440178958,-1.0,1,17.314839119672104,0.14999999
-1.316117,0.1032648851315443,0.2065297702630886,0.9894916923663104,-0.9591837,2,17.198631110064806,0.14999999
-0.7779089,0.0702066034850309,0.2106198104550927,0.9913872360387023,-0.9183673,3,17.355909959807995,0.14999999
-0.88554704,0.06652872332534088,0.2661148933013635,0.9915981236625376,-0.877551,4,17.30450491715373,0.14999999
-0.98694193,0.08299604044913451,0.41498020224567256,0.9906538967632376,-0.8367347,5,17.21113469105569,0.14999999
-0.9080499,0.0824813285413389,0.4948879712480334,0.9906834100607029,-0.79591835,6,17.28009223099764,0.14999999
-0.5749069,0.0646662907818083,0.4526640354726581,0.9917049145193916,-0.75510204,7,17.402223935775375,0.14999999
-0.6883274,0.05669059248178554,0.4535247398542843,0.9921622366696223,-0.71428573,8,17.359139295618373,0.14999999
-0.5975261,0.044494788550940946,0.40045309695846854,0.9928615373537304,-0.67346936,9,17.413071642895815,0.14999999
-0.5498065,0.0360536310074643,0.36053631007464304,0.9933455486807647,-0.63265306,10,17.399916786883825,0.14999999
-0.29512903,0.056056459525800566,0.6166210547838062,0.9921985975042545,-0.59183675,11,17.103915255290836,0.14999999
-0.7665715,0.0495360254404306,0.5944323052851672,0.9925724756054799,-0.5510204,12,17.38218874949864,0.14999999
-0.5685864,0.04227292312822301,0.5495480006668991,0.992988937894024,-0.5102041,13,17.404884304618268,0.14999999
-0.584114,0.03740389987424005,0.5236545982393608,0.9932681250072111,-0.46938777,14,17.385893402427538,0.14999999
-0.47829264,0.0304735026879771,0.45710254031965647,0.9936655101669738,-0.42857143,15,17.426552057919704,0.14999999
-0.30191153,0.04110478824333019,0.6576766118932831,0.9930559181053137,-0.3877551,16,17.159425928426373,0.14999999
-0.16740644,0.07607172487556134,1.2932193228845428,0.9910509332066766,-0.3469388,17,16.72445728900874,0.14999999
-0.3113171,0.08150176469552169,1.4670317645193904,0.9907395777124128,-0.30612245,18,17.18618755836515,0.14999999
-0.4969163,0.07672317384335627,1.457740303023769,0.9910135794814591,-0.26530612,19,17.36929146149562,0.14999999
-0.3319235,0.07657293100265257,1.5314586200530513,0.9910221943232426,-0.2244898,20,17.286281682970717,0.14999999
-0.10139485,0.1538247880794397,3.2303205496682335,0.9865926153624175,-0.18367347,21,15.661138070384817,0.14999999
-0.30550337,0.15568807071099425,3.4251375556418733,0.9864857757619844,-0.14285715,22,17.16518299402636,0.14999999
-0.17494851,0.17922109332774544,4.122085146538145,0.9851364051990972,-0.10204082,23,16.663052409103727,0.14999999
0.06066393,0.5169167467965922,12.406001923118213,0.9657731223167092,-0.06122449,24,9.076083223419932,0.14999999
-0.11692029,0.5485161980380167,13.712904950950415,0.9639612271767193,-0.020408163,25,16.053096972167797,0.14999999
-0.18076703,0.5529678030859176,14.37716288023386,0.9637059745936974,0.020408163,26,16.695742070716555,0.14999999
0.0076825023,0.8274312780214553,22.340644506579295,0.9479683900217056,0.06122449,27,9.396518373654562,0.14999999
-0.0672246,0.8858028333061583,24.80247933257243,0.9446213971728122,0.10204082,28,14.898165174006863,0.14999999
0.021212645,1.1372264822615934,32.97956798558621,0.9302049035400465,0.14285715,29,9.182911346986222,0.14999999
0.19934785,1.3865576611977923,41.59672983593377,0.9159083909863653,0.18367347,30,8.742838149652435,0.14999999
-0.009937942,1.5900920924475415,49.292854865873785,0.9042378387358063,0.2244898,31,9.663874970059984,0.14999999
0.20386496,1.810206235313942,57.92659953004615,0.8916166149475953,0.26530612,32,8.726255335827638,0.14999999
0.46450973,2.0650439668235268,68.14645090517638,0.8770043597004861,0.30612245,33,7.140148624869767,0.14999999
0.3905282,2.287952034119405,77.79036916005977,0.8642229338234289,0.3469388,34,7.716081745116614,0.14999999
0.451011,2.5113629126751222,87.89770194362927,0.8514126770255093,0.3877551,35,7.252667216430494,0.14999999
0.35430744,2.702666394457159,97.29599020045774,0.8404434406847962,0.42857143,36,7.961711743171528,0.14999999
0.54064584,2.9246650882993004,108.21260826707412,0.8277141577810037,0.46938777,37,6.443381933383623,0.14999999
0.50320816,3.125616350587594,118.77342132232857,0.8161917230167667,0.5102041,38,6.799186944745537,0.14999999
0.7358225,3.383547276557499,131.95834378574247,0.8014021057019785,0.5510204,39,4.1750775365861035,0.14999999
0.66375065,3.6056220367474894,144.22488146989957,0.7886684611956717,0.59183675,40,5.0934623158429115,0.14999999
0.6784338,3.821240214289462,156.67084878586795,0.77630503358432,0.63265306,41,4.914032684031623,0.14999999
0.7790754,4.058389091650222,170.4523418493093,0.7627070474971205,0.67346936,42,3.5785069365586444,0.14999999
0.596044,4.231215924962445,181.94228477338513,0.7527972520090342,0.71428573,43,5.8700570759241835,0.14999999
0.7872599,4.450920372458443,195.8404963881715,0.7401995199278417,0.75510204,44,3.461788385213648,0.14999999
0.90848637,4.702452127913142,211.61034575609142,0.7257768275279163,0.79591835,45,1.5901506320800556,0.14999999
1.0470319,4.977616212088944,228.97034575609143,0.7099990704077442,0.8367347,46,,0.14999999
0.5907699,5.114963809726194,240.4032990571311,0.7021236347634064,0.877551,47,5.92704669896032,0.14999999
0.9703082,5.358972049912846,257.2306583958166,0.6881323365875663,0.9183673,48,0.5326406613145295,0.14999999
1.0991462,5.603890987669726,274.5906583958166,0.6740888195143507,0.9591837,49,,0.14999999
1.0590639,5.839013167916332,291.9506583958166,0.6606070431240637,1.0,50,,0.14999999
