ReturnMin,NumTrainableParams,IWMean,ReturnStepMax,MinEpLen,Regret,ReturnLastEpisode,MountainCar_mu1_higher,MountainCar_std0_higher,ActionIn1,TimeElapsed,ReturnMax,DenMISELogFirst,DenMISELogLast,TimestepsSoFar,ReturnMean,ReturnAbsMax,Regret/t,IWLastEpisode,AvgEpLen,Delta,Bound,DenMISEMeanLog,Iteration,GridSize,NumTrajectories,IWFirstEpisode,MountainCar_mu0_higher,MountainCar_std1_higher,IWMin,IWMax
-0.12783915,2,0.6477113,0.6396956,500,1.0929592,-0.12783915,,0.14999999,-0.5263288,0.23645710945129395,,1.4356554,1.4356554,500,-0.12783915,0.12783915,1.0929592,0.6477113,500.0,0.060792707,0.5002578,1.4356554,1,1,1,0.6477113,,0.14999999,,0.6477113
-0.12783915,,,0.6396956,500,2.1007626,-0.04268342,,0.14999999,3.9585683,0.8717896938323975,,1.2418954,-2.5827487,1000,-0.085261285,0.12783915,1.0503813,,500.0,0.0060792705,inf,-0.6704266,2,4,2,,4.0,0.14999999,,
-111.68746,,,566.6587,500,114.75335,-111.68746,4.0,0.14999999,4.064367,1.3187687397003174,,0.8364303,0.5442414,1500,-37.285995,111.68746,38.251114,,500.0,0.0027018983,inf,-0.53584725,3,4,3,,,0.14999999,,
-111.68746,,,566.6587,500,115.7328,-0.014336149,4.0,0.14999999,8.232971,1.7696046829223633,,0.54874825,0.068195775,2000,-27.96808,111.68746,28.9332,,500.0,0.0015198176,inf,-0.6005981,4,4,4,,4.0,0.14999999,,
-111.68746,,1.0,566.6587,500,219.4385,-102.740585,4.0,0.14999999,4.032682,2.210832118988037,,0.32560468,-0.6558062,2500,-42.92258,111.68746,43.8877,,500.0,0.0009726833,513.9976,-0.7901546,5,4,5,,,0.14999999,,5.0
-111.68746,,1.0,566.6587,500,220.40927,-0.0056547425,4.0,0.14999999,7.6883416,2.6611318588256836,,0.14328313,0.7552224,3000,-35.769756,111.68746,36.734875,,500.0,0.0006754746,446.36322,-0.56900185,6,4,6,,4.0,0.14999999,,6.0
-111.68746,,1.3348852,566.6587,500,313.6835,-92.30909,,0.14999999,0.14716367,3.0545756816864014,,-0.010867544,-0.37717816,3500,-43.84681,111.68746,44.811928,,500.0,0.00049626693,453.13095,-0.5747066,7,4,7,2.751683,,0.14999999,,6.5925136
-111.68746,,1.0,566.6587,500,314.68115,-0.032530636,,0.14999999,3.9559627,3.4912562370300293,,0.1871308,0.761276,4000,-38.370026,111.68746,39.335144,,500.0,0.0003799544,459.6985,-0.40015638,8,4,8,,4.0,0.14999999,,8.0
-111.68746,,6.938531e-32,566.6587,500,405.76233,-90.11608,,0.14999999,2.446376,3.9231131076812744,,0.069347754,0.4261825,4500,-44.119583,111.68746,45.0847,1.9502277e-37,500.0,0.00015010545,inf,-0.33602062,9,9,9,6.243772e-31,2.0,0.14999999,,6.243772e-31
-111.68746,,2.830883e-38,566.6587,500,438.4957,-31.768244,2.0,0.14999999,2.0631018,4.399794578552246,,-0.036012765,-2.5643528,5000,-42.88445,111.68746,43.849567,,500.0,0.00012158541,inf,-0.65367824,10,9,10,,,0.14999999,,2.830883e-37
-111.68746,,2.445331e-30,566.6587,500,439.49664,-0.03580527,2.0,0.14999999,4.1675034,4.941628456115723,,-0.13132295,-0.7778217,5500,-38.98912,111.68746,39.95424,6.091708e-34,500.0,0.00010048381,inf,-0.7516096,11,9,11,,2.0,0.14999999,,2.6898034e-29
-111.68746,,2.1794358e-33,566.6587,500,472.7916,-32.32987,2.0,0.14999999,6.086649,5.398160696029663,,-0.21833432,-0.8695953,6000,-38.434177,111.68746,39.399296,5.2132923e-36,500.0,8.443432e-05,inf,-0.84120226,12,9,12,,4.0,0.14999999,,2.6148017e-32
-111.68746,,8.055903e-34,566.6587,500,573.29785,-99.54113,4.0,0.14999999,6.117301,5.826902866363525,,-0.29837704,-1.0143931,6500,-43.134712,111.68746,44.09983,,500.0,7.1944036e-05,inf,-0.9284102,13,9,13,,2.0,0.14999999,,9.9301964e-33
-111.68746,,0.9999999,566.6587,500,604.1478,-29.88487,2.0,0.14999999,2.0858662,6.292562007904053,,-0.372485,-0.8695857,7000,-42.188297,111.68746,43.153416,,500.0,6.203337e-05,607.4724,-0.99302304,14,9,14,,,0.14999999,,13.999998
-111.68746,,1.0000001,566.6587,500,605.11914,-0.0061738696,4.0,0.14999999,6.1612625,6.745679140090942,,-0.44147786,-0.4437732,7500,-39.376156,111.68746,40.341274,,500.0,5.403797e-05,588.25494,-0.97458994,15,9,15,,2.0,0.14999999,,15.000001
-111.68746,,1.0,566.6587,500,645.33655,-39.252335,,0.14999999,2.3800783,7.188383102416992,,-0.5060164,-3.6818929,8000,-39.368416,111.68746,40.333534,,500.0,4.74943e-05,590.7758,-1.1609794,16,9,16,1.1100112e-30,2.0,0.14999999,,16.0
-111.68746,,1.0,566.6587,500,676.5695,-30.267786,2.0,0.14999999,3.9095974,7.610527992248535,,-0.56664103,-1.7888324,8500,-38.833088,111.68746,39.798206,4.8885067e-31,500.0,4.2071075e-05,594.0721,-1.2141972,17,9,17,,2.0,0.14999999,,17.0
-111.68746,,1.0,566.6587,500,704.0882,-26.553629,2.0,0.14999999,6.6209307,8.067116022109985,,-0.62379944,-0.85285074,9000,-38.150894,111.68746,39.116013,,500.0,3.7526363e-05,544.59753,-1.2095971,18,9,18,,4.0,0.14999999,,18.0
-111.68746,,1.0,566.6587,500,812.39307,-107.33968,4.0,0.14999999,3.7199495,8.516141891479492,,-0.67786664,-4.6010365,9500,-41.792408,111.68746,42.757526,,500.0,3.368017e-05,442.89172,-1.402834,19,9,19,,,0.14999999,,9.5
-111.68746,,1.0,566.6587,500,813.3785,-0.02027541,2.0,0.14999999,2.0298004,8.946399688720703,,-0.72915995,-2.3351185,10000,-39.703804,111.68746,40.668922,5.908749e-26,500.0,3.0396353e-05,445.08118,-1.4576304,20,9,20,,,0.14999999,,10.0
-111.68746,,1.0,566.6587,500,814.34674,-0.0031635868,2.0,0.14999999,3.9988742,9.389937400817871,,-0.7779501,-0.0018366913,10500,-37.813297,111.68746,38.778416,1.2627982e-37,500.0,2.7570388e-05,417.74347,-1.396158,21,9,21,,2.0,0.14999999,,10.500001
-111.68746,,1.0000001,566.6587,500,839.7238,-24.411926,,0.14999999,1.6882696,9.8408784866333,,-0.8244701,-0.25087532,11000,-37.204144,111.68746,38.169262,9.263612e-36,500.0,2.5120953e-05,418.1443,-1.3516446,22,9,22,1.5262611e-30,2.0,0.14999999,,11.000001
-111.68746,,1.0,566.6587,500,860.64935,-19.96045,4.0,0.14999999,6.245867,10.41471242904663,,-0.8689219,-1.2734138,11500,-36.45442,111.68746,37.419537,,500.0,2.2984013e-05,416.4748,-1.3555046,23,9,23,,2.0,0.14999999,,11.5
-111.68746,,1.0764765,566.6587,500,894.0248,-32.410275,,0.14999999,0.08200282,10.863633871078491,,-0.9114815,-0.80314064,12000,-36.28591,111.68746,37.25103,,500.0,2.110858e-05,412.36133,-1.339487,24,9,24,6.7722044,,0.14999999,,11.640253
