ReturnMin,ReturnMean,Delta,DenMISEMeanLog,LQGmu1_higher,Regret/t,IWMin,IWLastEpisode,ReturnStepMax,DenMISELogFirst,IWMean,ReturnAbsMax,LQGsigma_higher,IWFirstEpisode,Bound,TimeElapsed,LQGmu1_actor,ReturnMax,IWMax,GridSize,Regret,Iteration,ReturnLastEpisode,TimestepsSoFar,DenMISELogLast
,0.9546433,0.0060792705,-0.9351508,1.0,0.010476708,,,0.99761283,-0.9351508,,0.9546433,0.01831564,,31.690058,0.03460264205932617,1.0130767,0.9546433,,10,0.010476708,1,0.9546433,20,-0.9351508
,0.5537801,0.0015198176,0.25869262,-1.0,0.41133994,,,0.99761283,-1.628298,,0.9546433,0.01831564,,32.335045,0.6495273113250732,-0.9963064,0.9546433,,10,0.8226799,2,0.15291679,40,2.1456833
,0.687846,0.0006754746,0.5603337,0.7777778,0.277274,,,0.9989844,-2.0337632,1.8479782e-36,0.9559781,0.01831564,,34.00635,0.9681167602539062,0.7623097,0.9559781,5.5439346e-36,10,0.8318219,3,0.9559781,60,1.9745462
,0.60823345,0.0003799544,0.54349625,-0.7777778,0.35688657,,,0.9989844,-2.3214452,1.234393e-31,0.9559781,0.01831564,,32.677563,1.2247371673583984,-0.7850621,0.9559781,4.937572e-31,10,1.4275463,4,0.36939564,80,1.35603
,0.67779124,0.00024317083,0.53790075,0.5555556,0.28732878,,,0.99901205,-2.5445888,2.9959075e-28,0.95602214,0.01831564,,33.344284,1.4875013828277588,0.5629645,0.95602214,1.4979537e-27,10,1.4366441,5,0.95602214,100,1.4080929
,0.6492519,0.00016886865,0.500202,1.0,0.31586814,,,0.99901205,-2.7269104,0.73565507,0.95602214,0.0285655,,33.272156,1.744640588760376,0.97872627,0.95602214,4.4139304,10,1.8952088,6,0.50655514,120,1.2233163
,0.58380014,0.00012406673,0.5383354,-0.5555556,0.38131988,,,0.99901205,-2.881061,8.547869e-35,0.95602214,0.01831564,,32.792595,2.00378155708313,-0.5639918,0.95602214,5.9835082e-34,10,2.6692395,7,0.19108956,140,1.1406552
,0.6303311,9.49886e-05,0.46841162,0.33333334,0.33478892,,,0.99903816,-3.0145924,7.868166e-35,0.9560481,0.01831564,,33.11281,2.261233329772949,0.32856765,0.9560481,6.294533e-34,10,2.6783113,8,0.9560481,160,0.9136649
,0.6256627,7.5052725e-05,0.4080167,-0.33333334,0.33945733,,,0.99903816,-3.1323755,0.8085473,0.9560481,0.01831564,7.276926,33.20367,2.5199332237243652,-0.3075309,0.9560481,7.276926,10,3.0551157,9,0.5883156,180,0.8671216
,0.6586893,6.0792707e-05,0.31498176,0.11111111,0.3064307,,,0.99903816,-2.645212,2.4993885e-31,0.9560481,0.01831564,,32.708733,2.821199417114258,0.09819529,0.9560481,2.4993886e-30,10,3.0643072,10,0.9559289,200,-0.16661258
,0.68009186,5.0241906e-05,0.2412737,-0.11111111,0.28502816,,6.0466497e-28,0.99903816,-2.7405221,1.0198006e-17,0.9560481,0.01831564,1.1217807e-16,32.66329,3.0852506160736084,-0.11463062,0.9560481,1.1217807e-16,10,3.1353102,11,0.8941171,220,0.45729482
