TimestepsSoFar,ReturnStepMax,Regret/t,Delta,DenMISELogLast,LQGmu1_actor,ReturnAbsMax,Iteration,DenMISELogFirst,LQGmu1_higher,IWMin,Regret,IWMax,GridSize,ReturnLastEpisode,TimeElapsed,Bound,ReturnMin,LQGsigma_higher,ReturnMax,ReturnMean,IWMean,IWFirstEpisode,DenMISEMeanLog,IWLastEpisode
20,0.9981212,0.010031283,0.0060792705,-1.2525721,1.006467,0.95508873,1,-1.2525721,1.0,,0.010031283,,10,0.95508873,0.05687260627746582,31.704844,,0.01831564,0.95508873,0.95508873,,,-1.2525721,
40,0.9981212,0.42164844,0.0015198176,2.3360934,-1.037601,0.95508873,2,-1.9457192,-1.0,,0.8432969,0.0051192986,10,0.13185436,0.6151587963104248,32.35258,,0.01831564,0.95508873,0.5434716,0.0025596493,0.0051192986,0.19518709,
60,0.9981363,0.28444207,0.0006754746,-0.03219285,0.78731525,0.9550909,3,-2.348628,0.7777778,,0.8533261,4.428892e-34,10,0.9550909,0.9753901958465576,33.97479,,0.01831564,0.9550909,0.68067795,1.4762974e-34,,-0.15006419,
80,0.9981363,0.3776068,0.0003799544,1.5732386,-0.7532544,0.9550909,4,-2.63631,-0.7777778,,1.5104272,9.1378e-11,10,0.3080188,1.262500286102295,32.647236,,0.01831564,0.9550909,0.5875132,2.28445e-11,9.1378e-11,0.065,
100,0.99868894,0.30397898,0.00024317083,0.6108748,0.5541816,0.9556523,5,-2.8594537,0.5555556,,1.5198951,9.6218035e-35,10,0.9556523,1.5340538024902344,33.331383,,0.01831564,0.9556523,0.66114104,1.9243607e-35,,-0.004339886,
120,0.99868894,0.33727753,0.00016886865,1.3012083,1.0206876,0.9556523,6,-3.0417752,1.0,,2.023665,3.9491851,10,0.46134996,1.7900984287261963,33.233616,,0.0285655,0.9556523,0.6278425,0.6581975,,0.061316848,
140,0.99868894,0.40936,0.00012406673,1.1661229,-0.9578364,0.9556523,7,-3.1959257,-1.0,,2.8655202,14.150848,10,0.12326485,2.044196844100952,33.123707,,0.0285655,0.9556523,0.55576,2.7273324,4.9404774,0.15926443,
160,0.99868894,0.35943395,9.49886e-05,-0.2054701,-0.5537911,0.9556523,8,-2.7954333,-0.5555556,,2.8754716,9.484937e-25,10,0.95516837,2.300255537033081,33.262985,,0.01831564,0.9556523,0.60568607,1.1856171e-25,,0.20180687,
180,0.99868894,0.32059073,7.5052725e-05,0.89566064,0.33775848,0.9556523,9,-2.9132164,0.33333334,,2.8853164,2.3843589e-31,10,0.95527536,2.561340570449829,33.517384,,0.01831564,0.9556523,0.6445293,2.6492877e-32,,0.1742057,
200,0.99868894,0.32695293,6.0792707e-05,0.76627994,-0.3094087,0.9556523,10,-3.0185769,-0.33333334,,3.2695293,3.425353e-31,10,0.5809074,2.825261354446411,32.776035,,0.01831564,0.9556523,0.6381671,3.425353e-32,,0.13858867,
