Bound,IWLastEpisode,GridSize,ReturnStepMax,TimestepsSoFar,ReturnMean,ReturnMin,IWMax,IWMin,DenMISEMeanLog,LQGsigma_higher,Iteration,ReturnAbsMax,Regret,IWMean,DenMISELogLast,TimeElapsed,DenMISELogFirst,ReturnLastEpisode,ReturnMax,Regret/t,Delta,IWFirstEpisode,LQGmu1_actor,LQGmu1_higher
30.063906,,10,0.95091164,20,0.90565646,,,,-2.550058,0.01831564,1,0.90565646,0.05946356,,-2.550058,0.03860068321228027,-2.550058,0.90565646,0.90565646,0.05946356,0.0060792705,,1.0181214,1.0
30.675797,,10,0.95091164,40,0.45576033,,,,-0.66443706,0.01831564,2,0.90565646,1.0187194,,1.914331,0.6569674015045166,-3.243205,0.005864179,0.90565646,0.5093597,0.0015198176,,-0.9945897,-1.0
32.407524,,10,0.95621896,60,0.60751766,,1.954786e-37,,-0.06274744,0.01831564,3,0.91103226,1.0728071,6.515953e-38,1.951562,0.9450244903564453,-3.6486702,0.91103226,0.91103226,0.35760236,0.0006754746,,0.76452595,0.7777778
31.141209,,10,0.95621896,80,0.5066707,,1.5391004e-30,,0.0994941,0.01831564,4,0.91103226,1.8337972,3.847751e-31,1.4492651,1.2048923969268799,-3.9363523,0.20412982,0.91103226,0.4584493,0.0003799544,,-0.77068967,-0.7777778
32.036674,,10,0.96335286,100,0.5890428,,3.456216e-28,,0.18355653,0.01831564,5,0.9185313,1.8803861,6.912432e-29,1.4123805,1.4687166213989258,-4.159496,0.9185313,0.9185313,0.37607723,0.00024317083,,0.556813,0.5555556
31.864225,,10,0.96335286,120,0.5466258,,5.051473,,0.21796812,0.0285655,6,0.9185313,2.5109653,0.8419122,1.3016337,1.7385468482971191,-4.3418174,0.33454067,0.9185313,0.41849422,0.00016886865,,1.0230389,1.0
31.50662,,10,0.96335286,140,0.46934125,,8.160926e-30,,0.29317674,0.01831564,7,0.9185313,3.4704516,1.16584655e-30,1.058528,2.0054280757904053,-4.495968,0.0056340527,0.9185313,0.49577877,0.00012406673,,-0.51823056,-0.5555556
31.872929,,10,0.9649017,160,0.5257048,,3.708452e-32,,0.021036237,0.01831564,8,0.9202497,3.5153217,4.635565e-33,-0.9492272,2.2672505378723145,-4.6294994,0.9202497,0.9202497,0.43941522,9.49886e-05,,0.33678567,0.33333334
31.217419,,10,0.9649017,180,0.51484466,,4.699139e-21,,0.012100418,0.01831564,9,0.9202497,4.052478,5.2212656e-22,0.8828781,2.5323896408081055,-4.7472825,0.4279639,0.9202497,0.45027536,7.5052725e-05,,-0.32086048,-0.33333334
31.483988,,10,0.9649017,200,0.55436724,,1.0807371e-32,,-0.02704531,0.01831564,10,0.9202497,4.1075277,1.0807371e-33,0.5688876,2.7986643314361572,-4.852643,0.9100705,0.9202497,0.41075277,6.0792707e-05,,0.089284286,0.11111111
31.44024,2.1848146e-25,10,0.9649017,220,0.54743123,,2.1848146e-25,,-0.11041152,0.01831564,11,0.9202497,4.5945773,1.990296e-26,0.009028313,3.064436435699463,-4.947953,0.47807044,0.9202497,0.4176888,5.0241906e-05,,-0.13395098,-0.11111111
31.691263,,10,0.9649017,240,0.5735795,,7.7944593,,-0.19282992,0.0285655,12,0.9202497,4.6984863,0.6495383,-0.14230724,3.3317489624023438,-5.0349646,0.8612107,0.9202497,0.39154053,4.221716e-05,,-1.0110915,-1.0
31.187716,,10,0.9649017,260,0.59947467,,9.567773,,-0.14567582,0.0285655,13,0.9202497,4.7533894,0.73598254,0.8801904,3.5967063903808594,-5.1150074,0.9102173,0.9202497,0.36564535,3.5972018e-05,,0.76629484,0.7777778
29.52719,,10,0.9649017,280,0.5711439,,9.235644,,-0.10778842,0.0285655,14,0.9202497,5.515666,0.6596889,0.7965781,3.8656387329101562,-5.189115,0.20284317,0.9202497,0.3939761,3.1016683e-05,,-0.76355094,-0.7777778
29.109545,,10,0.9649017,300,0.5942861,,9.490632,,-0.087810725,0.0285655,15,0.9202497,5.5625086,0.6327088,0.6511468,4.134956121444702,-5.258108,0.9182769,0.9202497,0.37083393,2.7018985e-05,,0.55271214,0.5555556
29.27042,,10,0.9649017,320,0.5781871,,30.73273,,-0.061957538,0.0285655,16,0.9202497,6.1909266,1.9207957,0.803678,4.462387323379517,-5.3226466,0.33670262,0.9202497,0.3869329,2.374715e-05,,-0.5293334,-0.5555556
28.471815,,10,0.9649017,340,0.59808767,,6.601101,,-0.051142342,0.044551425,17,0.9202497,6.2395496,0.7182443,0.020038834,4.817481279373169,-5.383271,0.9164955,0.9202497,0.36703235,2.1035537e-05,,1.036384,1.0
27.941,,10,0.9649017,360,0.5651385,,11.468258,,-0.075253844,0.0285655,18,0.9202497,7.199667,0.63712543,-0.12667462,5.113628625869751,-5.4404297,0.005003947,0.9202497,0.3999815,1.8763181e-05,,0.2956527,0.33333334
27.547663,,10,0.9649017,380,0.5585694,,13.657047,,-0.13681638,0.0285655,19,0.9202497,7.7244625,0.71879196,-0.7646734,5.391192197799683,-5.494497,0.44032463,0.9202497,0.40655065,1.6840086e-05,,-0.36396277,-0.33333334
27.493546,1.985689e-16,10,0.9649017,400,0.576318,,19.493887,,-0.17081302,0.0285655,20,0.9202497,7.77604,0.9746944,-0.3837989,5.678941488265991,-5.54579,0.9135421,0.9202497,0.388802,1.5198177e-05,,-0.06840286,-0.11111111
27.519556,1.2168881e-07,10,0.9649017,420,0.5865316,,19.733025,,-0.23330489,0.0285655,21,0.9202497,7.9503574,0.9396678,-1.1877521,5.954643726348877,-5.59458,0.7908037,0.9202497,0.37858844,1.3785194e-05,,0.11181533,0.11111111
26.85003,,10,0.9649017,440,0.5815037,,6.0926623,,-0.21445823,0.044551425,22,0.9202497,8.43956,0.5320982,0.49572515,6.2333314418792725,-5.6411004,0.47591752,0.9202497,0.38361633,1.25604765e-05,,-1.0881376,-1.0
26.324461,,10,0.9649017,460,0.5956631,,6.6611695,,-0.3422285,0.044551425,23,0.9202497,8.497509,0.56858015,-2.646965,6.524252653121948,-5.685552,0.90716964,0.9202497,0.36945695,1.1492007e-05,,0.78699136,0.7777778
24.846252,,10,0.9649017,480,0.5786591,,7.099622,,-0.32510194,0.044551425,24,0.9202497,9.275061,0.55533653,0.5472846,6.80890965461731,-5.7281117,0.18756805,0.9202497,0.3864609,1.055429e-05,,-0.7970324,-0.7777778
24.409721,,10,0.9649017,500,0.5922309,,6.251018,,-0.32165354,0.044551425,25,0.9202497,9.3222275,0.4986619,0.25096443,7.083145618438721,-5.768934,0.9179533,0.9202497,0.3728891,9.726833e-06,,0.64095795,0.5555556
24.0483,,10,0.9649017,520,0.58047783,,18.124187,,-0.42910635,0.044551425,26,0.9202497,10.000696,1.131335,-2.5801258,7.429214239120483,-5.8081546,0.28665143,0.9202497,0.38464218,8.9930045e-06,,-0.59632087,-0.5555556
23.777008,,10,0.9649017,540,0.59302664,,8.523023,,-0.44333535,0.069483444,27,0.9202497,10.046522,0.67895705,-0.7216168,7.79449200630188,-5.845895,0.9192953,0.9202497,0.37209338,8.3391915e-06,,0.92977,1.0
