IWLastEpisode,IWMin,ReturnMax,IWMean,IWFirstEpisode,TimestepsSoFar,LQGsigma_higher,DenMISELogFirst,DenMISELogLast,ReturnStepMax,IWMax,TimeElapsed,ReturnAbsMax,Bound,LQGmu1_actor,ReturnMin,Iteration,LQGmu1_higher,MISE,DenMISEMeanLog,ReturnLastEpisode,ReturnMean
1.1480792,,17.22343,1.0247931,0.69554967,560,0.11,0.54454374,1.142862,19.006004,1.2339097,13.553973913192749,17.22343,16.000755,-0.15834938,,28,-0.17171717,16.000755,0.8150934,16.559204,15.094096
1.1570718,,17.22343,1.0269988,0.7029292,580,0.11,0.53399,1.1415596,19.006004,1.2240367,13.91870641708374,17.22343,16.061968,-0.1670911,,29,-0.17171717,16.061968,0.827149,16.638721,15.14736
1.0938978,,17.22343,1.02699,0.70995945,600,0.11,0.5240383,1.1454773,19.006004,1.2149634,14.21683120727539,17.22343,16.078392,-0.135866,,30,-0.17171717,16.078392,0.8386063,16.450089,15.1907835
1.0363389,,17.22343,1.0401665,0.92611074,620,0.11,0.5146382,0.831571,19.006004,1.1396055,14.514371871948242,17.22343,15.930365,-0.05057001,,31,-0.15151516,15.930365,0.83920175,14.668579,15.173939
1.1287655,,17.22343,1.0414358,0.92825407,640,0.11,0.5123265,1.1320684,19.006004,1.1346554,14.833061456680298,17.22343,15.976322,-0.12235227,,32,-0.15151516,15.976322,0.84956527,16.18436,15.205515
1.2043351,,17.22343,1.0233182,0.7198884,660,0.11,0.51015,0.7500919,19.006004,1.2043351,15.186606407165527,17.22343,16.044144,-0.26405388,,33,-0.17171717,16.044144,0.8477643,16.998268,15.25984
1.1548172,,17.22343,1.0255425,0.72586846,680,0.11,0.50187737,1.1371195,19.006004,1.1971403,15.487087726593018,17.22343,16.106882,-0.18498543,,34,-0.17171717,16.106882,0.8569256,16.790537,15.30486
1.1883146,,17.22343,1.0285915,0.7315985,700,0.11,0.49401426,0.64612454,19.006004,1.1904352,15.805954933166504,17.22343,16.19044,-0.27832934,,35,-0.17171717,16.19044,0.85159856,17.028904,15.354119
1.3965049,,17.22343,1.0189722,0.5514775,720,0.11,0.48653072,0.61807966,19.006004,1.440935,16.191466093063354,17.22343,16.334776,-0.28213048,,36,-0.1919192,16.334776,0.8458723,17.108719,15.402859
1.2482516,,17.22343,1.0222234,0.5582447,740,0.11,0.47433442,1.0282339,19.006004,1.4239655,16.519686698913574,17.22343,16.40661,-0.2223869,,37,-0.1919192,16.40661,0.8512659,16.970568,15.4452305
1.1761868,,17.22343,1.0234616,0.56481063,760,0.11,0.4626412,1.1247826,19.006004,1.4082534,16.913581132888794,17.22343,16.437565,-0.19747658,,38,-0.1919192,16.437565,0.85900277,16.772478,15.480157
0.2935008,,17.22343,1.002112,0.57118434,780,0.11,0.45141977,-0.6556545,19.006004,1.3936646,17.256702423095703,17.22343,16.031263,0.085047856,,39,-0.1919192,16.031263,0.82072467,9.038798,15.314993
1.0469273,,17.22343,1.0175003,0.7717068,800,0.11,0.44064146,1.124661,19.006004,1.1466455,17.782582759857178,17.22343,15.992877,-0.118321076,,40,-0.17171717,15.992877,0.8283469,16.022179,15.332672
1.0278517,,17.22343,1.0167004,0.7760278,820,0.11,0.43505782,1.093718,19.006004,1.142559,18.07936692237854,17.22343,15.973024,-0.10811712,,41,-0.17171717,15.973024,0.8352278,15.709029,15.341852
1.1322638,,17.22343,1.0184809,0.7801883,840,0.11,0.42971087,0.73331124,19.006004,1.1386938,18.469027519226074,17.22343,16.031717,-0.27382255,,42,-0.17171717,16.031717,0.8331823,17.096003,15.383617
1.1684952,,17.22343,1.003664,0.5867189,860,0.11,0.42458588,1.1274769,19.006004,1.3684781,18.850446939468384,17.22343,16.077814,-0.20307507,,43,-0.1919192,16.077814,0.8404396,16.699682,15.414223
0.97396743,,17.22343,1.0180866,0.7916326,880,0.11,0.4151488,0.96006155,19.006004,1.1290003,19.14336585998535,17.22343,16.022297,-0.07907493,,44,-0.17171717,16.022297,0.8432201,15.255613,15.410618
1.1254963,,17.22343,1.0196244,0.7953152,900,0.11,0.41050765,1.044479,19.006004,1.1257731,19.52683925628662,17.22343,16.072357,-0.22685632,,45,-0.17171717,16.072357,0.8480803,16.99407,15.4458065
0.94860256,,17.22343,1.0172347,0.79886985,920,0.11,0.40604812,0.8832443,19.006004,1.1227034,19.898677825927734,17.22343,16.010239,-0.066454865,,46,-0.17171717,16.010239,0.8492574,14.834611,15.432519
0.9650304,,17.22343,1.0153679,0.8023032,940,0.11,0.4017596,0.9278129,19.006004,1.1197801,20.345633506774902,17.22343,15.94497,-0.07380862,,47,-0.17171717,15.94497,0.8512833,14.236895,15.407081
1.1152736,,17.22343,1.0167674,0.80562127,960,0.11,0.39763242,0.9055375,19.006004,1.1169926,20.671101570129395,17.22343,15.988568,-0.25310218,,48,-0.17171717,15.988568,0.8527233,16.8412,15.436958
