LQGsigma_higher,DenMISELogLast,LQGmu1_actor,DenMISEMeanLog,MISE,IWLastEpisode,IWMin,ReturnLastEpisode,DenMISELogFirst,IWMax,ReturnAbsMax,ReturnMax,LQGmu1_higher,Iteration,IWMean,ReturnStepMax,Bound,TimestepsSoFar,ReturnMin,IWFirstEpisode,TimeElapsed,ReturnMean
0.11,1.2803211,-0.008053932,1.2803211,2.072006e-17,2.2148052e-18,,9.355251,1.2803211,2.2148052e-18,9.355251,9.355251,-1.0,1,2.2148052e-18,10.278814,1.0184738e+19,20,,2.2148052e-18,0.09461236000061035,9.355251
0.11,0.5762973,-1.0213819,0.5817356,5.4733023e-18,,,17.196564,0.58717394,1.1701027e-18,17.196564,17.196564,1.0,2,5.8505135e-19,18.98611,1.87213e+19,40,,1.1701027e-18,1.6267640590667725,13.2759075
0.11,-1.2716384,0.81194425,-0.30636582,0.000711256,2.8869806e-30,,3.102379,0.18170877,0.00016833714,17.196564,17.196564,-0.4949495,3,6.694656e-05,18.98611,34.393837,60,,0.00016833714,2.7284884452819824,9.884731
0.11,-0.11492419,-0.51525724,-0.4742502,0.21066646,1.9731752e-18,,17.400986,-0.10591714,0.27126905,17.400986,17.400986,0.4949495,4,0.0678463,19.189146,35.012638,80,,0.000116129304,4.046345472335815,11.763795
0.11,-0.6340785,0.40767974,-0.6716016,11.152897,0.043431886,,7.5914345,-0.32903168,17.868471,17.400986,17.400986,0.75757575,5,3.5823808,19.189146,45.95487,100,,1.5227844e-10,5.40474796295166,10.929323
0.11,-0.40431613,0.8477303,-0.52416027,2.929734,,,2.5616248,-0.51135325,0.79458076,17.400986,17.400986,-0.7373737,6,0.16879316,19.189146,37.597218,120,,1.7217083e-09,7.211994647979736,9.534706
0.11,-0.5695563,-0.6143499,-0.6399055,1.7710552,0.028669981,,17.409986,-0.665504,0.597,17.409986,17.409986,-0.25252524,7,0.14121066,19.198977,36.456467,140,,0.597,9.397332429885864,10.659746
0.11,-0.6905273,-0.34385663,-0.74601555,4.3313756,2.9957923e-06,,17.175255,-0.717192,4.010921,17.409986,17.409986,0.25252524,8,0.5575163,19.198977,39.01679,160,,0.4491857,11.502062797546387,11.474185
0.11,-0.77456397,0.45644987,-0.8026607,28.14382,1.0458682e-19,,7.207731,-0.7803465,8.094174,17.409986,17.409986,-0.5959596,9,1.6177595,19.198977,62.82923,180,,4.96213e-06,13.932544469833374,11.0001335
0.11,-0.53052616,-0.45914614,-0.749503,26.71116,4.560491,,17.396635,-0.8857064,8.180379,17.409986,17.409986,-0.37373737,10,1.5473597,19.198977,61.396576,200,,0.03502273,16.36963129043579,11.639784
