Regret/t,ReturnMean,LQGmu1_higher,Regret,ReturnLastEpisode,TimeElapsed,Iteration,LQGsigma_higher,LQGmu1_actor
0.010325156559335746,0.9547948434406642,-1.0,0.010325156559335746,0.9547948434406642,0.16924118995666504,1,0.14999999,-1.221085
0.3174484978896784,0.6476715021103217,0.57575756,0.6348969957793568,0.340548160779979,0.1883251667022705,2,0.14999999,0.7521277
0.2146944354674233,0.7504255645325767,-0.3131313,0.64408330640227,0.9559336893770868,0.20938539505004883,3,0.14999999,-0.23515475
0.16334387608809703,0.801776123911903,-0.67676765,0.6533755043523881,0.9558278020498818,0.22607684135437012,4,0.14999999,-0.7046105
0.1324940832102157,0.8326259167897844,-0.47474748,0.6624704160510785,0.9560250883013096,0.24149417877197266,5,0.14999999,-0.4398513
0.11199097475926982,0.8531290252407303,-0.8787879,0.6719458485556189,0.9556445674954596,0.26690220832824707,6,0.14999999,-0.8117001
0.09730604159326374,0.8678139584067363,-0.35353535,0.6811422911528462,0.9559235574027727,0.29320788383483887,7,0.14999999,-0.23439708
0.08635374553914926,0.8787662544608508,-0.65656567,0.6908299643131941,0.9554323268396521,0.321972131729126,8,0.14999999,-0.6241629
0.07789702653506989,0.8872229734649301,-0.2929293,0.701073238815629,0.9548767254975651,0.3504307270050049,9,0.14999999,-0.21610361
0.07101537680481113,0.8941046231951889,-0.3939394,0.7101537680481113,0.9560394707675177,0.3840343952178955,10,0.14999999,-0.47219655
0.06539775296113504,0.8997222470388649,-0.43434343,0.7193752825724854,0.9558984854756258,0.4155566692352295,11,0.14999999,-0.41408348
0.060711458704591575,0.9044085412954085,-0.3939394,0.7285375044550989,0.9559577781173865,0.4492342472076416,12,0.14999999,-0.42037156
0.05676074644034643,0.9083592535596535,-0.8181818,0.7378897037245036,0.9557678007305953,0.48129844665527344,13,0.14999999,-0.62775326
0.05338874067661222,0.9117312593233878,-0.8989899,0.7474423694725711,0.9555673342519324,0.5019052028656006,14,0.14999999,-1.1096832
0.05048180210000386,0.9146381978999962,-0.3939394,0.7572270315000579,0.9553353379725132,0.5198085308074951,15,0.14999999,-0.45986408
0.04789825876604638,0.9172217412339536,-0.53535354,0.766372140256742,0.9559748912433158,0.5377075672149658,16,0.14999999,-0.59933317
0.045620095990403016,0.919499904009597,-0.6363636,0.7755416318368513,0.9559505084198907,0.5548925399780273,17,0.14999999,-0.72542346
0.043609490919824016,0.921510509080176,-0.5555556,0.7849708365568323,0.955690795280019,0.5769007205963135,18,0.14999999,-0.43720374
0.04181023298026437,0.9233097670197357,-0.7979798,0.7943944266250231,0.9556964099318092,0.5923993587493896,19,0.14999999,-0.9834884
0.040209270405212674,0.9249107295947873,-0.41414142,0.8041854081042534,0.9553290185207697,0.6176493167877197,20,0.14999999,-0.41563752
0.038720727050563,0.926399272949437,-0.43434343,0.813135268061823,0.9561701400424304,0.6445298194885254,21,0.14999999,-0.51929283
0.03741181978920106,0.9277081802107989,-0.3131313,0.8230600353624232,0.9551952326993998,0.6628177165985107,22,0.14999999,-0.3150278
0.03620041164765223,0.9289195883523477,-0.5555556,0.8326094678960013,0.9555705674664219,0.6827075481414795,23,0.14999999,-0.33004335
0.03508246662014854,0.9300375333798514,-0.7777778,0.8419791988835651,0.9557502690124362,0.7011363506317139,24,0.14999999,-0.62971365
0.03406480403485831,0.9310551959651417,-0.7171717,0.8516201008714577,0.9554790980121074,0.7189226150512695,25,0.14999999,-0.5015275
0.033119951511071034,0.9320000484889289,-0.43434343,0.8611187392878469,0.9556213615836108,0.7403974533081055,26,0.14999999,-0.60791945
0.032243605426561746,0.9328763945734382,-0.5959596,0.8705773465171672,0.9556613927706796,0.7577168941497803,27,0.14999999,-0.7690456
0.03145211071707062,0.9336678892829294,-1.0,0.8806591000779772,0.95503824643919,0.7789103984832764,28,0.14999999,-1.1734577
0.030679760475184913,0.934440239524815,-0.3939394,0.8897130537803625,0.9560660462976147,0.7954216003417969,29,0.14999999,-0.6696528
0.029980727877207007,0.935139272122793,-0.97979796,0.8994218363162102,0.9554112174641523,0.8300249576568604,30,0.14999999,-1.2061992
0.02931778848955446,0.9358022115104455,-0.43434343,0.9088514431761883,0.9556903931400219,0.8752636909484863,31,0.14999999,-0.57921785
0.028691748836799768,0.9364282511632002,-0.43434343,0.9181359627775926,0.9558354803985957,0.8936381340026855,32,0.14999999,-0.50159156
0.02811809285410023,0.9370019071458997,-0.3131313,0.9278970641853076,0.955358898592285,0.9050986766815186,33,0.14999999,-0.4680865
0.027556441127375143,0.9375635588726247,-0.57575756,0.9369189983307549,0.9560980658545527,0.9192483425140381,34,0.14999999,-0.74423707
0.027041357159736986,0.938078642840263,-0.3939394,0.9464475005907945,0.9555914977399603,0.9384801387786865,35,0.14999999,-0.43770924
0.026557589970664517,0.9385624100293354,-0.4949495,0.9560732389439226,0.9554942616468719,0.9565455913543701,36,0.14999999,-0.70630133
0.026121108182002476,0.9389988918179973,-0.47474748,0.9664810027340917,0.9547122362098309,0.9730298519134521,37,0.14999999,-0.29731235
0.02567812158762387,0.9394418784123758,-0.25252524,0.9757686203297071,0.9558323824043845,0.9902791976928711,38,0.14999999,-0.3772601
0.02525608503927954,0.9398639149607201,-0.5959596,0.984987316531902,0.9559013037978051,1.0089318752288818,39,0.14999999,-0.576309
0.024859749616323895,0.9402602503836757,-0.61616164,0.9943899846529558,0.9557173318789461,1.0278844833374023,40,0.14999999,-0.7485634
0.024494632167304905,0.9406253678326948,-0.35353535,1.004279918859501,0.9552300657934547,1.0442633628845215,41,0.14999999,-0.40067968
