Iteration,LQGmu1_higher,LQGmu1_actor,LQGsigma_higher,ReturnLastEpisode,ReturnMean,Regret,TimeElapsed,Regret/t
1,-1.0,-1.0529442,0.14999999,0.9168181884940658,0.9168181884940658,0.048301811505934156,0.04807019233703613,0.048301811505934156
2,0.5959596,0.27653217,0.14999999,0.449890928783959,0.6833545586390124,0.5635308827219752,0.05946493148803711,0.2817654413609876
3,-0.27272728,-0.4113515,0.14999999,0.9223043707936646,0.7630044960238965,0.6063465119283106,0.07238006591796875,0.20211550397610353
4,-0.65656567,-0.66195923,0.14999999,0.9247784635331882,0.8034479879012194,0.6466880483951224,0.08850693702697754,0.1616720120987806
5,-0.45454547,-0.47912186,0.14999999,0.9256435824789729,0.8278871068167701,0.6861644659161494,0.10274481773376465,0.1372328931832299
6,-0.8181818,-0.44664866,0.14999999,0.9245604518362396,0.8439993309866818,0.7267240140799098,0.11729979515075684,0.1211206690133183
7,-0.43434343,-0.46195352,0.14999999,0.9240089672190854,0.8554292790198824,0.7678350468608244,0.14022588729858398,0.10969072098011777
8,0.21212122,0.043202147,0.14999999,0.4956315435705728,0.8104545620887187,1.2373235032902516,0.15810346603393555,0.15466543791128146
9,1.0,1.0652015,0.14999999,0.012276967084277248,0.7217681626437807,2.1901665362059743,0.17305803298950195,0.24335183735621937
10,-0.35353535,-0.22345975,0.14999999,0.9088404223933044,0.7404753886187331,2.24644611381267,0.18729782104492188,0.224644611381267
11,-0.61616164,-0.6166824,0.14999999,0.9264861321261473,0.7573854562103162,2.285079981686523,0.20169544219970703,0.2077345437896839
12,-0.6363636,-0.8146095,0.14999999,0.924842662755463,0.7713402234224117,2.3253573189310597,0.21585631370544434,0.1937797765775883
13,-0.6969697,-0.8034628,0.14999999,0.9237997047713623,0.7830678758338695,2.3666776141596975,0.23097896575927734,0.18205212416613056
14,-0.7171717,-0.43573594,0.14999999,0.9241198931154752,0.7931430199254128,2.407677721044222,0.26183652877807617,0.1719769800745873
15,-0.61616164,-0.84811246,0.14999999,0.9224753618166543,0.8017651760514956,2.4503223592275676,0.28342604637145996,0.1633548239485045
16,-0.75757575,-0.59310687,0.14999999,0.9255344085780798,0.8095007530844072,2.4899079506494877,0.3045830726623535,0.15561924691559298
17,-0.8181818,-0.88138413,0.14999999,0.922669098903676,0.8161577146031876,2.5323588517458115,0.32814717292785645,0.14896228539681244
18,-0.6969697,-0.75891036,0.14999999,0.9239430390087897,0.8221457881812767,2.573535812737022,0.3499431610107422,0.14297421181872344
19,-0.67676765,-0.57160735,0.14999999,0.9266197198244882,0.8276444161624984,2.6120360929125335,0.37244534492492676,0.13747558383750177
20,-0.7171717,-0.48620653,0.14999999,0.9237105471559176,0.8324477227121694,2.653445545756616,0.3949446678161621,0.1326722772878308
21,-0.7777778,-0.88042283,0.14999999,0.9226173735991122,0.8367415156115476,2.695948172157504,0.4127657413482666,0.12837848438845256
22,-0.7373737,-0.64336693,0.14999999,0.9252916081651626,0.8407665198185302,2.7357765639923413,0.4397122859954834,0.12435348018147006
23,-0.67676765,-0.6021488,0.14999999,0.9269722517972995,0.8445145951219549,2.773924312195042,0.47685885429382324,0.1206054048780453
24,-0.6969697,-0.405834,0.14999999,0.9215870707068692,0.8477259482713264,2.8174572414881727,0.49480199813842773,0.11739405172867386
25,-0.53535354,-0.5756277,0.14999999,0.9269308064109988,0.8508941425969132,2.855646435077174,0.5098779201507568,0.11422585740308695
26,-0.7979798,-0.5903136,0.14999999,0.9245325052220416,0.8537263873132643,2.8962339298551325,0.522728443145752,0.11139361268673587
27,-0.5959596,-0.8018623,0.14999999,0.9249252272677905,0.8563633813856543,2.936428702587342,0.535653829574585,0.10875661861434599
28,-0.67676765,-0.6355452,0.14999999,0.9260935649968384,0.8588537450860537,2.9754551375905036,0.5481996536254883,0.10626625491394656
29,-0.6969697,-0.7481565,0.14999999,0.9248202105767886,0.8611284507926308,3.015754927013715,0.5642964839935303,0.10399154920736949
30,-0.7171717,-0.87201,0.14999999,0.9226611719374339,0.8631795414974576,3.058213755076281,0.5774965286254883,0.1019404585025427
31,-0.67676765,-0.8977977,0.14999999,0.9217249992331137,0.8650681046502207,3.1016087558431673,0.5926051139831543,0.1000518953497796
32,-0.67676765,-0.6890243,0.14999999,0.9264291137708544,0.8669856361852405,3.140299642072313,0.6058752536773682,0.09813436381475978
33,-1.0,-0.77702284,0.14999999,0.9250626978719688,0.8687455471454444,3.180356944200344,0.6349015235900879,0.09637445285455587
34,-0.67676765,-0.95818913,0.14999999,0.9202555580001128,0.8702605474646994,3.2252213862002312,0.6532866954803467,0.09485945253530093
35,-0.67676765,-0.7439591,0.14999999,0.924816970879774,0.8718193024194159,3.2655244153204572,0.6736314296722412,0.0933006975805845
36,-0.67676765,-0.75767237,0.14999999,0.9252510944485023,0.8733035188646682,3.305393320871955,0.6895689964294434,0.09181648113533208
