Iteration,TimeElapsed,LQGsigma_higher,LQGmu1_higher,LQGmu1_actor,ReturnMean,Regret/t,Regret,ReturnLastEpisode
1,0.10325312614440918,0.14999999,-1.0,-0.7693223,0.9320573144168507,0.03306268558314929,0.03306268558314929,0.9320573144168507
2,0.12924623489379883,0.14999999,0.57575756,0.5974628,0.6279371673062618,0.33718283269373817,0.6743656653874763,0.323817020195673
3,0.15192008018493652,0.14999999,-0.2929293,-0.53283596,0.730045448045475,0.235074551954525,0.705223655863575,0.9342620095239013
4,0.1706092357635498,0.14999999,-0.67676765,-0.8919851,0.7801545036091615,0.18496549639083856,0.7398619855633543,0.9304816703002208
5,0.1937088966369629,0.14999999,-0.45454547,-0.5138541,0.8108296644197658,0.15429033558023425,0.7714516779011712,0.933530307662183
6,0.20977282524108887,0.14999999,-0.8989899,-0.8788013,0.8307957821783688,0.13432421782163126,0.8059453069297875,0.9306263709713837
7,0.22660136222839355,0.14999999,-0.35353535,-0.42536217,0.845059239701657,0.12006076029834303,0.8404253220884013,0.9306399848413862
8,0.25316596031188965,0.14999999,0.2929293,0.25684062,0.7975164007894228,0.16760359921057727,1.3408287936846182,0.46471652840378314
9,0.27753281593322754,0.14999999,1.0,0.9538989,0.7162134208625863,0.24890657913741374,2.2401592122367235,0.06578958144789475
10,0.29972219467163086,0.14999999,-0.3131313,-0.2756046,0.736880462862069,0.2282395371379311,2.282395371379311,0.9228838408574126
11,0.3161153793334961,0.14999999,-0.61616164,-0.6378548,0.7547057339110446,0.21041426608895558,2.3145569269785113,0.9329584444007999
12,0.3366992473602295,0.14999999,-0.7171717,-0.69711286,0.7695087073356527,0.19561129266434749,2.3473355119721697,0.9323414150063414
13,0.3679182529449463,0.14999999,-0.6969697,-0.35921907,0.7819946801970477,0.18312531980295244,2.3806291574383818,0.9318263545337879
14,0.394909143447876,0.14999999,-0.7777778,-0.7965769,0.7926515433983831,0.17246845660161716,2.41455839242264,0.9311907650157417
15,0.41501688957214355,0.14999999,-0.5555556,-0.70521885,0.8019878926382351,0.16313210736176512,2.4469816104264765,0.9326967819961636
16,0.4378390312194824,0.14999999,-0.6969697,-0.6558364,0.81021915236279,0.15490084763721015,2.4784135621953625,0.9336880482311142
17,0.4650602340698242,0.14999999,-0.45454547,-0.4054861,0.8173465437908923,0.14777345620910776,2.512148755554832,0.9313848066405304
18,0.4898693561553955,0.14999999,-0.75757575,-0.78425014,0.823726458197737,0.14139354180226305,2.5450837524407346,0.9321850031140974
19,0.5154480934143066,0.14999999,-0.43434343,-0.50774586,0.8293802148769291,0.13573978512307094,2.579055917338348,0.9311478351023867
20,0.5434072017669678,0.14999999,-0.5959596,-0.7690049,0.8345293683370258,0.13059063166297424,2.611812633259485,0.9323632840788628
21,0.5671648979187012,0.14999999,-0.5959596,-0.5409313,0.839237561960893,0.12588243803910695,2.643531198821246,0.9334014344382391
22,0.5969791412353516,0.14999999,-0.65656567,-0.70803815,0.8435425973962051,0.12157740260379493,2.6747028572834886,0.9339483415377573
23,0.627859354019165,0.14999999,-0.67676765,-1.0109856,0.8471862643017868,0.11793373569821322,2.7124759210589042,0.9273469362245843
24,0.6538350582122803,0.14999999,-0.37373737,-0.37321767,0.8505820801367464,0.11453791986325357,2.7489100767180856,0.9286858443408187
25,0.6854910850524902,0.14999999,-1.0,-1.0697515,0.8535701708302128,0.1115498291697873,2.7887457292446824,0.9252843474734033
26,0.7162790298461914,0.14999999,-0.67676765,-1.0112172,0.8564201441280552,0.10869985587194478,2.8261962526705644,0.9276694765741181
27,0.7488746643066406,0.14999999,-0.6363636,-0.62261176,0.8592861411394804,0.10583385886051959,2.857514189234029,0.9338020634365355
28,0.7813701629638672,0.14999999,-0.4949495,-0.40461642,0.8618649130824522,0.1032550869175478,2.8911424336913383,0.9314917555426909
29,0.8141231536865234,0.14999999,-0.43434343,-0.42311323,0.8643109348717065,0.10080906512829348,2.9234628887205107,0.9327995449708276
30,0.8416776657104492,0.14999999,-0.5555556,-0.78146094,0.8665323339166776,0.09858766608332224,2.9576299824996672,0.9309529062208436
31,0.8671407699584961,0.14999999,-0.61616164,-0.44906056,0.8686521432570136,0.09646785674298626,2.990503559032574,0.9322464234670933
32,0.8988406658172607,0.14999999,-0.7777778,-1.020108,0.8704813962053742,0.09463860379462559,3.028435321428019,0.9271882376045552
