ReturnMax,IWLastEpisode,IWMax,Delta,ReturnAbsMax,DenMISELogFirst,Regret,Bound,Regret/t,IWMin,LQGsigma_higher,LQGmu1_higher,ReturnMean,Iteration,DenMISELogLast,DenMISEMeanLog,ReturnMin,TimeElapsed,LQGmu1_actor,ReturnStepMax,IWFirstEpisode,IWMean,ReturnLastEpisode,TimestepsSoFar
0.9231287,2.1498459e-15,2.1498459e-15,0.0006079271,0.9231287,0.53751445,0.041991293,2090089700000.0,0.041991293,,0.14999999,1.0,0.9231287,1,0.53751445,0.53751445,,0.04916024208068848,1.0053418,0.9672492,2.1498459e-15,2.1498459e-15,0.9231287,20
0.9231287,,8.511517e-06,0.00015198177,0.9231287,-0.15563273,0.9798333,314072770.0,0.48991665,,0.14999999,-1.0,0.47520337,2,0.28440022,0.064383745,,1.0469849109649658,-1.1149865,0.9672492,8.511517e-06,4.2557585e-06,0.027277997,40
0.92754227,6.763627e-24,0.0035441548,6.754746e-05,0.92754227,-0.56109357,1.017411,2915.742,0.33913702,,0.14999999,0.45454547,0.625983,3,-0.41425094,-0.3654698,,1.8256807327270508,0.35210246,0.9718743,0.00010044721,0.0012148673,0.92754227,60
0.92754227,5.5794658e-08,0.68770933,3.7995444e-05,0.92754227,-0.8487422,1.5437891,325.5354,0.3859473,,0.14999999,-0.5555556,0.57917273,4,-0.6278566,-0.64652455,,2.753188371658325,-0.36561227,0.9718743,0.68770933,0.17320733,0.43874174,80
0.9311151,0.01243999,3.0225348,2.4317082e-05,0.9311151,-0.913236,1.5777946,20.916258,0.3155589,,0.14999999,0.17171717,0.6495611,5,-1.0510453,-0.87395775,,3.615349769592285,0.25861135,0.9751389,0.1509967,0.6371945,0.9311151,100
0.9311151,0.04219241,0.9472759,1.6886865e-05,0.9311151,-1.0658053,2.0765338,19.6937,0.346089,,0.14999999,0.7171717,0.619031,6,-0.52914006,-0.88424706,,4.412009239196777,0.48795044,0.9751389,1.072835e-08,0.20507665,0.46638048,120
0.9311151,1.5481374e-06,10.381862,1.2406674e-05,0.9311151,-1.2199559,2.6596346,14.582378,0.37994778,,0.14999999,-0.33333334,0.58517224,7,-0.6324099,-0.9528314,,5.302916526794434,-0.4179349,0.9751389,7.4479575,2.547451,0.38201928,140
0.93376946,0.27856097,0.8564983,9.498861e-06,0.93376946,-0.62884444,2.6909852,11.899016,0.33637315,,0.14999999,-0.7777778,0.62874687,8,-0.6211874,-0.82390404,,6.041844129562378,-0.60476345,0.977726,0.008228191,0.15693004,0.93376946,160
0.9346238,3.9344222e-08,6.49479,7.505273e-06,0.9346238,-0.74559945,2.7214813,6.9644613,0.30238682,,0.14999999,0.3131313,0.6627332,9,-0.693807,-0.89737964,,6.5035364627838135,0.35633576,0.9785997,0.006125137,1.7841715,0.9346238,180
0.9346238,8.10944e-06,5.977252,6.0792704e-06,0.9346238,-0.8502796,3.2498226,6.8550987,0.32498223,,0.14999999,-0.41414142,0.6401378,10,-0.49122927,-0.8132332,,7.291067123413086,-0.2971697,0.9785997,3.1927776,1.7528759,0.43677884,200
0.9346238,5.9553805e-13,5.883377,5.0241906e-06,0.9346238,-0.6685054,3.2857547,6.3142357,0.29870492,,0.14999999,0.85858583,0.6664151,11,-0.556305,-0.7463224,,8.171225309371948,0.8814777,0.9785997,1.12222644e-11,0.5628362,0.9291881,220
0.9346238,5.3422815e-07,1.6561521,4.221716e-06,0.9346238,-0.75551677,4.119812,6.2518764,0.3433177,,0.14999999,0.030303031,0.62180233,12,-0.67934126,-0.7824916,,8.721631288528442,0.26925296,0.9785997,1.1053972,0.3742944,0.13106182,240
0.9346238,1.4297916e-15,11.727499,3.5972016e-06,0.9346238,-0.74744195,4.6214676,6.1922555,0.35549748,,0.14999999,-1.0,0.60962254,13,-0.6406453,-0.8178497,,9.68437385559082,-0.97215885,0.9785997,1.5382484e-05,0.9169144,0.46346506,260
0.9346238,4.3462374e-23,6.0114264,3.1016684e-06,0.9346238,-0.82154876,4.6545687,6.1294417,0.33246917,,0.14999999,0.57575756,0.63265085,14,-0.77713025,-0.83677995,,10.619178771972656,0.2851113,0.9785997,2.2200295e-06,0.8624793,0.9320191,280
0.9346238,0.014450921,6.4696302,2.7018984e-06,0.9346238,-0.89054143,5.15736,6.138429,0.34382403,,0.14999999,-0.23232323,0.621296,15,-0.7345668,-0.8430926,,11.635004758834839,-0.40961492,0.9785997,6.4696302,1.2552291,0.46232837,300
0.93622,1.2969577,6.808742,2.3747152e-06,0.93622,-0.5964908,5.18626,5.935886,0.32414126,,0.14999999,-0.65656567,0.64097875,16,-0.6370548,-0.82285976,,12.468657970428467,-0.70084816,0.9801138,0.10369171,0.71662,0.93622,320
0.93622,6.880521e-10,6.1687818,2.103554e-06,0.93622,-0.65065557,5.215625,5.1636424,0.3068015,,0.14999999,0.3131313,0.6583185,17,-0.77253723,-0.8395153,,13.07186508178711,0.15733138,0.9801138,0.005570349,1.9481702,0.93575513,340
0.93622,1.4771788e-09,4.781478,1.8763183e-06,0.93622,-0.7074864,5.685377,5.173938,0.3158543,,0.14999999,-0.83838385,0.6492657,18,-0.72088546,-0.79359007,,13.94303035736084,-0.6724569,0.9801138,0.0019313693,0.7110443,0.49536738,360
0.9367947,2.2392726,5.1244993,1.6840087e-06,0.9367947,-0.7614463,5.713703,5.2086344,0.30072123,,0.14999999,-0.47474748,0.6643988,19,-0.6966147,-0.8055512,,14.863840818405151,-0.3177296,0.9807031,1.6880467,1.3945646,0.9367947,380
0.9367947,8.657609e-17,11.136468,1.5198176e-06,0.9367947,-0.7276225,5.7483873,5.0485682,0.28741938,,0.14999999,1.0,0.67770064,20,-0.6232311,-0.78157437,,15.857912540435791,1.105958,0.9807031,7.618145e-15,0.8610199,0.93043625,400
0.9367947,1.7536073e-17,5.763523,1.3785193e-06,0.9367947,-0.77641267,6.6889,4.8820643,0.318519,,0.14999999,-0.25252524,0.646601,21,-1.4501376,-0.82614154,,16.593475580215454,-0.23844723,0.9807031,5.763523,1.2103026,0.024607351,420
0.9367947,0.42783487,6.0159307,1.2560477e-06,0.9367947,-0.58041525,6.7267284,4.6533546,0.30576032,,0.14999999,0.09090909,0.6593597,22,-0.5833694,-0.80945915,,17.365551948547363,0.20389587,0.9807031,0.41196537,0.85072464,0.9272918,440
0.9367947,5.595168e-14,9.7199955,1.1492007e-06,0.9367947,-0.6063145,7.2120085,4.6227794,0.3135656,,0.14999999,-1.0,0.6515544,23,-0.71564484,-0.81351703,,18.09891986846924,-1.2257897,0.9807031,1.3357819e-05,0.79466814,0.47983855,460
0.9367947,0.010497634,5.698941,1.055429e-06,0.9367947,-0.6488735,7.2533455,4.534955,0.30222273,,0.14999999,-0.6363636,0.6628973,24,-2.1857264,-0.8829584,,18.835134267807007,-0.7821169,0.9807031,0.15727898,0.93798715,0.92378265,480
0.9367947,5.4961376e-20,3.9735296,9.726833e-07,0.9367947,-0.6831636,7.2833843,4.486355,0.2913354,,0.14999999,0.65656567,0.6737846,25,-0.6698924,-0.87910676,,19.516347646713257,0.44626632,0.9807031,8.9038274e-08,0.38965416,0.93508136,500
0.9367947,6.5124354,6.5124354,8.993004e-07,0.9367947,-0.7223843,7.848858,4.3924904,0.30187917,,0.14999999,0.41414142,0.66324085,26,-0.91846555,-0.90403676,,20.784271240234375,0.36943838,0.9807031,0.00039676225,1.5345255,0.39964652,520
0.9367947,4.8968206e-05,5.177457,8.3391916e-07,0.9367947,-0.76010936,8.383453,4.3818846,0.31049824,,0.14999999,-0.35353535,0.6546218,27,-0.71283716,-0.88133025,,21.72105622291565,-0.26091304,0.9807031,4.2885914,1.3219706,0.43052584,540
0.9367947,2.9988723,3.5634024,7.754171e-07,0.9367947,-0.6490603,8.422432,4.3020205,0.3008011,,0.14999999,-0.11111111,0.6643189,28,-0.6187354,-0.86336434,,22.545925617218018,-0.1617367,0.9807031,3.5021312,0.6816892,0.92614216,560
0.9367947,8.363538e-07,9.205507,7.2286224e-07,0.9367947,-0.5663009,8.479006,4.22016,0.29237956,,0.14999999,-1.0,0.67274046,29,-0.6428362,-0.86708146,,23.425010681152344,-1.0562081,0.9807031,1.283388e-05,0.9668553,0.90854466,580
0.9367947,2.0777727e-15,6.341057,6.754746e-07,0.9367947,-0.6002021,8.514303,4.1207476,0.28381014,,0.14999999,0.21212122,0.6813099,30,-0.96232957,-0.8742855,,24.14908266067505,0.29249278,0.9807031,0.05076162,1.4667737,0.9298236,600
0.9367947,1.2255046e-10,5.909975,6.325984e-07,0.9367947,-0.6313013,9.021084,4.1105366,0.2910027,,0.14999999,-0.75757575,0.6741173,31,-0.70251995,-0.8566933,,24.88241195678711,-0.89013505,0.9807031,0.013237743,0.7971668,0.45833933,620
0.9367947,7.6904736e-29,8.82861,5.936788e-07,0.9367947,-0.66262305,9.052813,4.048367,0.2829004,,0.14999999,0.83838385,0.6822196,32,-0.6819081,-0.8586664,,25.621841192245483,0.9443889,0.9807031,2.9668018e-11,0.5968504,0.93338966,640
0.9367947,1.2230835e-13,5.3066516,5.582434e-07,0.9367947,-0.69339466,9.940262,4.029629,0.30122006,,0.14999999,-0.25252524,0.66389996,33,-1.1252267,-0.8801234,,26.38753056526184,-0.30257282,0.9807031,5.3043694,1.2301614,0.07767135,660
0.9367947,9.334144e-05,8.145522,5.258885e-07,0.9367947,-0.5741912,9.973827,3.9301345,0.2933479,,0.14999999,-1.0,0.6717721,34,-0.5515658,-0.8655233,,27.131561994552612,-1.3294508,0.9807031,1.2935537e-05,1.073647,0.93155247,680
0.9367947,6.854894e-06,4.6979265,4.9626703e-07,0.9367947,-0.6031784,10.02128,3.886771,0.2863223,,0.14999999,-0.47474748,0.6787977,35,-3.3650029,-0.93696505,,27.87024474143982,-0.33481258,0.9807031,1.4409521,0.98773104,0.9176707,700
