DenMISELogFirst,LQGmu1_actor,ReturnAbsMax,IWMean,ReturnLastEpisode,TimeElapsed,IWMax,Delta,IWMin,LQGsigma_higher,Iteration,ReturnMean,ReturnStepMax,Regret,LQGmu1_higher,ReturnMax,DenMISELogLast,IWFirstEpisode,DenMISEMeanLog,ReturnMin,Bound,IWLastEpisode,TimestepsSoFar,Regret/t
-0.9179478,0.8132119,0.93505776,1.7630725,0.41375232,16.82332444190979,7.486787,1.1492007e-06,,0.14999999,23,0.62686235,0.9790224,7.7799263,0.7373737,0.93505776,-0.8058993,8.7296513e-07,-0.8052199,,4.6302795,0.5352408,460,0.33825767
-0.9605074,-0.84309894,0.93505776,1.0955817,0.18261342,17.584338903427124,5.4252224,1.055429e-06,,0.14999999,24,0.60835195,0.9790224,8.562433,-0.7979798,0.93505776,-0.8106331,0.00017195483,-0.7816288,,4.5332294,5.2904927e-25,480,0.35676807
-1.0013223,-0.10948176,0.93505776,0.6532946,0.9322549,18.31834888458252,7.2365637,9.726833e-07,,0.14999999,25,0.6213081,0.9790224,8.595299,-0.11111111,0.93505776,-0.5850721,7.2365637,-0.7722151,,4.492109,3.2199787e-05,500,0.34381193
-0.78631747,-0.2567591,0.93505776,0.64702404,0.9057563,19.065502166748047,4.6417193,8.993004e-07,,0.14999999,26,0.63224834,0.9790224,8.654663,-0.33333334,0.93505776,-0.7866933,1.8722513,-0.7879242,,4.2927947,1.9180892,520,0.33287168
-0.75452274,-1.055219,0.93505776,0.6585383,0.9219715,19.808305978775024,7.9239044,8.3391916e-07,,0.14999999,27,0.6429789,0.9790224,8.697811,-1.0,0.93505776,-0.6909569,1.1430691e-07,-0.7977882,,4.187276,2.4752748e-05,540,0.3221411
-0.79089034,0.19262649,0.93505776,0.9551764,0.9270347,20.557700872421265,6.800697,7.754171e-07,,0.14999999,28,0.65312374,0.9790224,8.735897,0.27272728,0.93505776,-1.0003138,0.23765917,-0.8184365,,4.18101,6.9230167e-17,560,0.31199628
-0.8175297,-0.19918153,0.93505776,1.213364,0.48022923,21.285704851150513,4.9344025,7.2286224e-07,,0.14999999,29,0.64716184,0.9790224,9.220787,-0.5959596,0.93505776,-0.80574286,0.029747296,-0.8216654,,4.1686015,5.930719e-06,580,0.31795818
-0.850406,0.010842409,0.93505776,0.9428579,0.9155751,22.01594567298889,6.2836866,6.754746e-07,,0.14999999,30,0.656109,0.9790224,9.27033,-0.030303031,0.93505776,-0.81083995,5.460402,-0.81617254,,4.1770525,3.1748,600,0.30901104
-0.71597654,0.5659369,0.93505776,1.1366348,0.6356935,22.76514434814453,6.0033083,6.325984e-07,,0.14999999,31,0.6554504,0.9790224,9.599758,0.57575756,0.93505776,-0.73135966,0.00017200748,-0.816782,,4.138954,0.0045976094,620,0.3096696
-0.7477197,1.0778892,0.93505776,0.7135272,0.3415798,23.5169939994812,10.188742,5.936788e-07,,0.14999999,32,0.6456419,0.9790224,10.223299,1.0,0.93505776,-0.8631134,8.329075e-12,-0.81555414,,4.0163827,0.095788606,640,0.3194781
-0.7784914,-0.38563216,0.93505776,0.88940936,0.022487978,24.26780414581299,5.9354568,5.582434e-07,,0.14999999,33,0.62675846,0.9790224,11.165932,-0.23232323,0.93505776,-1.3849124,4.0886497,-0.8427263,,4.0231647,2.8763712e-16,660,0.33836156
-0.6915409,-0.64049405,0.93505776,0.9940151,0.93334234,25.02988576889038,5.51938,5.258885e-07,,0.14999999,34,0.6357756,0.9790224,11.197708,-0.8181818,0.93505776,-0.6953368,7.002668e-05,-0.8426904,,3.939882,0.0833887,680,0.3293444
-0.72052634,-0.55635756,0.93505776,1.0350044,0.9341995,25.79187250137329,5.3267365,4.9626703e-07,,0.14999999,35,0.64430207,0.9790224,11.22863,-0.45454547,0.93505776,-0.5912437,0.37384757,-0.83680594,,3.9294193,2.2278793,700,0.32081795
-0.7380725,-0.038874455,0.93505776,0.87330544,0.9339799,26.524635791778564,6.5305023,4.6907957e-07,,0.14999999,36,0.65234864,0.9790224,11.259769,0.11111111,0.93505776,-0.5562435,1.931137,-0.82904744,,3.792541,0.00023266842,720,0.31277138
