IWFirstEpisode,DenMISEMeanLog,Regret/t,ReturnMax,Bound,ReturnMean,LQGmu1_higher,TimeElapsed,Delta,Regret,ReturnMin,Iteration,LQGsigma_higher,IWLastEpisode,ReturnStepMax,TimestepsSoFar,ReturnLastEpisode,ReturnAbsMax,LQGmu1_actor,IWMax,IWMin,IWMean,DenMISELogLast,DenMISELogFirst
2.027415e-09,0.5390625,0.009020448,0.95609957,2164740200000.0,0.95609957,1.0,0.03394627571105957,0.0006079271,0.009020448,,1,0.14999999,2.027415e-09,0.99902767,20,0.95609957,0.95609957,0.64306664,2.027415e-09,,2.027415e-09,0.5390625,0.5390625
1.10091165e-10,-1.3500569,0.24976194,0.95609957,325290300.0,0.7153581,-1.0,1.1455442905426025,0.00015198177,0.49952388,,2,0.14999999,2.9927992e-25,0.99902767,40,0.47461656,0.95609957,-0.8595416,1.10091165e-10,,5.5045583e-11,-2.546029,-0.15408468
0.10325121,-1.3566278,0.16946578,0.9562465,3009.662,0.79565424,0.45454547,2.244008779525757,6.754746e-05,0.50839734,,3,0.14999999,1.0045033e-16,0.99919075,60,0.9562465,0.9562465,0.44654945,23.101385,,7.7348785,-0.55883914,-0.5595498
0.002230608,-0.7857082,0.19191867,0.9562465,335.6354,0.77320135,-0.5555556,2.9965193271636963,3.7995444e-05,0.7676747,,4,0.14999999,8.127657e-10,0.99919075,80,0.70584285,0.9562465,-0.7057628,0.79548955,,0.19943003,-0.40711752,-0.81339383
5.1138735,-0.9539444,0.15525168,0.9565363,22.299957,0.80986834,0.17171717,3.687598466873169,2.4317082e-05,0.77625847,,5,0.14999999,2.4646747e-07,0.99949324,100,0.9565363,0.9565363,0.059585653,5.1138735,,1.2232313,-0.9162537,-1.0359799
0.00016977233,-0.8835656,0.13113487,0.9565363,21.130054,0.83398515,0.7171717,4.404043674468994,1.6886865e-05,0.78680897,,6,0.14999999,0.000297013,0.99949324,120,0.9545697,0.9565363,0.8973669,10.211548,,1.867392,-0.5094073,-0.5138312
1.7851814e-06,-0.8274574,0.1957196,0.9565363,14.103335,0.7694004,-0.7777778,5.12347412109375,1.2406674e-05,1.3700376,,7,0.14999999,4.495068e-27,0.99949324,140,0.38189137,0.9565363,-0.75181943,8.295053,,2.2995727,-0.71300167,-0.6679536
0.2652432,-0.72352314,0.17236763,0.9565363,12.78944,0.7927524,-0.33333334,5.932183504104614,9.498861e-06,1.378941,,8,0.14999999,0.09808916,0.99949324,160,0.956216,0.9565363,-0.25739005,0.2652432,,0.09849662,-0.59173214,-0.80148476
6.439742,-0.81926894,0.1541475,0.9567339,7.570854,0.8109725,0.030303031,6.745167255401611,7.505273e-06,1.3873272,,9,0.14999999,0.8861227,0.99971163,180,0.9567339,0.9567339,0.11314961,6.439742,,1.5364282,-0.74019223,-0.88665015
0.8022047,-0.76572955,0.14093119,0.9567339,6.992521,0.8241888,0.3131313,7.727625608444214,6.0792704e-06,1.4093122,,10,0.14999999,1.838258,0.99971163,200,0.9431348,0.9567339,0.609839,4.7909794,,0.9084352,-0.51936305,-0.4522904
1.4831705e-06,-0.79967576,0.16715062,0.9567339,6.9321,0.7979694,0.85858583,8.464753866195679,5.0241906e-06,1.8386574,,11,0.14999999,1.7952387,0.99971163,220,0.5357759,0.9567339,0.6430347,8.242907,,1.1619893,-0.9819562,-0.4704354
0.0048978953,-0.8091298,0.18672276,0.9567339,6.9183702,0.77839726,0.5959596,9.20881199836731,4.221716e-06,2.240673,,12,0.14999999,6.1728144,0.99971163,240,0.5631033,0.9567339,0.5375773,6.6305666,,1.9330317,-0.8912194,-0.55744666
3.5763692e-06,-0.74272484,0.1959371,0.9567339,6.9282284,0.7691829,-0.75757575,9.955636501312256,3.5972016e-06,2.547182,,13,0.14999999,3.0451194e-16,0.99971163,260,0.65861213,0.9567339,-0.872302,7.7098417,,1.6377349,-0.57002467,-0.63708127
1.0350473,-0.7221332,0.182567,0.9567339,6.2336273,0.782553,-0.23232323,10.511825323104858,3.1016684e-06,2.5559387,,14,0.14999999,0.0006581464,0.99971163,280,0.956363,0.9567339,-0.28204444,7.76604,,0.7165435,-0.7973549,-0.711189
1.9172812e-10,-0.7477319,0.17103547,0.9567339,6.1776686,0.79408455,-1.0,11.41100025177002,2.7018984e-06,2.5655317,,15,0.14999999,5.9015132e-05,0.99971163,300,0.9555269,0.9567339,-0.91415644,4.402221,,0.70886225,-0.7387756,-0.7088552
