DenMISELogLast,ReturnAbsMax,ReturnMean,TimestepsSoFar,Delta,IWMax,LQGmu1_higher,Regret,ReturnMin,LQGmu1_actor,ReturnMax,IWMean,Bound,DenMISELogFirst,ReturnLastEpisode,LQGsigma_higher,IWMin,DenMISEMeanLog,IWLastEpisode,ReturnStepMax,IWFirstEpisode,Regret/t,Iteration,TimeElapsed
-0.6496266,0.92670065,0.64176905,460,1.1492007e-06,7.4374666,0.17171717,7.437072,,0.46285287,0.92670065,0.56729585,4.623068,-0.77224,0.9260632,0.14999999,,-0.8694841,0.0007024226,0.9710588,0.5532682,0.32335097,23,15.161015272140503
-0.9571484,0.92670065,0.63106996,480,1.055429e-06,6.7986574,0.41414142,8.0172,,0.37386727,0.92670065,1.2605776,4.5372634,-0.7910293,0.38499117,0.14999999,,-0.8923507,6.5705714,0.9710588,0.0046209837,0.33405006,24,15.640062093734741
-0.7717102,0.92670065,0.6226299,500,9.726833e-07,4.287863,-0.35353535,8.562254,,-0.14586918,0.92670065,0.8118295,4.4293017,-0.8316587,0.42006728,0.14999999,,-0.8804718,4.502871e-05,0.9710588,2.4984963,0.34249014,25,16.15237808227539
-0.7788542,0.92670065,0.63236797,520,8.993004e-07,5.492574,-0.75757575,8.651554,,-0.96347845,0.92670065,0.8448147,4.301708,-0.7756239,0.87582064,0.14999999,,-0.8847281,0.0014184577,0.9710588,0.0017118509,0.33275205,26,16.603079795837402
-0.82495373,0.92670065,0.6430305,540,8.3391916e-07,8.687871,-1.0,8.696417,,-0.95877755,0.92670065,1.1669397,4.378931,-0.8132984,0.9202565,0.14999999,,-0.88956493,5.891406,0.9710588,7.135276e-07,0.3220895,27,17.084511518478394
-0.6578337,0.92670065,0.65293187,560,7.754171e-07,6.6612973,0.7979798,8.741268,,0.746793,0.92670065,1.2994131,4.2776766,-0.84966606,0.9202685,0.14999999,,-0.879034,8.4268576e-30,0.9710588,1.1664186e-08,0.31218815,28,17.54361653327942
-0.8416794,0.92670065,0.63811296,580,7.2286224e-07,6.470356,-0.11111111,9.483204,,-0.26594934,0.92670065,0.96449244,4.229141,-0.88475734,0.22318457,0.14999999,,-0.8704179,4.86668e-07,0.9710588,6.196903,0.32700706,29,18.00892186164856
-0.73772174,0.92670065,0.6474017,600,6.754746e-07,5.4071646,-0.4949495,9.531549,,-0.7159796,0.92670065,1.0371125,4.0148335,-0.7249966,0.91677576,0.14999999,,-0.86946213,1.7341996,0.9710588,0.4081574,0.31771833,30,18.725271463394165
-0.6672088,0.92670065,0.6563403,620,6.325984e-07,7.5466185,-1.0,9.57217,,-1.0122566,0.92670065,1.1406537,3.9794638,-0.74427295,0.9244996,0.14999999,,-0.8635191,0.8631012,0.9710588,6.659377e-07,0.30877972,31,19.467435359954834
-0.7061475,0.92670065,0.6645278,640,5.936788e-07,6.9283733,0.53535354,9.618952,,0.7583307,0.92670065,1.7164383,3.9660149,-0.7760216,0.91833746,0.14999999,,-0.8566071,4.1346188e-23,0.9710588,0.00015475604,0.30059224,32,20.206719160079956
-0.9058888,0.92670065,0.65090585,660,5.582434e-07,6.6305776,0.07070707,10.369068,,-0.21071438,0.92670065,0.61960316,3.9126272,-0.80678844,0.21500361,0.14999999,,-0.8398013,0.00017988705,0.9710588,1.9609251,0.31421417,33,20.953430652618408
-0.79386264,0.92670065,0.65834063,680,5.258885e-07,5.852336,-0.25252524,10.430498,,-0.3197167,0.92670065,0.95854163,4.0233703,-0.7789179,0.90368855,0.14999999,,-0.8502346,5.6587124,0.9710588,4.6493874,0.30677938,34,21.671103954315186
-0.6573044,0.92670065,0.6657218,700,4.9626703e-07,6.543237,1.0,10.478939,,0.9190953,0.92670065,0.3982755,3.892929,-0.67973506,0.9166801,0.14999999,,-0.846989,7.9728736e-17,0.9710588,7.7831193e-13,0.29939824,35,22.40611171722412
-1.0092505,0.92670065,0.64967287,720,4.6907957e-07,5.8137445,-0.6969697,11.356096,,-0.6485817,0.92670065,0.9287105,3.8983297,-0.70790595,0.08796229,0.14999999,,-0.8683613,4.549551e-25,0.9710588,0.0075147804,0.31544715,36,23.13217854499817
-0.6521759,0.92670065,0.6571216,740,4.4406656e-07,6.7383547,0.3131313,11.395943,,0.16565937,0.92670065,0.68661153,3.7709537,-0.7350962,0.9252774,0.14999999,,-0.86525375,6.0525007e-09,0.9710588,0.044423964,0.30799842,37,23.879501581192017
-0.8869196,0.92670065,0.652276,760,4.2100217e-07,5.431873,-0.85858583,11.888073,,-0.95036954,0.92670065,0.9838568,3.7556362,-0.7605645,0.47298747,0.14999999,,-0.8746363,4.8457166e-10,0.9710588,8.904486e-05,0.31284404,38,24.62509775161743
-0.66606385,0.92670065,0.6591606,780,3.996891e-07,5.7298408,-0.27272728,11.932415,,-0.3221817,0.92670065,0.97578585,3.721526,-0.78653765,0.92077446,0.14999999,,-0.8705693,0.00019158522,0.9710588,4.245566,0.3059594,39,25.372377395629883
-0.6546729,0.92670065,0.66561043,800,3.799544e-07,7.496091,0.7373737,11.980385,,0.5676291,0.92670065,1.62528,3.662349,-0.7085224,0.91715413,0.14999999,,-0.8666129,7.488288e-11,0.9710588,1.2092482e-07,0.29950958,40,26.118365049362183
-0.8782927,0.92670065,0.6575255,820,3.6164613e-07,5.3472395,-0.47474748,12.611376,,-0.6480803,0.92670065,1.027566,3.6487918,-0.73321503,0.3341267,0.14999999,,-0.85401416,2.0892231e-10,0.9710588,0.55439526,0.30759454,41,26.856985330581665
