ReturnMean,Bound,DenMISELogFirst,IWMin,ReturnMax,Delta,LQGsigma_higher,LQGmu1_higher,IWMax,IWFirstEpisode,ReturnStepMax,TimeElapsed,ReturnLastEpisode,IWLastEpisode,TimestepsSoFar,Iteration,LQGmu1_actor,IWMean,ReturnMin,DenMISELogLast,Regret,Regret/t,DenMISEMeanLog,ReturnAbsMax
0.69225127,4.6522555,-0.74632853,,0.94351584,1.1492007e-06,0.14999999,0.37373737,6.460389,0.020054456,0.98712844,17.425105810165405,0.943418,5.3707802e-11,460,23,0.484913,1.057519,,-0.61643547,6.275981,0.27286875,-0.88946664,0.94351584
0.6799671,4.548627,-0.7880166,,0.94351584,1.055429e-06,0.14999999,0.030303031,4.58074,3.3094306,0.98712844,18.34400749206543,0.39743105,0.06547171,480,24,0.028592914,0.9066582,,-0.8883538,6.84367,0.2851529,-0.8901081,0.94351584
0.6786754,4.5581446,-0.6996603,,0.94351584,9.726833e-07,0.14999999,0.6969697,8.430702,1.355844e-06,0.98712844,19.112895011901855,0.6476737,0.00025182587,500,25,0.73065215,0.5091172,,-0.6623278,7.1611156,0.2864446,-0.8859636,0.94351584
0.6622422,4.549368,-0.738881,,0.94351584,8.993004e-07,0.14999999,-0.7979798,5.4567356,0.00027322877,0.98712844,19.562780141830444,0.2514134,1.8633923e-22,520,26,-0.838716,1.2219279,,-0.9143608,7.8748245,0.30287784,-0.9071823,0.94351584
0.67261857,4.4875093,-0.7766108,,0.94351584,8.3391916e-07,0.14999999,-0.35353535,6.567055,1.9005121,0.98712844,20.01819372177124,0.9424036,0.025387166,540,27,-0.24722731,0.8026166,,-0.5794239,7.897539,0.29250145,-0.88941526,0.94351584
0.6821067,4.2822495,-0.744956,,0.94351584,7.754171e-07,0.14999999,-1.0,8.040562,2.752222e-07,0.98712844,20.465359926223755,0.9382871,1.8681183e-05,560,28,-0.7857376,1.0897948,,-0.7264204,7.9243736,0.28301334,-0.8920325,0.94351584
0.69107693,4.2867017,-0.7800473,,0.94351584,7.2286224e-07,0.14999999,-0.17171717,5.6082816,5.5796766,0.98712844,21.217396020889282,0.9422438,0.0010943575,580,29,-0.20977876,1.0877105,,-0.58247685,7.9472485,0.27404308,-0.8807735,0.94351584
0.6990693,4.194059,-0.63797855,,0.94351584,6.754746e-07,0.14999999,-0.6969697,5.330594,0.0039540054,0.98712844,22.11505675315857,0.9308485,0.025467724,600,30,-0.6576143,1.1486855,,-0.6260318,7.9815197,0.2660507,-0.87135315,0.94351584
0.70694584,4.0813355,-0.6706366,,0.94351584,6.325984e-07,0.14999999,0.5151515,7.4267497,0.0005034697,0.98712844,23.03236985206604,0.9432419,2.5565794e-13,620,31,0.39137828,0.724277,,-0.5908709,8.003399,0.25817418,-0.8592452,0.94351584
0.6985748,4.044045,-0.70236903,,0.94351584,5.936788e-07,0.14999999,1.0,14.249742,2.5791595e-12,0.98712844,23.94543719291687,0.43907204,0.0016870173,640,32,0.9036126,1.2848587,,-0.86859065,8.529448,0.26654524,-0.8690638,0.94351584
0.6810699,4.0413685,-0.7331407,,0.94351584,5.582434e-07,0.14999999,0.21212122,6.752925,0.4121971,0.98712844,24.878507137298584,0.120913394,0.00018270192,660,33,0.13641821,1.2309452,,-1.0399511,9.373653,0.2840501,-0.87109774,0.94351584
0.6764177,4.024034,-0.7505802,,0.94351584,5.258885e-07,0.14999999,-0.47474748,5.7427006,0.40017068,0.98712844,25.898569583892822,0.52289313,0.0014484365,680,34,-0.34121156,0.7534934,,-0.785071,9.815878,0.2887023,-0.8639881,0.94351584
0.6839995,3.9983387,-0.76786673,,0.94351584,4.9626703e-07,0.14999999,-0.23232323,5.523141,4.537345,0.98712844,26.8369722366333,0.94178087,4.2194133,700,35,-0.3292872,1.1376556,,-0.7249961,9.83922,0.28112054,-0.867563,0.94351584
0.69116044,3.9476018,-0.67414004,,0.94351584,4.6907957e-07,0.14999999,-0.83838385,5.182469,7.439331e-05,0.98712844,27.75368046760559,0.941795,0.015811572,720,36,-0.94988555,1.1904352,,-0.63434756,9.862545,0.27395958,-0.8587157,0.94351584
0.6979126,3.864354,-0.7015369,,0.94351584,4.4406656e-07,0.14999999,0.01010101,6.1218414,3.4727726,0.98712844,28.739269256591797,0.9409874,6.741166e-09,740,37,0.30661893,0.97384065,,-0.686214,9.886677,0.26720744,-0.8502308,0.94351584
0.69195956,3.8672009,-0.6384936,,0.94351584,4.2100217e-07,0.14999999,0.7979798,7.6758666,2.4847575e-08,0.98712844,29.68949246406555,0.47169757,0.030108068,760,38,0.58223933,0.7333277,,-0.8840898,10.380098,0.27316046,-0.85259014,0.94351584
0.68320906,3.771002,-0.6644691,,0.94351584,3.996891e-07,0.14999999,-1.0,8.23907,2.5393834e-07,0.98712844,30.656827688217163,0.3506897,5.0757425e-24,780,39,-1.2121305,0.9803842,,-1.0171793,10.994526,0.28191096,-0.8645781,0.94351584
0.6895164,3.7693982,-0.6897869,,0.94351584,3.799544e-07,0.14999999,0.35353535,6.915585,0.029515786,0.98712844,31.594902515411377,0.9355047,4.4622403e-23,800,40,0.2939092,1.2590983,,-2.0315702,11.024143,0.2756036,-0.8954004,0.94351584
0.6842416,3.742359,-0.7137419,,0.94351584,3.6164613e-07,0.14999999,-0.35353535,5.74286,1.7847074,0.98712844,32.551177740097046,0.4732496,0.0005364488,820,41,-0.47345257,0.96553636,,-0.8064891,11.516014,0.28087842,-0.88845015,0.94351584
0.6903857,3.7464044,-0.6952308,,0.94351584,3.4462983e-07,0.14999999,-0.61616164,5.2949305,0.027769677,0.98712844,33.49221730232239,0.94229364,3.5282774,840,42,-0.44113523,0.9422132,,-0.7352035,11.538843,0.27473432,-0.8864398,0.94351584
0.6962575,3.5870917,-0.7181003,,0.94351584,3.2878697e-07,0.14999999,-1.0,8.019668,2.6792932e-07,0.98712844,34.50001811981201,0.94287235,0.00505294,860,43,-0.7152176,1.0348245,,-0.67469776,11.561089,0.26886255,-0.8834717,0.94351584
