ReturnStepMax,IWMax,Regret/t,ReturnAbsMax,ReturnMin,Bound,ReturnMean,ReturnLastEpisode,DenMISELogLast,Iteration,LQGsigma_higher,ReturnMax,TimeElapsed,DenMISEMeanLog,LQGmu1_higher,IWMin,IWMean,Delta,IWFirstEpisode,IWLastEpisode,DenMISELogFirst,TimestepsSoFar,Regret,LQGmu1_actor
0.9891164,1.3972004e-08,0.018184721,0.9469353,,2143991100000.0,0.9469353,0.9469353,0.25774264,1,0.14999999,0.9469353,0.07579541206359863,0.25774264,1.0,,1.3972004e-08,0.0006079271,1.3972004e-08,1.3972004e-08,0.25774264,20,0.018184721,0.86322707
0.9891164,2.269101e-11,0.35594195,0.9469353,,322172380.0,0.60917807,0.27142078,-0.13067316,2,0.14999999,0.9469353,1.0529356002807617,-0.28303885,-1.0,,1.1345505e-11,0.00015198177,2.269101e-11,9.485256e-34,-0.43540454,40,0.7118839,-1.0989887
0.99856657,0.27322352,0.2404651,0.9556088,,3004.066,0.7246549,0.9556088,-0.33818093,3,0.14999999,0.9556088,1.8567254543304443,-0.5717296,0.45454547,,0.12811057,6.754746e-05,0.27322352,1.9025369e-23,-0.8408696,60,0.72139525,0.60988295
0.99856657,0.0070226686,0.31269097,0.9556088,,335.22293,0.65242904,0.43575144,-0.88784456,4,0.14999999,0.9556088,2.785871982574463,-0.8356375,-0.5555556,,0.0019933637,3.7995444e-05,0.0009507861,5.034734e-13,-1.0413888,80,1.2507639,-0.53557193
0.9988979,7.8128157,0.2519923,0.9559225,,22.65978,0.71312773,0.9559225,-0.61714894,5,0.14999999,0.9559225,3.612820625305176,-0.97005624,0.17171717,,1.5852836,2.4317082e-05,7.8128157,7.325874e-05,-1.2642946,100,1.2599614,0.1677082
0.9988979,7.3395433,0.23935115,0.9559225,,20.973225,0.72576886,0.78897417,-0.5033588,6,0.14999999,0.9559225,4.1572792530059814,-0.8836288,0.7171717,,2.1338472,1.6886865e-05,0.00053320156,0.005366524,-0.5056082,120,1.4361067,0.81128865
0.9988979,2.7812185,0.2980168,0.9559225,,12.942204,0.66710323,0.31510973,-0.6797154,7,0.14999999,0.9559225,4.708545446395874,-0.77993405,-0.33333334,,0.41656706,1.2406674e-05,0.11535973,1.1903658e-12,-0.65967,140,2.0861177,-0.4079852
0.9993011,1.5328491,0.2618674,0.9562982,,12.367916,0.7032526,0.9562982,-0.6173823,8,0.14999999,0.9562982,5.608036041259766,-0.83224684,-0.7777778,,0.34645468,9.498861e-06,4.573659e-07,0.23615924,-0.77685577,160,2.0949392,-0.5216644
0.9993011,6.3815813,0.2337653,0.9562982,,7.194378,0.7313547,0.95617163,-0.69567883,9,0.14999999,0.9562982,6.49397873878479,-0.88593864,0.05050505,,1.2544566,7.505273e-06,6.3815813,0.0036934128,-0.8946387,180,2.1038876,-0.072686404
0.9993011,5.6400623,0.21134299,0.9562982,,6.9248424,0.753777,0.95557797,-0.5399801,10,0.14999999,0.9562982,7.255110502243042,-0.84880114,-0.47474748,,1.661767,6.0792704e-06,0.0045261164,0.12566574,-0.46405303,200,2.11343,-0.6816424
