IWMax,Regret/t,DenMISELogFirst,TimeElapsed,ReturnMin,IWMean,IWMin,IWLastEpisode,Iteration,ReturnMean,TimestepsSoFar,LQGmu1_actor,LQGsigma_higher,DenMISEMeanLog,Bound,ReturnMax,Delta,ReturnAbsMax,IWFirstEpisode,ReturnStepMax,Regret,LQGmu1_higher,ReturnLastEpisode,DenMISELogLast
3.5180392e-08,0.4497527,0.09866119,0.07640600204467773,,3.5180392e-08,,3.5180392e-08,1,0.5153673,20,1.0413674,0.14999999,0.09866119,1166862200000.0,0.5153673,0.0006079271,0.5153673,3.5180392e-08,0.53503317,0.4497527,1.0,0.5153673,0.09866119
1.0659331e-11,0.6923573,-0.59448594,0.9733822345733643,,5.3296655e-12,,,2,0.27276272,40,-1.1771154,0.14999999,-0.17373984,175341570.0,0.5153673,0.00015198177,0.5153673,1.0659331e-11,0.53503317,1.3847146,-1.0,0.030158104,0.24700627
0.43520707,0.4730999,-0.99995106,1.6334116458892822,,0.1455623,,1.2186423e-25,3,0.49202013,60,0.45539093,0.14999999,-0.65864974,2925.224,0.9305349,6.754746e-05,0.9305349,0.43520707,0.9747649,1.4192996,0.45454547,0.9305349,-0.81753933
0.0015006502,0.49507624,-1.1521682,2.29355788230896,,0.00052967283,,5.464848e-10,4,0.47004378,80,-0.78139174,0.14999999,-0.77718544,326.4257,0.9305349,3.7995444e-05,0.9305349,0.0006180408,0.9747649,1.980305,-0.5555556,0.40411472,-0.40570456
9.352547,0.4014879,-1.3751572,3.010603666305542,,2.0373614,,1.280093e-08,5,0.56363213,100,0.20983322,0.14999999,-1.0071787,21.80442,0.9379855,2.4317082e-05,0.9379855,9.352547,0.9818573,2.0074396,0.17171717,0.9379855,-1.0351068
1.118704,0.41443098,-0.5029893,3.7053229808807373,,0.28947997,,0.014568581,6,0.55068904,120,0.7257843,0.14999999,-0.87524396,19.893253,0.9379855,1.6886865e-05,0.9379855,0.00090072805,0.9818573,2.4865859,0.7171717,0.48597357,-0.51276165
10.480018,0.45736343,-0.6569899,4.395432710647583,,1.5551602,,7.6994834e-22,7,0.5077566,140,-0.80140007,0.14999999,-0.9358512,13.131456,0.9379855,1.2406674e-05,0.9379855,1.958899e-07,0.9818573,3.201544,-0.7777778,0.2501621,-0.6438521
0.092198625,0.40350366,-0.7905212,5.111186265945435,,0.024115954,,0.036921732,8,0.56161636,160,-0.19373314,0.14999999,-0.88819844,12.474975,0.93863463,9.498861e-06,0.93863463,0.092198625,0.98247737,3.2280293,-0.33333334,0.93863463,-0.591452
5.237331,0.36288297,-0.89684534,5.826439142227173,,1.3214765,,0.01891355,9,0.60223705,180,0.48410606,0.14999999,-0.97632504,6.8184223,0.93863463,7.505273e-06,0.93863463,2.352664,0.98247737,3.2659464,0.3131313,0.9272029,-0.76308846
5.1730375,0.38401324,-0.76997805,6.519503831863403,,0.96673954,,0.05361479,10,0.5811068,200,-0.2630065,0.14999999,-0.9319998,6.52447,0.93863463,6.0792704e-06,0.93863463,5.1730375,0.98247737,3.8401327,0.030303031,0.39093405,-0.6722711
10.392927,0.35219407,-0.4483533,7.355407476425171,,1.399602,,3.5686167e-05,11,0.61292595,220,-1.1483017,0.14999999,-0.9363239,6.557043,0.93863463,5.0241906e-06,0.93863463,9.210114e-12,0.98247737,3.874135,-1.0,0.9311178,-0.8512801
5.7706814,0.32565564,-0.5353647,8.069640874862671,,0.96614337,,1.2692062e-38,12,0.6394644,240,0.7811746,0.14999999,-0.9538495,6.5088143,0.93863463,4.221716e-06,0.93863463,1.2250531e-05,0.98247737,3.9078674,0.85858583,0.9313869,-1.264155
7.21088,0.35857463,-0.6154064,8.910694599151611,,1.1004794,,7.102968e-10,13,0.6065454,260,-0.31712312,0.14999999,-0.9530736,6.4185243,0.93863463,3.5972016e-06,0.93863463,0.42954755,0.98247737,4.6614704,-0.23232323,0.21151721,-0.78265935
5.883788,0.33495367,-0.6570064,9.611815214157104,,1.2637844,,1.10497346e-07,14,0.63016635,280,0.4786195,0.14999999,-0.9416831,6.245329,0.93863463,3.1016684e-06,0.93863463,0.032808177,0.98247737,4.689352,0.57575756,0.9372381,-0.71989787
6.7553673,0.35095352,-0.72365856,10.056852579116821,,0.89623296,,8.4801185e-14,15,0.6141665,300,-0.7341518,0.14999999,-0.91692793,6.1557064,0.93863463,2.7018984e-06,0.93863463,2.0470075e-06,0.98247737,5.2643023,-0.7171717,0.39017016,-0.69928056
4.0587287,0.3306592,-0.7881969,10.484916925430298,,0.60734236,,0.9735711,16,0.6344608,320,-0.21748263,0.14999999,-0.9189316,5.6924453,0.9388747,2.3747152e-06,0.9388747,0.006464732,0.98268193,5.2905474,-0.45454547,0.9388747,-0.73236084
8.18617,0.3136273,-0.8484176,10.914957046508789,,1.2768073,,6.675722e-06,17,0.6514927,340,-1.3555158,0.14999999,-0.93072647,5.246018,0.9388747,2.103554e-06,0.9388747,1.3740761e-11,0.98268193,5.331663,-1.0,0.9240034,-0.7121955
5.8077965,0.29870045,-0.905576,11.362708330154419,,1.2005284,,8.495847e-12,18,0.66641957,360,-0.3048436,0.14999999,-1.0737462,5.1122913,0.9388747,1.8763183e-06,0.9388747,1.0037433,0.98268193,5.376608,-0.1919192,0.92017645,-3.6183155
11.846804,0.28457248,-0.905379,12.27484130859375,,0.8271795,,1.760156e-16,19,0.68054754,380,1.2597435,0.14999999,-1.0432196,5.0501657,0.9388747,1.6840087e-06,0.9388747,9.6017324e-08,0.98268193,5.4068775,1.0,0.9348504,-0.58179426
5.8850126,0.31736195,-0.9566723,13.558656930923462,,0.93432033,,,20,0.64775807,400,-0.65491986,0.14999999,-1.143878,4.837877,0.9388747,1.5198176e-06,0.9388747,1.1922208e-07,0.98268193,6.3472395,-0.7979798,0.024758462,-2.7597902
6.079631,0.30347472,-1.0054624,14.762451171875,,1.034495,,4.963793e-09,21,0.6616453,420,0.37054375,0.14999999,-1.1309783,4.826002,0.9393897,1.3785193e-06,0.9393897,2.6225977,0.9831429,6.3729696,0.3131313,0.9393897,-0.7256821
5.173373,0.3137566,-0.93430114,15.689098119735718,,0.97621816,,2.6932887e-05,22,0.65136343,440,-0.39725944,0.14999999,-1.1181793,4.667778,0.9393897,1.2560477e-06,0.9393897,0.04723779,0.9831429,6.902646,-0.37373737,0.43544358,-0.8097566
6.643992,0.30132145,-0.97660804,16.61393666267395,,1.0641404,,2.4061125e-10,23,0.6637986,460,0.7664906,0.14999999,-1.0998056,4.670577,0.9393897,1.1492007e-06,0.9393897,0.011522559,0.9831429,6.9303923,0.6363636,0.9373719,-0.6156871
5.562108,0.31972814,-1.0186667,17.346693754196167,,0.7694337,,8.023578e-18,24,0.6453919,480,-0.6999803,0.14999999,-1.0921369,4.63773,0.9393897,1.055429e-06,0.9393897,0.00016101077,0.9831429,7.6734743,-0.5959596,0.22203873,-0.90812266
7.5379186,0.30798072,-1.0594821,18.069840908050537,,0.6553418,,9.422478e-06,25,0.6571393,500,-0.07981172,0.14999999,-1.0847254,4.637687,0.9393897,9.726833e-07,0.9393897,7.5379186,0.9831429,7.699518,0.07070707,0.93907565,-0.6484968
8.584974,0.29911542,-0.8351725,18.799105644226074,,1.199517,,3.920676e-08,26,0.6660046,520,-1.0600033,0.14999999,-1.0878022,4.4848294,0.9393897,8.993004e-07,0.9393897,1.3559969e-11,0.9831429,7.7770004,-1.0,0.88763845,-0.7839944
5.3960285,0.28919834,-0.87291276,19.53126072883606,,1.0827227,,7.0180015e-08,27,0.6759217,540,-0.16396496,0.14999999,-1.0773798,4.3608522,0.9393897,8.3391916e-07,0.9393897,1.5794985,0.9831429,7.8083553,-0.15151516,0.93376565,-0.89074504
7.0792727,0.2801239,-0.85242766,20.247979402542114,,1.1495221,,0.0009942274,28,0.6849961,560,0.4068997,0.14999999,-1.0597636,4.234614,0.9393897,7.754171e-07,0.9393897,0.37551504,0.9831429,7.8434696,0.45454547,0.93000644,-0.6095005
7.6031365,0.28914827,-0.8741969,20.97954034805298,,0.93231964,,0.13688014,29,0.67597175,580,0.7643853,0.14999999,-1.0483868,4.2286158,0.9393897,7.2286224e-07,0.9393897,6.486058e-05,0.9831429,8.3853,0.8181818,0.4232883,-0.7921245
5.9381185,0.30422968,-0.9080962,21.70939874649048,,0.9566077,,1.5658883e-20,30,0.66089034,600,-0.8399714,0.14999999,-1.0471292,4.174834,0.9393897,6.754746e-07,0.9393897,5.075934e-06,0.9831429,9.12689,-0.6969697,0.22353087,-0.875425
7.693015,0.29528308,-0.94088584,22.4596586227417,,1.2322915,,2.9372776,31,0.66983694,620,-1.1915749,0.14999999,-1.0381253,4.1310587,0.9393897,6.325984e-07,0.9393897,1.5071944e-11,0.9831429,9.153774,-1.0,0.9382367,-0.66839385
5.5779185,0.28718907,-0.97263455,23.312843561172485,,1.1634405,,2.258669e-07,32,0.67793095,640,-0.4811261,0.14999999,-1.0532365,4.1271477,0.9393897,5.936788e-07,0.9393897,0.23183723,0.9831429,9.19005,-0.2929293,0.9288444,-1.6643654
7.091748,0.27929157,-0.9961874,24.23273277282715,,0.70659196,,0.00043034222,33,0.68582845,660,0.2678777,0.14999999,-1.0407435,3.9740453,0.9393897,5.582434e-07,0.9393897,6.4024386,0.9831429,9.216621,0.17171717,0.9385479,-0.74209696
5.730897,0.2856552,-0.8487202,25.075289487838745,,0.8030778,,1.5144867e-05,34,0.6794648,680,-0.5731883,0.14999999,-1.0447772,3.9536695,0.9393897,5.258885e-07,0.9393897,0.0024514725,0.9831429,9.712276,-0.4949495,0.46946213,-0.8551982
15.970688,0.27823395,-0.87763566,25.960620403289795,,1.0325568,,6.757231e-24,35,0.6868861,700,0.7752991,0.14999999,-1.040225,3.9010441,0.9393897,4.9626703e-07,0.9393897,9.3390184e-08,0.9831429,9.73819,1.0,0.93920904,-0.6686462
5.435107,0.29132104,-0.90580654,26.956559419631958,,0.95495975,,2.2445246e-24,36,0.673799,720,-0.9727671,0.14999999,-1.041381,3.8866925,0.9393897,4.6907957e-07,0.9393897,5.018582e-08,0.9831429,10.487556,-0.8181818,0.21575116,-0.99452114
7.3169503,0.28424782,-0.9332055,27.979241371154785,,1.3100843,,5.2484236,37,0.6808722,740,-0.7297278,0.14999999,-1.03426,3.8848634,0.9393897,4.4406656e-07,0.9393897,1.4956621e-11,0.9831429,10.51717,-1.0,0.93550956,-0.6962269
6.225251,0.27745956,-0.95987374,28.86380100250244,,0.7530783,,0.00017593864,38,0.68766046,760,-0.07999831,0.14999999,-1.0175138,3.8506525,0.9393897,4.2100217e-07,0.9393897,4.2279887,0.9831429,10.543463,-0.05050505,0.9388255,-0.6285237
7.5843096,0.27281368,-0.88035214,29.897985696792603,,1.1762406,,0.0059945434,39,0.69230634,780,0.63431805,0.14999999,-1.0173681,3.7542067,0.9393897,3.996891e-07,0.9393897,0.27806923,0.9831429,10.639732,0.47474748,0.86884975,-0.743645
5.463973,0.28242737,-0.8985653,30.84509539604187,,0.9510621,,5.8933618e-15,40,0.68269265,800,-0.80463177,0.14999999,-1.0143242,3.7506623,0.9393897,3.799544e-07,0.9393897,7.582045e-05,0.9831429,11.297096,-0.61616164,0.30775768,-1.0057461
7.881808,0.27620894,-0.923256,31.88531494140625,,1.265715,,2.1612184e-22,41,0.6889111,820,0.7158712,0.14999999,-1.006134,3.720275,0.9393897,3.6164613e-07,0.9393897,0.0013712391,0.9831429,11.324566,0.7171717,0.9376486,-0.5997498
