LQGsigma_higher,TimestepsSoFar,IWMean,DenMISEMeanLog,DenMISELogFirst,ReturnMin,Regret,ReturnStepMax,ReturnMean,LQGmu1_actor,ReturnLastEpisode,Regret/t,Delta,LQGmu1_higher,Bound,IWFirstEpisode,DenMISELogLast,ReturnMax,Iteration,ReturnAbsMax,IWMax,IWMin,TimeElapsed,IWLastEpisode
0.14999999,20,3.7151473e-18,-0.6529374,-0.6529374,,0.050911784,0.9590107,0.91420823,1.1484094,0.91420823,0.050911784,0.0006079271,1.0,2069892400000.0,3.7151473e-18,-0.6529374,0.91420823,1,0.91420823,3.7151473e-18,,0.05827593803405762,3.7151473e-18
0.14999999,40,0.00077472534,-0.7752512,-1.3460846,,1.0126805,0.9590107,0.45877978,-0.9556911,0.0033513189,0.50634027,0.00015198177,-1.0,311037760.0,0.0015494507,-0.20441784,0.91420823,2,0.91420823,0.0015494507,,1.0881397724151611,
0.14999999,60,3.8178274e-05,-0.84157246,-1.7507753,,1.065132,0.9590107,0.610076,0.34601682,0.9126684,0.355044,6.754746e-05,0.45454547,2873.8264,4.064172e-06,-0.1640591,0.91420823,3,0.91420823,0.000110470646,,1.9457917213439941,2.0067641e-19
0.14999999,80,2.4234233,-1.0104959,-2.038456,,1.605283,0.9590107,0.56379926,-0.4975058,0.424969,0.40132076,3.7995444e-05,-0.5555556,322.91345,9.574623,-0.654258,0.91420823,4,0.91420823,9.574623,,2.6825897693634033,7.3167584e-08
0.14999999,100,0.6533916,-0.87079495,-1.0396919,,1.6500106,0.96505696,0.6351179,0.1820153,0.9203926,0.33000213,2.4317082e-05,0.17171717,20.66213,0.010827204,-0.67065793,0.9203926,5,0.9203926,3.2558832,,3.4374396800994873,0.00024762558
0.14999999,120,0.06371173,-0.87794894,-1.2198503,,2.149014,0.96505696,0.606951,0.838151,0.46611655,0.35816902,1.6886865e-05,0.7171717,19.45809,3.3748945e-11,-0.5058118,0.9203926,6,0.9203926,0.21765855,,4.33596396446228,0.0075948616
0.14999999,140,2.028461,-0.97437537,-1.374001,,2.9660716,0.96505696,0.54139555,-0.027651787,0.14806283,0.42372447,1.2406674e-05,-0.33333334,13.935408,10.18361,-0.6907618,0.9203926,7,0.9203926,10.18361,,5.360122442245483,3.020165e-13
0.14999999,160,0.6329094,-0.8927473,-0.6094865,,3.2409935,0.96505696,0.55999583,-0.7495041,0.6901979,0.4051242,9.498861e-06,-0.7777778,12.163374,0.123593256,-0.7388863,0.9203926,8,0.9203926,4.0154443,,6.187706708908081,2.0663656e-05
0.14999999,180,1.2841805,-0.91666275,-0.71193856,,3.2881923,0.96505696,0.5997653,0.41528058,0.917921,0.36535472,7.505273e-06,0.3131313,6.668279,0.00016519349,-0.6971344,0.9203926,9,0.9203926,6.5678663,,7.065845966339111,6.756786e-11
0.14999999,200,0.9888852,-0.8744997,-0.8172807,,3.8533988,0.96505696,0.57978016,-0.14845264,0.39991388,0.38533986,6.0792704e-06,0.030303031,6.437048,0.16830818,-0.55329865,0.9203926,10,0.9203926,6.136226,,7.6221959590911865,0.17169689
