ReturnMin,IWLastEpisode,Bound,ReturnAbsMax,Delta,Regret,Iteration,IWMin,Regret/t,LQGsigma_higher,ReturnLastEpisode,IWMean,DenMISELogLast,LQGmu1_actor,DenMISELogFirst,IWMax,IWFirstEpisode,TimestepsSoFar,TimeElapsed,ReturnMax,DenMISEMeanLog,ReturnMean,LQGmu1_higher,ReturnStepMax
,7.033218e-17,2162490900000.0,0.9551061,0.0006079271,0.010013938,1,,0.010013938,0.14999999,0.9551061,7.033218e-17,-0.009036538,0.785484,-0.009036538,7.033218e-17,7.033218e-17,20,0.06363630294799805,0.9551061,-0.009036538,0.9551061,1.0,0.9981322
,9.511249e-31,324952300.0,0.9551061,0.00015198177,0.66497636,2,,0.33248818,0.14999999,0.31015757,6.9852635e-05,-0.7375682,-1.1673982,-0.7021837,0.00013970527,0.00013970527,40,1.1063706874847412,0.9551061,-0.71987593,0.63263184,-1.0,0.9981322
,2.2839784e-25,3002.4648,0.9551061,6.754746e-05,0.6758609,3,,0.22528696,0.14999999,0.9542354,0.2438607,-0.7431456,0.44414005,-1.107579,0.73156416,1.7912107e-05,60,1.8248062133789062,0.9551061,-0.99791926,0.73983306,0.45454547,0.9981322
,9.055909e-10,335.72195,0.9551061,3.7995444e-05,1.1412163,4,,0.28530407,0.14999999,0.49976477,0.7091054,-0.40808544,-0.49393725,-1.3952551,2.8346033,2.8346033,80,2.5281436443328857,0.9551061,-1.011667,0.67981595,-0.5555556,0.9981322
,0.0002773275,21.25692,0.9551061,2.4317082e-05,1.1517615,5,,0.23035228,0.14999999,0.95457476,0.20166919,-0.67808187,0.17024925,-1.0826945,0.96098655,0.044495717,100,3.2373645305633545,0.9551061,-1.0162332,0.73476774,0.17171717,0.9981322
,0.0034636809,20.896048,0.9551061,1.6886865e-05,1.4302511,6,,0.23837519,0.14999999,0.68663013,2.2468429,-0.50373334,0.7182847,-1.2561563,12.732962,2.3318172e-10,120,3.9347918033599854,0.9551061,-1.0518794,0.72674483,0.7373737,0.9981322
,1.0786219e-10,14.569681,0.9551061,1.2406674e-05,2.0558004,7,,0.29368573,0.14999999,0.3395709,2.1325393,-0.6472269,-0.39065,-1.410307,10.774444,10.774444,140,4.781937599182129,0.9551061,-0.9467597,0.6714343,-0.33333334,0.9981322
,0.17557976,12.214674,0.95522296,9.498861e-06,2.0656972,8,,0.25821215,0.14999999,0.95522296,0.20056391,-0.61255527,-0.9484555,-0.6119869,0.87957585,0.03852773,160,5.631382703781128,0.95522296,-0.8469929,0.70690787,-0.7777778,0.99824977
,2.6182178e-15,6.9019814,0.95522296,7.505273e-06,2.0759916,9,,0.23066574,0.14999999,0.9548257,0.99814427,-0.81444955,0.32529402,-0.7249655,4.585981,0.0009615433,180,6.382829427719116,0.95522296,-0.92665917,0.7344543,0.3131313,0.99824977
,2.2790126e-05,6.8571157,0.95522296,6.0792704e-06,2.481864,10,,0.24818641,0.14999999,0.559248,1.5906674,-0.48296434,-0.20125397,-0.8302192,5.9292455,4.811219,200,6.89648699760437,0.95522296,-0.8953924,0.7169336,-0.41414142,0.99824977
,3.9260117e-06,6.845301,0.95522296,5.0241906e-06,2.4944124,11,,0.22676474,0.14999999,0.9525718,1.5692348,-0.75160676,-0.89643735,-0.53272957,10.335008,0.00011792872,220,7.461781024932861,0.95522296,-0.85302633,0.7383553,-1.0,0.99824977
,4.1673674e-22,6.839404,0.9553049,4.221716e-06,2.5042267,12,,0.20868558,0.14999999,0.9553049,1.2693688,-0.6356963,0.44996172,-0.6197302,6.7795916,2.5221928e-08,240,8.191198825836182,0.9553049,-0.81872636,0.75643444,0.61616164,0.9983549
,0.10214338,6.632645,0.9553049,3.5972016e-06,2.955145,13,,0.22731882,0.14999999,0.5142033,0.59119296,-0.6540728,0.055037398,-0.6997729,4.174115,0.40365124,260,9.057922601699829,0.9553049,-0.7980134,0.7378012,0.030303031,0.9983549
,1.5148788e-06,6.2361326,0.9553049,3.1016684e-06,3.0001497,14,,0.2142964,0.14999999,0.9201147,0.6958824,-0.7008645,0.8085952,-0.74330306,5.9677424,1.233029e-13,280,10.008458614349365,0.9553049,-0.82164955,0.7508236,0.8787879,0.9983549
,4.8268617e-10,6.223754,0.9553049,2.7018984e-06,3.6912966,15,,0.24608648,0.14999999,0.2739727,1.1090032,-0.7226554,-0.14016463,-0.812296,6.63651,4.8269343,300,10.86506700515747,0.9553049,-0.8396825,0.71903354,-0.21212122,0.9983549
,0.0051674563,5.886121,0.9553049,2.3747152e-06,3.710431,16,,0.23190194,0.14999999,0.9459853,0.47830558,-0.64604235,-0.5684782,-0.59784335,2.7659488,0.17580293,320,11.604385137557983,0.9553049,-0.8274727,0.7332181,-0.6969697,0.9983549
,0.08898492,5.205966,0.9553049,2.103554e-06,3.7202682,17,,0.21883935,0.14999999,0.95528334,1.1194415,-0.7405537,-0.9769943,-0.6475402,8.181028,0.0001322761,340,12.357861042022705,0.9553049,-0.852975,0.74628067,-1.0,0.9983549
,3.0097416e-19,5.1777143,0.9553049,1.8763183e-06,3.7304726,18,,0.20724851,0.14999999,0.95491546,1.2592261,-0.6384286,0.61188847,-0.7046908,6.9658556,2.3586486e-05,360,13.084134101867676,0.9553049,-0.84239364,0.7578715,0.43434343,0.9983549
,3.3026609e-12,5.1867537,0.9553049,1.6840087e-06,4.2824116,19,,0.22539008,0.14999999,0.41318047,1.0221987,-0.8126158,-0.63351744,-0.75875676,6.003606,2.2449725,380,13.830468654632568,0.9553049,-0.8342264,0.73972994,-0.5151515,0.9983549
,4.532297e-05,5.1219635,0.9555101,1.5198176e-06,4.2920227,20,,0.2146011,0.14999999,0.9555101,0.9087466,-0.6822066,-0.08847186,-0.6983687,6.8004827,0.14823544,400,14.580052137374878,0.9555101,-0.82964706,0.7505189,0.09090909,0.998534
,5.047196,5.1435566,0.9555101,1.3785193e-06,4.306817,21,,0.20508653,0.14999999,0.9503254,1.1952131,-0.79464644,-0.057523027,-0.73977447,5.8621483,3.6264787,420,15.33482837677002,0.9555101,-0.8356374,0.7600335,-0.17171717,0.998534
