MountainCar_std1_higher,DenMISEMeanLog,BoundBonus,ReturnMin,TimestepsSoFar,ActionIn1,MountainCar_mu1_higher,ReturnLastEpisode,IWMean,Regret/t,AvgEpLen,IWMin,NumTrainableParams,ReturnStepMax,Bound,NumTrajectories,MountainCar_std0_higher,IWMax,DenMISELogLast,ReturnAbsMax,MinEpLen,Delta,GridSize,IWLastEpisode,TimeElapsed,DenMISELogFirst,MountainCar_mu0_higher,ReturnMean,ReturnMax,Iteration,IWFirstEpisode,Regret,BoundMISE
3.0,-1.5600768,inf,-0.8758952,999,-19.119667,-10.0,-0.8758952,2.8830496e-24,5.875895,999.0,,2,8.742649,inf,1,0.14999999,2.8830496e-24,-1.5600768,0.8758952,999,0.060792707,1,2.8830496e-24,0.5255270004272461,-1.5600768,-1.0,-0.8758952,,1,2.8830496e-24,5.875895,-2.5252493e-24
3.0,-3.9458401,41187488000.0,-2.330457,1998,7.0185003,10.0,-2.330457,4.3150853e-18,6.603176,999.0,,,23.062408,41187488000.0,2,0.14999999,8.6301705e-18,-5.6384563,2.330457,999,0.0060792705,4,8.6301705e-18,1.2569990158081055,-2.253224,-1.0,-1.6031761,,2,3.421093e-25,13.206352,-1.0056121e-17
3.0,-3.7180336,22002286.0,-2.330457,2527,-6.399949,-10.0,-1.281034,0.000111017995,6.4957952,842.3333333333334,,,87.905495,22002286.0,3,0.14999999,0.000333054,-2.4514902,2.330457,529,0.0027018983,4,,1.5803303718566895,-2.658689,1.0,-1.4957954,,3,0.000333054,19.487387,-9.7240125e-05
3.0,-3.7361248,4582218.0,-3.5506673,3526,11.644443,10.0,-3.5506673,6.6702237e-06,7.0095134,881.5,,,87.905495,4582218.0,4,0.14999999,2.6344364e-05,-2.9274633,3.5506673,529,0.0015198176,4,3.365317e-07,2.069065809249878,-2.9462602,1.0,-2.0095134,,4,2.6344364e-05,28.038054,-6.0674533e-06
3.0,-3.897721,40.009342,-8.69351,4525,10.201288,10.0,-8.69351,0.9999999,8.3463125,905.0,,,98.71424,38.99957,5,0.14999999,4.9999995,-3.6515393,8.69351,529,0.0009726833,4,,2.5238804817199707,-3.169397,-1.0,-3.3463128,,5,8.551718e-25,41.731564,-1.0097725
3.0,-3.6579294,41.047646,-8.69351,4911,-14.384443,-10.0,-0.04952138,1.0,7.7968473,818.5,,,98.71424,39.210667,6,0.14999999,6.0,-2.2405093,8.69351,386,0.0006754746,4,4.354653e-11,2.739774227142334,-3.3517187,-1.0,-2.7968476,,6,1.7296252e-23,46.781086,-1.836978
3.0,-3.6503205,41.905457,-8.69351,5910,-8.082328,-10.0,-2.3277817,1.0000387,7.7298384,844.2857142857143,,,98.71424,39.106552,7,0.14999999,6.999494,-3.3729112,8.69351,386,0.00049626693,4,,3.2451815605163574,-3.5058694,1.0,-2.7298381,,7,0.0007770343,54.108868,-2.7989037
3.0,-3.5635657,42.63458,-8.69351,6909,10.729962,10.0,-5.5897565,1.0000066,8.087328,863.625,,,98.71424,35.78193,8,0.14999999,8.0,-2.7147827,8.69351,386,0.0003799544,4,5.417857e-09,3.763937473297119,-3.6392899,1.0,-3.087328,,8,5.268252e-05,64.69862,-6.852648
3.0,-3.4807978,1189293.9,-8.69351,7908,-5.1278234,-10.0,-4.587971,8.0079684e-05,8.254066,878.6666666666666,,,98.71424,1189293.9,9,0.14999999,0.0007206955,-2.5695446,8.69351,386,0.00015010545,9,1.589433e-18,4.263545751571655,-3.7570662,,-3.254066,,9,0.0007206955,74.28659,-7.014786e-05
3.0,-3.7443023,157037.42,-8.69351,8907,9.122389,10.0,-0.13136576,9.481466e-06,7.941796,890.7,,,98.71424,157037.42,10,0.14999999,4.750699e-05,-5.167681,8.69351,386,0.00012158541,9,4.7286136e-05,4.784668207168579,-3.8623466,,-2.9417958,,10,4.750699e-05,79.41796,-4.7865537e-06
