ReturnMin,IWMax,IWFirstEpisode,Regret/t,TimeElapsed,ReturnMax,TimestepsSoFar,Bound,ReturnMean,NumTrainableParams,MountainCar_std0_higher,Iteration,ReturnStepMax,Delta,Regret,MountainCar_std1_higher,DenMISEMeanLog,ReturnAbsMax,IWLastEpisode,DenMISELogLast,IWMean,BoundBonus,AvgEpLen,NumTrajectories,ActionIn1,ReturnLastEpisode,MountainCar_mu1_higher,MinEpLen,IWMin,MountainCar_mu0_higher,DenMISELogFirst,BoundMISE,GridSize
-9.966432,17.508085,4.2639246e-18,6.302793,8.425859928131104,9.443005,15544,51.857414,-1.302793,,0.14999999,18,107.17791,3.7526363e-05,113.45027,3.0,-3.960345,9.966432,,-4.650824,0.97485137,55.597157,863.5555555555555,18,3.760659,-2.7154713,,229,,1.0,-3.923447,-3.7397432,9
-9.966432,9.499662,0.0011533207,6.3744593,9.087516784667969,9.443005,16543,44.802696,-1.3744591,,0.14999999,19,107.17791,3.368017e-05,121.11472,3.0,-4.0255094,9.966432,6.885038e-06,-4.906836,1.0018288,39.522045,870.6842105263158,19,4.457096,-2.6644456,10.0,229,,,-3.977514,5.28065,9
-9.966432,9.94586,8.620493e-06,6.306979,9.553656816482544,9.443005,17542,41.4742,-1.3069792,,0.14999999,20,107.17791,3.0396353e-05,126.13959,3.0,-4.0270767,9.966432,7.920636e-11,-3.8955247,1.0204852,39.7184,877.1,20,15.742881,-0.024860114,10.0,229,,-1.0,-4.0287466,1.755801,9
-9.966432,10.375344,0.7080081,5.9350047,9.713034629821777,9.443005,17791,39.880096,-0.93500483,,0.14999999,21,107.17791,2.7570388e-05,124.6351,3.0,-4.1254363,9.966432,4.5812343e-12,-5.951327,1.3111618,39.902264,847.1904761904761,21,3.858974,6.5044813,,229,,,-4.0775366,-0.022168139,9
-9.966432,10.999694,0.0059565585,5.8927937,10.223901271820068,9.443005,18790,40.042637,-0.8927937,,0.14999999,22,107.17791,2.5120953e-05,129.64146,3.0,-4.096839,9.966432,0.00029906543,-3.6123536,0.98802584,40.080555,854.0909090909091,22,-11.720134,-0.006360831,-10.0,229,,,-4.0908976,-0.03791912,9
-9.966432,10.45301,0.005325503,5.85502,10.765428066253662,9.443005,19789,38.65384,-0.85501987,,0.14999999,23,107.17791,2.2984013e-05,134.66545,3.0,-4.0694823,9.966432,1.1241995e-11,-3.2937443,0.6827686,40.248104,860.3913043478261,23,1.3428278,-0.023994641,,229,,-1.0,-4.135079,-1.5942646,9
-9.966432,11.982149,4.6120942e-05,5.8933277,11.243835687637329,9.443005,20788,38.390743,-0.8933278,,0.14999999,24,107.17791,2.110858e-05,141.43987,3.0,-4.0580306,9.966432,0.0022755952,-3.3978896,1.2269217,40.40847,866.1666666666666,24,-10.548054,-1.77441,-10.0,229,,-1.0,-4.177407,-2.0177262,9
-9.966432,12.326829,5.725734e-18,5.936074,11.708504915237427,9.443005,21787,37.01621,-0.9360736,,0.14999999,25,107.17791,1.9453666e-05,148.40184,3.0,-4.0216126,9.966432,,-3.1839566,0.9465471,40.561253,871.48,25,1.6470098,-1.9619733,,229,,1.0,-4.218227,-3.5450432,9
-9.966432,12.975778,4.943329e-20,6.0320024,12.198797464370728,9.443005,22786,36.808945,-1.0320023,,0.14999999,26,107.17791,1.7986009e-05,156.83206,3.0,-4.010229,9.966432,0.014258318,-3.5205948,0.9978024,40.707794,876.3846153846154,26,-9.944333,-3.4302235,-10.0,229,,1.0,-4.2574477,-3.8988483,9
-9.966432,8.9996805,0.0015845792,6.280978,12.653982162475586,9.443005,23785,36.869705,-1.2809781,,0.14999999,27,107.17791,1.6678383e-05,169.58641,3.0,-4.044895,9.966432,3.5253977e-25,-4.7747416,0.85540205,33.352516,880.925925925926,27,11.917648,-7.7543464,10.0,229,,,-4.295188,3.5171907,9
-9.966432,1.0568652,0.00016973689,6.0806403,12.89491581916809,9.443005,24092,741.05743,-1.0806402,,0.14999999,28,107.17791,9.122555e-06,170.25793,3.0,-4.022947,9.966432,1.2506318e-06,-3.204151,0.06823963,741.06647,860.4285714285714,28,-1.7993858,4.328482,-3.3333333,229,,0.33333334,-4.3314967,-0.009033832,16
-9.966432,5.2196407,0.000105619925,6.0685663,13.696231603622437,9.443005,25091,509.7552,-1.0685663,,0.14999999,29,107.17791,8.504261e-06,175.98842,3.0,-4.082579,9.966432,5.2196407,-4.837128,0.55042684,509.7699,865.2068965517242,29,0.26967624,-0.7304969,3.3333333,229,,0.33333334,-4.366582,-0.014717283,16
-9.966432,1.8709829,0.21771446,6.055405,14.219069480895996,9.443005,26090,406.4578,-1.0554053,,0.14999999,30,107.17791,7.94676e-06,181.66216,3.0,-4.1155868,9.966432,2.1772178e-07,-4.6069894,0.09812418,406.4628,869.6666666666666,30,-6.7503123,-0.6737353,-10.0,229,,-0.33333334,-4.4004803,-0.004998153,16
-9.966432,0.9019604,0.048437726,6.028586,14.755275249481201,9.443005,27089,353.82288,-1.0285859,,0.14999999,31,107.17791,7.4423347e-06,186.88617,3.0,-4.160285,9.966432,9.802135e-06,-4.613452,0.06591717,353.47128,873.8387096774194,31,5.199135,-0.22400376,10.0,229,,-0.33333334,-4.4260387,0.35159427,16
-9.966432,8.406726,2.2937666e-06,5.9978905,15.18559217453003,9.443005,27780,354.38095,-0.9978907,,0.14999999,32,107.17791,6.984457e-06,191.9325,3.0,-4.2050915,9.966432,5.5116242e-08,-4.6751223,0.34039846,354.42715,868.125,32,-4.4757266,-0.046339683,-10.0,229,,0.33333334,-4.4562263,-0.046202384,16
-9.966432,77.37047,5.1299105e-07,5.995482,15.719171047210693,9.443005,28779,320.70074,-0.99548215,,0.14999999,33,107.17791,6.5675695e-06,197.8509,3.0,-4.2546854,9.966432,0.00010721416,-5.16694,2.4047592,317.8303,872.0909090909091,33,8.914131,-0.91840863,10.0,229,,0.33333334,-4.486998,2.8704467,16
-9.966432,25.186853,12.318418,5.9799895,16.196503162384033,9.443005,29778,195.63364,-0.97998965,,0.14999999,34,107.17791,6.186923e-06,203.31964,3.0,-4.248475,9.966432,0.0001145594,-4.32548,1.2033252,195.79665,875.8235294117648,34,5.473523,-0.46874073,3.3333333,229,,-0.33333334,-4.516851,-0.16300818,16
-9.966432,22.135101,15.49306,5.9606404,16.612062215805054,9.443005,30777,105.30419,-0.9606404,,0.14999999,35,107.17791,5.8384353e-06,208.6224,3.0,-4.2524133,9.966432,0.25831112,-4.3628664,1.1255637,105.60734,879.3428571428572,35,-0.9529555,-0.30276313,-3.3333333,229,,-0.33333334,-4.2366595,-0.30314606,16
-9.966432,19.585016,0.0029248146,5.938593,17.075543642044067,9.443005,31776,62.674095,-0.9385928,,0.14999999,36,107.17791,5.5185833e-06,213.78934,3.0,-4.244166,9.966432,5.6691602e-05,-3.876302,0.7657839,64.08141,882.6666666666666,36,-4.5395837,-0.16692771,-3.3333333,229,,-1.0,-3.8983424,-1.4073182,16
-9.966432,4.974744,2.973873e-18,5.961973,17.620100498199463,9.443005,32775,62.814514,-0.96197325,,0.14999999,37,107.17791,5.224312e-06,220.59302,3.0,-4.2371116,9.966432,4.349673e-37,-3.6470346,0.36845884,64.22628,885.8108108108108,37,-3.9332557,-1.8036687,-3.3333333,229,,1.0,-3.9256601,-1.4117658,16
-9.966432,15.52928,0.0018547105,6.0425634,18.117475032806396,9.443005,33774,62.614243,-1.0425634,,0.14999999,38,107.17791,4.9529667e-06,229.6174,3.0,-4.2430973,9.966432,,-3.8295507,0.9239465,64.1106,888.7894736842105,38,-0.854444,-4.024397,3.3333333,229,,-1.0,-3.9523284,-1.496361,16
-9.966432,18.244717,1.8831976e-18,6.068901,18.68065571784973,9.443005,34773,61.34265,-1.0689008,,0.14999999,39,107.17791,4.7022245e-06,236.68713,3.0,-4.2252665,9.966432,,-3.3587284,0.92961824,64.503685,891.6153846153846,39,4.1648517,-2.0697286,3.3333333,229,,1.0,-3.978255,-3.161034,16
