AvgEpLen,Regret,TimeElapsed,BoundBonus,ActionIn1,IWFirstEpisode,Iteration,NumTrainableParams,IWMax,ReturnStepMax,ReturnLastEpisode,ReturnAbsMax,ReturnMean,IWLastEpisode,NumTrajectories,IWMean,Bound,MountainCar_std1_higher,TimestepsSoFar,DenMISELogFirst,ReturnMax,MountainCar_mu1_higher,IWMin,DenMISEMeanLog,MountainCar_std0_higher,Delta,BoundMISE,ReturnMin,Regret/t,GridSize,MountainCar_mu0_higher,MinEpLen,DenMISELogLast
837.9375,112.181595,7.7132697105407715,44.609444,-10.15073,3.3235832e-05,16,,12.743426,99.11324,-0.011893101,8.090698,-2.0113497,0.0070856027,16,0.8713477,44.604183,3.0,13407,-4.465649,3.7786672,-10.0,,-3.8324628,0.14999999,4.74943e-05,-0.0052595832,-8.090698,7.0113497,9,,324,-3.2978892
847.4117647058823,117.26603,8.226831674575806,44.87962,-2.0635452,1.9287259e-24,17,,3.0156908,99.11324,-0.08443631,8.090698,-1.8980017,4.173985e-15,17,0.20807166,43.85507,3.0,14406,-4.5262713,3.7786672,,,-3.8492727,0.14999999,4.2071075e-05,-1.0245504,-8.090698,6.8980017,9,1.0,324,-3.8063025
855.8333333333334,124.732574,8.712849378585815,42.21039,-1.112926,1.3194759,18,,9.334422,99.11324,-2.4665453,8.090698,-1.9295875,2.9582406e-30,18,0.6798079,40.68275,3.0,15405,-4.58343,3.7786672,,,-3.933815,0.14999999,3.7526363e-05,-1.5276358,-8.090698,6.9295874,9,-1.0,324,-4.5930758
863.3684210526316,132.08252,9.15605092048645,32.083794,11.270968,2.1231492e-05,19,,9.173637,99.11324,-2.3499382,8.090698,-1.9517112,3.044536e-14,19,0.9476477,34.060024,3.0,16404,-4.5667553,3.7786672,10.0,,-3.9357476,0.14999999,3.368017e-05,1.9762309,-8.090698,6.951711,9,,324,-3.5707154
831.9,127.79244,9.293805360794067,37.022533,0.23530957,0.0076080225,20,,9.74856,99.11324,9.290069,9.290069,-1.3896222,0.005416657,20,1.0186521,37.04508,3.0,16638,-4.618047,9.290069,,,-3.9205232,0.14999999,3.0396353e-05,0.022545725,-8.090698,6.389622,9,,234,-3.4349217
839.8571428571429,132.81674,9.803247690200806,37.19607,-8.44686,4.0627172e-05,21,,10.438256,99.11324,-0.024301939,9.290069,-1.3246069,0.022918504,21,0.9664548,37.150715,3.0,17637,-4.666457,9.290069,-10.0,,-3.8904545,0.14999999,2.7570388e-05,-0.045356095,-8.090698,6.324607,9,,234,-3.166985
847.0909090909091,137.8212,10.276464939117432,37.360588,7.784916,0.0044121183,22,,10.950983,99.11324,-0.004447784,9.290069,-1.2645997,5.2368995e-18,22,1.1330758,36.02075,3.0,18636,-4.712975,9.290069,10.0,,-3.8646295,0.14999999,2.5120953e-05,-1.3398398,-8.090698,6.2646,9,-1.0,234,-3.147925
821.4782608695652,138.19418,10.426943302154541,37.51685,-0.5551726,2.4298093e-24,23,,10.529957,99.11324,4.6270113,9.290069,-1.0084428,,23,0.63867074,35.503525,3.0,18894,-4.7572265,9.290069,,,-3.8427005,0.14999999,2.2984013e-05,-2.0133262,-8.090698,6.008443,9,1.0,234,-3.3205464
828.875,147.254,10.88890552520752,37.666325,-12.497256,0.008334593,24,,11.997293,99.11324,-4.059811,9.290069,-1.135583,2.0638691e-38,24,0.92686385,35.579197,3.0,19893,-4.799786,9.290069,-10.0,,-3.837024,0.14999999,2.110858e-05,-2.0871289,-8.090698,6.135583,9,-1.0,234,-3.2748227
835.68,154.8038,11.362032890319824,30.870825,17.723366,2.7910186e-05,25,,8.326561,99.11324,-2.5498002,9.290069,-1.1921518,1.9240887e-24,25,0.9663449,35.282455,3.0,20892,-4.840261,9.290069,10.0,,-3.8622892,0.14999999,1.9453666e-05,4.411629,-8.090698,6.192152,9,,234,-4.2505083
809.5769230769231,140.37122,11.48831057548523,79.3722,-7.968166,1.3969717e-26,26,,12.7737875,99.11324,19.432583,19.432583,-0.39889282,1.1610167e-22,26,1.2994752,74.70001,3.0,21049,-4.8794804,19.432583,-10.0,,-3.985577,0.14999999,1.7986009e-05,-4.672185,-8.090698,5.398893,9,1.0,157,-6.926516
816.5925925925926,151.2066,11.95079493522644,76.93645,0.04813379,1.8423194,27,,12.5959015,99.11324,-5.835391,19.432583,-0.6002446,,27,0.89605725,74.941414,3.0,22048,-4.9172206,19.432583,,,-3.9657822,0.14999999,1.6678383e-05,-1.9950333,-8.090698,5.6002445,9,-1.0,157,-3.5543988
823.1071428571429,158.04623,12.455061435699463,1444.934,-3.2827208,5.361464e-08,28,,11.407052,99.11324,-1.8396325,19.432583,-0.6445084,5.803781e-17,28,0.51141465,1444.8717,3.0,23047,-4.8875813,19.432583,-3.3333333,,-3.9452271,0.14999999,9.122555e-06,-0.062200874,-8.090698,5.6445084,16,0.33333334,157,-3.1797364
829.1724137931035,163.1144,13.28752088546753,1447.6313,-8.919422,4.800584,29,,4.800584,99.11324,-0.06816467,19.432583,-0.6246345,0.10452257,29,0.25978673,1447.492,3.0,24046,-4.9226727,19.432583,-3.3333333,,-3.9637167,0.14999999,8.504261e-06,-0.13937826,-8.090698,5.6246347,16,-0.33333334,157,-3.9427738
834.8333333333334,168.69922,13.939135551452637,996.8331,3.049945,4.104016e-08,30,,1.7547455,99.11324,-0.58481425,19.432583,-0.62330717,1.5086059e-08,30,0.12414133,996.85626,3.0,25045,-4.803392,19.432583,3.3333333,,-4.06854,0.14999999,7.94676e-06,0.023146566,-8.090698,5.623307,16,0.33333334,157,-6.371702
