IWMin,BoundMISE,DenMISEMeanLog,MountainCar_std0_higher,ReturnLastEpisode,Delta,IWMean,MountainCar_mu0_higher,Iteration,TimestepsSoFar,NumTrainableParams,IWMax,MountainCar_std1_higher,BoundBonus,DenMISELogLast,Regret/t,IWLastEpisode,ReturnMean,ReturnStepMax,ReturnMax,GridSize,NumTrajectories,Bound,IWFirstEpisode,DenMISELogFirst,MinEpLen,ReturnAbsMax,AvgEpLen,ReturnMin,Regret,ActionIn1,MountainCar_mu1_higher,TimeElapsed
,-8.737712e-12,-1.5224106,0.14999999,-0.020729028,0.060792707,4.215206e-10,-1.0,1,999,2,4.215206e-10,3.0,258520290000.0,-1.5224106,5.020729,4.215206e-10,-0.020729028,0.19484012,,1,1,258520290000.0,4.215206e-10,-1.5224106,999,0.020729028,999.0,-0.020729028,5.020729,-11.620239,-10.0,0.45002031326293945
,-4.2803662e-17,-2.2588542,0.14999999,-1.3914927,0.0060792705,2.064914e-15,1.0,2,1998,,4.129828e-15,3.0,2173460000000.0,-2.3021505,5.706111,,-0.7061109,14.236887,,4,2,2173460000000.0,4.129828e-15,-2.2155578,999,1.3914927,999.0,-1.3914927,11.412222,13.32769,10.0,1.1006107330322266
,-5.554276e-11,-2.5896742,0.14999999,-6.8038707,0.0027018983,4.3824375e-11,-1.0,3,2997,,1.1957055e-10,3.0,129451280000.0,-2.4403844,7.738697,,-2.7386973,68.94459,,4,3,129451280000.0,1.1902574e-11,-2.621023,999,6.8038707,999.0,-6.8038707,23.216091,7.513776,10.0,1.5547890663146973
,-8.544364e-12,-2.8230677,0.14999999,-1.7012032,0.0015198176,1.4745233e-12,1.0,4,3523,,5.0205634e-12,3.0,134873555000.0,-2.6602023,7.479324,,-2.4793239,84.73711,,4,4,134873555000.0,8.7752993e-13,-2.908705,526,6.8038707,880.75,-6.8038707,29.917295,-8.645868,-10.0,1.8583993911743164
,-1.0968413,-3.0367115,0.14999999,-3.01601,0.0009726833,1.0,-1.0,5,4522,,5.0,3.0,31.312828,-2.9987125,7.5866613,7.0906995e-34,-2.586661,84.73711,,4,5,30.215986,2.107603e-09,-3.1318486,526,6.8038707,904.4,-6.8038707,37.933304,-11.723814,-10.0,2.324737787246704
,-1.34097,-2.9442472,0.14999999,-2.0764387,0.0006754746,1.0,-1.0,6,5521,,6.0,3.0,32.125446,-2.2634654,7.501624,1.5589319e-10,-2.501624,84.73711,,4,6,30.784477,2.3805161e-11,-3.3141701,526,6.8038707,920.1666666666666,-6.8038707,45.009743,10.097519,10.0,2.8444504737854004
,-2.3773637,-2.9379008,0.14999999,4.6413927,0.00049626693,0.99999994,1.0,7,5776,,6.9999995,3.0,32.7968,-2.6680648,6.481193,,-1.481193,88.129654,4.6413927,4,7,30.419436,1.5356778e-12,-3.4683208,255,6.8038707,825.1428571428571,-6.8038707,45.36835,-13.61071,-10.0,2.9787795543670654
,-5.3631372,-3.1125631,0.14999999,-5.7990603,0.0003799544,1.0,1.0,8,6775,,8.0,3.0,33.36744,-4.0936265,7.0209265,2.3402648e-14,-2.0209265,88.129654,4.6413927,4,8,28.004303,1.6519328e-14,-3.6018522,255,6.8038707,846.875,-6.8038707,56.16741,9.122888,10.0,3.443859577178955
,-1.3019813e-05,-3.203763,0.14999999,-3.545453,0.00015010545,0.00040653197,,9,7774,,0.0036470618,3.0,31049.363,-3.6842456,7.190318,1.1724897e-05,-2.1903183,88.129654,4.6413927,9,9,31049.363,0.0036470618,-3.7196352,255,6.8038707,863.7777777777778,-6.8038707,64.71287,6.6354547,10.0,4.005786418914795
,-0.016520983,-3.3754616,0.14999999,0.019144507,0.00012158541,0.011527637,-1.0,10,8572,,0.09276328,3.0,4617.2383,-3.9729075,6.9693723,4.54014e-09,-1.9693722,98.766815,4.6413927,9,10,4617.2217,1.05740405e-07,-3.8245907,255,6.8038707,857.2,-6.8038707,69.693726,-4.853061,,4.471540927886963
,-0.054604992,-3.584516,0.14999999,-2.5639408,0.00010048381,0.015752532,1.0,11,9571,,0.13543852,3.0,4665.7983,-4.733444,7.023424,,-2.023424,98.766815,4.6413927,9,11,4665.7437,6.053649e-11,-3.9199007,255,6.8038707,870.0909090909091,-6.8038707,77.25766,1.8506021,,4.932574987411499
,-0.0008923073,-3.7090514,0.14999999,-2.8113842,8.443432e-05,0.043035652,,12,10570,,0.5164223,3.0,3483.306,-4.137489,7.0890875,4.3647774e-09,-2.0890872,98.766815,4.6413927,9,12,3483.305,0.5164223,-4.006912,255,6.8038707,880.8333333333334,-6.8038707,85.069046,-4.1694093,-10.0,5.483182668685913
,-0.04567713,-3.8445613,0.14999999,-0.041667886,7.1944036e-05,1.9019135,,13,11569,,13.4606495,3.0,41.19221,-4.5523033,6.9315934,9.392483,-1.9315934,98.766815,4.6413927,9,13,41.146534,13.4606495,-4.04482,255,6.8038707,889.9230769230769,-6.8038707,90.11072,1.5716866,,5.972156047821045
,0.014975661,-3.7800953,0.14999999,-0.0075531877,6.203337e-05,0.84177554,,14,12568,,11.586278,3.0,37.00793,-3.3676312,6.794162,0.1956359,-1.7941619,98.766815,4.6413927,9,14,37.022907,0.0026711398,-3.4082184,255,6.8038707,897.7142857142857,-6.8038707,95.11827,5.7670503,10.0,6.4691002368927
,-0.0064450772,-3.804539,0.14999999,0.38007456,5.403797e-05,0.16517131,,15,13116,,2.1679618,3.0,37.268543,-3.7979379,6.649213,1.4671044e-05,-1.6492127,99.15555,4.6413927,9,15,37.262096,0.30400163,-3.4770205,255,6.8038707,874.4,-6.8038707,99.73819,-16.59353,-10.0,6.761090517044067
,-1.7896123,-3.9706159,0.14999999,-0.02894166,4.74943e-05,0.70304704,-1.0,16,14115,,11.065703,3.0,37.51374,-5.649122,6.547946,2.7640474e-13,-1.5479459,99.15555,4.6413927,9,16,35.72413,7.8092214e-08,-3.5214949,255,6.8038707,882.1875,-6.8038707,104.767136,0.39155126,,7.362255811691284
,-2.2700434,-3.9983196,0.14999999,-1.3414754,4.2071075e-05,0.9899403,1.0,17,15114,,16.563921,3.0,37.741505,-4.008665,6.5358005,2.9981724e-31,-1.5358005,99.15555,4.6413927,9,17,35.471462,4.3183755e-11,-3.5821197,255,6.8038707,889.0588235294117,-6.8038707,111.10861,-1.7695947,,7.872820615768433
