MountainCar_mu1_higher,MountainCar_mu0_higher,ReturnLastEpisode,IWLastEpisode,AvgEpLen,TimestepsSoFar,MountainCar_std1_higher,ReturnAbsMax,ReturnStepMax,DenMISELogFirst,IWMin,MinEpLen,ReturnMax,ReturnMin,IWMax,BoundBonus,DenMISELogLast,Regret,MountainCar_std0_higher,Bound,Iteration,BoundMISE,ReturnMean,Delta,IWFirstEpisode,Regret/t,TimeElapsed,NumTrajectories,DenMISEMeanLog,IWMean,ActionIn1,NumTrainableParams,GridSize
,,1.9780744,0.14591782,875.4545454545455,9630,3.0,11.750882,118.33327,-3.9904737,,252,5.951836,-11.750882,0.14591782,11396.076,-3.5059757,81.37448,0.14999999,11396.103,11,0.026166283,-2.3976803,0.00010048381,0.0007097864,7.3976803,6.3768696784973145,11,-4.010137,0.013452303,-2.9698787,,9
,1.0,-0.0040568826,9.59801e-09,885.75,10629,3.0,11.750882,118.33327,-4.0774207,,252,5.951836,-11.750882,123.47146,8134.054,-3.9428499,86.37854,0.14999999,8069.3423,12,-64.711945,-2.1982117,8.443432e-05,1.8336107e-26,7.1982117,6.915348768234253,12,-4.083176,10.329342,2.1792705,,9
,-1.0,-8.889748,,894.4615384615385,11628,3.0,11.750882,118.33327,-4.157463,,252,5.951836,-11.750882,11.782278,132.03935,-5.4624047,100.26829,0.14999999,129.55882,13,-2.4805262,-2.7129452,7.1944036e-05,1.7670612,7.712945,7.389568567276001,13,-4.073683,1.068645,5.3054338,,9
10.0,,0.95852536,1.6531323e-12,854.0714285714286,11957,3.0,11.750882,118.33327,-4.1041217,,252,5.951836,-11.750882,13.816718,63.915985,-4.079708,104.30976,0.14999999,65.47518,14,1.5591997,-2.4506972,6.203337e-05,2.035424e-05,7.450697,7.628509283065796,14,-4.085879,0.98703414,14.029731,,9
,,2.0115347,0.00031094594,822.4666666666667,12337,3.0,11.750882,118.33327,-4.173113,,252,5.951836,-11.750882,13.528723,64.3686,-4.03983,107.29823,0.14999999,64.37841,15,0.009811358,-2.1532152,5.403797e-05,0.00085201423,7.1532154,7.825525283813477,15,-4.101422,0.9087038,-1.8372096,,9
-10.0,,-0.020503322,0.21293417,833.5,13336,3.0,11.750882,118.33327,-4.2375946,,252,5.951836,-11.750882,15.996072,64.79049,-3.4478347,112.31873,0.14999999,64.71635,16,-0.07414551,-2.0199208,4.74943e-05,5.3062354e-07,7.019921,8.375110864639282,16,-4.0804753,1.0645039,-8.185943,,9
,-1.0,-0.18559325,1.1764872e-05,843.2352941176471,14335,3.0,11.750882,118.33327,-4.298219,,252,5.951836,-11.750882,8.082337,58.75752,-5.0049467,117.504326,0.14999999,57.469307,17,-1.28821,-1.9120191,4.2071075e-05,2.0341418,6.9120193,8.907729625701904,17,-4.14742,0.70923847,5.709556,,9
,1.0,1.3257748,,814.6666666666666,14664,3.0,11.750882,118.33327,-4.242357,,252,5.951836,-11.750882,17.58335,65.551605,-3.6635385,121.17855,0.14999999,53.436268,18,-12.115337,-1.7321417,3.7526363e-05,2.1624096e-26,6.7321415,9.153281927108765,18,-4.140514,1.9268384,-1.6876049,,9
10.0,-1.0,-5.1194263,,824.3684210526316,15663,3.0,11.750882,118.33327,-4.296424,,252,5.951836,-11.750882,9.486831,46.59817,-3.6914697,131.29797,0.14999999,50.124424,19,3.5262527,-1.9104198,3.368017e-05,0.051972263,6.91042,9.823100328445435,19,-4.0961423,1.4861625,7.4456472,,9
10.0,,1.7156318,1.2986447e-09,799.3,15986,3.0,11.750882,118.33327,-4.3449855,,252,5.951836,-11.750882,9.999583,46.829823,-3.0503507,134.58234,0.14999999,48.81163,20,1.9818077,-1.7291172,3.0396353e-05,2.5897672e-05,6.7291174,10.008409023284912,20,-4.03031,0.9937663,9.183204,,9
