MountainCar_mu1_higher,MountainCar_mu0_higher,ReturnLastEpisode,IWLastEpisode,AvgEpLen,TimestepsSoFar,MountainCar_std1_higher,ReturnAbsMax,ReturnStepMax,DenMISELogFirst,IWMin,MinEpLen,ReturnMax,ReturnMin,IWMax,BoundBonus,DenMISELogLast,Regret,MountainCar_std0_higher,Bound,Iteration,BoundMISE,ReturnMean,Delta,IWFirstEpisode,Regret/t,TimeElapsed,NumTrajectories,DenMISEMeanLog,IWMean,ActionIn1,NumTrainableParams,GridSize
-10.0,0.27272728,-3.9549754,8.8118904e-05,869.477286869944,1397250,3.0,19.798416,159.02925,-4.0280623,,157,19.798416,-14.027719,30.857607,25.301352,-4.3509064,9037.557,0.14999999,24.989983,1607,-0.311369,-0.6238682,3.2469957e-10,2.3846335e-11,5.623868,2797.4865069389343,1607,-4.308141,0.9972342,-7.4897842,,144
0.90909094,0.27272728,-0.02146613,0.15123025,869.5578358208955,1398249,3.0,19.798416,159.02925,-4.0286846,,157,19.798416,-14.027719,18.997711,25.285511,-3.996611,9042.578,0.14999999,24.988909,1608,-0.29660168,-0.6234936,3.2429587e-10,4.6349452e-08,5.6234937,2799.6107692718506,1608,-4.3079515,0.9930717,-0.9437345,,144
-6.3636365,-0.45454547,-0.050059427,0.0019296249,869.6382846488502,1399248,3.0,19.798416,159.02925,-4.0293064,,157,19.798416,-14.027719,19.324621,25.443964,-3.9946647,9047.628,0.14999999,24.97446,1609,-0.46950337,-0.62313724,3.2389286e-10,0.18709534,5.6231375,2801.7623386383057,1609,-4.3077626,0.9409492,-8.110053,,144
10.0,-0.09090909,-0.86932296,1.4613649e-09,869.7186335403727,1400247,3.0,19.798416,159.02925,-4.0298114,,157,19.798416,-14.027719,23.328545,22.447262,-4.0547533,9053.497,0.14999999,24.964108,1610,2.516846,-0.6232901,3.2349065e-10,0.00023775524,5.62329,2803.8857855796814,1610,-4.307644,1.0571176,8.777839,,144
2.7272727,1.0,0.7040669,4.1293526e-07,869.4742396027312,1400723,3.0,19.798416,159.02925,-4.030432,,157,19.798416,-14.027719,40.945217,29.249575,-3.8840742,9057.793,0.14999999,24.948742,1611,-4.3008323,-0.6224662,3.2308917e-10,1.9378837e-26,5.622466,2805.8254175186157,1611,-4.3073483,0.8011534,7.946361,,144
-2.7272727,-0.6363636,-6.59448,1.9508075e-30,869.5545905707196,1401722,3.0,19.798416,159.02925,-4.0310526,,157,19.798416,-14.027719,20.17204,25.796764,-4.9885697,9069.388,0.14999999,24.943075,1612,-0.8536889,-0.62617093,3.2268843e-10,6.511931,5.626171,2807.890110731125,1612,-4.307896,0.9398843,-3.5882456,,144
-0.90909094,0.09090909,-1.1766653,2.0764155e-06,869.6348419094854,1402721,3.0,19.798416,159.02925,-4.0276413,,157,19.798416,-14.027719,18.96203,25.026236,-4.052744,9075.564,0.14999999,24.938326,1613,-0.08790879,-0.6265122,3.2228847e-10,3.2616124e-05,5.626512,2809.9722034931183,1613,-4.3077774,1.0705717,0.97067755,,144
-10.0,-0.6363636,-0.29092103,9.4546426e-11,869.7149938042131,1403720,3.0,19.798416,159.02925,-4.028261,,157,19.798416,-14.027719,30.637033,25.797178,-4.0028596,9080.855,0.14999999,24.930946,1614,-0.86623114,-0.6263043,3.218892e-10,0.009597985,5.626304,2812.0644340515137,1614,-4.307546,1.0046326,-10.695739,,144
6.3636365,-0.27272728,-1.4330199,5.699827e-09,869.7950464396284,1404719,3.0,19.798416,159.02925,-4.0288744,,157,19.798416,-14.027719,17.551668,24.383797,-4.2390122,9087.288,0.14999999,24.926544,1615,0.54274684,-0.6268038,3.214907e-10,0.17132735,5.626804,2814.3302121162415,1615,-4.307504,0.9607952,7.3600035,,144
-10.0,-0.27272728,0.27343345,4.829397e-07,869.5798267326733,1405241,3.0,19.798416,159.02925,-4.0293875,,157,19.798416,-14.027719,29.151814,25.16234,-3.8870213,9092.015,0.14999999,24.913654,1616,-0.24868557,-0.62624675,3.2109296e-10,0.00028513194,5.626247,2816.263250350952,1616,-4.3072686,1.1345049,-9.657812,,144
-6.3636365,0.6363636,-0.3541894,1.5198834e-09,869.6598639455782,1406240,3.0,19.798416,159.02925,-4.030006,,157,19.798416,-14.027719,20.814075,26.388361,-4.098655,9097.369,0.14999999,24.908089,1617,-1.4802728,-0.6260785,3.2069594e-10,1.5996406e-17,5.6260786,2818.3612422943115,1617,-4.30706,0.973952,-7.875261,,144
10.0,-0.45454547,-1.7501814,1.7749661e-20,869.7398022249691,1407239,3.0,19.798416,159.02925,-4.030624,,157,19.798416,-14.027719,24.784748,22.714214,-4.1543794,9104.119,0.14999999,24.897793,1618,2.183579,-0.62677324,3.2029965e-10,0.15145035,5.6267734,2820.4535727500916,1618,-4.306984,1.0730667,11.71866,,144
-10.0,-1.0,3.012957,5.0925735e-14,869.4051883878938,1407567,3.0,19.798416,159.02925,-4.0311484,,157,19.798416,-14.027719,50.089275,26.702528,-4.412958,9106.106,0.14999999,24.878992,1619,-1.8235359,-0.6245251,3.1990408e-10,0.0009093457,5.624525,2822.375481367111,1619,-4.3070064,0.93088055,-9.973652,,144
10.0,0.45454547,-3.0493658,8.791169e-38,869.4851851851852,1408566,3.0,19.798416,159.02925,-4.0317655,,157,19.798416,-14.027719,24.838875,23.218412,-7.3154798,9114.155,0.14999999,24.87438,1620,1.6559675,-0.62602186,3.1950925e-10,2.430435e-13,5.626022,2824.566751718521,1620,-4.308911,0.9901354,10.778694,,144
-10.0,0.45454547,-0.69741493,2.2663569e-09,869.5650832819248,1409565,3.0,19.798416,159.02925,-4.0323825,,157,19.798416,-14.027719,30.816986,25.625128,-4.092369,9119.853,0.14999999,24.874378,1621,-0.7507502,-0.62606597,3.1911515e-10,5.5477596e-15,5.626066,2826.936376810074,1621,-4.3087854,0.9991564,-2.705588,,144
10.0,-0.8181818,-2.1749146,1.9166431e-27,869.6448828606658,1410564,3.0,19.798416,159.02925,-4.032999,,157,19.798416,-14.027719,25.91282,23.61774,-4.148243,9127.027,0.14999999,24.87452,1622,1.2567779,-0.62702084,3.1872177e-10,0.27087006,5.627021,2829.054945230484,1622,-4.3086896,0.9251244,8.418221,,144
-10.0,1.0,2.3070998,,869.3080714725817,1410887,3.0,19.798416,159.02925,-4.0334487,,157,19.798416,-14.027719,55.61005,29.069466,-3.9986875,9129.721,0.14999999,24.865707,1623,-4.2037587,-0.625213,3.1832917e-10,1.02457825e-29,5.625213,2830.890461206436,1623,-4.308547,0.971016,-9.776378,,144
6.3636365,0.09090909,-3.3968725,7.4759497e-13,869.3879310344828,1411886,3.0,19.798416,159.02925,-4.0340643,,157,19.798416,-14.027719,17.634825,24.238642,-4.5511155,9138.117,0.14999999,24.859041,1624,0.62039924,-0.6269197,3.1793726e-10,1.432616e-05,5.6269197,2833.1486275196075,1624,-4.3087196,1.0782592,13.12555,,144
-2.7272727,-0.27272728,6.568792,9.790503e-06,869.0166153846154,1412152,3.0,19.798416,159.02925,-4.03468,,157,19.798416,-14.027719,19.308176,25.066675,-4.7096996,9136.549,0.14999999,24.849232,1625,-0.21744408,-0.62249154,3.1754605e-10,0.19393761,5.6224914,2834.9698538780212,1625,-4.30892,1.0300311,-4.57071,,144
-4.5454545,0.27272728,-0.0011422558,4.4823346,869.0965559655597,1413151,3.0,19.798416,159.02925,-4.035176,,157,19.798416,-14.027719,18.92663,25.181461,-3.9855509,9141.55,0.14999999,24.83535,1626,-0.34611198,-0.6221094,3.1715558e-10,5.5275073e-09,5.6221094,2837.307839155197,1626,-4.3087034,1.0608318,-5.527757,,144
-0.90909094,0.6363636,-0.14767803,0.124952264,869.1763982790412,1414150,3.0,19.798416,159.02925,-4.0357904,,157,19.798416,-14.027719,21.091097,26.436892,-3.9947662,9146.697,0.14999999,24.8352,1627,-1.6016928,-0.6218178,3.1676584e-10,4.0872434e-16,5.6218176,2839.548526287079,1627,-4.3084755,0.9688212,2.2663596,,144
0.90909094,-0.09090909,-1.2952024,0.00045419548,869.2561425061425,1415149,3.0,19.798416,159.02925,-4.036405,,157,19.798416,-14.027719,18.507189,24.865082,-4.0953383,9152.993,0.14999999,24.82238,1628,-0.04270206,-0.6222314,3.163768e-10,0.0106050465,5.6222315,2841.7974886894226,1628,-4.3083653,1.1191645,0.6338448,,144
6.3636365,0.6363636,-0.13571209,1.831154e-07,869.3357888275016,1416148,3.0,19.798416,159.02925,-4.0370126,,157,19.798416,-14.027719,21.174887,26.487476,-3.9841695,9158.129,0.14999999,24.813862,1629,-1.6736137,-0.62193274,3.159885e-10,1.7859522e-16,5.621933,2843.827479124069,1629,-4.3080955,0.96785146,3.1488733,,144
-2.7272727,-1.0,-0.98011684,1.0406492e-22,869.4153374233128,1417147,3.0,19.798416,159.02925,-4.0376263,,157,19.798416,-14.027719,32.863613,26.690681,-4.0707197,9164.108,0.14999999,24.805958,1630,-1.884724,-0.62215257,3.156009e-10,0.6192415,5.6221523,2846.058109998703,1630,-4.3079715,0.9937127,0.67634594,,144
10.0,-0.09090909,-1.6669731,1.8581643e-07,869.4947884733292,1418146,3.0,19.798416,159.02925,-4.03786,,157,19.798416,-14.027719,23.25766,22.224483,-4.124453,9170.775,0.14999999,24.795494,1631,2.5710106,-0.62279314,3.1521402e-10,0.00023967643,5.622793,2848.374433517456,1631,-4.307865,1.0594238,10.393159,,144
-10.0,0.09090909,0.06396051,8.7933744e-10,869.3970588235294,1418856,3.0,19.798416,159.02925,-4.0384727,,157,19.798416,-14.027719,30.015118,24.891312,-4.0158963,9175.712,0.14999999,24.79543,1632,-0.09588251,-0.6223723,3.1482783e-10,2.393541e-08,5.622372,2850.5047907829285,1632,-4.307652,0.9957248,-9.940521,,144
10.0,1.0,-0.066906124,6.280564e-22,869.476423759951,1419855,3.0,19.798416,159.02925,-4.0390854,,157,19.798416,-14.027719,79.042755,32.004898,-4.139931,9180.778,0.14999999,24.788017,1633,-7.2168813,-0.62203217,3.1444244e-10,4.516775e-28,5.622032,2852.6761453151703,1633,-4.3075542,1.1048868,12.131508,,144
2.7272727,-0.8181818,-7.57752,3.2906598e-33,869.5556915544676,1420854,3.0,19.798416,159.02925,-4.039697,,157,19.798416,-14.027719,20.510809,25.947275,-4.994415,9193.356,0.14999999,24.786598,1634,-1.1606764,-0.6262889,3.140577e-10,11.801193,5.626289,2854.8801968097687,1634,-4.3079176,0.92722875,-0.5144105,,144
0.90909094,-0.45454547,-2.075594,0.012319779,869.6348623853211,1421853,3.0,19.798416,159.02925,-4.033113,,157,19.798416,-14.027719,19.244198,25.19952,-4.4290056,9200.432,0.14999999,24.783453,1635,-0.41606784,-0.62717533,3.1367364e-10,6.7277513,5.6271753,2857.290401697159,1635,-4.3080378,0.917837,-1.7530824,,144
2.7272727,0.8181818,-0.957457,3.784603e-21,869.7139364303179,1422852,3.0,19.798416,159.02925,-4.029618,,157,19.798416,-14.027719,23.543947,27.513813,-4.0419736,9206.389,0.14999999,24.776592,1636,-2.7372205,-0.62737715,3.1329028e-10,6.861244e-21,5.627377,2859.5783700942993,1636,-4.307926,0.9004399,3.6474574,,144
10.0,0.27272728,-3.1821463,0.0009088927,869.7929138668296,1423851,3.0,19.798416,159.02925,-4.030229,,157,19.798416,-14.027719,23.258846,22.22232,-4.2096643,9214.571,0.14999999,24.759523,1637,2.5372033,-0.6289378,3.1290762e-10,1.0476044e-09,5.6289377,2861.911886692047,1637,-4.30793,0.9812299,7.830673,,144
2.7272727,0.45454547,-0.728796,4.6604223,869.8717948717949,1424850,3.0,19.798416,159.02925,-4.0308394,,157,19.798416,-14.027719,20.135551,25.554905,-3.931475,9220.3,0.14999999,24.753067,1638,-0.8018389,-0.6289988,3.125257e-10,1.0508434e-11,5.6289988,2864.214473247528,1638,-4.307713,0.9714959,2.0575907,,144
-6.3636365,-0.09090909,-1.8760494,1.2503039e-06,869.9505796217205,1425849,3.0,19.798416,159.02925,-4.03145,,157,19.798416,-14.027719,19.143824,24.837143,-4.1104326,9227.176,0.14999999,24.750765,1639,-0.08637825,-0.6297596,3.1214445e-10,0.00029458248,5.62976,2866.5239865779877,1639,-4.3076124,1.0616491,-5.5681586,,144
6.3636365,-0.45454547,-0.12485106,0.0025868076,870.0292682926829,1426848,3.0,19.798416,159.02925,-4.0320597,,157,19.798416,-14.027719,18.171856,24.366232,-3.987457,9232.301,0.14999999,24.74034,1640,0.37410784,-0.6294519,3.117639e-10,2.0799968,5.6294518,2868.6225924491882,1640,-4.307381,0.9546296,8.26478,,144
-6.3636365,-0.6363636,-0.30484098,1.7230193e-05,869.9445460085313,1427579,3.0,19.798416,159.02925,-4.0314016,,157,19.798416,-14.027719,19.958687,25.604645,-3.9068418,9237.605,0.14999999,24.723516,1641,-0.881128,-0.6292539,3.1138406e-10,0.5220878,5.629254,2870.6706943511963,1641,-4.3071656,0.95958644,-8.488893,,144
10.0,-1.0,-1.7258167,8.460132e-07,870.0231425091353,1428578,3.0,19.798416,159.02925,-4.031693,,157,19.798416,-14.027719,39.06757,23.44889,-4.196842,9244.332,0.14999999,24.718958,1642,1.2700671,-0.6299218,3.110049e-10,0.03988416,5.629922,2872.7751355171204,1642,-4.3071256,0.966179,8.7108555,,144
10.0,-0.27272728,-1.775042,2.807072e-05,869.8362751065125,1429141,3.0,19.798416,159.02925,-4.0322776,,157,19.798416,-14.027719,23.151592,22.322083,-4.4269176,9251.106,0.14999999,24.718445,1643,2.3963618,-0.6306188,3.106264e-10,0.012535329,5.630619,2874.7644758224487,1643,-4.307222,1.033418,9.323565,,144
-10.0,-0.45454547,1.3061482,6.5086243e-09,869.5553527980535,1429549,3.0,19.798416,159.02925,-4.0328784,,157,19.798416,-14.027719,31.871809,25.22767,-3.9494605,9254.801,0.14999999,24.700089,1644,-0.5275818,-0.6294407,3.1024863e-10,0.0034626983,5.629441,2876.5851125717163,1644,-4.3069863,1.0563589,-11.218571,,144
-2.7272727,0.8181818,-0.2401605,3.2506872e-13,869.6340425531915,1430548,3.0,19.798416,159.02925,-4.0334845,,157,19.798416,-14.027719,23.880325,27.680334,-4.3134904,9260.041,0.14999999,24.68727,1645,-2.9930649,-0.62920403,3.0987155e-10,2.4564582e-21,5.629204,2878.687794446945,1645,-4.3069587,1.0147517,-3.7222805,,144
10.0,-0.6363636,-3.967446,2.9224952e-29,869.7126366950182,1431547,3.0,19.798416,159.02925,-4.034092,,157,19.798416,-14.027719,24.344624,22.916939,-4.3886766,9269.008,0.14999999,24.682808,1646,1.7658699,-0.6312321,3.0949515e-10,0.42320138,5.6312323,2880.7421102523804,1646,-4.307001,1.0477586,7.764389,,144
2.7272727,-1.0,2.4795763,0.16593917,869.3861566484517,1431879,3.0,19.798416,159.02925,-4.0344424,,157,19.798416,-14.027719,33.053333,26.408113,-3.9305644,9271.528,0.14999999,24.676144,1647,-1.7319695,-0.6293434,3.0911945e-10,1.730814,5.6293435,2882.491960287094,1647,-4.306746,1.0448107,6.3229704,,144
4.5454545,-0.6363636,-1.0307271,9.254139,869.2493932038835,1432523,3.0,19.798416,159.02925,-4.033999,,157,19.798416,-14.027719,18.541147,25.030514,-3.9482374,9277.56,0.14999999,24.654572,1648,-0.37594157,-0.6295869,3.087444e-10,12.387373,5.6295867,2884.461516857147,1648,-4.3065047,0.880886,3.418679,,144
-2.7272727,-0.8181818,-0.12434966,0.001032549,869.2431776834445,1433382,3.0,19.798416,159.02925,-4.027117,,157,19.798416,-14.027719,20.982494,26.028378,-3.968498,9282.684,0.14999999,24.654732,1649,-1.3736448,-0.6292805,3.0837005e-10,4.1561303,5.6292806,2886.533240556717,1649,-4.306373,0.9826272,0.547349,,144
-2.7272727,0.09090909,-1.5217676,1.47269805e-08,869.3218181818182,1434381,3.0,19.798416,159.02925,-4.025206,,157,19.798416,-14.027719,19.027298,24.747978,-4.0788736,9289.205,0.14999999,24.652615,1650,-0.095364064,-0.6298214,3.0799638e-10,1.5980737e-05,5.6298213,2888.681381702423,1650,-4.3062477,1.0276036,-5.095834,,144
6.3636365,0.27272728,-0.007862039,0.0041459557,869.4003634161114,1435380,3.0,19.798416,159.02925,-4.0258117,,157,19.798416,-14.027719,17.69998,24.308517,-3.980102,9294.213,0.14999999,24.649282,1651,0.3407656,-0.62944466,3.076234e-10,1.4303668e-08,5.6294446,2890.854380607605,1651,-4.306035,1.0111837,1.3004577,,144
4.5454545,-0.09090909,-0.17571346,0.9212067,869.478813559322,1436379,3.0,19.798416,159.02925,-4.0264173,,157,19.798416,-14.027719,18.252428,24.410616,-4.000249,9299.389,0.14999999,24.64293,1652,0.23231262,-0.62917006,3.0725109e-10,0.0069363127,5.62917,2892.9460802078247,1652,-4.3058443,1.0787348,0.21783593,,144
-2.7272727,0.45454547,-0.025843633,0.012447064,869.557168784029,1437378,3.0,19.798416,159.02925,-4.0270185,,157,19.798416,-14.027719,19.872906,25.436634,-3.9818952,9304.415,0.14999999,24.641027,1653,-0.79560673,-0.6288051,3.0687947e-10,3.7334146e-12,5.628805,2895.068609237671,1653,-4.3056026,1.0290985,-1.6592727,,144
-10.0,-0.09090909,-0.6060665,0.0014577267,869.6354292623942,1438377,3.0,19.798416,159.02925,-4.027623,,157,19.798416,-14.027719,29.46986,24.715546,-4.0357704,9310.0205,0.14999999,24.619095,1654,-0.09644996,-0.6287913,3.0650846e-10,5.4118386e-06,5.6287913,2897.175189256668,1654,-4.3054237,1.1047316,-14.842245,,144
10.0,0.09090909,-0.112235926,3.5557793e-14,869.7135951661631,1439376,3.0,19.798416,159.02925,-4.0282273,,157,19.798416,-14.027719,21.521263,21.96059,-5.6281853,9315.133,0.14999999,24.608446,1655,2.647855,-0.6284792,3.061382e-10,1.0385459e-06,5.628479,2899.304939031601,1655,-4.306163,1.0331076,8.363722,,144
-6.3636365,1.0,0.44238913,1.6076797e-16,869.5084541062802,1439906,3.0,19.798416,159.02925,-4.0288315,,157,19.798416,-14.027719,41.089714,29.242735,-3.873738,9319.69,0.14999999,24.603748,1656,-4.6389875,-0.62783253,3.0576858e-10,5.5301855e-28,5.6278324,2901.32479929924,1656,-4.305884,1.010147,-8.539666,,144
-6.3636365,-0.27272728,-3.3615346,4.4596764e-13,869.5866022933011,1440905,3.0,19.798416,159.02925,-4.029435,,157,19.798416,-14.027719,19.159475,24.81426,-4.39074,9328.053,0.14999999,24.593502,1657,-0.22075911,-0.6294823,3.0539962e-10,0.0154620325,5.6294823,2903.6521983146667,1657,-4.305932,1.0522522,-8.30548,,144
-10.0,0.45454547,-0.4616093,2.1912533e-07,869.664656212304,1441904,3.0,19.798416,159.02925,-4.0300293,,157,19.798416,-14.027719,30.914064,25.331362,-4.0352116,9333.514,0.14999999,24.59032,1658,-0.7410419,-0.62938106,3.0503133e-10,5.5347174e-15,5.629381,2905.8761274814606,1658,-4.305739,0.9841147,-12.008408,,144
0.90909094,-0.27272728,-0.42237487,1.864987e-07,869.7426160337553,1442903,3.0,19.798416,159.02925,-4.030632,,157,19.798416,-14.027719,18.970432,24.749197,-4.7024107,9338.937,0.14999999,24.575575,1659,-0.1736219,-0.62925625,3.046637e-10,0.55454904,5.6292562,2908.1153767108917,1659,-4.3059897,1.0126696,-3.0435128,,144
2.7272727,0.09090909,-0.4942213,0.004804971,869.8204819277108,1443902,3.0,19.798416,159.02925,-4.0309005,,157,19.798416,-14.027719,18.854671,24.570301,-4.0213833,9344.431,0.14999999,24.574747,1660,0.004445956,-0.62917495,3.0429673e-10,4.506536e-05,5.629175,2910.151861667633,1660,-4.305812,1.0914581,6.0785174,,144
10.0,0.6363636,0.2719796,0.00030057228,869.6459963877182,1444482,3.0,19.798416,159.02925,-4.0315027,,157,19.798416,-14.027719,30.148289,25.107735,-3.8959196,9349.158,0.14999999,24.575155,1661,-0.5325798,-0.6286324,3.0393046e-10,1.2951121e-17,5.6286325,2912.1748065948486,1661,-4.305513,1.0550743,12.832317,,144
-6.3636365,-0.8181818,-3.183437,2.0224612e-30,869.7238267148015,1445481,3.0,19.798416,159.02925,-4.0321045,,157,19.798416,-14.027719,20.65543,25.897753,-4.705486,9357.342,0.14999999,24.571243,1662,-1.3265104,-0.63016963,3.035648e-10,0.33476293,5.63017,2914.4443986415863,1662,-4.3057227,0.97431177,-6.8473477,,144
6.3636365,-0.8181818,-0.9600778,0.0019253612,869.8015634395671,1446480,3.0,19.798416,159.02925,-4.0325046,,157,19.798416,-14.027719,18.571533,24.913877,-4.037813,9363.302,0.14999999,24.570652,1663,-0.34322605,-0.630368,3.0319985e-10,3.7129164,5.630368,2916.6820225715637,1663,-4.3055787,0.916529,7.6241503,,144
0.90909094,-0.6363636,-0.29352129,0.04727415,869.5180288461538,1446878,3.0,19.798416,159.02925,-4.0308757,,157,19.798416,-14.027719,19.87389,25.302631,-4.1498713,9368.596,0.14999999,24.553045,1664,-0.7495861,-0.6301655,3.0283553e-10,18.69256,5.6301656,2918.6991860866547,1664,-4.305537,0.8770081,5.435847,,144
10.0,-0.45454547,-1.1178544,1.0645015,869.4282282282282,1447598,3.0,19.798416,159.02925,-4.0203056,,157,19.798416,-14.027719,24.702675,22.371012,-3.9587605,9374.713,0.14999999,24.549154,1665,2.1781425,-0.6304585,3.0247188e-10,0.14989568,5.6304584,2920.876019001007,1665,-4.3054037,1.0787107,13.828036,,144
-0.90909094,0.27272728,3.974489,8.679803e-16,869.078031212485,1447884,3.0,19.798416,159.02925,-4.020816,,157,19.798416,-14.027719,19.078474,24.86139,-5.4748178,9375.739,0.14999999,24.54652,1666,-0.3148682,-0.6276944,3.0210887e-10,3.2611474e-08,5.6276946,2922.7995541095734,1666,-4.306061,1.0055122,1.3734152,,144
-6.3636365,0.27272728,-0.090758644,0.62716097,869.1559688062388,1448883,3.0,19.798416,159.02925,-4.021416,,157,19.798416,-14.027719,19.429728,24.879137,-3.983525,9380.83,0.14999999,24.532232,1667,-0.34690443,-0.62737226,3.0174652e-10,1.2844996e-09,5.6273723,2925.0882048606873,1667,-4.305866,1.0708476,-4.1564984,,144
10.0,-0.8181818,-1.18929,1.10332816e-23,869.2338129496403,1449882,3.0,19.798416,159.02925,-4.0220156,,157,19.798416,-14.027719,25.784855,23.229534,-4.0871763,9387.019,0.14999999,24.522783,1668,1.293249,-0.6277092,3.0138483e-10,0.26791123,5.6277094,2927.3436784744263,1668,-4.3056946,0.9490331,7.441043,,144
6.3636365,0.45454547,0.42820397,4.0074264e-15,868.9496704613541,1450277,3.0,19.798416,159.02925,-4.0224543,,157,19.798416,-14.027719,19.089823,24.921867,-3.9500713,9391.591,0.14999999,24.516344,1669,-0.40552327,-0.6270765,3.010238e-10,3.302239e-12,5.6270766,2929.162106513977,1669,-4.305514,0.95377153,3.8394876,,144
-10.0,-1.0,-0.52384144,8.970546e-23,869.0275449101796,1451276,3.0,19.798416,159.02925,-4.0230536,,157,19.798416,-14.027719,50.101074,26.363459,-4.0139394,9397.114,0.14999999,24.510817,1670,-1.8526419,-0.6270147,3.0066338e-10,0.0009020145,5.6270146,2931.351879835129,1670,-4.305368,0.9366665,-4.175841,,144
-10.0,0.6363636,-1.3213701,1.484851e-20,869.1053261520047,1452275,3.0,19.798416,159.02925,-4.0236516,,157,19.798416,-14.027719,32.05952,26.033613,-4.0689588,9403.436,0.14999999,24.506536,1671,-1.5270774,-0.6274302,3.0030364e-10,2.9313195e-19,5.62743,2933.5773799419403,1671,-4.3052683,0.9701288,-10.252736,,144
-10.0,-0.6363636,-1.0654074,3.242903e-13,869.183014354067,1453274,3.0,19.798416,159.02925,-4.02425,,157,19.798416,-14.027719,30.628561,25.352468,-4.367294,9409.501,0.14999999,24.497644,1672,-0.85482484,-0.6276921,2.9994454e-10,0.009559563,5.627692,2935.773202419281,1672,-4.305326,0.99110025,-9.779506,,144
-2.7272727,-0.45454547,-1.0836091,0.44105765,869.2606096832038,1454273,3.0,19.798416,159.02925,-4.024842,,157,19.798416,-14.027719,19.772163,24.969309,-4.119336,9415.585,0.14999999,24.492857,1673,-0.47645268,-0.62796474,2.9958605e-10,2.324031,5.627965,2938.016806125641,1673,-4.3052235,0.9441366,-1.1557959,,144
6.3636365,-0.27272728,-0.4380447,0.6841327,869.3381123058542,1455272,3.0,19.798416,159.02925,-4.024051,,157,19.798416,-14.027719,17.505644,23.92897,-4.0074396,9421.023,0.14999999,24.468363,1674,0.5393925,-0.62785125,2.9922825e-10,0.17050299,5.6278515,2940.2894744873047,1674,-4.3050804,0.9657674,10.23927,,144
0.90909094,1.0,0.9366364,9.885068e-11,869.0943283582089,1455733,3.0,19.798416,159.02925,-4.0245466,,157,19.798416,-14.027719,41.529922,28.668844,-3.9883504,9425.086,0.14999999,24.467384,1675,-4.201461,-0.62691724,2.9887107e-10,1.9725726e-26,5.6269174,2942.172865629196,1675,-4.304913,0.84029853,-0.3514216,,144
-4.5454545,0.6363636,-5.8498244,0.24454238,869.1718377088306,1456732,3.0,19.798416,159.02925,-4.0251436,,157,19.798416,-14.027719,21.323662,26.004574,-4.8498826,9435.937,0.14999999,24.467407,1676,-1.537167,-0.6300335,2.9851452e-10,6.756637e-17,5.6300335,2944.4463250637054,1676,-4.3053355,0.98220456,-7.6684957,,144
-6.3636365,0.09090909,-1.3763803,0.02721031,869.2492546213476,1457731,3.0,19.798416,159.02925,-4.02574,,157,19.798416,-14.027719,18.984432,24.564947,-4.1249003,9442.3125,0.14999999,24.464312,1677,-0.10063591,-0.63047856,2.981586e-10,1.2814745e-06,5.6304784,2946.7676768302917,1677,-4.30524,1.0078064,-6.3660164,,144
6.3636365,-1.0,-0.00605713,2.5723308e-12,869.326579261025,1458730,3.0,19.798416,159.02925,-4.026336,,157,19.798416,-14.027719,28.71514,25.077995,-3.9790645,9447.318,0.14999999,24.459227,1678,-0.6187682,-0.63010645,2.9780334e-10,0.5440549,5.6301064,2949.0269680023193,1678,-4.3050423,1.0223944,1.3969632,,144
10.0,-0.09090909,-2.154133,4.9743015e-10,869.4038117927338,1459729,3.0,19.798416,159.02925,-4.026608,,157,19.798416,-14.027719,23.237719,21.93413,-4.566514,9454.473,0.14999999,24.446497,1679,2.5123675,-0.6310141,2.974487e-10,0.00023699462,5.631014,2951.229727745056,1679,-4.305188,1.0664685,8.485654,,144
-2.7272727,-0.09090909,2.9081643,0.007827673,869.0904761904762,1460072,3.0,19.798416,159.02925,-4.027203,,157,19.798416,-14.027719,18.909363,24.52338,-3.8885393,9456.564,0.14999999,24.44368,1680,-0.07969989,-0.6289075,2.970947e-10,0.0036599936,5.6289077,2953.1075088977814,1680,-4.304903,1.0741055,-2.1934164,,144
-10.0,0.27272728,-0.5104932,1.907697e-06,869.167757287329,1461071,3.0,19.798416,159.02925,-4.027796,,157,19.798416,-14.027719,30.668201,24.749428,-4.019513,9462.075,0.14999999,24.442947,1681,-0.30648062,-0.62883705,2.9674133e-10,2.3839966e-11,5.628837,2955.483071565628,1681,-4.3046904,0.9756221,-9.472418,,144
-10.0,-0.27272728,-0.5448157,0.00053173373,869.2449464922711,1462070,3.0,19.798416,159.02925,-4.0283904,,157,19.798416,-14.027719,29.145142,24.689825,-4.183689,9467.62,0.14999999,24.438187,1682,-0.25163832,-0.6287871,2.9638858e-10,0.00028484792,5.628787,2957.952136993408,1682,-4.304634,1.1498249,-8.468765,,144
6.3636365,1.0,-0.20070733,1.1786041e-20,869.3220439691028,1463069,3.0,19.798416,159.02925,-4.028985,,157,19.798416,-14.027719,46.671333,30.600504,-4.0233727,9472.82,0.14999999,24.43889,1683,-6.161614,-0.6285327,2.9603647e-10,6.1321348e-27,5.628533,2960.1694700717926,1683,-4.304382,0.9986541,8.338284,,144
