IWMean,IWFirstEpisode,Regret/t,MountainCar_std1_higher,NumTrajectories,ReturnMax,ReturnMin,Delta,MountainCar_mu0_higher,DenMISELogFirst,TimeElapsed,Bound,Regret,ReturnStepMax,MountainCar_mu1_higher,IWMax,IWMin,DenMISELogLast,GridSize,ReturnLastEpisode,AvgEpLen,Iteration,MinEpLen,IWLastEpisode,TimestepsSoFar,ReturnAbsMax,ActionIn1,NumTrainableParams,DenMISEMeanLog,ReturnMean,MountainCar_std0_higher
3.072302e+23,4.5907827e-06,6.6259313,1.5,19,,-2.3977416,8.420043e-06,-1.0,-27.826765,21.889886617660522,inf,125.8927,23.928894,-10.0,2.6995594e+24,,-58.206482,400,-0.9336836,999.0,19,999,1.8124735e+23,18981,2.3977416,-14.206276,,-28.739977,-1.6259314,0.14999999
3.698438e+23,4.8323986e-06,6.6334624,1.5,20,,-2.3977416,7.5990883e-06,-1.0,-27.878057,23.173375606536865,inf,132.66925,23.928894,-10.0,2.8416388e+24,,-58.257774,400,-1.7765529,999.0,20,999,1.2906511e+24,19980,2.3977416,-10.902537,,-30.229935,-1.6334625,0.14999999
3.6808446e+23,5.0740273e-06,6.642486,1.5,21,,-2.3977416,6.892597e-06,-1.0,-27.92685,24.42432451248169,inf,139.49222,23.928894,-10.0,2.9837202e+24,,1.7709384,400,-1.8229584,999.0,21,999,0.11890266,20979,2.3977416,-11.631862,,-28.721224,-1.6424862,0.14999999
3.6646554e+23,5.3156386e-06,6.6427593,1.5,22,,-2.3977416,6.2802383e-06,-1.0,-27.973368,25.750916004180908,inf,146.14072,23.928894,-10.0,3.1258028e+24,,-9.110149,400,-1.6485013,999.0,22,999,5162.2046,21978,2.3977416,-12.260381,,-27.843534,-1.6427594,0.14999999
3.6497096e+23,5.5572636e-06,6.681443,1.5,23,,-2.5324821,5.7460034e-06,-1.0,-28.01782,27.11558437347412,inf,153.67319,25.671572,-10.0,3.2678877e+24,,-23.723743,400,-2.5324821,999.0,23,999,4311819000.0,22977,2.5324821,-9.771391,,-27.676914,-1.6814432,0.14999999
3.6358702e+23,5.798889e-06,6.6728415,1.5,24,,-2.5324821,5.277145e-06,-1.0,-28.06038,28.43565011024475,inf,160.1482,25.671572,-10.0,3.4099732e+24,,-24.997396,400,-1.4750056,999.0,24,999,25734881000.0,23976,2.5324821,-7.7189894,,-27.576706,-1.6728417,0.14999999
3.7040514e+23,6.040504e-06,6.7179294,1.5,25,,-2.8000343,4.8634165e-06,-1.0,-28.101202,29.758966207504272,inf,167.94824,28.00704,-10.0,3.552052e+24,,-58.48092,400,-2.8000343,999.0,25,999,2.0260369e+23,24975,2.8000343,-10.167959,,-28.823372,-1.7179294,0.14999999
3.692073e+23,6.282125e-06,6.7158413,1.5,26,,-2.8000343,4.4965022e-06,-1.0,-28.140423,30.973817348480225,inf,174.61188,28.00704,-10.0,3.6941274e+24,,-10.929734,400,-1.663649,999.0,26,999,30631.127,25974,2.8000343,-13.145854,,-28.1464,-1.7158415,0.14999999
6.2166154e+23,6.5237473e-06,6.7218537,1.5,27,,-2.8000343,4.1695957e-06,-1.0,-28.178164,32.27598214149475,inf,181.49005,28.00704,-10.0,6.84642e+24,,-58.55788,400,-1.8781693,999.0,27,999,6.84642e+24,26973,2.8000343,-11.949487,,-29.28315,-1.7218537,0.14999999
6.2061455e+23,6.7653664e-06,6.707586,1.5,28,,-2.8000343,3.8770854e-06,-1.0,-28.21453,33.58189010620117,inf,187.81241,28.00704,-10.0,7.099976e+24,,-27.070908,400,-1.3223554,999.0,28,999,149817700000.0,27972,2.8000343,-11.8993225,,-29.215124,-1.7075859,0.14999999
6.196342e+23,7.0069873e-06,6.692394,1.5,29,,-2.8000343,3.6143113e-06,-1.0,-28.249622,34.87662148475647,inf,194.07942,28.00704,-10.0,7.353547e+24,,-26.048534,400,-1.2670152,999.0,29,999,44027384000.0,28971,2.8000343,-11.628253,,-29.116148,-1.6923939,0.14999999
6.187129e+23,7.248605e-06,6.6779222,1.5,30,,-2.8000343,3.377373e-06,-1.0,-28.283524,36.11193299293518,inf,200.33766,28.00704,-10.0,7.6071156e+24,,-14.34222,400,-1.2582428,999.0,30,999,411662.62,29970,2.8000343,-11.556398,,-28.633205,-1.6779221,0.14999999
6.178465e+23,7.4902205e-06,6.658314,1.5,31,,-2.8000343,3.162992e-06,-1.0,-28.316313,37.46848773956299,inf,206.40775,28.00704,-10.0,7.860696e+24,,-15.06248,400,-1.0700792,999.0,31,999,398784.06,30969,2.8000343,-8.858443,,-28.204342,-1.6583143,0.14999999
8.1669544e+23,7.731848e-06,6.6529264,1.5,32,,-2.8000343,2.9683938e-06,-1.0,-28.348063,38.71742081642151,inf,212.89365,28.00704,-10.0,8.1142754e+24,,-58.72778,400,-1.4859126,999.0,32,999,6.389311e+24,31968,2.8000343,-11.615128,,-29.166533,-1.6529267,0.14999999
8.159214e+23,7.9734655e-06,6.6553698,1.5,33,,-2.8000343,2.7912172e-06,-1.0,-28.378834,40.030664682388306,inf,219.62721,28.00704,-10.0,8.367827e+24,,-7.7512445,400,-1.7335533,999.0,33,999,1432.1486,32967,2.8000343,-11.894088,,-28.52637,-1.65537,0.14999999
8.151913e+23,8.215093e-06,6.640423,1.5,34,,-2.8000343,2.6294422e-06,-1.0,-28.408688,41.408722162246704,inf,225.77438,28.00704,-10.0,8.6214046e+24,,-29.504734,400,-1.1471668,999.0,34,999,715610600000.0,33966,2.8000343,-9.881669,,-28.563404,-1.6404228,0.14999999
8.144994e+23,8.4567e-06,6.630684,1.5,35,,-2.8000343,2.481335e-06,-1.0,-28.437674,42.74862742424011,inf,232.07393,28.00704,-10.0,8.874979e+24,,-17.950752,400,-1.2995558,999.0,35,999,16066134.0,34965,2.8000343,-10.291244,,-28.267965,-1.6306838,0.14999999
8.1384304e+23,8.6983255e-06,6.6284447,1.5,36,,-2.8000343,2.3453977e-06,-1.0,-28.465845,44.050955057144165,inf,238.62401,28.00704,-10.0,9.128556e+24,,-6.4313807,400,-1.5500778,999.0,36,999,317.96368,35964,2.8000343,-11.470491,,-27.668737,-1.6284447,0.14999999
8.132176e+23,8.939946e-06,6.634261,1.5,37,,-2.8000343,2.2203328e-06,-1.0,-28.493244,45.32587456703186,inf,245.46767,28.00704,-10.0,9.38211e+24,,-3.4458354,400,-1.8436577,999.0,37,999,20.827787,36963,2.8000343,-11.1868925,,-27.021004,-1.6342613,0.14999999
8.126241e+23,9.18157e-06,6.636327,1.5,38,,-2.8000343,2.1050107e-06,-1.0,-28.519913,46.55396270751953,inf,252.18042,28.00704,-10.0,9.6356827e+24,,0.6499904,400,-1.7127602,999.0,38,999,0.34642032,37962,2.8000343,-8.597804,,-26.29939,-1.636327,0.14999999
9.4005854e+23,9.423178e-06,6.652149,1.5,39,,-2.8000343,1.9984454e-06,-1.0,-28.545887,47.8703932762146,inf,259.43384,28.00704,-10.0,9.889279e+24,,-58.925606,400,-2.2534008,999.0,39,999,4.991914e+24,38961,2.8000343,-10.988438,,-27.14219,-1.6521493,0.14999999
9.395162e+23,9.664802e-06,6.6519804,1.5,40,,-2.8000343,1.8997721e-06,-1.0,-28.571205,49.15863347053528,inf,266.07922,28.00704,-10.0,1.0142815e+25,,1.7449328,400,-1.6453811,999.0,40,999,0.11063297,39960,2.8000343,-12.021577,,-26.426579,-1.6519802,0.14999999
9.3900146e+23,9.906421e-06,6.6616745,1.5,41,,-2.8000343,1.8082306e-06,-1.0,-28.595898,50.4952597618103,inf,273.12866,28.00704,-10.0,1.0396384e+25,,-18.672241,400,-2.0494537,999.0,41,999,68286770.0,40959,2.8000343,-12.6156435,,-26.243689,-1.6616747,0.14999999
9.385095e+23,1.014804e-05,6.686653,1.5,42,,-2.8000343,1.7231492e-06,-1.0,-28.619995,51.87206530570984,inf,280.83942,28.00704,-10.0,1.0649954e+25,,-41.178593,400,-2.7107697,999.0,42,999,9.445706e+16,41958,2.8000343,-9.621309,,-26.605219,-1.6866531,0.14999999
9.3804136e+23,1.0389665e-05,6.696501,1.5,43,,-2.8000343,1.6439349e-06,-1.0,-28.643526,53.18354606628418,inf,287.94952,28.00704,-10.0,1.090355e+25,,-44.771652,400,-2.1100965,999.0,43,999,1.1089258e+19,42957,2.8000343,-8.2986555,,-27.033356,-1.6965005,0.14999999
1.0274905e+24,1.0631282e-05,6.7093067,1.5,44,,-2.8000343,1.5700596e-06,-1.0,-28.666515,54.55291438102722,inf,295.2095,28.00704,-10.0,1.1157097e+25,,-59.04623,400,-2.259979,999.0,44,999,3.9556682e+24,43956,2.8000343,-13.336052,,-27.766325,-1.7093068,0.14999999
1.1913625e+24,1.0872897e-05,6.723228,1.5,45,,-2.8000343,1.5010545e-06,-1.0,-28.688988,55.89248561859131,inf,302.54526,28.00704,-10.0,1.1410706e+25,,-59.068707,400,-2.335756,999.0,45,999,7.3935167e+24,44955,2.8000343,-12.2259655,,-28.467602,-1.7232281,0.14999999
1.1909454e+24,1.1114533e-05,6.720836,1.5,46,,-2.8000343,1.4365008e-06,-1.0,-28.710968,57.20632266998291,inf,309.15848,28.00704,-10.0,1.1664249e+25,,-36.018314,400,-1.6132072,999.0,46,999,1855433400000000.0,45954,2.8000343,-9.97858,,-28.637655,-1.7208363,0.14999999
1.190549e+24,1.1356144e-05,6.7088623,1.5,47,,-2.8000343,1.3760232e-06,-1.0,-28.732473,58.49250149726868,inf,315.31653,28.00704,-10.0,1.1917831e+25,,-12.446486,400,-1.1580563,999.0,47,999,35136.08,46953,2.8000343,-11.028003,,-28.298819,-1.7088623,0.14999999
1.19016685e+24,1.1597762e-05,6.719739,1.5,48,,-2.8000343,1.3192863e-06,-1.0,-28.753527,59.76788306236267,inf,322.5475,28.00704,-10.0,1.2171402e+25,,1.5678967,400,-2.2309365,999.0,48,999,0.115902394,47952,2.8000343,-9.315145,,-27.682013,-1.719739,0.14999999
