IWMax,Regret/t,Bound,IWMean,Delta,ReturnAbsMax,Regret,IWFirstEpisode,ReturnStepMax,ReturnMin,TimeElapsed,MinEpLen,TimestepsSoFar,DenMISELogFirst,ReturnMax,ReturnLastEpisode,NumTrainableParams,DenMISELogLast,IWLastEpisode,GridSize,ReturnMean,AvgEpLen,MountainCar_std1_higher,MountainCar_std0_higher,DenMISEMeanLog,NumTrajectories,IWMin,MountainCar_mu1_higher,MountainCar_mu0_higher,ActionIn1,Iteration
1.3022397e-19,5.0068483,inf,1.3022397e-19,0.0030396353,0.0068483828,5.0068483,1.3022397e-19,0.067981154,-0.0068483828,0.3951854705810547,999,999,-5.6232686,,-0.0068483828,2,-5.6232686,1.3022397e-19,400,-0.0068483828,999.0,1.5,0.14999999,-5.6232686,1,,-10.0,-1.0,-9.943268,1
1881068800000.0,6.1211386,inf,940534400000.0,0.0007599088,2.2354293,12.242277,2.6044756e-19,22.422834,-2.2354293,1.609194040298462,999,1998,-6.316416,,-2.2354293,,-29.172567,1881068800000.0,400,-1.1211388,999.0,1.5,0.14999999,-17.744492,2,,-10.0,-1.0,-12.281057,2
1285647700000000.0,6.356217,inf,429019500000000.0,0.0003377373,2.2354293,19.068651,3.906725e-19,22.422834,-2.2354293,2.7605905532836914,999,2997,-6.721881,,-1.8263737,,-35.509193,1285647700000000.0,400,-1.356217,999.0,1.5,0.14999999,-23.70532,3,,-10.0,-1.0,-10.182238,3
1142798500000000.0,6.2697997,inf,286013100000000.0,0.0001899772,2.2354293,25.079199,5.2089636e-19,22.422834,-2.2354293,3.850729465484619,999,3996,-7.009563,,-1.0105472,,-6.235061,42.695545,400,-1.2697996,999.0,1.5,0.14999999,-19.350784,4,,-10.0,-1.0,-10.0960455,4
1071375160000000.0,6.326914,inf,214510160000000.0,0.00012158541,2.2354293,31.634567,6.511211e-19,22.422834,-2.2354293,5.0292229652404785,999,4995,-7.2327065,,-1.5553691,,-12.785149,173543.61,400,-1.3269136,999.0,1.5,0.14999999,-18.043562,5,,-10.0,-1.0,-14.016916,5
3.290427e+23,6.520283,inf,5.4840454e+22,8.443432e-05,2.4871304,39.121696,7.8134385e-19,25.029785,-2.4871304,6.220134735107422,999,5994,-7.415028,,-2.4871304,,-57.053802,3.290427e+23,400,-1.5202831,999.0,1.5,0.14999999,-24.54844,6,,-10.0,-1.0,-11.777303,6
3.838822e+23,6.599512,inf,5.484031e+22,6.203337e-05,2.4871304,46.196583,9.11569e-19,25.029785,-2.4871304,7.412171125411987,999,6993,-7.5691786,,-2.074885,,-9.702939,9525.012,400,-1.5995119,999.0,1.5,0.14999999,-22.4556,7,,-10.0,-1.0,-9.659172,7
4.387234e+23,6.6401825,inf,5.484043e+22,4.74943e-05,2.4871304,53.12146,1.0417913e-18,25.029785,-2.4871304,8.57112717628479,999,7992,-7.70271,,-1.9248774,,-39.028435,4.1679883e+16,400,-1.6401826,999.0,1.5,0.14999999,-24.5477,8,,-10.0,-1.0,-14.741287,8
4.935636e+23,6.6210375,inf,7.3206904e+22,3.7526363e-05,2.4871304,59.58934,1.1720146e-18,25.029785,-2.4871304,9.772818803787231,999,8991,-7.820493,,-1.4678786,,-57.459267,1.6529852e+23,400,-1.6210377,999.0,1.5,0.14999999,-28.220219,9,,-10.0,-1.0,-12.714096,9
5.484048e+23,6.700309,inf,7.4450577e+22,3.0396353e-05,2.4871304,67.00309,1.3022404e-18,25.029785,-2.4871304,10.968728303909302,999,9990,-7.9258537,,-2.4137495,,-52.332073,1.2435612e+22,400,-1.7003088,999.0,1.5,0.14999999,-30.655558,10,,-10.0,-1.0,-11.551128,10
6.032453e+23,6.71585,inf,7.432682e+22,2.5120953e-05,2.4871304,73.87435,1.4324644e-18,25.029785,-2.4871304,12.24027156829834,999,10989,-8.021164,,-1.8712639,,-4.979979,96.06699,400,-1.7158501,999.0,1.5,0.14999999,-28.341059,11,,-10.0,-1.0,-12.469429,11
6.580845e+23,6.723518,inf,7.4254774e+22,2.110858e-05,2.4871304,80.68222,1.5626914e-18,25.029785,-2.4871304,13.38644003868103,999,11988,-8.108175,,-1.8078654,,-48.181976,3.5337723e+20,400,-1.723518,999.0,1.5,0.14999999,-30.010727,12,,-10.0,-1.0,-10.266595,12
7.1292566e+23,6.670657,inf,7.4167864e+22,1.7986009e-05,2.4871304,86.718544,1.692911e-18,25.029785,-2.4871304,14.596458196640015,999,12987,-8.188218,,-1.0363252,,-4.378682,8.593064,400,-1.670657,999.0,1.5,0.14999999,-28.052706,13,,-10.0,-1.0,-7.923089,13
7.677662e+23,6.7220592,inf,1.1595842e+23,1.5508342e-05,2.4871304,94.10883,1.8231352e-18,25.029785,-2.4871304,15.749890089035034,999,13986,-8.262326,,-2.39029,,-57.9011,5.8609896e+23,400,-1.7220595,999.0,1.5,0.14999999,-30.196398,14,,-10.0,-1.0,-9.011117,14
3.9600164e+24,6.7434287,inf,3.7989635e+23,1.3509492e-05,2.4871304,101.15143,1.9533587e-18,25.029785,-2.4871304,16.964914560317993,999,14985,-8.331319,,-2.0425985,,-57.970093,3.9600164e+24,400,-1.7434288,999.0,1.5,0.14999999,-32.062984,15,,-10.0,-1.0,-11.962726,15
4.2240113e+24,6.768215,inf,3.79841e+23,1.1873575e-05,2.4871304,108.29144,2.0835875e-18,25.029785,-2.4871304,18.205655813217163,999,15984,-8.395858,,-2.1400142,,-15.275011,2160414.5,400,-1.7682154,999.0,1.5,0.14999999,-31.031134,16,,-10.0,-1.0,-10.228084,16
4.4880225e+24,6.82718,inf,3.797938e+23,1.0517769e-05,2.7706063,116.06206,2.2138085e-18,27.878124,-2.7706063,19.37771701812744,999,16983,-8.456482,,-2.7706063,,-23.861582,2529571300.0,400,-1.8271797,999.0,1.5,0.14999999,-30.624706,17,,-10.0,-1.0,-7.655085,17
4.7520107e+24,6.8345356,inf,4.3641512e+23,9.381591e-06,2.7706063,123.021645,2.3440348e-18,27.878124,-2.7706063,20.59235429763794,999,17982,-8.51364,,-1.9595917,,-58.152412,1.01996134e+24,400,-1.8345358,999.0,1.5,0.14999999,-32.1676,18,,-10.0,-1.0,-12.317422,18
5.0160225e+24,6.8275394,inf,4.3637845e+23,8.420043e-06,2.7706063,129.72325,2.4742552e-18,27.878124,-2.7706063,21.8602192401886,999,18981,-8.567708,,-1.7016088,,-39.8796,9.142702e+16,400,-1.8275396,999.0,1.5,0.14999999,-32.588627,19,,-10.0,-1.0,-11.77849,19
5.280019e+24,6.8294706,inf,4.363444e+23,7.5990883e-06,2.7706063,136.58942,2.604477e-18,27.878124,-2.7706063,23.15154004096985,999,19980,-8.619,,-1.8661638,,-11.472038,59390.695,400,-1.8294709,999.0,1.5,0.14999999,-31.546387,20,,-10.0,-1.0,-11.407313,20
5.544019e+24,6.830665,inf,4.3631403e+23,6.892597e-06,2.7706063,143.44397,2.7347108e-18,27.878124,-2.7706063,24.398064374923706,999,20979,-8.667791,,-1.8545508,,-1.8186543,4.199924,400,-1.830665,999.0,1.5,0.14999999,-30.143057,21,,-10.0,-1.0,-10.75386,21
5.8080214e+24,6.8115053,inf,4.362865e+23,6.2802383e-06,2.7706063,149.85312,2.8649247e-18,27.878124,-2.7706063,25.71587824821472,999,21978,-8.714311,,-1.4091434,,1.2031043,0.12808375,400,-1.8115051,999.0,1.5,0.14999999,-28.729376,22,,-10.0,-1.0,-7.9591384,22
6.0720277e+24,6.800609,inf,5.173432e+23,5.7460034e-06,2.7706063,156.41402,2.9951515e-18,27.878124,-2.7706063,27.08908700942993,999,22977,-8.758763,,-1.5609034,,-58.397537,1.8648652e+24,400,-1.8006092,999.0,1.5,0.14999999,-30.02946,23,,-10.0,-1.0,-11.114698,23
6.336035e+24,6.795657,inf,5.1732078e+23,5.277145e-06,2.7706063,163.09576,3.1253783e-18,27.878124,-2.7706063,28.393452167510986,999,23976,-8.801322,,-1.6817555,,1.0755141,0.21649657,400,-1.795657,999.0,1.5,0.14999999,-28.744574,24,,-10.0,-1.0,-11.610872,24
6.6000306e+24,6.786701,inf,5.1729956e+23,4.8634165e-06,2.7706063,169.66754,3.2555995e-18,27.878124,-2.7706063,29.71234130859375,999,24975,-8.842144,,-1.5717671,,-9.312535,5771.6934,400,-1.7867013,999.0,1.5,0.14999999,-27.977545,25,,-10.0,-1.0,-9.612738,25
6.8640196e+24,6.789998,inf,5.1727924e+23,4.4965022e-06,2.7706063,176.53995,3.3858173e-18,27.878124,-2.7706063,30.93535542488098,999,25974,-8.881365,,-1.8724173,,-40.777493,2.363985e+17,400,-1.7899983,999.0,1.5,0.14999999,-28.479305,26,,-10.0,-1.0,-9.815911,26
7.1280364e+24,6.793034,inf,5.1726266e+23,4.1695957e-06,2.7706063,183.41193,3.516049e-18,27.878124,-2.7706063,32.240602254867554,999,26973,-8.919106,,-1.8719676,,-29.114689,2286427300000.0,400,-1.7930341,999.0,1.5,0.14999999,-28.511583,27,,-10.0,-1.0,-9.976098,27
7.392022e+24,6.7804174,inf,5.1724533e+23,3.8770854e-06,2.7706063,189.85168,3.646279e-18,27.878124,-2.7706063,33.572333335876465,999,27972,-8.955473,,-1.4397678,,-15.809783,2792195.0,400,-1.7804176,999.0,1.5,0.14999999,-28.066061,28,,-10.0,-1.0,-12.13826,28
7.6560237e+24,6.792824,inf,5.1722995e+23,3.6143113e-06,2.7706063,196.99188,3.7764894e-18,27.878124,-2.7706063,34.863497257232666,999,28971,-8.990564,,-2.1401927,,-22.782974,3661529300.0,400,-1.7928236,999.0,1.5,0.14999999,-27.891436,29,,-10.0,-1.0,-8.899799,29
7.9200214e+24,6.7693005,inf,5.785446e+23,3.377373e-06,2.7706063,203.07901,3.906727e-18,27.878124,-2.7706063,36.10131883621216,999,29970,-9.024466,,-1.0871286,,-58.66324,1.8398653e+24,400,-1.7693003,999.0,1.5,0.14999999,-28.9242,30,,-10.0,-1.0,-12.714871,30
8.7943653e+24,6.762893,inf,8.622213e+23,3.162992e-06,2.7706063,209.64969,4.036941e-18,27.878124,-2.7706063,37.441924810409546,999,30969,-9.057256,,-1.5706747,,-58.696026,8.7943653e+24,400,-1.7628931,999.0,1.5,0.14999999,-29.89226,31,,-10.0,-1.0,-10.634379,31
9.078029e+24,6.755518,inf,8.6220846e+23,2.9683938e-06,2.7706063,216.17657,4.1671692e-18,27.878124,-2.7706063,38.714303731918335,999,31968,-9.0890045,,-1.526898,,0.21457477,0.42638874,400,-1.7555182,999.0,1.5,0.14999999,-28.959633,32,,-10.0,-1.0,-12.828345,32
9.361731e+24,6.750819,inf,1.1306621e+24,2.7912172e-06,2.7706063,222.77704,4.297383e-18,27.878124,-2.7706063,40.04947066307068,999,32967,-9.119776,,-1.6004549,,-58.75855,8.859385e+24,400,-1.7508193,999.0,1.5,0.14999999,-29.870342,33,,-10.0,-1.0,-10.669193,33
9.6453915e+24,6.7665725,inf,1.1306511e+24,2.6294422e-06,2.7706063,230.06346,4.4276108e-18,27.878124,-2.7706063,41.39725470542908,999,33966,-9.14963,,-2.2864194,,-2.8585994,8.6563835,400,-1.7665724,999.0,1.5,0.14999999,-29.08404,34,,-10.0,-1.0,-10.092903,34
9.929083e+24,6.757514,inf,1.1306414e+24,2.481335e-06,2.7706063,236.513,4.5578363e-18,27.878124,-2.7706063,42.75221300125122,999,34965,-9.178617,,-1.4495343,,-11.394481,34211.24,400,-1.7575141,999.0,1.5,0.14999999,-28.586313,35,,-10.0,-1.0,-10.088163,35
1.0212778e+25,6.7392597,inf,1.1306322e+24,2.3453977e-06,2.7706063,242.61334,4.688063e-18,27.878124,-2.7706063,44.066129207611084,999,35964,-9.206787,,-1.1003503,,-8.9229555,1010.6599,400,-1.7392596,999.0,1.5,0.14999999,-28.04737,36,,-10.0,-1.0,-11.508071,36
1.0496487e+25,6.751013,inf,1.130622e+24,2.2203328e-06,2.7706063,249.78748,4.8182783e-18,27.878124,-2.7706063,45.33066987991333,999,36963,-9.234186,,-2.174138,,-2.0508223,4.3168764,400,-1.751013,999.0,1.5,0.14999999,-27.351624,37,,-10.0,-1.0,-11.050903,37
1.0780138e+25,6.772997,inf,1.1306128e+24,2.1050107e-06,2.7706063,257.3739,4.9485224e-18,27.878124,-2.7706063,46.552629232406616,999,37962,-9.260855,,-2.586408,,0.24297693,0.19065626,400,-1.772997,999.0,1.5,0.14999999,-26.631948,38,,-10.0,-1.0,-11.641406,38
1.1063854e+25,6.768363,inf,1.13060736e+24,1.9984454e-06,2.7706063,263.96616,5.0787405e-18,27.878124,-2.7706063,47.86823129653931,999,38961,-9.28683,,-1.5922629,,-10.036051,12122.6875,400,-1.7683628,999.0,1.5,0.14999999,-26.21258,39,,-10.0,-1.0,-9.184494,39
1.3656618e+25,6.770685,inf,1.4720124e+24,1.8997721e-06,2.7706063,270.8274,5.2089664e-18,27.878124,-2.7706063,49.15488910675049,999,39960,-9.312148,,-1.8612512,,-58.950916,1.3656618e+25,400,-1.770685,999.0,1.5,0.14999999,-27.03689,40,,-10.0,-1.0,-11.390316,40
1.3998033e+25,6.7745485,inf,1.4720048e+24,1.8082306e-06,2.7706063,277.7565,5.3391903e-18,27.878124,-2.7706063,50.479002475738525,999,40959,-9.336841,,-1.9290899,,-1.1047058,2.0506413,400,-1.7745486,999.0,1.5,0.14999999,-26.41058,41,,-10.0,-1.0,-10.9191265,41
1.4339446e+25,6.8031073,inf,1.4719977e+24,1.7231492e-06,2.974019,285.73053,5.4694137e-18,29.91405,-2.974019,51.866305351257324,999,41958,-9.360938,,-2.974019,,-4.157785,4.0179024,400,-1.8031075,999.0,1.5,0.14999999,-25.88664,42,,-10.0,-1.0,-10.379954,42
1.468084e+25,6.805128,inf,1.4719921e+24,1.6439349e-06,2.974019,292.62048,5.5996298e-18,29.91405,-2.974019,53.17876577377319,999,42957,-9.384469,,-1.8899878,,-6.6663876,509.83322,400,-1.8051279,999.0,1.5,0.14999999,-25.44527,43,,-10.0,-1.0,-12.30003,43
1.5022224e+25,6.8131332,inf,1.4719823e+24,1.5700596e-06,2.974019,299.77786,5.7298636e-18,29.91405,-2.974019,54.555330991744995,999,43956,-9.407458,,-2.1573632,,-30.635069,8515435400000.0,400,-1.8131332,999.0,1.5,0.14999999,-25.568573,44,,-10.0,-1.0,-10.462063,44
1.536363e+25,6.8243957,inf,1.4719784e+24,1.5010545e-06,2.974019,307.0978,5.860085e-18,29.91405,-2.974019,55.88784074783325,999,44955,-9.429931,,-2.3199534,,-8.462085,2044.3636,400,-1.8243958,999.0,1.5,0.14999999,-25.193544,45,,-10.0,-1.0,-12.668781,45
1.6125902e+25,6.8234544,inf,1.8225351e+24,1.4365008e-06,2.974019,313.8789,5.990317e-18,29.91405,-2.974019,57.2148072719574,999,45954,-9.45191,,-1.781094,,-59.056805,1.6125902e+25,400,-1.8234545,999.0,1.5,0.14999999,-25.934591,46,,-10.0,-1.0,-9.08851,46
1.6464231e+25,6.8292284,inf,2.0894775e+24,1.3760232e-06,2.974019,320.97372,6.1205244e-18,29.91405,-2.974019,58.49427151679993,999,46953,-9.473416,,-2.0948222,,-59.11219,1.2558721e+25,400,-1.8292283,999.0,1.5,0.14999999,-26.645632,47,,-10.0,-1.0,-8.441276,47
1.6802092e+25,6.8200283,inf,2.1952138e+24,1.3192863e-06,2.974019,327.36136,6.250748e-18,29.91405,-2.974019,59.751147508621216,999,47952,-9.49447,,-1.3876276,,-59.133244,5.0880605e+24,400,-1.8200283,999.0,1.5,0.14999999,-27.327826,48,,-10.0,-1.0,-11.964897,48
1.7139498e+25,6.823437,inf,2.1949494e+24,1.2659872e-06,2.974019,334.34842,6.3809908e-18,29.91405,-2.974019,60.987090826034546,999,48951,-9.515089,,-1.9870604,,-17.09553,14994090.0,400,-1.8234371,999.0,1.5,0.14999999,-27.124577,49,,-10.0,-1.0,-10.792477,49
