ReturnAbsMax,ActionIn1,GridSize,DenMISEMeanLog,IWLastEpisode,TimeElapsed,AvgEpLen,MinEpLen,Regret,IWFirstEpisode,TimestepsSoFar,MountainCar_std1_higher,MountainCar_std0_higher,Delta,IWMean,ReturnMax,IWMin,DenMISELogLast,ReturnMean,ReturnLastEpisode,MountainCar_mu1_higher,ReturnStepMax,NumTrainableParams,Regret/t,NumTrajectories,DenMISELogFirst,Bound,Iteration,MountainCar_mu0_higher,IWMax,ReturnMin
0.01636276,-12.333846,400,-2.8073854,1.6940084e-19,0.4113132953643799,999.0,999,5.0163627,1.6940084e-19,999,1.5,0.14999999,0.0030396353,1.6940084e-19,,,-2.8073854,-0.01636276,-0.01636276,-10.0,0.16718078,2,5.0163627,1,-2.8073854,inf,1,-1.0,1.6940084e-19,-0.01636276
1.9623638,-8.811342,400,-20.078888,3958971200000000.0,1.6316499710083008,999.0,999,11.978726,3.3880248e-19,1998,1.5,0.14999999,0.0007599088,1979485600000000.0,,,-36.65724,-0.9893633,-1.9623638,-10.0,19.80091,,5.989363,2,-3.5005326,inf,2,-1.0,3958971200000000.0,-1.9623638
1.9623638,-11.008358,400,-32.21207,7.06194e+23,2.8013017177581787,999.0,999,18.655128,5.082033e-19,2997,1.5,0.14999999,0.0003377373,2.3539798e+23,,,-56.360653,-1.218376,-1.6764015,-10.0,19.80091,,6.218376,3,-3.9059978,inf,3,-1.0,7.06194e+23,-1.9623638
1.9623638,-11.069101,400,-23.871342,0.13829711,3.8798859119415283,999.0,999,25.43685,6.77604e-19,3996,1.5,0.14999999,0.0001899772,2.3539878e+23,,,1.6084275,-1.3592125,-1.781722,-10.0,19.80091,,6.3592124,4,-4.19368,inf,4,-1.0,9.415951e+23,-1.9623638
2.15662,-11.55258,400,-18.841463,0.1252307,5.057462453842163,999.0,999,32.59347,8.4700586e-19,4995,1.5,0.14999999,0.00012158541,2.353981e+23,,,1.5952641,-1.518694,-2.15662,-10.0,21.457941,,6.518694,5,-4.4168234,inf,5,-1.0,1.17699054e+24,-2.15662
2.15662,-9.497904,400,-16.473799,52.986214,6.248478412628174,999.0,999,39.544502,1.0164051e-18,5994,1.5,0.14999999,8.443432e-05,2.3539856e+23,,,-4.3932977,-1.5907506,-1.9510332,-10.0,21.457941,,6.5907507,6,-4.599145,inf,6,-1.0,1.4123914e+24,-2.15662
2.5774052,-10.561592,400,-22.320797,9.612842e+23,7.418781280517578,999.0,999,47.12191,1.1858074e-18,6993,1.5,0.14999999,6.203337e-05,3.727243e+23,,,-57.207184,-1.7317011,-2.5774052,-10.0,25.880108,,6.731701,7,-4.7532954,inf,7,-1.0,1.6477857e+24,-2.5774052
2.5774052,-10.614088,400,-20.055058,29.476955,8.598669290542603,999.0,999,54.198357,1.3552061e-18,7992,1.5,0.14999999,4.74943e-05,3.727067e+23,,,-3.8768828,-1.7747946,-2.0764484,-10.0,25.880108,,6.7747946,8,-4.886827,inf,8,-1.0,1.8831875e+24,-2.5774052
2.5774052,-9.427367,400,-17.864277,0.54342806,9.816059589385986,999.0,999,60.709934,1.5246062e-18,8991,1.5,0.14999999,3.7526363e-05,3.7268923e+23,,,-0.063543014,-1.7455484,-1.5115782,-10.0,25.880108,,6.7455482,9,-5.00461,inf,9,-1.0,2.118585e+24,-2.5774052
2.5774052,-12.000659,400,-21.42202,5.188903e+22,11.011206865310669,999.0,999,67.590195,1.6940093e-18,9990,1.5,0.14999999,3.0396353e-05,3.7786087e+23,,,-53.200306,-1.7590199,-1.880263,-10.0,25.880108,,6.75902,10,-5.1099706,inf,10,-1.0,2.3539867e+24,-2.5774052
2.5774052,-12.529701,400,-21.34029,373449250.0,12.275579690933228,999.0,999,74.508,1.8634102e-18,10989,1.5,0.14999999,2.5120953e-05,3.7733017e+23,,,-20.306267,-1.7734548,-1.9178051,-10.0,25.880108,,6.7734547,11,-5.205281,inf,11,-1.0,2.5893856e+24,-2.5774052
2.5774052,-15.076921,400,-24.387804,2.701795e+24,13.430304527282715,999.0,999,80.918884,2.032815e-18,11988,1.5,0.14999999,2.110858e-05,6.020411e+23,,,-57.71489,-1.7432404,-1.4108815,-10.0,25.880108,,6.7432404,12,-5.292292,inf,12,-1.0,2.8247787e+24,-2.5774052
2.5774052,-9.071318,400,-26.980225,1.5935885e+23,14.65739631652832,999.0,999,88.316216,2.2022102e-18,12987,1.5,0.14999999,1.7986009e-05,6.13287e+23,,,-57.826992,-1.793555,-2.3973305,-10.0,25.880108,,6.7935553,13,-5.372335,inf,13,-1.0,3.0601802e+24,-2.5774052
2.5774052,-12.666137,400,-29.211775,1.9007035e+24,15.834131479263306,999.0,999,95.76036,2.3716114e-18,13986,1.5,0.14999999,1.5508342e-05,7.480962e+23,,,-57.9011,-1.8400258,-2.4441447,-10.0,25.880108,,6.840026,14,-5.4464426,inf,14,-1.0,3.295579e+24,-2.5774052
2.616518,-10.411745,400,-30.31002,6.836769e+18,17.039062023162842,999.0,999,103.37688,2.5410116e-18,14985,1.5,0.14999999,1.3509492e-05,7.471869e+23,,,-45.314754,-1.8917918,-2.616518,-10.0,26.36336,,6.891792,15,-5.5154357,inf,15,-1.0,3.530977e+24,-2.616518
2.616518,-11.159605,400,-28.922014,1359.6946,18.292953729629517,999.0,999,110.4756,2.7104186e-18,15984,1.5,0.14999999,1.1873575e-05,7.463142e+23,,,-7.757219,-1.9047251,-2.0987248,-10.0,26.36336,,6.904725,16,-5.579974,inf,16,-1.0,3.7663697e+24,-2.616518
2.616518,-12.637449,400,-27.165361,0.10643427,19.48981475830078,999.0,999,117.90273,2.8798157e-18,16983,1.5,0.14999999,1.0517769e-05,7.454739e+23,,,1.2632029,-1.9354548,-2.427128,-10.0,26.36336,,6.935455,17,-5.640599,inf,17,-1.0,4.0017773e+24,-2.616518
2.616518,-11.118831,400,-28.133411,2.8593652e+18,20.705279111862183,999.0,999,125.474594,3.0492198e-18,17982,1.5,0.14999999,9.381591e-06,7.446575e+23,,,-44.287956,-1.9708108,-2.5718622,-10.0,26.36336,,6.970811,18,-5.6977572,inf,18,-1.0,4.237164e+24,-2.616518
2.616518,-10.4307165,400,-26.58581,0.10563654,22.002034902572632,999.0,999,132.7401,3.2186158e-18,18981,1.5,0.14999999,8.420043e-06,7.438667e+23,,,1.5557702,-1.9863211,-2.2655072,-10.0,26.36336,,6.986321,19,-5.7518244,inf,19,-1.0,4.4725725e+24,-2.616518
2.616518,-10.836445,400,-25.741268,5327.6606,23.318806648254395,999.0,999,140.07884,3.3880137e-18,19980,1.5,0.14999999,7.5990883e-06,7.4309286e+23,,,-9.425864,-2.003942,-2.338743,-10.0,26.36336,,7.003942,20,-5.8031178,inf,20,-1.0,4.7079668e+24,-2.616518
2.616518,-10.21519,400,-24.451166,0.11759361,24.586650609970093,999.0,999,146.68855,3.557414e-18,20979,1.5,0.14999999,6.892597e-06,7.42337e+23,,,1.6058834,-1.985169,-1.6097074,-10.0,26.36336,,6.985169,21,-5.8519077,inf,21,-1.0,4.943364e+24,-2.616518
2.616518,-11.653087,400,-23.860527,45760.406,25.958614110946655,999.0,999,153.52078,3.7268296e-18,21978,1.5,0.14999999,6.2802383e-06,7.415959e+23,,,-11.214617,-1.978217,-1.8322232,-10.0,26.36336,,6.978217,22,-5.898428,inf,22,-1.0,5.178764e+24,-2.616518
2.616518,-11.799674,400,-23.063206,108.89368,27.320943355560303,999.0,999,160.67804,3.8962196e-18,22977,1.5,0.14999999,5.7460034e-06,7.408689e+23,,,-5.291164,-1.9860018,-2.157271,-10.0,26.36336,,6.986002,23,-5.9428797,inf,23,-1.0,5.4141667e+24,-2.616518
2.616518,-11.854681,400,-22.561989,29646.691,28.66103482246399,999.0,999,167.69168,4.065624e-18,23976,1.5,0.14999999,5.277145e-06,7.40154e+23,,,-10.813533,-1.9871536,-2.0136478,-10.0,26.36336,,6.9871535,24,-5.9854393,inf,24,-1.0,5.649571e+24,-2.616518
2.616518,-7.039444,400,-21.998343,917.93744,29.96795082092285,999.0,999,175.24622,4.2350212e-18,24975,1.5,0.14999999,4.8634165e-06,7.394492e+23,,,-8.259852,-2.0098486,-2.5545259,-10.0,26.36336,,7.0098486,25,-6.0262613,inf,25,-1.0,5.8849645e+24,-2.616518
2.616518,-10.427804,400,-23.410805,3.3171706e+23,31.189428329467773,999.0,999,181.56607,4.404431e-18,25974,1.5,0.14999999,4.4965022e-06,7.515122e+23,,,-58.520138,-1.9833105,-1.3198568,-10.0,26.36336,,6.9833107,26,-6.065482,inf,26,-1.0,6.120352e+24,-2.616518
2.616518,-10.467114,400,-22.665632,10.837835,32.52835726737976,999.0,999,188.14674,4.573825e-18,26973,1.5,0.14999999,4.1695957e-06,7.508287e+23,,,-3.0577493,-1.968398,-1.5806718,-10.0,26.36336,,6.968398,27,-6.1032224,inf,27,-1.0,6.3557646e+24,-2.616518
2.616518,-11.233729,400,-22.00653,35.671047,33.832926511764526,999.0,999,195.00545,4.743234e-18,27972,1.5,0.14999999,3.8770854e-06,7.501518e+23,,,-3.9864705,-1.9644803,-1.8587003,-10.0,26.36336,,6.9644804,28,-6.13959,inf,28,-1.0,6.591149e+24,-2.616518
2.616518,-13.713,400,-21.216877,0.10918728,35.12638759613037,999.0,999,202.48538,4.9126356e-18,28971,1.5,0.14999999,3.6143113e-06,7.494832e+23,,,1.1095312,-1.9822545,-2.479938,-10.0,26.36336,,6.9822545,29,-6.174681,inf,29,-1.0,6.8265474e+24,-2.616518
2.616518,-11.411412,400,-22.472038,2.597617e+24,36.37760138511658,999.0,999,209.91936,5.082035e-18,29970,1.5,0.14999999,3.377373e-06,8.354095e+23,,,-58.66324,-1.997312,-2.433975,-10.0,26.36336,,6.997312,30,-6.208583,inf,30,-1.0,7.0619434e+24,-2.616518
2.616518,-11.925203,400,-21.753336,0.26120317,37.73330903053284,999.0,999,217.48248,5.251423e-18,30969,1.5,0.14999999,3.162992e-06,8.347567e+23,,,0.042898882,-2.0155642,-2.5631347,-10.0,26.36336,,7.015564,31,-6.2413726,inf,31,-1.0,7.297351e+24,-2.616518
2.616518,-12.087051,400,-21.512371,509018.53,39.060516119003296,999.0,999,224.64197,5.4208297e-18,31968,1.5,0.14999999,2.9683938e-06,8.341093e+23,,,-13.815169,-2.0200615,-2.1594715,-10.0,26.36336,,7.0200615,32,-6.2731214,inf,32,-1.0,7.5327573e+24,-2.616518
2.9216533,-12.309204,400,-21.279406,58300.156,40.37355303764343,999.0,999,232.56361,5.5902388e-18,32967,1.5,0.14999999,2.7912172e-06,8.334677e+23,,,-13.604535,-2.0473824,-2.9216533,-10.0,29.309286,,7.0473824,33,-6.303893,inf,33,-1.0,7.7681384e+24,-2.9216533
2.9216533,-12.164582,400,-21.418259,31279933000.0,41.74390268325806,999.0,999,240.14851,5.759645e-18,33966,1.5,0.14999999,2.6294422e-06,8.328332e+23,,,-25.787262,-2.0631917,-2.5849,-10.0,29.309286,,7.0631914,34,-6.333746,inf,34,-1.0,8.003543e+24,-2.9216533
2.9216533,-11.391451,400,-21.953255,4.4853344e+16,43.10043811798096,999.0,999,246.44145,5.929026e-18,34965,1.5,0.14999999,2.481335e-06,8.322042e+23,,,-39.936363,-2.0411844,-1.2929354,-10.0,29.309286,,7.0411844,35,-6.3627334,inf,35,-1.0,8.238944e+24,-2.9216533
2.9216533,-12.582559,400,-21.43699,13.835982,44.428627252578735,999.0,999,253.10822,6.0984304e-18,35964,1.5,0.14999999,2.3453977e-06,8.3158016e+23,,,-3.1672628,-2.0307837,-1.666762,-10.0,29.309286,,7.0307837,36,-6.3909044,inf,36,-1.0,8.4743483e+24,-2.9216533
