AvgEpLen,ReturnLastEpisode,DenMISELogFirst,NumTrainableParams,ReturnAbsMax,GridSize,DenMISELogLast,Regret,IWFirstEpisode,MinEpLen,ReturnMean,NumTrajectories,ActionIn1,IWMax,Delta,Iteration,ReturnMax,IWMin,MountainCar_mu1_higher,MountainCar_std0_higher,TimeElapsed,MountainCar_std1_higher,DenMISEMeanLog,TimestepsSoFar,MountainCar_mu0_higher,Regret/t,IWLastEpisode,IWMean,ReturnStepMax,Bound,ReturnMin
999.0,-0.14093085,-5.1927404,2,0.14093085,400,-5.1927404,5.1409307,1.1134098e-12,999,-0.14093085,1,-11.232451,1.1134098e-12,0.0030396353,1,,,-10.0,0.14999999,0.39853858947753906,1.5,-5.1927404,999,-1.0,5.1409307,1.1134098e-12,1.1134098e-12,1.402732,inf,-0.14093085
999.0,-1.3934602,-5.8858876,,1.3934602,400,-2.6147816,11.534391,2.2268164e-12,999,-0.7671955,2,-9.83816,5.4680686,0.0007599088,2,,,-10.0,0.14999999,1.600994348526001,1.5,-4.2503347,1998,-1.0,5.7671957,5.4680686,2.7340343,14.239214,inf,-1.3934602
999.0,-1.9000374,-6.2913527,,1.9000374,400,-28.65403,18.43443,3.3402278e-12,999,-1.1448094,3,-11.780437,1454095900000.0,0.0003377373,3,,,-10.0,0.14999999,2.7565360069274902,1.5,-12.42416,2997,-1.0,6.1448092,1454095900000.0,484698620000.0,19.060976,inf,-1.9000374
999.0,-2.1178796,-6.579035,,2.1178796,400,-9.524798,25.552307,4.453635e-12,999,-1.388077,4,-10.88453,1292527700000.0,0.0001899772,4,,,-10.0,0.14999999,3.8357934951782227,1.5,-11.712349,3996,-1.0,6.388077,7662.07,323131930000.0,21.309307,inf,-2.1178796
999.0,-2.2709496,-6.8021784,,2.2709496,400,0.13020648,32.823257,5.5670386e-12,999,-1.5646515,5,-11.395708,1211746600000.0,0.00012158541,5,,,-10.0,0.14999999,5.006847858428955,1.5,-9.349744,4995,-1.0,6.5646515,0.43765083,242349330000.0,22.893787,inf,-2.2709496
999.0,-2.0781963,-6.9845,,2.2709496,400,-0.7198061,39.90145,6.680459e-12,999,-1.6502422,6,-10.508775,1163275500000.0,8.443432e-05,6,,,-10.0,0.14999999,6.1942737102508545,1.5,-7.9145927,5994,-1.0,6.6502423,1.2815881,193879260000.0,22.893787,inf,-2.2709496
999.0,-2.2394094,-7.1386504,,2.2709496,400,-6.6607714,47.14086,7.793864e-12,999,-1.7344091,7,-13.236959,1130961600000.0,6.203337e-05,7,,,-10.0,0.14999999,7.37150502204895,1.5,-7.737375,6993,-1.0,6.7344093,379.40958,161565930000.0,22.893787,inf,-2.2709496
999.0,-1.4350164,-7.272182,,2.2709496,400,-57.341484,53.575882,8.907274e-12,999,-1.696985,8,-12.043905,1.06743115e+24,4.74943e-05,8,,,-10.0,0.14999999,8.533835649490356,1.5,-13.939116,7992,-1.0,6.6969852,1.06743115e+24,1.3342889e+23,22.893787,inf,-2.2709496
999.0,-2.5696642,-7.389965,,2.5696642,400,-14.575371,61.145542,1.0020679e-11,999,-1.7939491,9,-12.712056,1.20085955e+24,3.7526363e-05,9,,,-10.0,0.14999999,9.735147953033447,1.5,-14.025486,8991,-1.0,6.793949,483278.97,1.3342884e+23,25.834408,inf,-2.5696642
999.0,-2.0409644,-7.4953256,,2.5696642,400,-57.333282,68.18651,1.1134083e-11,999,-1.8186508,10,-13.028551,2.8273552e+24,3.0396353e-05,10,,,-10.0,0.14999999,10.913094997406006,1.5,-18.36864,9990,-1.0,6.8186507,2.8273552e+24,4.1616453e+23,25.834408,inf,-2.5696642
999.0,-2.5557637,-7.590636,,2.5696642,400,-57.65994,75.74227,1.2247491e-11,999,-1.885661,11,-10.655633,3.040318e+24,2.5120953e-05,11,,,-10.0,0.14999999,12.163921356201172,1.5,-21.958113,10989,-1.0,6.885661,1.4721996e+24,5.4365787e+23,25.834408,inf,-2.5696642
999.0,-2.407665,-7.677647,,2.5696642,400,-4.407876,83.14993,1.3360899e-11,999,-1.9291614,12,-8.148852,3.2439415e+24,2.110858e-05,12,,,-10.0,0.14999999,13.312668085098267,1.5,-20.517908,11988,-1.0,6.9291615,30.644558,5.3759332e+23,25.834408,inf,-2.5696642
999.0,-2.3227334,-7.75769,,2.5696642,400,-57.826992,90.47267,1.4474323e-11,999,-1.9594363,13,-10.240778,3.438816e+24,1.7986009e-05,13,,,-10.0,0.14999999,14.535192012786865,1.5,-23.406507,12987,-1.0,6.9594364,8.871657e+23,6.0003295e+23,25.834408,inf,-2.5696642
999.0,-2.038228,-7.8317976,,2.5696642,400,-12.8496065,97.510895,1.5587734e-11,999,-1.9650642,14,-13.132195,3.6254969e+24,1.5508342e-05,14,,,-10.0,0.14999999,15.676539659500122,1.5,-22.674002,13986,-1.0,6.965064,218316.5,5.9447277e+23,25.834408,inf,-2.5696642
999.0,-1.9902382,-7.9007907,,2.5696642,400,-57.970093,104.50114,1.670114e-11,999,-1.9667424,15,-14.341848,3.8929153e+24,1.3509492e-05,15,,,-10.0,0.14999999,16.857084274291992,1.5,-25.045618,14985,-1.0,6.9667425,3.8929153e+24,8.4866905e+23,25.834408,inf,-2.5696642
999.0,-2.1479714,-7.965329,,2.5696642,400,-58.03463,111.64911,1.7814522e-11,999,-1.9780693,16,-10.211511,4.152437e+24,1.1873575e-05,16,,,-10.0,0.14999999,18.07723045349121,1.5,-27.127851,15984,-1.0,6.9780693,9.012671e+23,8.9988175e+23,25.834408,inf,-2.5696642
999.0,-1.3679693,-8.025954,,2.5696642,400,-6.9502077,118.017075,1.8927976e-11,999,-1.9421811,17,-12.380652,4.4119746e+24,1.0517769e-05,17,,,-10.0,0.14999999,19.296504020690918,1.5,-25.96265,16983,-1.0,6.942181,317.063,8.949693e+23,25.834408,inf,-2.5696642
999.0,-1.8281385,-8.083112,,2.5696642,400,-40.97259,124.845215,2.004133e-11,999,-1.9358453,18,-11.049159,4.6714895e+24,9.381591e-06,18,,,-10.0,0.14999999,20.502923727035522,1.5,-26.815748,17982,-1.0,6.9358454,2.8639268e+17,8.902442e+23,25.834408,inf,-2.5696642
999.0,-1.6151892,-8.137179,,2.5696642,400,1.3294928,131.4604,2.1154786e-11,999,-1.9189686,19,-11.443892,4.931028e+24,8.420043e-06,19,,,-10.0,0.14999999,21.75889563560486,1.5,-25.351538,18981,-1.0,6.9189687,0.15800709,8.857027e+23,25.834408,inf,-2.5696642
999.0,-2.3376737,-8.188473,,2.5696642,400,-0.5616586,138.79808,2.2268177e-11,999,-1.939904,20,-10.675747,5.190551e+24,7.5990883e-06,20,,,-10.0,0.14999999,23.048712968826294,1.5,-24.127392,19980,-1.0,6.939904,0.77202094,8.8132815e+23,25.834408,inf,-2.5696642
999.0,-0.84238446,-8.237263,,2.5696642,400,-1.0835418,144.64047,2.3381581e-11,999,-1.8876412,21,-9.926014,5.450078e+24,6.892597e-06,21,,,-10.0,0.14999999,24.290966033935547,1.5,-23.0439,20979,-1.0,6.887641,0.10883781,8.771142e+23,25.834408,inf,-2.5696642
