IWLastEpisode,ReturnMean,TimeElapsed,Iteration,MinEpLen,ActionIn1,ReturnLastEpisode,Delta,IWMin,MountainCar_std1_higher,ReturnMax,MountainCar_std0_higher,IWMean,TimestepsSoFar,ReturnAbsMax,ReturnStepMax,NumTrajectories,AvgEpLen,MountainCar_mu1_higher,Regret/t,IWMax,Bound,DenMISELogLast,DenMISELogFirst,NumTrainableParams,ReturnMin,IWFirstEpisode,MountainCar_mu0_higher,DenMISEMeanLog,Regret,GridSize
8.506298e-25,-1.328202,28.11063504219055,18,906,8.989352,-2.3832932,9.381591e-06,,0.14999999,,0.14999999,4.7257212e-26,17889,2.3832932,72.28126,18,993.8333333333334,7.894737,6.3282022,8.506298e-25,inf,-1.5459973,-1.4547164,,-2.3832932,,0.47368422,-1.9002664,113.90764,400
,-1.3993204,29.77614426612854,19,906,8.71995,-2.6794512,8.420043e-06,,0.14999999,,0.14999999,,18888,2.6794512,72.28126,19,994.1052631578947,10.0,6.3993206,,inf,-5.294188,-1.5087837,,-2.6794512,,-1.0,-2.1301153,121.58709,400
4.2073392e-19,-1.3824836,31.138168334960938,20,491,10.503485,-1.0625829,7.5990883e-06,,0.14999999,,0.14999999,2.1036696e-20,19379,2.6794512,88.1059,20,968.95,10.0,6.3824835,4.2073392e-19,inf,-3.4337308,-1.560077,,-2.6794512,,0.47368422,-2.2440248,127.64967,400
,-1.3856837,32.83739161491394,21,491,-9.211653,-1.4496865,6.892597e-06,,0.14999999,,0.14999999,1.9991097e-19,20378,2.6794512,88.1059,21,970.3809523809524,-8.947369,6.3856835,2.825656e-18,6.925273e+16,-1.100449,-1.6088672,,-2.6794512,,-0.2631579,-2.2360356,134.09937,400
,-1.3268858,34.42844843864441,22,491,-7.4169936,-0.09213212,6.2802383e-06,,0.14999999,,0.14999999,3.0544737e-11,21377,2.6794512,88.1059,22,971.6818181818181,-6.8421054,6.3268857,6.718468e-10,6.952327e+16,-1.3494874,-1.6553872,,-2.6794512,,-0.2631579,-2.2401433,139.19148,400
,-1.2908123,36.06230545043945,23,491,6.8248143,-0.49719277,5.7460034e-06,,0.14999999,,0.14999999,3.3543506e-15,22376,2.6794512,88.1059,23,972.8695652173913,6.8421054,6.2908125,4.084582e-14,6.9780798e+16,-2.3720255,-1.699839,,-2.6794512,,-0.2631579,-2.2883964,144.68867,400
1.1038549e-37,-1.2199851,37.471081256866455,24,491,8.766213,0.40903595,5.277145e-06,,0.14999999,0.40903595,0.14999999,2.0597857e-09,22910,2.6794512,98.76779,24,954.5833333333334,8.947369,6.219985,4.9434817e-08,7.002648e+16,-1.9017528,-1.7423985,,-2.6794512,,-0.2631579,-2.3130724,149.27965,400
,-1.1500757,38.87964606285095,25,438,-2.7436192,0.5277536,4.8634165e-06,,0.14999999,0.5277536,0.14999999,2.5734602e-14,23348,2.6794512,98.76779,25,933.92,-2.631579,6.150076,6.377819e-13,7.0260928e+16,-5.731651,-1.7832205,,-2.6794512,,-0.2631579,-2.4890049,153.75189,400
,-1.1094366,40.529322147369385,26,438,2.1561716,-0.0934594,4.4965022e-06,,0.14999999,0.5277536,0.14999999,3.1824256e-13,24347,2.6794512,98.76779,26,936.4230769230769,2.631579,6.1094365,4.8675174e-12,7.0485816e+16,-1.5554731,-1.8224412,,-2.6794512,,-0.2631579,-2.4908118,158.84535,400
,-1.0745217,42.13958120346069,27,438,-4.9341702,-0.16673413,4.1695957e-06,,0.14999999,0.5277536,0.14999999,1.9704367e-15,25346,2.6794512,98.76779,27,938.7407407407408,-4.736842,6.0745215,2.1756948e-14,7.0701475e+16,-2.3653648,-1.8601816,,-2.6794512,,-0.2631579,-2.5225084,164.01208,400
,-1.0368057,43.79001235961914,28,438,4.5672503,-0.01847459,3.8770854e-06,,0.14999999,0.5277536,0.14999999,8.786713e-08,26345,2.6794512,98.76779,28,940.8928571428571,4.736842,6.0368056,2.460275e-06,7.0908738e+16,-2.3678432,-1.8965492,,-2.6794512,,-0.2631579,-2.5520535,169.03056,400
,-1.0013901,45.49352788925171,29,438,1.6460689,-0.009752179,3.6143113e-06,,0.14999999,0.5277536,0.14999999,3.1163191e-15,27344,2.6794512,98.76779,29,942.8965517241379,0.5263158,6.00139,8.922619e-14,385894720000000.0,-2.6051683,-1.9316405,,-2.6794512,8.922619e-14,1.0,-2.5877664,174.04031,400
,-1.2196561,47.131149768829346,30,438,-7.7565165,-7.549371,3.377373e-06,,0.14999999,0.5277536,0.14999999,2.2068662e-12,28343,7.549371,98.76779,30,944.7666666666667,-8.947369,6.219656,6.558627e-11,770895500000000.0,-2.512873,-1.9655421,,-7.549371,,1.0,-2.6180413,186.58969,400
,-1.4433178,48.842735052108765,31,438,-5.5127835,-8.153168,3.162992e-06,,0.14999999,0.5277536,0.14999999,1.9072875e-11,29342,8.153168,98.76779,31,946.516129032258,-6.8421054,6.443318,5.1415205e-10,834715600000000.0,-3.2977078,-1.9983319,,-8.153168,,1.0,-2.671698,199.74286,400
,-1.5830481,50.598700284957886,32,438,7.819598,-5.9146914,2.9683938e-06,,0.14999999,0.5277536,0.14999999,2.7039388e-08,30341,8.153168,98.76779,32,948.15625,6.8421054,6.583048,8.6523295e-07,836805660000000.0,-2.7742622,-2.0300806,,-8.153168,,1.0,-2.7056599,210.65753,400
