ReturnMean,GridSize,LQGmu1_higher,Bound,IWMax,TimeElapsed,Iteration,IWMin,ReturnLastEpisode,Delta,LQGsigma_higher,IWLastEpisode,IWFirstEpisode,DenMISELogFirst,DenMISELogLast,TimestepsSoFar,ReturnAbsMax,Regret,Regret/t,ReturnMin,IWMean,LQGmu1_actor,ReturnMax,ReturnStepMax,DenMISEMeanLog
0.67049044,10,-0.7777778,26.240154,12.804551,7.177056074142456,24,,0.3595445,1.055429e-05,0.044551425,,,-3.24935,-0.9407052,480,0.9563913,7.07111,0.29462957,,0.99185747,-0.7614713,0.9563913,0.99939233,-0.32326412
0.68191206,10,0.5555556,25.527632,10.810998,7.546630382537842,25,,0.9560305,9.726833e-06,0.044551425,,8.091515e-31,-3.290172,0.34261048,500,0.9563913,7.0801983,0.28320795,,0.6812971,0.51745075,0.9563913,0.99939233,-0.30221957
0.6754807,10,1.0,25.010948,56.48061,7.8386549949646,26,,0.5146959,8.9930045e-06,0.069483444,3.3981754e-10,56.48061,-3.3293927,-0.5648462,520,0.9563913,7.5306225,0.2896393,,2.6302214,0.8709079,0.9563913,0.99939233,-0.3276591
0.66051227,10,0.33333334,24.714607,21.33693,8.174247026443481,27,,0.2713335,8.3391915e-06,0.044551425,2.3575256e-30,,-2.2126665,-2.3866715,540,0.9563913,8.224409,0.30460775,,1.3246839,0.3175198,0.9563913,0.99939233,-0.381717
0.6589403,10,-0.5555556,24.56276,7.468746,8.521085262298584,28,,0.6164983,7.754171e-06,0.044551425,,,-2.2490342,0.24461813,560,0.9563913,8.573032,0.3061797,,0.5210342,-0.48558316,0.9563913,0.99939233,-0.35832533
0.6691922,10,-1.0,24.324219,47.27021,8.804039716720581,29,,0.9562445,7.2286225e-06,0.069483444,5.6556156e-11,,-2.2841253,-2.0619764,580,0.9563913,8.581905,0.29592782,,1.9225036,-1.0145636,0.9563913,0.99939233,-0.43498498
0.67873967,10,-0.33333334,24.302378,22.346909,9.175443410873413,30,,0.95561737,6.754746e-06,0.044551425,,,-2.318027,0.34854174,600,0.9563913,8.59141,0.28638035,,1.0531809,-0.4218454,0.9563913,0.99939233,-0.4003001
0.6876856,10,0.11111111,24.033258,13.708025,9.477030515670776,31,,0.9560636,6.325984e-06,0.044551425,1.2703211e-29,,-2.3508167,-2.8255534,620,0.9563913,8.600466,0.2774344,,0.8601249,0.08433084,0.9563913,0.99939233,-0.4835867
0.69499826,10,-0.11111111,23.93064,18.912601,9.765480756759644,32,,0.9216907,5.9367876e-06,0.044551425,0.0007795371,,-2.3825655,-0.27339557,640,0.9563913,8.643896,0.27012175,,0.8681762,-0.06984624,0.9563913,0.99939233,-0.4854182
0.7028833,10,0.7777778,23.049545,31.088572,10.058091640472412,33,,0.95520264,5.5824344e-06,0.069483444,7.133464e-32,0.0013386812,-2.4133372,-0.9413596,660,0.9563913,8.653812,0.2622367,,1.7892853,0.8636716,0.9563913,0.99939233,-0.50758815
0.69015193,10,-0.7777778,21.751575,12.908514,10.350212574005127,34,,0.27001846,5.2588844e-06,0.069483444,,,-2.4431496,-1.8410386,680,0.9563913,9.348913,0.2749681,,0.9276015,-0.8319128,0.9563913,0.99939233,-0.5347886
0.6977483,10,-0.5555556,21.270824,32.571262,10.643153667449951,35,,0.9560237,4.96267e-06,0.069483444,0.0062896665,,-2.472137,-1.0929238,700,0.9563913,9.358011,0.2673717,,1.70994,-0.55171514,0.9563913,0.99939233,-0.55539614
0.7049354,10,0.5555556,21.160084,12.027053,10.936546325683594,36,,0.95648247,4.6907953e-06,0.069483444,,3.125221e-12,-2.500308,0.33232784,720,0.95648247,9.366646,0.26018465,,0.70295954,0.5805315,0.95648247,0.9994784,-0.5212002
0.69828075,10,1.0,20.705414,30.027351,11.234283924102783,37,,0.45871365,4.4406656e-06,0.10836801,0.0024060567,30.027351,-2.5277069,-0.15841088,740,0.95648247,9.8730545,0.26683927,,1.7891743,1.0623142,0.95648247,0.9994784,-0.52103955
0.68347883,10,-0.33333334,20.466291,35.38839,11.5297110080719,38,,0.13580875,4.2100214e-06,0.069483444,,,-1.9601923,-1.1617037,760,0.95648247,10.702366,0.2816412,,1.5068743,-0.24518847,0.95648247,0.9994784,-0.5253233
0.69047594,10,0.33333334,20.206846,14.0090065,11.825301885604858,39,,0.9563666,3.996891e-06,0.069483444,4.4565622e-14,1.4449064e-25,-1.9861678,-2.171914,780,0.95648247,10.711117,0.27464408,,0.7832464,0.26711935,0.95648247,0.9994784,-0.56275845
0.6887357,10,-0.11111111,19.807737,14.950972,12.124735832214355,40,,0.62086743,3.7995442e-06,0.069483444,1.057274e-05,,-2.0114856,-1.610676,800,0.95648247,11.055372,0.2763843,,1.0094273,-0.11864224,0.95648247,0.9994784,-0.5963499
