ReturnMax,BoundBonus,BoundMISE,ReturnStepMax,Iteration,IWMax,DenMISELogLast,ReturnAbsMax,IWFirstEpisode,MountainCar_mu0_higher,IWMean,MountainCar_mu1_higher,Regret,IWMin,DenMISELogFirst,TimestepsSoFar,Delta,ReturnMin,Bound,MountainCar_std0_higher,AvgEpLen,TimeElapsed,IWLastEpisode,DenMISEMeanLog,GridSize,ReturnLastEpisode,MountainCar_std1_higher,NumTrainableParams,ReturnMean,Regret/t,NumTrajectories,ActionIn1,MinEpLen
,1062541.2,-7.6116703e-06,3.5668488,1,2.1340043e-06,-1.1041398,3.5668488,2.1340043e-06,-1.0,2.1340043e-06,-10.0,8.566849,,-1.1041398,999,0.060792707,-3.5668488,1062541.2,0.14999999,999.0,0.7082498073577881,2.1340043e-06,-1.1041398,1,-3.5668488,3.0,2,-3.5668488,8.566849,1,-10.743762,999
,inf,-7.530762e-21,16.517153,2,4.222642e-21,-1.8697762,16.517153,4.222642e-21,1.0,2.111321e-21,-10.0,30.084002,,-1.7972848,1998,0.0060792705,-16.517153,inf,0.14999999,999.0,1.8053905963897705,5.1565272e-36,-1.8335305,4,-16.517153,3.0,,-10.042001,15.042001,2,-10.03134,999
,800595840000.0,-9.740667e-10,42.078773,3,6.944595e-11,-2.1986053,42.078773,1.3736393e-21,1.0,2.314865e-11,10.0,77.16277,,-2.20275,2997,0.0027018983,-42.078773,800595840000.0,0.14999999,999.0,2.5706164836883545,6.944595e-11,-2.2255323,4,-42.078773,3.0,,-20.720924,25.720924,3,17.015049,999
,356892200.0,-1.656207e-06,107.17791,4,1.8511876e-06,-5.379794,107.17791,1.8511876e-06,-1.0,4.631287e-07,10.0,189.34068,,-2.490432,3996,0.0015198176,-107.17791,356892200.0,0.14999999,999.0,3.3411731719970703,,-3.2298594,4,-107.17791,3.0,,-42.33517,47.33517,4,8.728642,999
84.18688,493.25504,66.360146,107.17791,5,4.999976,-2.6832454,107.17791,2.3139846e-06,-1.0,0.9999957,10.0,110.1538,,-2.7135751,4659,0.0009726833,-107.17791,559.6152,0.14999999,931.8,3.842583179473877,4.999976,-3.2990508,4,84.18688,3.0,,-17.03076,22.03076,5,7.8511286,663
92.63752,506.0558,-13.01962,107.17791,6,5.9995103,-2.3661685,107.17791,1.2803977e-05,-1.0,0.99992055,-10.0,22.516281,,-2.8958962,4915,0.0006754746,-107.17791,493.03616,0.14999999,819.1666666666666,4.052060127258301,1.02955715e-08,-3.1799812,4,92.63752,3.0,,1.2472864,3.7527137,6,-12.275864,256
92.63752,516.6313,-33.16851,107.17791,7,7.0000005,-2.3951004,107.17791,1.477923e-20,1.0,1.0000001,-10.0,45.79796,,-3.0500448,5914,0.00049626693,-107.17791,483.46277,0.14999999,844.8571428571429,4.792220115661621,5.510699e-38,-3.100969,4,-18.281675,3.0,,-1.5425655,6.5425653,7,-9.272868,256
92.63752,371.66962,88.41109,107.17791,8,3.9999905,-2.4733632,107.17791,3.7023663e-06,-1.0,0.9999884,10.0,89.39597,,-3.183576,6913,0.0003799544,-107.17791,460.0807,0.14999999,864.125,5.4994142055511475,,-3.0527148,4,-38.598015,3.0,,-6.1744967,11.174497,8,12.195868,256
92.63752,31074840.0,-0.00023216668,107.17791,9,0.0005865424,-2.7042818,107.17791,0.0005865424,,6.517455e-05,10.0,7.6965485,,-3.3013587,7303,0.00015010545,-107.17791,31074840.0,0.14999999,811.4444444444445,5.814245700836182,1.1224909e-09,-3.0285935,9,86.69943,3.0,,4.144828,0.85517216,9,10.749204,256
96.093346,4282210.5,-0.0010719036,107.17791,10,0.003004916,-5.7495584,107.17791,0.003004916,,0.00030049655,-10.0,-83.39679,,-3.4066541,7714,0.00012158541,-107.17791,4282210.5,0.14999999,771.4,6.261943578720093,8.765844e-10,-3.3955078,9,96.093346,3.0,,13.339679,-8.339679,10,-14.656836,256
96.093346,84868.12,-0.084647864,107.17791,11,0.016504895,-5.2269983,107.17791,2.7966058e-18,1.0,0.0021300903,,-77.70889,,-3.501664,8713,0.00010048381,-107.17791,84868.03,0.14999999,792.0909090909091,7.0298991203308105,3.709213e-11,-3.6486254,9,-0.68789625,3.0,,12.064445,-7.0644445,11,2.060773,256
96.093346,65970.54,0.57566434,107.17791,12,0.0606136,-3.5861423,107.17791,0.0030836186,-1.0,0.0099728275,,-17.072441,,-3.5886753,9712,8.443432e-05,-107.17791,65971.12,0.14999999,809.3333333333334,7.764374017715454,2.2640302e-37,-3.7230015,9,-55.636456,3.0,,6.4227033,-1.4227033,12,-6.1814766,256
96.093346,42299.332,0.10361259,107.17791,13,0.47030425,-3.898051,107.17791,0.47030425,,0.03861699,,5.4209824,,-3.6684608,10711,7.1944036e-05,-107.17791,42299.438,0.14999999,823.9230769230769,8.530716896057129,6.8827957e-09,-3.8095868,9,-17.493433,3.0,,4.583001,0.41699886,13,-0.32593963,256
96.093346,582.96747,75.7444,107.17791,14,13.9593315,-3.734802,107.17791,0.0008799957,,0.9996639,10.0,10.498924,,-3.7070308,11710,6.203337e-05,-107.17791,658.71185,0.14999999,836.4285714285714,9.296985626220703,0.03508301,-3.8703473,9,-0.07793989,3.0,,4.250077,0.7499232,14,14.217568,256
96.42293,587.0496,-0.06803834,107.17791,15,14.769539,-4.045104,107.17791,0.5236794,,1.0207936,,-80.92401,,-3.7759607,11939,5.403797e-05,-107.17791,586.98157,0.14999999,795.9333333333333,9.542638778686523,0.000266009,-3.900107,9,96.42293,3.0,,10.394934,-5.3949337,15,0.025076253,229
96.42293,590.94366,-0.54345787,107.17791,16,15.999401,-3.1081772,107.17791,0.004480695,,1.0049944,-10.0,-75.92047,,-3.8061829,12938,4.74943e-05,-107.17791,590.4002,0.14999999,808.625,10.316432237625122,0.029297281,-3.8660538,9,-0.003552341,3.0,,9.745029,-4.7450294,16,-8.468861,229
96.42293,594.51807,-4.304316,107.17791,17,4.739931,-3.2884371,107.17791,0.0040712734,-1.0,0.28874043,,-70.91867,,-3.8665276,13937,4.2071075e-05,-107.17791,590.21375,0.14999999,819.8235294117648,11.084742069244385,2.9250314e-11,-3.8480663,9,-0.0017971821,3.0,,9.171686,-4.171686,17,1.3382573,229
96.42293,597.8902,-43.938946,107.17791,18,17.73036,-4.620077,107.17791,4.2639246e-18,1.0,0.9871469,,-35.31967,,-3.9234464,14936,3.7526363e-05,-107.17791,553.95123,0.14999999,829.7777777777778,11.8693687915802,,-3.930726,9,-30.599007,3.0,,6.962204,-1.962204,18,3.760659,229
96.42293,425.01572,96.12823,107.17791,19,9.499662,-4.9566936,107.17791,0.0011533201,,1.0019507,10.0,3.274414,,-3.9775138,15935,3.368017e-05,-107.17791,521.1439,0.14999999,838.6842105263158,12.621906042098999,7.2370144e-06,-3.9997478,9,-33.59408,3.0,,4.8276625,0.17233753,19,4.457096,229
96.42293,604.04474,-86.53906,107.17791,20,19.999748,-3.8955247,107.17791,8.528898e-21,1.0,1.0576676,10.0,9.784821,,-4.028746,16934,3.0396353e-05,-107.17791,517.5057,0.14999999,846.7,13.395703554153442,5.35395e-09,-4.0025992,9,-1.5104111,3.0,,4.510759,0.48924112,20,17.742882,229
96.42293,350.38098,86.50181,107.17791,21,6.9994745,-6.356791,107.17791,9.051515e-06,-1.0,1.0257132,10.0,116.16326,,-4.0775366,17933,2.7570388e-05,-107.17791,436.88278,0.14999999,853.952380952381,14.105819702148438,,-4.1254783,9,-101.37844,3.0,,-0.5315839,5.531584,21,12.858974,229
96.42293,431.0235,-0.34606534,107.17791,22,10.999794,-3.5777404,107.17791,0.0061573787,,0.9945808,-10.0,30.91462,,-4.124056,18118,2.5120953e-05,-107.17791,430.67743,0.14999999,823.5454545454545,14.30923342704773,3.27831e-23,-4.104557,9,90.24864,3.0,,3.59479,1.40521,22,-11.720134,185
96.42293,432.80515,-0.50617564,107.17791,23,11.330512,-3.2939465,107.17791,0.7752202,,1.305637,,36.015007,,-4.168228,19117,2.2984013e-05,-107.17791,432.29898,0.14999999,831.1739130434783,15.110457181930542,0.0046503427,-4.07666,9,-0.10038394,3.0,,3.4341302,1.5658698,23,2.3428278,185
96.42293,354.80853,63.9081,107.17791,24,7.999716,-3.3969476,107.17791,0.0014088433,,0.79761297,10.0,41.193764,,-4.177638,20116,2.110858e-05,-107.17791,418.71664,0.14999999,838.1666666666666,15.90071725845337,0.3802761,-4.0437813,9,-0.17874725,3.0,,3.2835932,1.7164068,24,10.451946,185
97.940796,436.1879,-16.893734,107.17791,25,11.028046,-2.9011457,107.17791,0.0057882485,-1.0,0.6673413,,-51.74704,,-4.2184014,20461,1.9453666e-05,-107.17791,419.29416,0.14999999,818.44,16.19639754295349,1.1220531e-11,-4.0092487,9,97.940796,3.0,,7.0698814,-2.0698814,25,-0.3529901,185
97.940796,437.76715,-21.384579,107.17791,26,12.982149,-3.5146253,107.17791,4.996136e-05,-1.0,1.2274276,-10.0,-23.939789,,-4.2573905,21460,1.7986009e-05,-107.17791,416.38257,0.14999999,825.3846153846154,16.962536334991455,0.014173463,-4.005982,9,-22.807245,3.0,,5.920761,-0.9207611,26,-11.944333,185
97.940796,439.27838,-40.28841,107.17791,27,13.483219,-4.774162,107.17791,5.1331556e-20,1.0,0.9985169,-10.0,-7.5061035,,-4.295129,22459,1.6678383e-05,-107.17791,398.98996,0.14999999,831.8148148148148,17.6591534614563,1.7436985e-28,-4.0331244,9,-11.4336815,3.0,,5.2780037,-0.2780037,27,-7.0823517,185
