IWMax,Regret,ReturnAbsMax,MinEpLen,GridSize,MountainCar_mu0_higher,AvgEpLen,MountainCar_mu1_higher,BoundMISE,ActionIn1,DenMISELogLast,DenMISEMeanLog,NumTrajectories,DenMISELogFirst,BoundBonus,MountainCar_std0_higher,IWLastEpisode,NumTrainableParams,IWMean,IWMin,Bound,ReturnMin,ReturnStepMax,TimeElapsed,Regret/t,ReturnLastEpisode,Delta,MountainCar_std1_higher,TimestepsSoFar,Iteration,ReturnMean,IWFirstEpisode,ReturnMax
7.994187e-05,14.614762,9.614762,999,1,-1.0,999.0,-10.0,-0.0007686221,-8.7780075,-1.5997232,-1.5997232,1,-1.5997232,28575.21,0.14999999,7.994187e-05,2,7.994187e-05,,28575.21,-9.614762,9.614762,0.692643404006958,14.614762,-9.614762,0.060792707,3.0,999,1,-9.614762,7.994187e-05,
1.7971682e-30,42.0396,22.424839,999,4,1.0,999.0,-10.0,-8.639672e-30,-11.572412,-2.2896233,-2.2912068,2,-2.2927904,inf,0.14999999,,,8.985841e-31,,inf,-22.424839,22.424839,1.6827797889709473,21.0198,-22.424839,0.0060792705,3.0,1998,2,-16.0198,1.7971682e-30,
2.1555687e-12,91.486786,44.44719,999,4,1.0,999.0,10.0,-3.1936325e-11,12.329844,-2.5109153,-2.634753,3,-2.6982555,845657700000.0,0.14999999,2.1555687e-12,,7.185229e-13,,845657700000.0,-44.44719,44.44719,2.482743740081787,30.495596,-44.44719,0.0027018983,3.0,2997,3,-25.495596,1.1817192e-28,
0.014016341,214.82005,118.33327,999,4,-1.0,999.0,10.0,-0.03369183,10.705759,-4.560408,-3.3319283,4,-2.9859376,150346.28,0.14999999,,,0.0035041247,,150346.25,-118.33327,118.33327,3.1696126461029053,53.705013,-118.33327,0.0015198176,3.0,3996,4,-48.705013,0.014016341,
4.9926376,127.38017,118.33327,252,4,-1.0,849.6,10.0,72.83153,3.1532192,-3.0220757,-3.447773,5,-3.205583,544.59094,0.14999999,4.9926376,,1.0020194,,617.4225,-118.33327,118.33327,3.3754842281341553,25.476034,92.43988,0.0009726833,3.0,4248,5,-20.476034,0.017459247,92.43988
5.961857,161.7118,118.33327,252,4,-1.0,874.5,-10.0,-17.677916,-12.4943075,-4.5568795,-3.668576,6,-3.384419,558.7271,0.14999999,0.00016916353,,0.9937504,,541.0492,-118.33327,118.33327,4.12801718711853,26.951967,-29.331627,0.0006754746,3.0,5247,6,-21.951967,0.00047627522,92.43988
7.0000005,187.55937,118.33327,252,4,1.0,892.2857142857143,-10.0,-35.035408,-6.303412,-2.4871163,-3.5333438,7,-3.5384903,570.4036,0.14999999,,,1.0000001,,535.3682,-118.33327,118.33327,4.864745140075684,26.794195,-20.847569,0.00049626693,3.0,6246,7,-21.794195,6.2457995e-30,92.43988
7.999998,234.48767,118.33327,252,4,1.0,905.625,10.0,-93.27596,3.3949246,-2.839081,-3.4767573,8,-3.6720216,580.3282,0.14999999,3.6979043e-07,,0.9999998,,487.05222,-118.33327,118.33327,5.584381580352783,29.310959,-41.928303,0.0003799544,3.0,7245,8,-24.310959,3.1290605e-28,92.43988
3.39089e-07,312.8802,118.33327,252,9,,916.0,-10.0,-3.7466455e-07,-13.267354,-6.188059,-3.805693,9,-3.7898047,787864400000.0,0.14999999,2.7658074e-14,,3.797264e-08,,787864400000.0,-118.33327,118.33327,6.2736289501190186,34.764465,-73.3925,0.00015010545,3.0,8244,9,-29.764465,3.39089e-07,92.43988
1.6516049e-05,318.5796,118.33327,252,9,,924.3,10.0,-1.4913325e-05,8.894045,-4.4529524,-3.965243,10,-3.8951652,266946070000.0,0.14999999,2.2434513e-12,,1.662061e-06,,266946070000.0,-118.33327,118.33327,7.120401859283447,31.85796,-0.69943506,0.00012158541,3.0,9243,10,-26.85796,1.6516049e-05,92.43988
0.14591782,224.95091,118.33327,252,9,,875.4545454545455,,1.3076289,-2.9698787,-3.5059757,-4.010137,11,-3.9904737,114760.32,0.14999999,0.14591782,,0.013452303,,114761.625,-118.33327,118.33327,7.486694574356079,20.450083,98.6287,0.00010048381,3.0,9630,11,-15.450083,0.0007097864,98.6287
123.47146,229.98413,118.33327,252,9,1.0,885.75,,-756.88354,2.1792705,-3.9428499,-4.083176,12,-4.0774207,81911.234,0.14999999,9.59801e-09,,10.329342,,81154.35,-118.33327,118.33327,8.249972581863403,19.165344,-0.033209022,8.443432e-05,3.0,10629,12,-14.165344,1.8336107e-26,98.6287
11.782278,326.90634,118.33327,252,9,-1.0,894.4615384615385,,-28.444801,5.3054338,-5.4624047,-4.073683,13,-4.157463,1329.6575,0.14999999,,,1.068645,,1301.2126,-118.33327,118.33327,8.999270677566528,25.14664,-91.922226,7.1944036e-05,3.0,11628,13,-20.14664,1.7670612,98.6287
13.816718,242.4718,118.33327,252,9,,854.0714285714286,10.0,77.743286,14.029731,-4.079708,-4.085879,14,-4.1041217,643.6442,0.14999999,1.6531323e-12,,0.98703414,,721.3875,-118.33327,118.33327,9.285830974578857,17.319414,89.434555,6.203337e-05,3.0,11957,14,-12.319414,2.035424e-05,98.6287
13.528723,151.71968,118.33327,252,9,,822.4666666666667,,0.6250338,-1.8372096,-4.03983,-4.101422,15,-4.173113,648.20215,0.14999999,0.00031094594,,0.9087038,,648.8272,-118.33327,118.33327,9.591228485107422,10.114645,95.75211,5.403797e-05,3.0,12337,15,-5.1146455,0.00085201423,98.6287
15.996072,156.92554,118.33327,252,9,,833.5,-10.0,-0.5557682,-8.185943,-3.4478347,-4.0804753,16,-4.2375946,652.4506,0.14999999,0.21293417,,1.0645039,,651.89484,-118.33327,118.33327,10.322116613388062,9.807846,-0.2058562,4.74943e-05,3.0,13336,16,-4.807846,5.3062354e-07,98.6287
8.082337,163.73189,118.33327,252,9,-1.0,843.2352941176471,,-7.728533,5.709556,-5.0049467,-4.14742,17,-4.298219,591.69763,0.14999999,1.1764872e-05,,0.70923847,,583.9691,-118.33327,118.33327,11.049234867095947,9.631288,-1.806354,4.2071075e-05,3.0,14335,17,-4.6312876,2.0341418,98.6287
8.987525,78.6518,118.33327,252,9,-1.0,814.6666666666666,10.0,116.02764,6.312395,-3.6635385,-4.140514,18,-4.242357,466.78098,0.14999999,7.5474606,,1.4861627,,582.8086,-118.33327,118.33327,11.365598440170288,4.3695445,90.080086,3.7526363e-05,3.0,14664,18,0.63045543,0.049236886,98.6287
