NumTrainableParams,ReturnMax,ReturnMin,NumTrajectories,IWMean,MountainCar_mu0_higher,TimestepsSoFar,MinEpLen,ReturnLastEpisode,IWFirstEpisode,ReturnAbsMax,Delta,ActionIn1,Regret/t,Regret,DenMISEMeanLog,BoundMISE,TimeElapsed,Bound,MountainCar_mu1_higher,DenMISELogLast,ReturnStepMax,DenMISELogFirst,MountainCar_std0_higher,ReturnMean,IWMax,IWLastEpisode,AvgEpLen,GridSize,IWMin,BoundBonus,Iteration,MountainCar_std1_higher
2,,-8.263249,1,0.00040332062,-1.0,999,999,-8.263249,0.00040332062,8.263249,0.060792707,-13.639849,13.263249,13.263249,-1.7713482,-0.0033327388,0.7284102439880371,32484.709,-10.0,-1.7713482,8.263249,-1.7713482,0.14999999,-8.263249,0.00040332062,0.00040332062,999.0,1,,32484.713,1,3.0
,,-19.797445,2,6.239772e-28,1.0,1998,999,-19.797445,1.2479544e-27,19.797445,0.0060792705,-4.6897736,19.030348,38.060696,-2.2964208,-5.1560792e-27,1.884197473526001,inf,-10.0,-2.1287494,19.797445,-2.4640923,0.14999999,-14.030348,1.2479544e-27,,999.0,4,,inf,2,3.0
,,-51.848534,3,2.7800977e-06,1.0,2997,999,-51.848534,1.0808141e-27,51.848534,0.0027018983,10.950881,31.636408,94.909225,-2.8806686,-0.00014414398,2.640634536743164,986476500000.0,10.0,-3.2382336,51.848534,-2.8695574,0.14999999,-26.636408,8.340293e-06,8.340293e-06,999.0,4,,986476500000.0,3,3.0
,,-70.3745,4,0.00023277683,-1.0,3996,999,-70.3745,0.0009311073,70.3745,0.0015198176,8.940054,42.57093,170.28372,-2.9886034,-0.001923493,3.3299484252929688,108810.59,10.0,-2.449365,70.3745,-3.1572394,0.14999999,-37.57093,0.0009311073,,999.0,4,,108810.59,4,3.0
,82.13693,-70.3745,5,0.9988588,-1.0,4559,563,82.13693,0.0011636128,82.13693,0.0009726833,7.9212723,18.62936,93.1468,-3.1260598,64.74208,3.7749557495117188,442.75177,10.0,-2.7835438,82.13693,-3.38015,0.14999999,-13.629359,4.9931307,4.9931307,911.8,4,,378.00967,5,3.0
,88.71846,-70.3745,6,1.0003766,-1.0,4949,390,88.71846,0.0024178224,88.71846,0.0006754746,-7.7851143,1.5713894,9.428337,-3.0101433,-15.608623,4.06661057472229,403.28812,-10.0,-2.211646,88.71846,-3.562239,0.14999999,3.4286106,5.999841,6.9220674e-09,824.8333333333334,4,,418.89673,6,3.0
,88.71846,-70.3745,7,0.9982023,-1.0,5948,390,-25.914246,0.0016280233,88.71846,0.00049626693,9.940796,5.763226,40.342583,-3.1742465,85.24789,4.799829721450806,387.64212,10.0,-3.9274988,88.71846,-3.7159867,0.14999999,-0.7632261,3.4975939,1.5768255e-06,849.7142857142857,4,,302.39423,7,3.0
,90.33112,-70.3745,8,0.99999714,1.0,6265,317,90.33112,4.986322e-27,90.33112,0.0003799544,-8.346528,-5.6235676,-44.98854,-3.0639625,-40.869503,5.067137956619263,402.131,-10.0,-2.1670635,90.33112,-3.8492856,0.14999999,10.623568,7.999977,,783.125,4,,443.00052,8,3.0
,90.33112,-70.3745,9,2.2430604e-06,,7264,317,-58.254276,2.0187195e-05,90.33112,0.00015010545,-6.853237,2.0295258,18.265732,-3.0701606,-1.8535618e-05,5.759071588516235,276629650000.0,-10.0,-2.8706255,90.33112,-3.9670687,0.14999999,2.9704742,2.0187195e-05,5.221536e-12,807.1111111111111,9,,276629650000.0,9,3.0
,90.33112,-70.3745,10,1.5391636e-06,,8263,317,-0.001366729,1.29507935e-05,90.33112,0.00012158541,8.000578,2.3267097,23.267097,-3.2472332,-1.0703005e-05,6.562228441238403,74745450000.0,10.0,-3.8926451,90.33112,-4.072427,0.14999999,2.6732903,1.29507935e-05,2.4400165e-06,826.3,9,,74745450000.0,10,3.0
