TimestepsSoFar,MountainCar_mu0_higher,GridSize,DenMISELogFirst,MountainCar_std0_higher,TimeElapsed,IWMax,ReturnMean,DenMISEMeanLog,Iteration,Regret,ActionIn1,MountainCar_std1_higher,ReturnLastEpisode,IWMin,ReturnMin,IWMean,NumTrainableParams,Delta,IWFirstEpisode,Bound,BoundMISE,BoundBonus,AvgEpLen,MountainCar_mu1_higher,MinEpLen,Regret/t,DenMISELogLast,NumTrajectories,IWLastEpisode,ReturnAbsMax,ReturnMax,ReturnStepMax
999,-1.0,1,-1.5224106,0.14999999,0.6009387969970703,4.215206e-10,-0.19484012,-1.5224106,1,5.19484,-11.620239,3.0,-0.19484012,,-0.19484012,4.215206e-10,2,0.060792707,4.215206e-10,2429931700000.0,-8.212912e-11,2429931700000.0,999.0,-10.0,999,5.19484,-1.5224106,1,4.215206e-10,0.19484012,,0.19484012
1998,1.0,4,-2.2155578,0.14999999,1.4358279705047607,4.129828e-15,-7.2158637,-2.2588542,2,24.431728,13.32769,3.0,-14.236887,,-14.236887,2.064914e-15,,0.0060792705,4.129828e-15,22237489000000.0,-4.023281e-16,22237489000000.0,999.0,10.0,999,12.215864,-2.3021505,2,,14.236887,,14.236887
2997,-1.0,4,-2.621023,0.14999999,2.11788010597229,1.1957055e-10,-27.792105,-2.5896742,3,98.37631,7.513776,3.0,-68.94459,,-68.94459,4.3824375e-11,,0.0027018983,1.1902574e-11,1311748300000.0,-5.6821053e-10,1311748300000.0,999.0,10.0,999,32.792107,-2.4403844,3,,68.94459,,68.94459
3523,1.0,4,-2.908705,0.14999999,2.529843330383301,5.0205634e-12,0.34019852,-2.8230677,4,18.639206,-8.645868,3.0,84.73711,,-68.94459,1.4745233e-12,,0.0015198176,8.7752993e-13,1679748900000.0,-8.657791e-11,1679748900000.0,880.75,-10.0,526,4.6598015,-2.6602023,4,,84.73711,84.73711,84.73711
4522,-1.0,4,-3.1318486,0.14999999,3.201037883758545,5.0,-5.9722977,-3.0367115,5,54.86149,8.276186,3.0,-31.222286,,-68.94459,1.0,,0.0009726833,1.9837635e-11,456.7716,66.79385,389.97775,904.4,10.0,526,10.972298,-2.9987125,5,,84.73711,84.73711,84.73711
4842,-1.0,4,-3.3141701,0.14999999,3.4620778560638428,6.0,10.027789,-2.9442475,6,-30.166733,-9.902481,3.0,90.02821,,-68.94459,1.0,,0.0006754746,2.5291236e-09,413.85883,-11.222198,425.08102,807.0,-10.0,320,-5.027789,-2.2634654,6,2.8803286e-09,90.02821,90.02821,90.02821
5841,1.0,4,-3.4683208,0.14999999,4.1901185512542725,6.9999995,5.3594317,-2.9379008,7,-2.5160217,-13.61071,3.0,-22.65071,,-68.94459,0.99999994,,0.00049626693,1.5356778e-12,409.35342,-24.610905,433.96432,834.4285714285714,-10.0,320,-0.35943174,-2.6680648,7,,90.02821,90.02821,90.02821
6840,-1.0,4,-3.6018522,0.14999999,4.858855485916138,4.0000005,-2.8771849,-3.1125631,8,63.01748,7.1228876,3.0,-60.533493,,-68.94459,1.0,,0.0003799544,3.17402e-11,399.58087,87.38266,312.1982,855.0,10.0,320,7.877185,-4.0936265,8,,90.02821,90.02821,90.02821
7360,,9,-3.7196352,0.14999999,5.254158020019531,0.0036470618,6.6564693,-3.1456244,9,-14.908222,6.6354547,3.0,82.925705,,-68.94459,0.00040522934,,0.00015010545,0.0036470618,410842.4,-7.897272e-05,410842.4,817.7777777777778,10.0,320,-1.6564693,-3.2787805,9,5.744418e-14,90.02821,90.02821,90.02821
8158,1.0,9,-3.8245907,0.14999999,5.9593186378479,0.032851476,15.867503,-3.3231368,10,-108.67503,-2.8530612,3.0,98.766815,,-68.94459,0.0035848368,,0.00012158541,5.503317e-11,77393.75,-0.123148546,77393.875,815.8,,320,-10.867503,-3.9729075,10,2.2780168e-11,98.766815,98.766815,98.766815
