BatchSize,J,ReturnMean,AvgRet,VarJ,NatGrad2Norm,Iteration,StepSize,NatGradInftyNorm,ReturnMax,AvgEpLen
100,-0.11022794717088237,-0.11022794717088237,-0.5575890063967462,0.00027378116688099526,0.02107391,1,1.0,0.021037612,-2.0987836031642062e-07,500.0
100,-0.08505838187389637,-0.09764316452238937,-0.4292273592973739,0.00028321997531675463,0.0136445705,2,1.0,0.012886215,-2.0987836031642062e-07,500.0
100,-0.10329252022646199,-0.09952628309041356,-0.5214296039548524,0.00038396657304917605,0.025170159,3,1.0,0.024936888,-2.0987836031642062e-07,500.0
100,-0.06702902213762432,-0.09140196785221626,-0.3387764256673707,0.00017149016490494788,0.010539589,4,1.0,0.010514878,-2.0987836031642062e-07,500.0
100,-0.071743801638206,-0.08747033460941421,-0.3627856275370281,0.00010147546127255462,0.0056753275,5,1.0,0.005632598,-2.0987836031642062e-07,500.0
100,-0.07401304212395214,-0.08522745252850386,-0.373343356465522,0.00016961923499584275,0.009663915,6,1.0,0.009342914,-1.759140409670134e-07,500.0
100,-0.05528868297643575,-0.08095048544963698,-0.27920484287447095,6.70998679077025e-05,0.0044856276,7,1.0,0.0044152597,-1.759140409670134e-07,500.0
100,-0.046573206494713665,-0.07665332558027158,-0.2349348446438702,7.14553472062251e-05,0.004182771,8,1.0,0.003901005,-1.759140409670134e-07,500.0
100,-0.0525095187885857,-0.07397068038119536,-0.26516905725236906,4.263071095590867e-05,0.0010457339,9,1.0,0.0010139135,-1.759140409670134e-07,500.0
100,-0.05217676479685226,-0.07179128882276106,-0.26384776035287216,6.315125344681896e-05,0.0044822246,10,1.0,0.004366961,-1.759140409670134e-07,500.0
100,-0.05998975610141513,-0.07071842221172961,-0.30304966784625476,8.365927457582679e-05,0.0037351504,11,1.0,0.0037116124,-1.759140409670134e-07,500.0
100,-0.0767189754904578,-0.07121846831829029,-0.38681826344822773,0.0002043080694335823,0.006698981,12,1.0,0.0054021724,-1.759140409670134e-07,500.0
100,-0.07231729497855255,-0.07130299344600277,-0.36499863263911136,9.506353390764697e-05,0.0049670013,13,1.0,0.004723666,-1.759140409670134e-07,500.0
100,-0.08407874255773969,-0.07221554695398398,-0.4247044216825235,0.0001754328739071736,0.005431603,14,1.0,0.005232326,-1.759140409670134e-07,500.0
100,-0.07143305589990112,-0.07216338088371178,-0.36063182848170766,0.0001012149226744712,0.002692139,15,1.0,0.0019769773,-1.759140409670134e-07,500.0
100,-0.06093235843576674,-0.07146144198071522,-0.30762113730610346,5.952924673851796e-05,0.0031752407,16,1.0,0.0031640222,-1.759140409670134e-07,500.0
100,-0.06454648545340962,-0.07105467983205019,-0.32543597263335466,7.321261780491639e-05,0.0006830429,17,1.0,0.0005970102,-1.759140409670134e-07,500.0
100,-0.061593064080083366,-0.07052903451249647,-0.3109006251723689,5.370803691068968e-05,0.0034352224,18,1.0,0.0034032578,-1.759140409670134e-07,500.0
100,-0.0640936806906182,-0.07019033167976604,-0.32398810044282145,8.360266848346677e-05,0.0045035738,19,1.0,0.0044904957,-1.759140409670134e-07,500.0
100,-0.06974233950765461,-0.07016793207116047,-0.35220633681195884,8.837358411282992e-05,0.0016340043,20,1.0,0.0015873734,-1.759140409670134e-07,500.0
100,-0.05990062190908873,-0.06967901253963324,-0.30188192959459026,6.97944112423719e-05,0.0038749704,21,1.0,0.0035907938,-1.759140409670134e-07,500.0
100,-0.051053311594461526,-0.06883238976939816,-0.2582382697449562,6.185635915195573e-05,0.0010037493,22,1.0,0.0007324801,-1.759140409670134e-07,500.0
100,-0.0672320446278654,-0.06876280954585327,-0.33969029016633845,9.741557829640214e-05,0.006508964,23,1.0,0.0061409976,-1.759140409670134e-07,500.0
100,-0.06018221050326218,-0.0684052845857453,-0.30401649731751446,6.188155011326562e-05,0.0014390892,24,1.0,0.0010725379,-1.759140409670134e-07,500.0
100,-0.045431700542514816,-0.06748634122401609,-0.22930330992503464,4.170445898256688e-05,0.0024691261,25,1.0,0.0018535351,-1.759140409670134e-07,500.0
100,-0.0699007185811206,-0.06757920189159702,-0.35320585641356544,0.00010092416058347926,0.0043764147,26,1.0,0.0038929677,-1.759140409670134e-07,500.0
100,-0.0609842991384232,-0.06733494623407206,-0.30776337474792825,8.771741434425785e-05,0.0015617036,27,1.0,0.0014007066,-1.759140409670134e-07,500.0
100,-0.0596797666370156,-0.06706154696274863,-0.30118090058822056,0.000131382140322477,0.0017669178,28,1.0,0.0016256481,-1.759140409670134e-07,500.0
100,-0.06967895667649618,-0.06715180247011923,-0.351492338797222,0.00011714605194383405,0.0015294672,29,1.0,0.0015277944,-1.759140409670134e-07,500.0
100,-0.05804154665934205,-0.06684812727642667,-0.29265274780417305,3.666081976423108e-05,0.0022267904,30,1.0,0.0019772472,-1.759140409670134e-07,500.0
100,-0.05745363073727197,-0.06654507900097005,-0.29007666088116574,5.8288850789264535e-05,0.0018048312,31,1.0,0.0016942403,-1.759140409670134e-07,500.0
100,-0.07335196335096372,-0.06675779413690736,-0.3705368713945707,0.0001025026403530811,0.004321959,32,1.0,0.004233146,-1.759140409670134e-07,500.0
100,-0.07098652275812921,-0.06688593742845954,-0.35759218638870754,9.533535834023511e-05,0.0013148336,33,1.0,0.0010634129,-1.759140409670134e-07,500.0
100,-0.05733212804400853,-0.0666049430347992,-0.28957066446732277,5.109648322168414e-05,0.0028962712,34,1.0,0.0025679835,-1.759140409670134e-07,500.0
100,-0.054883360631674226,-0.0662700406804242,-0.2767211195137014,5.890776034052421e-05,0.003353112,35,1.0,0.0033510341,-1.759140409670134e-07,500.0
100,-0.056531600188945354,-0.0659995284445498,-0.28530806986715535,4.944004738273322e-05,0.0035438451,36,1.0,0.0035003764,-1.759140409670134e-07,500.0
100,-0.05584720040605322,-0.06572514120026611,-0.2820918472227583,4.812577876175637e-05,0.0020910858,37,1.0,0.001731141,-1.759140409670134e-07,500.0
100,-0.056431506532067986,-0.06548057186689248,-0.2846263709692606,4.48329496716831e-05,0.0046869405,38,1.0,0.0045666415,-1.759140409670134e-07,500.0
100,-0.06061154664304777,-0.06535572506628107,-0.30563568623563886,9.23889190096071e-05,0.0064803297,39,1.0,0.0064286203,-1.759140409670134e-07,500.0
100,-0.05569049466392542,-0.06511409430622217,-0.28148070039396905,4.950693173757131e-05,0.0010148318,40,1.0,0.0008520048,-1.759140409670134e-07,500.0
100,-0.06432602969833077,-0.06509487321822482,-0.3248719167577632,9.404882167927394e-05,0.0028707958,41,1.0,0.002339809,-1.759140409670134e-07,500.0
100,-0.04952405386960082,-0.06472413942420996,-0.25017864490527025,4.3889217455944527e-05,0.0006280112,42,1.0,0.0006222958,-1.759140409670134e-07,500.0
100,-0.058392023779841214,-0.06457688092085256,-0.2945152082199309,7.051274041953145e-05,0.005082753,43,1.0,0.003923664,-1.759140409670134e-07,500.0
100,-0.06996937195065564,-0.06469943753516627,-0.3530327807899923,0.00010532935906351938,0.0037696166,44,1.0,0.003186782,-1.759140409670134e-07,500.0
100,-0.0685416537756045,-0.06478482011828712,-0.34575340587353,9.460584556433888e-05,0.0025671248,45,1.0,0.0020713664,-1.759140409670134e-07,500.0
100,-0.04570608190834363,-0.06437006493981008,-0.23044943860190656,7.080768796941606e-05,0.00202642,46,1.0,0.0020196722,-1.759140409670134e-07,500.0
100,-0.06382583531677512,-0.06435848558612849,-0.32246694348480953,6.760084612388229e-05,0.0015979877,47,1.0,0.0012938996,-1.759140409670134e-07,500.0
100,-0.0538348555295599,-0.0641392432932833,-0.27199319557750756,7.392916003097223e-05,0.0013677442,48,1.0,0.001366944,-1.759140409670134e-07,500.0
100,-0.07947047006555052,-0.06445212547230916,-0.4009091614288338,0.00015666665618785543,0.00073305034,49,1.0,0.0006516072,-1.759140409670134e-07,500.0
100,-0.06076648544930667,-0.0643784126718491,-0.30653113270185167,7.334707105551248e-05,0.0061354814,50,1.0,0.0061084726,-1.759140409670134e-07,500.0
100,-0.045018943195666995,-0.06399881523113966,-0.2271221535796886,3.0442689695700044e-05,0.0019305547,51,1.0,0.0019222839,-1.759140409670134e-07,500.0
