ReturnMean,Iteration,AvgRet,AvgEpLen,BatchSize,J,VarJ,NatGradInftyNorm,StepSize,NatGrad2Norm,ReturnMax
-0.09878592168494581,1,-0.49946875042907907,500.0,100,-0.09878592168494581,0.00028350413073277857,0.019730335,0.0001,0.020127917,-1.0056953635114842e-05
-0.09350097713352401,2,-0.4458117146897091,500.0,100,-0.08821603258210221,0.00011396223961290484,0.008307727,0.0001,0.008349022,-1.0056953635114842e-05
-0.08890638112451536,3,-0.4030312755427697,500.0,100,-0.07971718910649804,0.00013107905160478933,0.010830435,0.0001,0.010838066,-1.0056953635114842e-05
-0.09195194930256012,4,-0.5109569673375988,500.0,100,-0.10108865383669442,0.00018716609254197647,0.016817193,0.0001,0.017245254,-2.0905219981830422e-06
-0.09438239909829638,5,-0.5264962032614986,500.0,100,-0.10410419828124134,0.00024593928740864986,0.012322587,0.0001,0.0132045755,-2.0905219981830422e-06
-0.09877271564182927,6,-0.6104586339839913,500.0,100,-0.12072429835949373,0.0002186302870294595,0.019862121,0.0001,0.020982537,-7.045335122662861e-07
-0.10175858200087658,7,-0.6047099511797606,500.0,100,-0.11967378015516042,0.0002838488108236877,0.019729532,0.0001,0.020087466,-7.045335122662861e-07
-0.10348243258876966,8,-0.5837845800463488,500.0,100,-0.11554938670402141,0.00024781167521241784,0.017230706,0.0001,0.018224658,-7.045335122662861e-07
-0.10297633728548647,9,-0.4994730802834219,500.0,100,-0.09892757485922084,0.00016839518938994486,0.013741782,0.0001,0.013851863,-7.045335122662861e-07
-0.10215802107081953,10,-0.4792271041364342,500.0,100,-0.09479317513881699,0.00018213375943769056,0.013726929,0.0001,0.013834588,-7.045335122662861e-07
-0.10062382641674739,11,-0.43092551005861474,500.0,100,-0.08528187987602606,0.00010738850138702497,0.009602372,0.0001,0.009689349,-7.045335122662861e-07
-0.10027773032444702,12,-0.48790401592706556,500.0,100,-0.09647067330914286,0.00019161184572893107,0.0132053085,0.0001,0.013271418,-7.045335122662861e-07
-0.10211311642392808,13,-0.6271491312492639,500.0,100,-0.1241377496177009,0.00029469007202164284,0.023858314,0.0001,0.02397757,-7.045335122662861e-07
-0.10161314102143525,14,-0.48057263236376985,500.0,100,-0.09511346078902841,0.0003748263764656419,0.01977707,0.0001,0.019855034,-7.045335122662861e-07
-0.10231659797193451,15,-0.5674307508042101,500.0,100,-0.11216499527892411,0.00025067392295848875,0.020967895,0.0001,0.021319954,-7.045335122662861e-07
-0.10033148409771489,16,-0.3566811014244387,500.0,100,-0.07055477598442064,9.172182390390476e-05,0.0074713463,0.0001,0.0075401883,-7.045335122662861e-07
-0.10045511973256181,17,-0.5175718131749298,500.0,100,-0.10243328989011287,0.00020122256808550662,0.009743233,0.0001,0.010064123,-7.045335122662861e-07
-0.09977885099824597,18,-0.44660831507101334,500.0,100,-0.08828228251487649,0.00018085208067389113,0.013340042,0.0001,0.013690622,-7.045335122662861e-07
-0.09994194389323101,19,-0.5196248069259847,500.0,100,-0.10287761600296193,0.00023049343414407582,0.014661882,0.0001,0.0146717625,-7.045335122662861e-07
-0.0985681494414512,20,-0.3664906673434104,500.0,100,-0.07246605485763438,0.0001339259608294014,0.010691199,0.0001,0.010731965,-7.045335122662861e-07
-0.09963781369942055,21,-0.610739197296445,500.0,100,-0.12103109885880796,0.0005038299198892612,0.025287766,0.0001,0.02542469,-7.045335122662861e-07
-0.10177092371586281,22,-0.7409010808606982,500.0,100,-0.14656623406114988,0.00041738314241494346,0.03188832,0.0001,0.031894643,-7.045335122662861e-07
-0.10055848743051182,23,-0.37378585558133876,500.0,100,-0.07388488915279032,0.00010918080947287287,0.0073484886,0.0001,0.007655561,-7.045335122662861e-07
-0.10032992858180043,24,-0.48117393796659136,500.0,100,-0.09507307506143806,0.00012525437409393356,0.011694086,0.0001,0.011738017,-7.045335122662861e-07
-0.10106083925262103,25,-0.6002144497217856,500.0,100,-0.11860269535231556,0.0002472856489037071,0.018178796,0.0001,0.018277533,-7.045335122662861e-07
-0.1011923542805456,26,-0.5277033314690991,500.0,100,-0.10448022997865943,0.0002697138074418605,0.017465351,0.0001,0.017780704,-7.045335122662861e-07
-0.10098665585064207,27,-0.48406515096778946,500.0,100,-0.09563849667314994,0.00015935651043275494,0.011592914,0.0001,0.011815979,-7.045335122662861e-07
-0.10092528109034618,28,-0.5018245672193405,500.0,100,-0.09926816256235743,0.00019181155974363234,0.0096611725,0.0001,0.009687252,-7.045335122662861e-07
