StepSize,VarJ,J,AvgRet,Iteration,AvgEpLen,NatGradInftyNorm,BatchSize,NatGrad2Norm,ReturnMax,ReturnMean
1.0,0.00028350413073277857,-0.09878592168494581,-0.49946875042907907,1,500.0,0.019730335,100,0.020127917,-1.0056953635114842e-05,-0.09878592168494581
1.0,9.003138793228418e-05,-0.07859462665673,-0.3970453173093129,2,500.0,0.005766081,100,0.005794986,-5.462143674900349e-06,-0.08869027417083793
1.0,9.437843058481472e-05,-0.06733652319709714,-0.3403265637285895,3,500.0,0.008006307,100,0.008018531,-5.462143674900349e-06,-0.08157235717959099
1.0,0.0001268415949899697,-0.07809279451457256,-0.3946946705607475,4,500.0,0.012451231,100,0.012872942,-5.462143674900349e-06,-0.08070246651333639
1.0,0.00017192955078095174,-0.08266071668028543,-0.41786320959025536,5,500.0,0.0051770355,100,0.0068159043,-2.8642163014346814e-07,-0.08109411654672619
1.0,0.00012386756665847727,-0.08650645902391375,-0.4371727230151164,6,500.0,0.011487065,100,0.012315717,-8.210360899460395e-08,-0.08199617362625744
1.0,0.00015227946596804552,-0.08867398892951404,-0.4479501720105427,7,500.0,0.008561439,100,0.009128535,-8.210360899460395e-08,-0.0829501472410084
1.0,0.00012727453954812517,-0.08259697289222206,-0.41713369528578786,8,500.0,0.005413694,100,0.0075096777,-8.210360899460395e-08,-0.0829060004474101
1.0,7.300680273788631e-05,-0.06786906615501126,-0.34228735600576216,9,500.0,0.0031222838,100,0.0031524396,-8.210360899460395e-08,-0.0812352299704769
1.0,8.009500045777676e-05,-0.06386680416700102,-0.3223744208406049,10,500.0,0.003243899,100,0.0037574705,-8.210360899460395e-08,-0.07949838739012931
1.0,4.600046562991731e-05,-0.05358985349290696,-0.2703293560200508,11,500.0,0.00047067457,100,0.00048304183,-8.210360899460395e-08,-0.07714306612674547
1.0,9.072639042096408e-05,-0.06431078496464657,-0.32483164997175273,12,500.0,0.0020780114,100,0.0022296621,-8.210360899460395e-08,-0.07607370936323721
1.0,0.00012111097556491711,-0.07370973222408805,-0.372180239834847,13,500.0,0.009957475,100,0.009964033,-5.666382800177039e-08,-0.07589186496791805
1.0,0.00016430763391943177,-0.06716713719972434,-0.33913406626750314,14,500.0,0.0062612537,100,0.0062615867,-5.666382800177039e-08,-0.07526867012733279
1.0,8.104865409276269e-05,-0.06304067610721725,-0.31854201431408,15,500.0,0.0063591725,100,0.00673516,-5.666382800177039e-08,-0.07445347052599176
