Iteration,ReturnMax,ReturnMean,BatchSize,AvgEpLen,AvgRet,NatGrad2Norm,J,VarJ,NatGradInftyNorm,StepSize
1,-1.0056953635114842e-05,-0.09878592168494581,100,500.0,-0.49946875042907907,0.020127917,-0.09878592168494581,0.00028350413073277857,0.019730335,0.001
2,-1.0056953635114842e-05,-0.0934961124216375,100,500.0,-0.44576242453935483,0.008346714,-0.08820630315832916,0.0001139374446560367,0.00830543,0.001
3,-1.0056953635114842e-05,-0.08889839783233934,100,500.0,-0.40295928436248196,0.010835259,-0.07970296865374302,0.00013103730284009087,0.010827624,0.001
4,-1.9275793225392162e-06,-0.0919390239015669,100,500.0,-0.510816709302674,0.017240506,-0.10106090210924966,0.00018709268637508405,0.01681247,0.001
5,-1.9275793225392162e-06,-0.094365969232123,100,500.0,-0.5263421356185561,0.0131969815,-0.10407375055434728,0.0002458324882291015,0.01231465,0.001
6,-5.772202525247165e-07,-0.09875053101572974,100,500.0,-0.610200749083237,0.020971552,-0.12067333993376353,0.00021848327077207328,0.019851558,0.001
7,-5.772202525247165e-07,-0.10173178980795139,100,500.0,-0.6044349877209199,0.020072855,-0.11961934256128118,0.0002836181083648998,0.019714897,0.001
8,-5.772202525247165e-07,-0.10345073996611352,100,500.0,-0.5834512780177803,0.018208204,-0.1154833910732486,0.0002475647994924176,0.017213639,0.001
9,-5.772202525247165e-07,-0.10294019718645792,100,500.0,-0.49911061175302657,0.01383557,-0.0988558549492131,0.00016817110906565142,0.013725559,0.001
10,-5.772202525247165e-07,-0.10211764186470212,100,500.0,-0.4788295477702429,0.013817639,-0.09471464396889977,0.00018188013128501366,0.013709848,0.001
11,-5.772202525247165e-07,-0.1005792290283913,100,500.0,-0.4304862970897937,0.009673377,-0.08519510066528307,0.00010720235761331448,0.009586581,0.001
12,-5.772202525247165e-07,-0.10022909320510727,100,500.0,-0.48743292324730414,0.013251097,-0.09637759914898325,0.00019131995264859867,0.013184985,0.001
13,-5.772202525247165e-07,-0.1020577838556201,100,500.0,-0.6264636864604395,0.02394914,-0.12400207166177371,0.000294218985301422,0.023830151,0.001
14,-5.772202525247165e-07,-0.10155437386834962,100,500.0,-0.4800503655995122,0.01982872,-0.09501004403383345,0.0003742335492263575,0.01975088,0.001
15,-5.772202525247165e-07,-0.10225126385878124,100,500.0,-0.5666352516156807,0.021288209,-0.11200772372482386,0.00025014375902223144,0.020936597,0.001
