AvgEpLen,VarJ,StepSize,ReturnMax,NatGradInftyNorm,Iteration,BatchSize,AvgRet,J,NatGrad2Norm,ReturnMean
500.0,0.00028350413073277857,0.1,-1.0056953635114842e-05,0.019730335,1,100,-0.49946875042907907,-0.09878592168494581,0.020127917,-0.09878592168494581
500.0,0.00011124635137174507,0.1,-1.0056953635114842e-05,0.008052902,2,100,-0.4403992202536406,-0.0871476996572193,0.008093036,-0.09296681067108256
500.0,0.0001265519656683637,0.1,-4.415593701319968e-06,0.010521242,3,100,-0.39522979765101957,-0.07817624171877689,0.01052927,-0.08803662102031402
500.0,0.00017927042705788172,0.1,-4.415593701319968e-06,0.016302247,4,100,-0.49584803425630986,-0.09809932584100692,0.01672793,-0.09055229722548724
500.0,0.0002346630853164468,0.1,-6.658524634751643e-08,0.011460278,5,100,-0.5101861521924352,-0.10088140108485823,0.012382926,-0.09261811799736143
500.0,0.00020326054677105226,0.1,-6.658524634751643e-08,0.018730726,6,100,-0.5833535860232921,-0.11536887458154282,0.01980658,-0.09640991076139167
500.0,0.0002601124865954496,0.1,-6.658524634751643e-08,0.018168285,7,100,-0.5763769062087208,-0.11406503019052228,0.018530859,-0.0989320706798389
500.0,0.00022293368294490584,0.1,-6.658524634751643e-08,0.015428488,8,100,-0.5500307933462758,-0.10886699250895664,0.016495604,-0.10017393590847862
500.0,0.00014625031254338183,0.1,-6.658524634751643e-08,0.012042959,9,100,-0.4634746967257488,-0.09180597223604031,0.012144886,-0.09924416216709658
500.0,0.00015733444272855463,0.1,-6.658524634751643e-08,0.011952278,10,100,-0.44031141034530785,-0.08710786939783295,0.012076351,-0.09803053289017022
500.0,8.96767845342983e-05,0.1,-6.658524634751643e-08,0.0079751685,11,100,-0.3884722074803906,-0.07689526282885432,0.008043467,-0.09610914470277787
500.0,0.00016380640051549459,0.1,-6.658524634751643e-08,0.011124689,12,100,-0.44283494729890877,-0.08756844443396997,0.011191569,-0.0953974196803772
500.0,0.0002495641580401429,0.1,-6.658524634751643e-08,0.0210234,13,100,-0.5611756287946413,-0.11108074614445798,0.021116221,-0.09660382940838343
500.0,0.0003185921993885251,0.1,-6.658524634751643e-08,0.017124759,14,100,-0.4324799992615823,-0.08559267307569307,0.017189043,-0.09581731824176269
500.0,0.00020128660006963383,0.1,-6.658524634751643e-08,0.017856058,15,100,-0.4931758019964459,-0.09748867471908178,0.01816994,-0.0959287420069173
500.0,6.899618057641763e-05,0.1,-6.658524634751643e-08,0.005441026,16,100,-0.30467042163684066,-0.060273578838566245,0.0055003995,-0.09370029430889534
500.0,0.00016562877816570664,0.1,-6.658524634751643e-08,0.0062151025,17,100,-0.46306310740722834,-0.09164232261615543,0.0066629327,-0.09357923715049889
500.0,0.00013756117360766367,0.1,-6.658524634751643e-08,0.01035805,18,100,-0.38995460629677575,-0.07709282502435011,0.010634113,-0.09266332536571285
500.0,0.00018335278260064563,0.1,-6.658524634751643e-08,0.011076309,19,100,-0.44966849025550154,-0.08903766022597709,0.01108731,-0.09247250088467412
500.0,9.809548794954683e-05,0.1,-6.658524634751643e-08,0.00828808,20,100,-0.3047447742713167,-0.06027443416750091,0.008328209,-0.09086259754881544
500.0,0.0004073708977454739,0.1,-6.658524634751643e-08,0.020384764,21,100,-0.533062586685029,-0.10564389525970402,0.020492718,-0.09156646886838157
500.0,0.0003103967205439831,0.1,-6.658524634751643e-08,0.025590695,22,100,-0.6351596927092992,-0.12564037508552078,0.025596164,-0.09311528278734246
