NatGradInftyNorm,BatchSize,Iteration,NatGrad2Norm,ReturnMean,AvgRet,StepSize,J,AvgEpLen,VarJ,ReturnMax
0.019730335,100,1,0.020127917,-0.09878592168494581,-0.49946875042907907,0.01,-0.09878592168494581,500.0,0.00028350413073277857,-1.0056953635114842e-05
0.008282466,100,2,0.008323646,-0.09344750641733128,-0.44526994323060193,0.01,-0.08810909114971671,500.0,0.00011368980451159737,-1.0056953635114842e-05
0.0107995225,100,3,0.010807193,-0.08881869660944355,-0.40224094466182775,0.01,-0.07956107699366809,500.0,0.0001306207027210939,-1.0056953635114842e-05
0.016765295,100,4,0.0171931,-0.09181007241218028,-0.50941822687252,0.01,-0.10078419982039048,500.0,0.00018636108240651717,-6.668738685290673e-07
0.012235437,100,5,0.013121212,-0.09420220005029285,-0.5248086599208343,0.01,-0.10377071060274315,500.0,0.00024476984728162023,-6.668738685290673e-07
0.019746335,100,6,0.020862132,-0.09852959529713466,-0.6076360778132447,0.01,-0.12016657153134362,500.0,0.00021702190532913002,-4.3144662356431494e-07
0.01956904,100,7,0.019927265,-0.10146522358628256,-0.6017056937527298,0.01,-0.11907899332117008,500.0,0.00028132830291478534,-4.3144662356431494e-07
0.017043846,100,8,0.018044583,-0.10313576046025894,-0.5801489569994471,0.01,-0.1148295185780934,500.0,0.0002451202172141394,-4.3144662356431494e-07
0.0135642495,100,9,0.0136735495,-0.10258142035696166,-0.4955264875408073,0.01,-0.09814669953058344,500.0,0.00016595644229244598,-4.3144662356431494e-07
0.013540147,100,10,0.0136492755,-0.10171720964112532,-0.4749043604908784,0.01,-0.09393931319859827,500.0,0.0001793764120994075,-4.3144662356431494e-07
0.009429882,100,11,0.009514876,-0.1001374162654552,-0.42615572555851783,0.01,-0.08433948250875421,500.0,0.00010537004423865499,-4.3144662356431494e-07
0.012983373,100,12,0.013049507,-0.09974771085972514,-0.4827932499140044,0.01,-0.09546095139669436,500.0,0.00018844661224744522,-4.3144662356431494e-07
0.0235514,100,13,0.023667764,-0.10151058615084209,-0.6197091493609933,0.01,-0.12266508964424576,500.0,0.0002895795438609965,-4.3144662356431494e-07
0.019491449,100,14,0.019568056,-0.10097380341012888,-0.47492725861761714,0.01,-0.09399562778085677,500.0,0.0003684017804855479,-4.3144662356431494e-07
0.020627154,100,15,0.020974418,-0.101606419948936,-0.5588219137824192,0.01,-0.11046305149223555,500.0,0.00024493806742609996,-4.3144662356431494e-07
0.0072512827,100,16,0.0073188427,-0.09958751993362233,-0.35035479282328175,0.01,-0.06930401970391745,500.0,8.894326591376114e-05,-4.3144662356431494e-07
0.00935775,100,17,0.00968834,-0.09967722649013463,-0.5109028070078856,0.01,-0.10111253139433149,500.0,0.00019679113629231904,-4.3144662356431494e-07
0.01301082,100,18,0.013352273,-0.09896715744421303,-0.4395923905195565,0.01,-0.08689598366354585,500.0,0.00017556974254833612,-4.3144662356431494e-07
0.014261133,100,19,0.01427114,-0.09908327937947861,-0.5110126233296097,0.01,-0.10117347421425894,500.0,0.00022466774940955672,-4.3144662356431494e-07
0.010422488,100,20,0.010463147,-0.09767514136987276,-0.358665026510242,0.01,-0.07092051918736159,500.0,0.00012947360838625873,-4.3144662356431494e-07
0.02473305,100,21,0.024866791,-0.0986956034576633,-0.6010176758270338,0.01,-0.11910484521347431,500.0,0.0004920193804078398,-4.3144662356431494e-07
0.031165682,100,22,0.031171877,-0.10075329017655023,-0.7277603814877112,0.01,-0.14396471127317542,500.0,0.00040405255182568336,-4.3144662356431494e-07
0.007000926,100,23,0.0073085623,-0.09950691672876966,-0.3646700813423631,0.01,-0.07208670087759736,500.0,0.0001049946526904231,-4.3144662356431494e-07
0.011252029,100,24,0.0113007035,-0.099216524832348,-0.46831649177422824,0.01,-0.0925375112146499,500.0,0.00012018877656523206,-4.3144662356431494e-07
0.017539117,100,25,0.017636346,-0.09988587829392191,-0.5868117989188981,0.01,-0.11595036137169551,500.0,0.00023818344239577536,-4.3144662356431494e-07
0.016877757,100,26,0.017189892,-0.09996677529547812,-0.5151232454699565,0.01,-0.10198920033438366,500.0,0.0002598793337830131,-4.3144662356431494e-07
0.011036234,100,27,0.0112587875,-0.09971930333366172,-0.47216685624406496,0.01,-0.09328503232643516,500.0,0.00015224537173577665,-4.3144662356431494e-07
0.0090576755,100,28,0.009091089,-0.09961869438530661,-0.4898568802312966,0.01,-0.09690225277971881,500.0,0.00018506841306702677,-4.3144662356431494e-07
