Iteration,AvgEpLen,StepSize,NatGradInftyNorm,VarJ,J,ReturnMean,BatchSize,ReturnMax,AvgRet,NatGrad2Norm
1,500.0,0.0001,0.008456918,9.774722275883923e-05,-0.0816148595520168,-0.0816148595520168,100,-4.408766883269136e-06,-0.4138476910531172,0.008472458
2,500.0,0.0001,0.008531257,0.00010711557277675485,-0.08182446135697954,-0.08171966045449817,100,-4.408766883269136e-06,-0.4140968622061627,0.008533689
3,500.0,0.0001,0.01018652,0.00014519358243059418,-0.09063028905746257,-0.08468986998881964,100,-4.408766883269136e-06,-0.45860715662923085,0.0103692515
4,500.0,0.0001,0.0071551637,9.785235544569052e-05,-0.08026119251369813,-0.08358270062003927,100,-4.408766883269136e-06,-0.4050939415645148,0.007227127
5,500.0,0.0001,0.009534131,0.00011652745948780898,-0.08645786028183647,-0.08415773255239871,100,-1.4424246857968941e-06,-0.4365964628382209,0.009536025
6,500.0,0.0001,0.014880815,0.00017117375072276916,-0.11162584996925996,-0.08873575212187558,100,-1.4424246857968941e-06,-0.5650608435417509,0.015003992
7,500.0,0.0001,0.017531022,0.00026521759810751137,-0.1095988515076767,-0.09171619489127575,100,-1.4424246857968941e-06,-0.5534216177417026,0.017537879
8,500.0,0.0001,0.008243247,0.0001225222987647021,-0.08414790223869943,-0.09077015830970371,100,-1.4424246857968941e-06,-0.4257862771680253,0.008256108
9,500.0,0.0001,0.018775351,0.0001884121004579215,-0.10668681887194711,-0.09253867614995297,100,-1.4424246857968941e-06,-0.5391114136248324,0.018794442
10,500.0,0.0001,0.013023547,0.00017719342040402794,-0.08415783847917072,-0.09170059238287474,100,-1.4424246857968941e-06,-0.4256161747838557,0.013497176
11,500.0,0.0001,0.020995429,0.00028818945816408274,-0.12020872692391876,-0.09429224097751511,100,-1.4424246857968941e-06,-0.6076633920440754,0.021032542
12,500.0,0.0001,0.0045017856,0.00011356666465010223,-0.09014451076750567,-0.09394659679334766,100,-3.578272918436579e-07,-0.45567301568334106,0.0045330436
13,500.0,0.0001,0.015829917,0.00017832923160763343,-0.11160971559007779,-0.09530529823924998,100,-3.578272918436579e-07,-0.5643857894061542,0.015837677
14,500.0,0.0001,0.012545625,0.0001654702230402548,-0.08264743137079478,-0.09440116489150317,100,-3.578272918436579e-07,-0.418159724338397,0.012603311
15,500.0,0.0001,0.00856875,0.00011338284036688514,-0.09109492014160865,-0.09418074857484354,100,-3.578272918436579e-07,-0.4608949116975577,0.009231519
16,500.0,0.0001,0.013658904,0.00019507243829313878,-0.09970581394710884,-0.09452606516061011,100,-3.578272918436579e-07,-0.5043311170010066,0.014249822
17,500.0,0.0001,0.021591507,0.00029530496238024866,-0.11948280335231072,-0.09599410858365134,100,-3.578272918436579e-07,-0.6039408763767294,0.021626199
18,500.0,0.0001,0.0086515285,8.885124759746779e-05,-0.07519496573253444,-0.09483860064747818,100,-3.578272918436579e-07,-0.3799751472295155,0.008657066
19,500.0,0.0001,0.017293062,0.00024484824884754005,-0.0977806983294206,-0.09499344789389619,100,-3.578272918436579e-07,-0.4948450822017537,0.017564189
20,500.0,0.0001,0.010113769,0.00013959612271678354,-0.08939849612482446,-0.09471370030544261,100,-3.578272918436579e-07,-0.45190587537405397,0.0104066655
21,500.0,0.0001,0.019378262,0.00023392010859912767,-0.1098170620750415,-0.09543290800875684,100,-3.578272918436579e-07,-0.5544555239644944,0.01944711
22,500.0,0.0001,0.0113832895,0.00017237135341286114,-0.1007145732706011,-0.09567298370247704,100,-3.578272918436579e-07,-0.5100030392754249,0.011392091
23,500.0,0.0001,0.01528422,0.0001939019120191185,-0.10770461144250396,-0.09619609795204344,100,-3.578272918436579e-07,-0.5439628871325748,0.015821982
24,500.0,0.0001,0.017572999,0.00022098410729742807,-0.11064690618499144,-0.09679821496174959,100,-3.578272918436579e-07,-0.5591442808342406,0.01772547
25,500.0,0.0001,0.019138843,0.00033193544466517843,-0.09640275450626595,-0.09678239654353026,100,-3.578272918436579e-07,-0.48697343551431294,0.01936089
26,500.0,0.0001,0.015613153,0.0002253237621265055,-0.10791985189528593,-0.09721076021090547,100,-3.578272918436579e-07,-0.5455543576493745,0.015613603
27,500.0,0.0001,0.019171696,0.00020973133253292302,-0.11458738086505814,-0.09785433875365186,100,-3.578272918436579e-07,-0.5801045474150548,0.01926099
28,500.0,0.0001,0.021298291,0.00038269837272727857,-0.11644038313599366,-0.09851812605302121,100,-3.578272918436579e-07,-0.5885347028511282,0.021353262
29,500.0,0.0001,0.011107211,0.00014569504522965964,-0.09142827613082825,-0.09827364846949732,100,-3.578272918436579e-07,-0.46207215223348236,0.0112872105
30,500.0,0.0001,0.01983652,0.0002556350379691838,-0.10944866044390275,-0.09864614886864416,100,-3.578272918436579e-07,-0.552826783583055,0.021020126
31,500.0,0.0001,0.0125930095,0.00014525779222020137,-0.09445029578727805,-0.09851079876924526,100,-3.578272918436579e-07,-0.47798931694594915,0.012662975
32,500.0,0.0001,0.02313826,0.0003797262567885047,-0.11119548501925917,-0.09890719521455818,100,-3.578272918436579e-07,-0.5615117109254831,0.023138888
33,500.0,0.0001,0.025235957,0.0003182731849870729,-0.12965335823317303,-0.09983889712421318,100,-3.578272918436579e-07,-0.6550216450185044,0.02545403
34,500.0,0.0001,0.017130263,0.00019405373463503195,-0.10175754317422331,-0.09989532789038995,100,-3.578272918436579e-07,-0.5150543071535683,0.017175496
35,500.0,0.0001,0.01873578,0.00024870680858237517,-0.10626797606249726,-0.10007740355245018,100,-3.578272918436579e-07,-0.5369479906924816,0.018739343
36,500.0,0.0001,0.0094015375,0.00013695262321607366,-0.0911043182985153,-0.0998281511842853,100,-3.578272918436579e-07,-0.46073392414268405,0.010105192
37,500.0,0.0001,0.024869567,0.0003919101545238828,-0.12936372206884925,-0.10062640985684108,100,-3.578272918436579e-07,-0.6532010619695872,0.02569785
38,500.0,0.0001,0.023479676,0.00030448930848201664,-0.12412617859177251,-0.10124482482354982,100,-3.578272918436579e-07,-0.627351088604997,0.023494564
39,500.0,0.0001,0.033758543,0.0004649446964839082,-0.13833808039823456,-0.10219593394084943,100,-3.578272918436579e-07,-0.6981274725773816,0.033778302
40,500.0,0.0001,0.02177877,0.0002279112402314461,-0.11441764098697892,-0.10250147661700265,100,-3.578272918436579e-07,-0.5791062511139916,0.02201063
41,500.0,0.0001,0.011542375,0.0001543045680866866,-0.08844433110079997,-0.10215861940929039,100,-3.578272918436579e-07,-0.44740978190588704,0.011718265
42,500.0,0.0001,0.011084791,0.00015392319403832058,-0.07705212145593947,-0.10156084564849631,100,-3.578272918436579e-07,-0.39021297591664045,0.011229171
43,500.0,0.0001,0.012472532,0.0001573744075175373,-0.09172352085906621,-0.10133207065339331,100,-3.578272918436579e-07,-0.46423316744745435,0.012572683
44,500.0,0.0001,0.01417715,0.0001664078582063112,-0.09495293882267518,-0.10118709038451335,100,-3.578272918436579e-07,-0.4805654501092441,0.014777336
45,500.0,0.0001,0.01100513,0.00018341197879128703,-0.08558120845255694,-0.10084029300824765,100,-3.578272918436579e-07,-0.4327840448351374,0.01119737
46,500.0,0.0001,0.026177974,0.0004204964432033489,-0.12414093681600563,-0.1013468287431989,100,-3.578272918436579e-07,-0.6268512338405661,0.02647672
47,500.0,0.0001,0.018745515,0.00021325181387615285,-0.10875211621145174,-0.10150438805103408,100,-3.578272918436579e-07,-0.5499746201780692,0.01886195
48,500.0,0.0001,0.01725247,0.00020533047703407908,-0.09776738999962689,-0.10142653392496309,100,-3.578272918436579e-07,-0.49407926562440685,0.017252835
49,500.0,0.0001,0.008729507,0.00010892064114564187,-0.0846517416716839,-0.10108419122591658,100,-3.578272918436579e-07,-0.42848722714115167,0.009012733
50,500.0,0.0001,0.007901013,9.272380217065972e-05,-0.0706614762476761,-0.10047573692635176,100,-3.578272918436579e-07,-0.35785638440942763,0.007977325
51,500.0,0.0001,0.015273974,0.00017583928624281378,-0.10759736364289678,-0.10061537666589188,100,-3.578272918436579e-07,-0.5436102624927668,0.015646111
52,500.0,0.0001,0.011756736,0.00014185571694522352,-0.08489805986570795,-0.10031312057358065,100,-3.578272918436579e-07,-0.42931208407402205,0.011798802
53,500.0,0.0001,0.019368606,0.00020269620735681782,-0.12050359010050064,-0.10069407282880556,100,-3.578272918436579e-07,-0.6103832844351489,0.019371372
54,500.0,0.0001,0.012520419,0.00013065946393450332,-0.09397745460245246,-0.10056969100979903,100,-3.578272918436579e-07,-0.47596201556655315,0.012699997
55,500.0,0.0001,0.014132836,0.0001654357757306578,-0.10146301585611683,-0.10058593327973205,100,-3.578272918436579e-07,-0.5133226883555596,0.014136619
56,500.0,0.0001,0.012339511,0.00018838565536178232,-0.09732329950925375,-0.10052767196240209,100,-3.578272918436579e-07,-0.4920303515559021,0.012436106
57,500.0,0.0001,0.014348052,0.00018394056866641737,-0.10276250980959106,-0.10056687964393171,100,-3.578272918436579e-07,-0.5195811462543294,0.014371806
58,500.0,0.0001,0.024239661,0.0002966438090162329,-0.12216727191615341,-0.10093930020034933,100,-3.578272918436579e-07,-0.6177625153539639,0.02431919
59,500.0,0.0001,0.016790487,0.00022594038093470836,-0.100744257815791,-0.10093599439722123,100,-3.578272918436579e-07,-0.5089639834864232,0.017003307
60,500.0,0.0001,0.010954637,0.0001845836784804777,-0.0892265053502262,-0.10074083624643797,100,-3.578272918436579e-07,-0.4510085570240585,0.011411263
61,500.0,0.0001,0.0127675235,0.00015666070557729744,-0.08894667985343858,-0.10054748942032322,100,-3.578272918436579e-07,-0.4502147482000327,0.012767563
62,500.0,0.0001,0.023665344,0.00032008551958315483,-0.12212946762064338,-0.10089558584290902,100,-3.578272918436579e-07,-0.6175864256697684,0.023831181
63,500.0,0.0001,0.025275195,0.00030047265127692153,-0.13567218278577997,-0.1014475953181927,100,-3.578272918436579e-07,-0.6857187136195368,0.025382124
64,500.0,0.0001,0.017172404,0.00017110540546428913,-0.1108990851764549,-0.10159527484722805,100,-3.578272918436579e-07,-0.5616753602941366,0.01717623
