ReturnMean,NatGradInftyNorm,AvgRet,NatGrad2Norm,BatchSize,J,StepSize,Iteration,AvgEpLen,ReturnMax,VarJ
-0.0816148595520168,0.008456918,-0.4138476910531172,0.008472458,100,-0.0816148595520168,0.01,1,500.0,-4.408766883269136e-06,9.774722275883923e-05
-0.08169572564777958,0.008521702,-0.4138545106326445,0.0085241385,100,-0.08177659174354238,0.01,2,500.0,-4.408766883269136e-06,0.00010700266742502127
-0.08463625780374094,0.0101658115,-0.4580357051139432,0.010348724,100,-0.09051732211566361,0.01,3,500.0,-4.408766883269136e-06,0.00014494165007182855
-0.08350324503637836,0.0071259625,-0.40430014825460375,0.0071986467,100,-0.0801042067342906,0.01,4,500.0,-4.408766883269136e-06,9.755122539768656e-05
-0.08405454730651851,0.009492577,-0.43559312242866605,0.009494418,100,-0.08625975638707914,0.01,5,500.0,-6.278564446239328e-07,0.00011603312092574235
-0.08859667283097153,0.014810751,-0.5634480902382876,0.014933563,100,-0.11130730045323668,0.01,6,500.0,-6.278564446239328e-07,0.00017031633916622397
-0.09153678116987989,0.017438587,-0.5512898585172455,0.01744521,100,-0.10917743120332987,0.01,7,500.0,-6.278564446239328e-07,0.00026376564813427293
-0.09055862768047479,0.008154608,-0.4235783065153676,0.008167688,100,-0.08371155325463915,0.01,8,500.0,-6.278564446239328e-07,0.00012151148788966883
-0.09227472049754214,0.018655337,-0.5356564048550706,0.018674282,100,-0.10600346303408104,0.01,9,500.0,-6.278564446239328e-07,0.0001865566995860797
-0.09140963981226025,0.012895877,-0.4229154344493092,0.013368333,100,-0.08362391364472334,0.01,10,500.0,-6.278564446239328e-07,0.00017506148652668592
-0.09395015104596827,0.02078824,-0.6033513962456927,0.020825064,100,-0.11935526338304822,0.01,11,500.0,-3.544172862115958e-07,0.00028484810201312254
-0.09357953496685455,0.00431418,-0.45241703376596254,0.004346053,100,-0.08950275809660385,0.01,12,500.0,-3.544172862115958e-07,0.00011209240686010631
-0.09488870137104226,0.015603319,-0.5592769212546768,0.015610343,100,-0.11059869822129466,0.01,13,500.0,-3.544172862115958e-07,0.00017539307497333487
