J,AvgRet,Iteration,VarJ,StepSize,NatGradInftyNorm,NatGrad2Norm,AvgEpLen,ReturnMean,BatchSize,ReturnMax
-0.11022794717088237,-0.5575890063967462,1,0.00027378116688099526,0.01,0.021037612,0.02107391,500.0,-0.11022794717088237,100,-2.0987836031642062e-07
-0.09647520075535923,-0.4869604441514227,2,0.00033431322315935854,0.01,0.015854908,0.016615849,500.0,-0.10335157396312077,100,-2.0987836031642062e-07
-0.12859707684247473,-0.6492847442764658,3,0.0005134314308445415,0.01,0.031158067,0.031429425,500.0,-0.1117667415895721,100,-2.0987836031642062e-07
-0.09389464456398156,-0.4745879245809724,4,0.0003009503295468384,0.01,0.018252777,0.018349903,500.0,-0.10729871733317445,100,-2.0987836031642062e-07
-0.10104650851169197,-0.5114882978679853,5,0.00021117870115449603,0.01,0.015604865,0.015616292,500.0,-0.10604827556887796,100,-2.0987836031642062e-07
-0.1069335334028702,-0.5399645299624433,6,0.00033618679493377656,0.01,0.020779891,0.021022137,500.0,-0.10619581854121,100,-2.0987836031642062e-07
-0.09655536328083386,-0.4882990621261852,7,0.0001634642926213193,0.01,0.014323583,0.014376524,500.0,-0.10481861064687056,100,-2.0987836031642062e-07
-0.07481236849660136,-0.3775308764945264,8,0.00018150783168495097,0.01,0.012442373,0.012963907,500.0,-0.10106783037808689,100,-2.0987836031642062e-07
-0.08128172582369463,-0.4110484458664998,9,0.00012562221451829642,0.01,0.010979073,0.011067631,500.0,-0.09886937431648776,100,-2.0987836031642062e-07
-0.08753699869180935,-0.44261473522701,10,0.0001849729947619298,0.01,0.014783445,0.014829701,500.0,-0.09773613675401992,100,-2.0987836031642062e-07
-0.10173925599240544,-0.5141555396282522,11,0.00021340287115443116,0.01,0.016491748,0.016528133,500.0,-0.09810005668478225,100,-2.0987836031642062e-07
-0.11536670420693955,-0.5825005920257855,12,0.0004248670923256446,0.01,0.022115733,0.023383424,500.0,-0.09953894397829537,100,-2.0987836031642062e-07
-0.09668393154112893,-0.4885795520615174,13,0.0001797203569558399,0.01,0.010637638,0.010688193,500.0,-0.09931932763697485,100,-2.0987836031642062e-07
-0.12027247716045263,-0.6079043249575633,14,0.0004066795898024985,0.01,0.023457019,0.023618538,500.0,-0.10081598117436613,100,-2.0987836031642062e-07
-0.09741646081321091,-0.4927616809120065,15,0.00022200793145981767,0.01,0.013432746,0.013862538,500.0,-0.10058934648362244,100,-2.0987836031642062e-07
-0.09115964230400406,-0.46139560494243176,16,0.00012351492525172427,0.01,0.009877149,0.0098862965,500.0,-0.09999998997239629,100,-2.0987836031642062e-07
-0.09225895371882033,-0.4657950460897421,17,0.00018038199396684204,0.01,0.013016948,0.013218345,500.0,-0.09954463489865654,100,-2.0987836031642062e-07
-0.08868974257151167,-0.44844279662175873,18,0.00011252755320812725,0.01,0.009124599,0.0091423765,500.0,-0.09894158532492625,100,-2.0987836031642062e-07
-0.10070458084637395,-0.5096249317521933,19,0.00023268879363823263,0.01,0.017856572,0.017857496,500.0,-0.0990343745628972,100,-2.0987836031642062e-07
