Iteration,J,ReturnMean,NatGradInftyNorm,ReturnMax,NatGrad2Norm,AvgRet,StepSize,AvgEpLen,VarJ,BatchSize
1,-0.11022794717088237,-0.11022794717088237,0.021037612,-2.0987836031642062e-07,0.02107391,-0.5575890063967462,0.1,500.0,0.00027378116688099526,100
2,-0.09532629733634942,-0.1027771222536159,0.015582762,-2.0987836031642062e-07,0.016342046,-0.4811511442336302,0.1,500.0,0.00032925848707222606,100
3,-0.1257906421183544,-0.11044829554186206,0.030527746,-2.0987836031642062e-07,0.03079533,-0.6351063337512048,0.1,500.0,0.0004993041334856455,100
4,-0.09014135279397646,-0.10537155985489066,0.0174265,-2.0987836031642062e-07,0.017514812,-0.45562704532881704,0.1,500.0,0.0002841524448390967,100
5,-0.0963829472521,-0.10357383733433252,0.014464381,-2.0987836031642062e-07,0.014471959,-0.48786550532885287,0.1,500.0,0.00019410690881665026,100
6,-0.10121133852483868,-0.10318008753275024,0.019351067,-2.0987836031642062e-07,0.019595249,-0.5110286330438396,0.1,500.0,0.0003094055441759098,100
7,-0.08890219060849101,-0.10114038797214175,0.012964108,-2.0987836031642062e-07,0.013018622,-0.4495481130413183,0.1,500.0,0.00014507358395847946,100
8,-0.06835441233845482,-0.0970421410179309,0.0112591,-2.0987836031642062e-07,0.01173231,-0.34492247527415537,0.1,500.0,0.0001600409384326864,100
9,-0.07426731902016791,-0.09451160524040168,0.009541038,-2.0987836031642062e-07,0.009617635,-0.37555200559738156,0.1,500.0,0.00010631751172969859,100
10,-0.07907681765389679,-0.09296812648175118,0.01315769,-2.0987836031642062e-07,0.013203811,-0.3999042187500119,0.1,500.0,0.00015814832289206716,100
11,-0.09164511358574062,-0.09284785258211387,0.014388906,-2.0987836031642062e-07,0.014411569,-0.4631521739523986,0.1,500.0,0.00018243150326570663,100
12,-0.10507562037199673,-0.09386683323127078,0.019278254,-5.925264461438985e-08,0.02046694,-0.5304478085906765,0.1,500.0,0.00037259704074554844,100
13,-0.08801314845839188,-0.09341654978720317,0.007986762,-5.925264461438985e-08,0.008007908,-0.44471719970432,0.1,500.0,0.00015009318052768784,100
14,-0.10903836024838903,-0.09453239339157357,0.019939693,-5.925264461438985e-08,0.020096693,-0.5511714311962884,0.1,500.0,0.0003433450759700681,100
15,-0.08735810646433052,-0.09405410759642405,0.010396689,-5.925264461438985e-08,0.010851238,-0.4418245108440241,0.1,500.0,0.000181187215415383,100
16,-0.07982647182112461,-0.09316488036046781,0.0071081035,-5.925264461438985e-08,0.0071131927,-0.4039339434931589,0.1,500.0,9.613509977302788e-05,100
17,-0.0812232350073498,-0.09246243063381383,0.01003194,-5.925264461438985e-08,0.01020958,-0.4099812927469781,0.1,500.0,0.0001414338083946914,100
18,-0.07741512938183845,-0.09162646945314853,0.006202313,-5.925264461438985e-08,0.006214158,-0.39138645604142674,0.1,500.0,8.488194339999895e-05,100
19,-0.08679761634579286,-0.09137231928960349,0.014468245,-5.925264461438985e-08,0.014468258,-0.4392789834072465,0.1,500.0,0.00018004429948528816,100
20,-0.09651973449252846,-0.09162969004974975,0.012984578,-5.925264461438985e-08,0.0132237375,-0.48838516640358004,0.1,500.0,0.00016248629364376638,100
21,-0.07744491777634856,-0.09095422470339731,0.005778984,-5.925264461438985e-08,0.0059555755,-0.39118060546012473,0.1,500.0,9.504674379793039e-05,100
22,-0.0676089915599007,-0.08989307774232928,0.0083881235,-5.925264461438985e-08,0.008657585,-0.34247003793991154,0.1,500.0,0.0001157131586896398,100
23,-0.09182212440581577,-0.0899769493363939,0.016657518,-5.925264461438985e-08,0.01691122,-0.46437075644239006,0.1,500.0,0.00020642427450709967,100
24,-0.07961237554845979,-0.08954509209523,0.010806576,-5.925264461438985e-08,0.010806645,-0.40269721116044965,0.1,500.0,0.0001276181491712676,100
25,-0.05683028072118565,-0.08823649964026822,0.0051110424,-5.925264461438985e-08,0.0053729997,-0.28731798163658184,0.1,500.0,6.9627706976332e-05,100
26,-0.08566257510957438,-0.08813750254293384,0.0147683155,-5.925264461438985e-08,0.0148006575,-0.43327864532161897,0.1,500.0,0.0002093437932642136,100
27,-0.08278109684014359,-0.0879391171465342,0.010719711,-5.925264461438985e-08,0.0108704455,-0.41829854915622144,0.1,500.0,0.000151061281877542,100
28,-0.08069825559229038,-0.08768051494816835,0.010478054,-5.925264461438985e-08,0.010553948,-0.40740879179909084,0.1,500.0,0.00020201181525991398,100
29,-0.08845004325497609,-0.08770705040702378,0.012750651,-5.925264461438985e-08,0.01278165,-0.4462309153598926,0.1,500.0,0.0002043347692459987,100
30,-0.0664533903464203,-0.08699859507167033,0.0067921164,-5.925264461438985e-08,0.007076571,-0.33589319895424585,0.1,500.0,7.41310385405762e-05,100
31,-0.08177138275064638,-0.08682997531937925,0.010983538,-5.925264461438985e-08,0.011091194,-0.41339357292355117,0.1,500.0,0.00011095061501565395,100
32,-0.09361045741215829,-0.08704186538477858,0.015934803,-5.925264461438985e-08,0.01595592,-0.47297206917883683,0.1,500.0,0.00020521821878605507,100
33,-0.0854556476275033,-0.08699379818001265,0.0102029955,-5.925264461438985e-08,0.010212581,-0.4311919646353022,0.1,500.0,0.0001560789703627886,100
34,-0.06718565896459347,-0.08641120585014739,0.007303019,-3.061250835862061e-08,0.007746634,-0.3399389055491917,0.1,500.0,9.230464071756292e-05,100
35,-0.061168141459794566,-0.08568997543899447,0.0077927792,-3.061250835862061e-08,0.009544625,-0.30883475800769156,0.1,500.0,0.00011066508842768232,100
36,-0.06942195322839134,-0.08523808593314439,0.011998123,-3.061250835862061e-08,0.012019799,-0.3508418177833321,0.1,500.0,0.00012419106116168775,100
37,-0.07661335609647177,-0.08500498512674781,0.010219578,-3.061250835862061e-08,0.010618261,-0.38770832700140034,0.1,500.0,9.599674049147766e-05,100
38,-0.06283094364601376,-0.08442145771936006,0.0036101914,-3.061250835862061e-08,0.0039199465,-0.31765171079387533,0.1,500.0,5.512764392039166e-05,100
39,-0.06398977767516537,-0.08389756848745766,0.0016457001,-3.061250835862061e-08,0.0022296207,-0.3233873110461284,0.1,500.0,9.954071101948508e-05,100
40,-0.06591311730493227,-0.08344795720789452,0.00660083,-3.061250835862061e-08,0.00663167,-0.3336932087695792,0.1,500.0,8.215712479612841e-05,100
41,-0.07124077962038332,-0.08315022116917473,0.006288673,-3.061250835862061e-08,0.00671891,-0.3600753454054593,0.1,500.0,0.00013433449671892807,100
42,-0.05295487999912932,-0.08243128447464983,0.005875652,-3.061250835862061e-08,0.0059004864,-0.2677718326428972,0.1,500.0,7.955959603107598e-05,100
43,-0.07336321444738136,-0.08222039912517846,0.010530189,-3.061250835862061e-08,0.011993701,-0.370194767908379,0.1,500.0,0.00012462852283414382,100
44,-0.07675619488237781,-0.08209621266511483,0.010668871,-3.061250835862061e-08,0.011205763,-0.38784851959077526,0.1,500.0,0.00017472221708744946,100
45,-0.08397286134028664,-0.08213791596900753,0.010483178,-3.061250835862061e-08,0.010654094,-0.4241350267294316,0.1,500.0,0.000146329956536212,100
46,-0.04794990736014022,-0.0813946983905539,0.005365924,-3.061250835862061e-08,0.005839776,-0.24221430260622515,0.1,500.0,0.00010770497898422616,100
47,-0.07755669724264931,-0.08131303879166232,0.006932641,-3.061250835862061e-08,0.0069589596,-0.39256063230683014,0.1,500.0,9.417520717332821e-05,100
48,-0.06793270495677171,-0.08103428183676875,0.0054071657,-3.061250835862061e-08,0.0054098344,-0.3435365962255068,0.1,500.0,9.376726866632158e-05,100
49,-0.08196160494993114,-0.08105320679826188,0.008477186,-3.061250835862061e-08,0.008635497,-0.4137157662806147,0.1,500.0,0.00022153458016642918,100
50,-0.060609998533122156,-0.08064434263295907,0.00040952736,-3.061250835862061e-08,0.0004099126,-0.3062915058133729,0.1,500.0,7.647135734341772e-05,100
51,-0.05648623748486353,-0.08017065429672189,0.0066696187,-3.061250835862061e-08,0.0067111547,-0.28532574719630277,0.1,500.0,5.615061386127995e-05,100
52,-0.06959730257562208,-0.07996732060977767,0.0035813772,-2.097880622722262e-08,0.003647819,-0.3520082568815412,0.1,500.0,8.874143404836186e-05,100
53,-0.047283412239184114,-0.07935064309335138,0.0025159118,-2.097880622722262e-08,0.0028722442,-0.23924744701717557,0.1,500.0,4.476090634964454e-05,100
54,-0.08680540616786718,-0.07948869426139797,0.012011678,-2.097880622722262e-08,0.012641608,-0.43897374313935467,0.1,500.0,0.00013844826714790837,100
55,-0.08192492499674195,-0.07953298936567695,0.000900142,-2.097880622722262e-08,0.00091207016,-0.4137064369664105,0.1,500.0,0.00016695539022618642,100
56,-0.06525698976837914,-0.0792780608014395,0.0020840527,-2.097880622722262e-08,0.0021542897,-0.32968146428979284,0.1,500.0,7.324648128232544e-05,100
57,-0.08602309855370435,-0.07939639479709328,0.013978724,-2.097880622722262e-08,0.01401142,-0.43552288989196825,0.1,500.0,0.00017969113748506977,100
58,-0.07337473336419703,-0.07929257304825021,0.0074496213,-2.097880622722262e-08,0.007479392,-0.3706238971747072,0.1,500.0,0.00014609015772073074,100
59,-0.0720513139012791,-0.07916983984236936,0.010998069,-2.097880622722262e-08,0.0111021,-0.3636668264013793,0.1,500.0,0.00015408784494830982,100
60,-0.056690906629089405,-0.07879519095548135,0.002203749,-2.097880622722262e-08,0.0028852616,-0.285935196955827,0.1,500.0,4.683609856983645e-05,100
61,-0.06780072456501969,-0.07861495380153935,0.002695964,-3.682426824215643e-09,0.0036814907,-0.34217796711011855,0.1,500.0,8.319017387287982e-05,100
62,-0.06502957531581369,-0.07839583479370509,0.0033836178,-3.682426824215643e-09,0.0035348365,-0.3281850889401209,0.1,500.0,9.803542806668818e-05,100
63,-0.07440698261541791,-0.07833251967976401,0.011640702,-3.682426824215643e-09,0.011815464,-0.37709523156088776,0.1,500.0,0.0001337950008402892,100
64,-0.0495251629473656,-0.07788240473082028,0.0013737277,-3.682426824215643e-09,0.0013870519,-0.25022682511355926,0.1,500.0,5.560112889215869e-05,100
65,-0.08468247062036999,-0.07798702112912104,0.009835537,-3.682426824215643e-09,0.010058145,-0.42767209424055375,0.1,500.0,0.00012128377637351831,100
66,-0.07129380881072783,-0.0778856088212666,0.0011813913,-3.682426824215643e-09,0.0012303692,-0.3602894264392617,0.1,500.0,7.369277598723752e-05,100
67,-0.06666422285657936,-0.07771812544865933,0.0058967196,-3.682426824215643e-09,0.005929123,-0.33660301481623,0.1,500.0,0.00012523411964946473,100
68,-0.06237932615395522,-0.07749255487079604,0.0028354905,-3.682426824215643e-09,0.003747045,-0.3146249300389373,0.1,500.0,0.00010240045655528449,100
69,-0.05695662230416043,-0.07719493265968537,0.005843842,-3.682426824215643e-09,0.0058650915,-0.28817614576821454,0.1,500.0,6.298748681415562e-05,100
70,-0.06469026292454362,-0.07701629452061193,0.0051903506,-3.682426824215643e-09,0.005226608,-0.3269477392971802,0.1,500.0,5.914231942732062e-05,100
71,-0.0705544161314075,-0.07692528214893302,0.009640683,-3.682426824215643e-09,0.009687454,-0.3571474171479391,0.1,500.0,0.00010519025710011146,100
72,-0.08045481209259668,-0.07697430339815055,0.0076414654,-3.682426824215643e-09,0.007978098,-0.40596644836343077,0.1,500.0,0.00014692318991924765,100
73,-0.06912416273186729,-0.07686676722463981,0.007883114,-3.682426824215643e-09,0.007953383,-0.3494263741132864,0.1,500.0,0.00011279128040068632,100
74,-0.06949436651096429,-0.07676714018796853,0.0058989464,-3.682426824215643e-09,0.0059287082,-0.3508973452790417,0.1,500.0,0.00010238806822895468,100
75,-0.06684507586747071,-0.07663484599702856,0.006416256,-3.682426824215643e-09,0.0064403997,-0.3384055212849755,0.1,500.0,0.00011067841129086083,100
