ReturnMean,ReturnLastEpisode,LQGmu1_actor,Iteration,Regret/t,Regret,LQGsigma_higher,TimeElapsed,LQGmu1_higher
0.9559659647318621,0.9559659647318621,-1.003298,1,0.00915403526813785,0.00915403526813785,0.01831564,0.04950118064880371,-1.0
0.7108467897246765,0.4657276147174909,0.56863225,2,0.25427321027532346,0.5085464205506469,0.01831564,0.05913734436035156,0.5555556
0.7926535039913061,0.9562669325245652,-0.755924,3,0.1724664960086939,0.5173994880260817,0.10836801,0.06974005699157715,-0.7777778
0.7089224745278179,0.4577293861373534,0.635041,4,0.25619752547218205,1.0247901018887282,0.1690133,0.07855963706970215,0.7777778
0.7583170173060789,0.955895188419123,-1.0327802,5,0.20680298269392106,1.0340149134696053,0.6411804,0.08755111694335938,-0.7777778
0.6546988661559064,0.13660811040504447,1.4045123,6,0.3104211338440935,1.8625268030645608,1.0,0.09592175483703613,1.0
0.6977023757771575,0.9557234335046642,-0.14429009,7,0.2674176242228424,1.8719233695598967,0.044551425,0.105712890625,-0.11111111
0.632656384823662,0.177334448149193,0.97947955,8,0.33246361517633793,2.6597089214107035,0.044551425,0.11491513252258301,1.0
0.6684793117041813,0.9550627267483356,-0.17969832,9,0.2966406882958187,2.669766194662368,0.26359713,0.1279752254486084,-0.11111111
0.6161382553470707,0.14506874813307524,1.2976545,10,0.3489817446529293,3.489817446529293,1.0,0.14054417610168457,-0.11111111
