IWMax,IWFirstEpisode,TimestepsSoFar,ReturnMin,BoundBonus,InvPendulum_std3_higher,InvPendulum_std0_higher,GridSize,IWLastEpisode,MinEpLen,DenMISEMeanLog,InvPendulum_mu3_higher,AvgEpLen,Regret/t,InvPendulum_std2_higher,ReturnMax,NumTrajectories,Delta,DenMISELogLast,InvPendulum_mu1_higher,ReturnLastEpisode,InvPendulum_mu0_higher,BoundMISE,Bound,DenMISELogFirst,ActionIn1,InvPendulum_std1_higher,NumTrainableParams,Iteration,ReturnAbsMax,IWMin,InvPendulum_mu2_higher,TimeElapsed,IWMean,Regret,ReturnMean
,,55,-101.67564,inf,0.01,0.01,1,,55,13.780957,-0.2,55.0,106.67564,0.01,-101.67564,1,0.060792707,13.780957,-0.2,-101.67564,-0.2,,inf,13.780957,-0.8406069,0.01,4,1,101.67564,,-0.2,0.1297168731689453,,106.67564,-101.67564
,,89,-127.47703,inf,0.01,0.01,16,,34,10.71282,0.2,44.5,119.57633,0.01,-101.67564,2,0.001788021,8.33783,-0.2,-127.47703,-0.2,,inf,13.0878105,-0.3953405,0.01,,2,127.47703,,-0.2,0.5731852054595947,,239.15266,-114.57633
,,126,-133.21921,inf,0.01,0.01,16,,34,11.31239,-0.2,42.0,125.79062,0.01,-101.67564,3,0.000794676,13.32246,-0.2,-133.21921,-0.2,,inf,12.682345,-0.406438,0.01,,3,133.21921,,0.2,0.7896988391876221,,377.37186,-120.79062
,,203,-133.21921,inf,0.01,0.01,16,,34,11.340878,0.2,50.75,120.783035,0.01,-100.76026,4,0.00044700524,12.289388,-0.2,-100.76026,-0.2,,inf,12.394663,0.020609096,0.01,,4,133.21921,,0.2,1.00905442237854,,483.13214,-115.783035
,,248,-140.59836,inf,0.01,0.01,16,,34,10.719538,-0.2,49.6,125.74609,0.01,-100.76026,5,0.00028608335,9.126751,-0.2,-140.59836,0.2,,inf,12.171519,-0.39934552,0.01,,5,140.59836,,-0.2,1.1797068119049072,,628.73047,-120.74609
,,271,-140.59836,inf,0.01,0.01,16,,23,10.751843,0.2,45.166666666666664,123.30125,0.01,-100.76026,6,0.000198669,11.824984,-0.2,-106.07697,0.2,,inf,11.989198,-0.020024717,0.01,,6,140.59836,,-0.2,1.3300654888153076,,739.8075,-118.30125
,,312,-140.59836,inf,0.01,0.01,16,,23,10.402397,-0.2,44.57142857142857,125.57563,0.01,-100.76026,7,0.00014596088,9.230622,-0.2,-134.22192,0.2,,inf,11.835047,-0.017132238,0.01,,7,140.59836,,0.2,1.4963557720184326,,879.0294,-120.57563
,,353,-140.59836,inf,0.01,0.01,16,,23,10.144745,0.2,44.125,124.65317,0.01,-100.76026,8,0.00011175131,9.275899,-0.2,-113.19598,0.2,,inf,11.701516,0.3727036,0.01,,8,140.59836,,0.2,1.6767656803131104,,997.22534,-119.65317
,,387,-140.59836,inf,0.01,0.01,16,,23,10.090099,-0.2,43.0,125.96718,0.01,-100.76026,9,8.829733e-05,10.595206,0.2,-131.47919,-0.2,,inf,11.583733,-0.41691053,0.01,,9,140.59836,,-0.2,1.8701813220977783,,1133.7046,-120.96718
,,407,-140.59836,inf,0.01,0.01,16,,20,10.10584,0.2,40.7,124.298485,0.01,-100.76026,10,7.152084e-05,11.195731,0.2,-104.28031,-0.2,,inf,11.478373,0.022941679,0.01,,10,140.59836,,-0.2,2.0323071479797363,,1242.9849,-119.298485
