InvPendulum_mu0_higher,NumTrajectories,IWFirstEpisode,GridSize,ReturnMean,IWLastEpisode,AvgEpLen,InvPendulum_std3_higher,ReturnMin,ReturnMax,BoundBonus,ReturnAbsMax,IWMin,ActionIn1,InvPendulum_mu2_higher,TimestepsSoFar,InvPendulum_std2_higher,BoundMISE,ReturnLastEpisode,Bound,MinEpLen,InvPendulum_std1_higher,InvPendulum_std0_higher,DenMISEMeanLog,Delta,DenMISELogFirst,IWMax,DenMISELogLast,Regret/t,InvPendulum_mu3_higher,Regret,Iteration,IWMean,InvPendulum_mu1_higher,NumTrainableParams,TimeElapsed
-0.2,1,,1,-152.3921,,80.0,0.01,-152.3921,-152.3921,inf,152.3921,,-0.7791033,-0.2,80,0.01,,-152.3921,inf,80,0.01,0.01,13.842831,0.060792707,13.842831,,13.842831,157.3921,-0.2,157.3921,1,,-0.2,4,0.16079020500183105
-0.2,2,,16,-133.34567,,53.0,0.01,-152.3921,-114.29925,inf,152.3921,,-0.44747096,-0.2,106,0.01,,-114.29925,inf,26,0.01,0.01,12.50985,0.001788021,13.149683,,11.870017,138.34567,0.2,276.69135,2,,-0.2,,0.5736846923828125
-0.2,3,,16,-130.63567,,44.666666666666664,0.01,-152.3921,-114.29925,inf,152.3921,,-0.38301903,0.2,134,0.01,,-125.21561,inf,26,0.01,0.01,11.534986,0.000794676,12.744218,,10.396187,135.63567,-0.2,406.90698,3,,-0.2,,0.7397801876068115
-0.2,4,,16,-128.91867,,41.75,0.01,-152.3921,-114.29925,inf,152.3921,,0.0039751977,0.2,167,0.01,,-123.7677,inf,26,0.01,0.01,11.2202,0.00044700524,12.456536,,11.138889,133.91867,0.2,535.6747,4,,-0.2,,0.8878414630889893
0.2,5,,16,-131.19637,,42.6,0.01,-152.3921,-114.29925,inf,152.3921,,-0.41479826,-0.2,213,0.01,,-140.30716,inf,26,0.01,0.01,10.640477,0.00028608335,12.233393,,9.214161,136.19637,-0.2,680.9818,5,,-0.2,,1.0428588390350342
0.2,6,,16,-127.64793,,38.666666666666664,0.01,-152.3921,-109.9057,inf,152.3921,,0.010887742,-0.2,232,0.01,,-109.9057,inf,19,0.01,0.01,10.674222,0.000198669,12.051071,,11.75455,132.64792,0.2,795.8876,6,,-0.2,,1.174583911895752
0.2,7,,16,-126.256065,,36.142857142857146,0.01,-152.3921,-109.9057,inf,152.3921,,-0.015013427,0.2,253,0.01,,-117.90492,inf,19,0.01,0.01,10.437929,0.00014596088,11.89692,,9.945082,131.25607,-0.2,918.7925,7,,-0.2,,1.3140997886657715
0.2,8,,16,-125.575836,,35.375,0.01,-152.3921,-109.9057,inf,152.3921,,0.4231024,0.2,283,0.01,,-120.81417,inf,19,0.01,0.01,10.372627,0.00011175131,11.763389,,10.850238,130.57584,0.2,1044.6067,8,,-0.2,,1.4473071098327637
-0.2,9,,16,-127.24004,,36.888888888888886,0.01,-152.3921,-109.9057,inf,152.3921,,-0.39143673,-0.2,332,0.01,,-140.55377,inf,19,0.01,0.01,10.19163,8.829733e-05,11.645606,,9.685916,132.24005,-0.2,1190.1604,9,,0.2,,1.638540506362915
-0.2,10,,16,-124.93024,,35.4,0.01,-152.3921,-104.14198,inf,152.3921,,0.0013300031,-0.2,354,0.01,,-104.14198,inf,19,0.01,0.01,10.118963,7.152084e-05,11.540246,,10.413204,129.93024,0.2,1299.3024,10,,0.2,,1.7780044078826904
-0.2,11,,16,-123.27693,,33.36363636363637,0.01,-152.3921,-104.14198,inf,152.3921,,-0.015474901,0.2,367,0.01,,-106.743935,inf,13,0.01,0.01,10.14161,5.9108123e-05,11.444936,,11.321178,128.27693,-0.2,1411.0463,11,,0.2,,1.9176416397094727
-0.2,12,,16,-122.821266,,32.666666666666664,0.01,-152.3921,-104.14198,inf,152.3921,,0.4217001,0.2,392,0.01,,-117.809,inf,13,0.01,0.01,10.155866,4.966725e-05,11.3579235,,11.269801,127.821266,0.2,1533.8552,12,,0.2,,2.089158535003662
0.2,13,,16,-122.47369,,31.846153846153847,0.01,-152.3921,-104.14198,inf,152.3921,,0.032460272,-0.2,414,0.01,,-118.3027,inf,13,0.01,0.01,10.174968,4.232002e-05,11.277882,,11.364701,127.47369,-0.2,1657.158,13,,0.2,,2.227383852005005
0.2,14,,16,-121.44746,,31.214285714285715,0.01,-152.3921,-104.14198,inf,152.3921,,0.43419474,-0.2,437,0.01,,-108.10644,inf,13,0.01,0.01,10.124135,3.649022e-05,11.2037735,,10.426714,126.44746,0.2,1770.2644,14,,0.2,,2.3497517108917236
0.2,15,,16,-120.65346,,30.133333333333333,0.01,-152.3921,-104.14198,inf,152.3921,,0.41879386,0.2,452,0.01,,-109.53747,inf,13,0.01,0.01,9.878817,3.178704e-05,11.134781,,7.4102664,125.65346,-0.2,1884.8019,15,,0.2,,2.4589571952819824
