ReturnLastEpisode,IWFirstEpisode,InvPendulum_std1_higher,ReturnMin,IWMax,GridSize,Iteration,ActionIn1,AvgEpLen,ReturnMax,DenMISELogLast,NumTrainableParams,BoundMISE,InvPendulum_mu2_higher,TimeElapsed,ReturnAbsMax,InvPendulum_std0_higher,InvPendulum_mu0_higher,ReturnMean,Bound,Delta,InvPendulum_std3_higher,TimestepsSoFar,IWMean,Regret/t,DenMISEMeanLog,IWLastEpisode,DenMISELogFirst,Regret,InvPendulum_mu1_higher,IWMin,InvPendulum_mu3_higher,MinEpLen,NumTrajectories,BoundBonus,InvPendulum_std2_higher
-109.68108,,0.01,-109.68108,,1,1,-0.771731,15.0,-109.68108,10.7408495,4,,-0.2,0.05988287925720215,109.68108,0.01,-0.2,-109.68108,inf,0.060792707,0.01,15,,114.68108,10.7408495,,10.7408495,114.68108,-0.2,,-0.2,15,1,inf,0.01
-119.51465,,0.01,-119.51465,,16,2,-0.42586082,34.0,-109.68108,10.8339,,,-0.2,0.46573805809020996,119.51465,0.01,-0.2,-114.59787,inf,0.001788021,0.01,68,,119.59787,10.440802,,10.047702,239.19574,-0.2,,0.2,15,2,inf,0.01
-128.58473,,0.01,-128.58473,,16,3,-0.41370022,34.333333333333336,-109.68108,11.11214,,,0.2,0.678619384765625,128.58473,0.01,-0.2,-119.260155,inf,0.000794676,0.01,103,,124.260155,10.394271,,9.642237,372.78046,-0.2,,-0.2,15,3,inf,0.01
-111.834045,,0.01,-128.58473,,16,4,0.0041157305,43.75,-109.68108,8.686698,,,0.2,0.8943123817443848,128.58473,0.01,-0.2,-117.403625,inf,0.00044700524,0.01,175,,122.403625,9.751616,,9.354555,489.6145,-0.2,,0.2,15,4,inf,0.01
-143.11214,,0.01,-143.11214,,16,5,-0.396409,44.4,-109.68108,6.7729473,,,-0.2,1.0706462860107422,143.11214,0.01,0.2,-122.54533,inf,0.00028608335,0.01,222,,127.54533,8.977367,,9.131412,637.7266,-0.2,,-0.2,15,5,inf,0.01
-126.87115,,0.01,-143.11214,,16,6,0.016995564,41.833333333333336,-109.68108,12.092855,,,-0.2,1.231433391571045,143.11214,0.01,0.2,-123.2663,inf,0.000198669,0.01,251,,128.2663,9.344681,,8.94909,769.5978,-0.2,,0.2,15,6,inf,0.01
-123.73152,,0.01,-143.11214,,16,7,0.0060794353,39.857142857142854,-109.68108,11.853448,,,0.2,1.3762331008911133,143.11214,0.01,0.2,-123.33276,inf,0.00014596088,0.01,279,,128.33276,9.570947,,8.794939,898.32935,-0.2,,-0.2,15,7,inf,0.01
-119.57523,,0.01,-143.11214,,16,8,0.40036705,38.75,-109.68108,8.97894,,,0.2,1.540778636932373,143.11214,0.01,0.2,-122.86307,inf,0.00011175131,0.01,310,,127.86307,9.380106,,8.661407,1022.90454,-0.2,,0.2,15,8,inf,0.01
-114.39911,,0.01,-143.11214,,16,9,-0.41554934,36.55555555555556,-109.68108,11.769111,,,-0.2,1.6889102458953857,143.11214,0.01,-0.2,-121.92262,inf,8.829733e-05,0.01,329,,126.92262,9.540855,,8.543625,1142.3036,0.2,,-0.2,15,9,inf,0.01
-106.80533,,0.01,-143.11214,,16,10,0.025981843,35.5,-106.80533,9.785211,,,-0.2,1.8444936275482178,143.11214,0.01,-0.2,-120.41089,inf,7.152084e-05,0.01,355,,125.41089,9.470467,,8.438265,1254.1089,0.2,,0.2,15,10,inf,0.01
-110.14618,,0.01,-143.11214,,16,11,0.01648739,34.0,-106.80533,10.367637,,,0.2,1.9947607517242432,143.11214,0.01,-0.2,-119.47774,inf,5.9108123e-05,0.01,374,,124.47774,9.465382,,8.342955,1369.2551,0.2,,-0.2,15,11,inf,0.01
-108.302155,,0.01,-143.11214,,16,12,0.4132064,32.5,-106.80533,11.053712,,,0.2,2.1198909282684326,143.11214,0.01,-0.2,-118.54645,inf,4.966725e-05,0.01,390,,123.54645,9.5179825,,8.255942,1482.5574,0.2,,0.2,15,12,inf,0.01
-110.123085,,0.01,-143.11214,,16,13,-0.005538404,31.23076923076923,-106.80533,11.863811,,,-0.2,2.2583720684051514,143.11214,0.01,0.2,-117.89849,inf,4.232002e-05,0.01,406,,122.89849,9.624544,,8.1759,1597.6804,0.2,,-0.2,15,13,inf,0.01
-107.76675,,0.01,-143.11214,,16,14,0.39674193,30.357142857142858,-106.80533,10.798214,,,-0.2,2.3808484077453613,143.11214,0.01,0.2,-117.1748,inf,3.649022e-05,0.01,425,,122.1748,9.639564,,8.101792,1710.4471,0.2,,0.2,15,14,inf,0.01
-110.186424,,0.01,-143.11214,,16,15,0.40492716,29.4,-106.80533,10.478313,,,0.2,2.513582229614258,143.11214,0.01,0.2,-116.7089,inf,3.178704e-05,0.01,441,,121.7089,9.631087,,8.0328,1825.6335,0.2,,-0.2,15,15,inf,0.01
-108.283775,,0.01,-143.11214,,16,16,0.81651,28.75,-106.80533,9.852521,,,0.2,2.6467173099517822,143.11214,0.01,0.2,-116.18234,inf,2.7937827e-05,0.01,460,,121.18234,9.584421,,7.968261,1938.9175,0.2,,0.2,15,16,inf,0.01
-120.2771,,0.01,-143.11214,,81,17,-0.59221435,28.88235294117647,-106.80533,9.900872,,,-0.2,2.7972559928894043,143.11214,0.01,-0.2,-116.42321,inf,5.1306192e-06,0.01,491,,121.42321,9.545978,,7.907636,2064.1946,-0.2,,,15,17,inf,0.01
