NumTrainableParams,InvPendulum_mu2_higher,DenMISELogLast,Delta,InvPendulum_std1_higher,IWMin,BoundMISE,MinEpLen,ReturnLastEpisode,DenMISELogFirst,InvPendulum_std3_higher,InvPendulum_mu3_higher,BoundBonus,Regret,TimestepsSoFar,DenMISEMeanLog,TimeElapsed,ReturnMax,InvPendulum_mu0_higher,Bound,ReturnMin,IWMean,IWFirstEpisode,IWLastEpisode,ActionIn1,IWMax,AvgEpLen,GridSize,ReturnAbsMax,ReturnMean,Regret/t,InvPendulum_std2_higher,Iteration,NumTrajectories,InvPendulum_std0_higher,InvPendulum_mu1_higher
,0.2,11.164578,3.3622423e-06,0.01,,,14,-499.9033,11.09691,0.01,,inf,3384.6348,1595,10.354178,8.043588399887085,-105.4014,-0.2,inf,-499.9033,,,,-0.16038987,,75.95238095238095,81,499.9033,-156.17308,161.17308,0.01,21,21,0.01,-0.2
,-0.2,9.214843,3.0635308e-06,0.01,,,14,-129.9255,11.05039,0.01,-0.2,inf,3519.56,1628,10.257985,8.527448415756226,-105.4014,,inf,-499.9033,,,,-0.5896466,,74.0,81,499.9033,-154.98,159.98,0.01,22,22,0.01,-0.2
,-0.2,10.961896,2.8029285e-06,0.01,,,14,-104.34897,11.005939,0.01,,inf,3628.9092,1645,10.246071,8.952189683914185,-104.34897,,inf,-499.9033,,,,-0.38890776,,71.52173913043478,81,499.9033,-152.77866,157.77866,0.01,23,23,0.01,-0.2
,-0.2,10.757741,2.5742172e-06,0.01,,,14,-118.18718,10.963379,0.01,0.2,inf,3752.0962,1668,10.226604,9.405252695083618,-104.34897,,inf,-499.9033,,,,-0.21996441,,69.5,81,499.9033,-151.33734,156.33734,0.01,24,24,0.01,-0.2
,,9.528413,2.3723985e-06,0.01,,,14,-116.80872,10.922557,0.01,-0.2,inf,3873.9048,1689,10.159488,9.84733510017395,-104.34897,,inf,-499.9033,,,,-0.37553912,,67.56,81,499.9033,-149.95619,154.95619,0.01,25,25,0.01,-0.2
,,9.576009,2.1934156e-06,0.01,,,14,-120.737656,10.883336,0.01,,inf,3999.6426,1808,10.099334,10.527374744415283,-104.34897,,inf,-499.9033,,,,-0.19751343,,69.53846153846153,81,499.9033,-148.83241,153.83241,0.01,26,26,0.01,-0.2
,,8.482371,2.0339492e-06,0.01,,,14,-453.1656,10.845596,0.01,0.2,inf,4457.808,2198,10.003104,11.590406656265259,-104.34897,,inf,-499.9033,,,,-0.076170355,,81.4074074074074,81,499.9033,-160.104,165.104,0.01,27,27,0.01,-0.2
,0.2,2.899052,1.8912613e-06,0.01,,,14,-218.14995,10.809228,0.01,-0.2,inf,4680.958,2321,9.714318,12.3007230758667,-104.34897,,inf,-499.9033,,,,-0.20809984,,82.89285714285714,81,499.9033,-162.17708,167.17708,0.01,28,28,0.01,-0.2
,0.2,11.129525,1.7630787e-06,0.01,,,14,-103.95596,10.774137,0.01,,inf,4789.914,2339,9.729238,12.743823051452637,-103.95596,,inf,-499.9033,,,,0.004443399,,80.65517241379311,81,499.9033,-160.16945,165.16945,0.01,29,29,0.01,-0.2
,0.2,10.435156,1.6474991e-06,0.01,,,14,-121.20315,10.740235,0.01,0.2,inf,4916.117,2365,9.719997,13.179312944412231,-103.95596,,inf,-499.9033,,,,0.21156536,,78.83333333333333,81,499.9033,-158.87057,163.87057,0.01,30,30,0.01,-0.2
,-0.2,10.802837,1.542923e-06,0.01,,,14,-136.19478,10.707445,0.01,,inf,5057.312,2405,9.723195,13.687314748764038,-103.95596,0.2,inf,-499.9033,,,,-0.21172075,,77.58064516129032,81,499.9033,-158.1391,163.1391,0.01,31,31,0.01,-0.2
