ReturnMax,InvPendulum_std2_higher,Delta,InvPendulum_std0_higher,NumTrainableParams,NumTrajectories,DenMISELogFirst,TimeElapsed,Iteration,IWMax,IWMean,IWFirstEpisode,MinEpLen,Regret,DenMISEMeanLog,BoundMISE,IWMin,ActionIn1,InvPendulum_std3_higher,InvPendulum_mu3_higher,GridSize,InvPendulum_std1_higher,DenMISELogLast,InvPendulum_mu0_higher,Regret/t,ReturnAbsMax,AvgEpLen,IWLastEpisode,BoundBonus,TimestepsSoFar,ReturnLastEpisode,InvPendulum_mu2_higher,InvPendulum_mu1_higher,Bound,ReturnMean,ReturnMin
-99.79039,0.01,0.060792707,0.01,4,1,13.894467,0.06501173973083496,1,,,,24,104.79039,13.894467,,,-0.8263967,0.01,-0.2,1,0.01,13.894467,-0.2,104.79039,99.79039,24.0,,inf,24,-99.79039,-0.2,-0.2,inf,-99.79039,-99.79039
-99.79039,0.01,0.001788021,0.01,,2,13.201321,0.3415086269378662,2,,,,18,214.57294,12.885565,,,-0.39898974,0.01,0.2,16,0.01,12.569809,-0.2,107.28647,104.78255,21.0,,inf,42,-104.78255,-0.2,-0.2,inf,-102.28647,-104.78255
-99.79039,0.01,0.000794676,0.01,,3,12.7958555,0.5416660308837891,3,,,,18,351.13312,12.737477,,,-0.3832733,0.01,-0.2,16,0.01,13.252232,-0.2,117.04437,131.5602,27.666666666666668,,inf,83,-131.5602,0.2,-0.2,inf,-112.04437,-131.5602
-99.79039,0.01,0.00044700524,0.01,,4,12.508173,0.6801571846008301,4,,,,18,484.47015,11.647408,,,-0.0040162206,0.01,0.2,16,0.01,9.240247,-0.2,121.11754,131.5602,30.75,,inf,123,-128.337,0.2,-0.2,inf,-116.11754,-131.5602
-99.79039,0.01,0.00028608335,0.01,,5,12.285029,0.8424983024597168,5,,,,18,626.3502,11.525465,,,-0.40711123,0.01,-0.2,16,0.01,11.93027,0.2,125.27004,136.8801,32.6,,inf,163,-136.8801,-0.2,-0.2,inf,-120.27004,-136.8801
-99.79039,0.01,0.000198669,0.01,,6,12.102708,0.9757442474365234,6,,,,18,739.3667,11.468604,,,-0.00050245225,0.01,0.2,16,0.01,12.095903,0.2,123.22778,136.8801,30.166666666666668,,inf,181,-108.01644,-0.2,-0.2,inf,-118.22778,-136.8801
-99.79039,0.01,0.00014596088,0.01,,7,11.948557,1.1359708309173584,7,,,,18,866.51385,11.475809,,,-0.03487408,0.01,-0.2,16,0.01,12.443948,0.2,123.7877,136.8801,29.571428571428573,,inf,207,-122.14721,0.2,-0.2,inf,-118.7877,-136.8801
-99.79039,0.01,0.00011175131,0.01,,8,11.815026,1.2771120071411133,8,,,,18,975.6532,11.160497,,,0.39318138,0.01,0.2,16,0.01,9.888032,0.2,121.95665,136.8801,28.125,,inf,225,-104.13933,0.2,-0.2,inf,-116.95665,-136.8801
-99.79039,0.01,8.829733e-05,0.01,,9,11.697243,1.4475805759429932,9,,,,18,1113.5679,10.941843,,,-0.41146964,0.01,-0.2,16,0.01,10.1348715,-0.2,123.72977,136.8801,28.88888888888889,,inf,260,-132.91469,-0.2,0.2,inf,-118.72977,-136.8801
-99.79039,0.01,7.152084e-05,0.01,,10,11.591883,1.6178925037384033,10,,,,18,1231.1724,10.945288,,,0.0057526976,0.01,0.2,16,0.01,11.924532,-0.2,123.11723,136.8801,29.4,,inf,294,-112.60441,-0.2,0.2,inf,-118.11723,-136.8801
-99.79039,0.01,5.9108123e-05,0.01,,11,11.4965725,1.7936315536499023,11,,,,18,1359.06,10.917975,,,-0.023388818,0.01,-0.2,16,0.01,11.597959,-0.2,123.55091,136.8801,30.0,,inf,330,-122.88777,0.2,0.2,inf,-118.55091,-136.8801
-99.79039,0.01,4.966725e-05,0.01,,12,11.409561,1.9057683944702148,12,,,,16,1471.8164,10.674785,,,0.44726685,0.01,0.2,16,0.01,8.956805,-0.2,122.65137,136.8801,28.833333333333332,,inf,346,-107.75633,0.2,0.2,inf,-117.65137,-136.8801
-99.79039,0.01,4.232002e-05,0.01,,13,11.329518,2.0313236713409424,13,,,,16,1598.363,10.404287,,,0.0073577166,0.01,-0.2,16,0.01,8.118834,0.2,122.951004,136.8801,28.692307692307693,,inf,373,-121.54653,-0.2,0.2,inf,-117.951004,-136.8801
-99.79039,0.01,3.649022e-05,0.01,,14,11.25541,2.1389894485473633,14,,,,11,1705.7289,10.391898,,,0.4100889,0.01,0.2,16,0.01,11.194252,0.2,121.837776,136.8801,27.428571428571427,,inf,384,-102.36588,-0.2,0.2,inf,-116.837776,-136.8801
-99.79039,0.01,3.178704e-05,0.01,,15,11.186418,2.288984537124634,15,,,,11,1823.112,10.414856,,,0.43095753,0.01,-0.2,16,0.01,11.702154,0.2,121.5408,136.8801,27.2,,inf,408,-112.38317,0.2,0.2,inf,-116.5408,-136.8801
-99.79039,0.01,2.7937827e-05,0.01,,16,11.121879,2.4228951930999756,16,,,,11,1943.6165,10.339506,,,0.79668623,0.01,0.2,16,0.01,10.177334,0.2,121.47603,136.8801,26.8125,,inf,429,-115.50445,0.2,0.2,inf,-116.47603,-136.8801
-99.79039,0.01,5.1306192e-06,0.01,,17,11.0612545,2.568469762802124,17,,,,11,2068.2214,10.24901,,,-0.5962023,0.01,,81,0.01,9.771084,-0.2,121.66009,136.8801,26.764705882352942,,inf,455,-119.605034,-0.2,-0.2,inf,-116.66009,-136.8801
-99.79039,0.01,4.576386e-06,0.01,,18,11.004096,5.034188985824585,18,,,,11,2201.7231,10.252377,,,-0.62249327,0.01,-0.2,81,0.01,11.2812805,-0.2,122.317955,136.8801,27.666666666666668,,inf,498,-128.5017,,-0.2,inf,-117.317955,-136.8801
-99.79039,0.01,4.107338e-06,0.01,,19,10.950028,5.671063661575317,19,,,,11,2326.7637,10.202616,,,-0.3973602,0.01,,81,0.01,10.28015,-0.2,122.46124,136.8801,30.157894736842106,,inf,573,-120.04037,,-0.2,inf,-117.46124,-136.8801
-99.79039,0.01,3.7068723e-06,0.01,,20,10.898735,6.962608575820923,20,,,,11,2820.9446,10.139544,,,-0.1776058,0.01,0.2,81,0.01,9.915724,-0.2,141.04723,489.18094,53.65,,inf,1073,-489.18094,,-0.2,inf,-136.04723,-489.18094
-99.79039,0.01,3.3622423e-06,0.01,,21,10.849945,8.14267086982727,21,,,,11,3325.336,10.050499,,,-0.19978715,0.01,,81,0.01,9.245424,-0.2,158.34933,499.3913,74.9047619047619,,inf,1573,-499.3913,0.2,-0.2,inf,-153.34933,-499.3913
-99.79039,0.01,3.0635308e-06,0.01,,22,10.803425,8.668020486831665,22,,,,11,3457.416,10.046978,,,-0.6401143,0.01,-0.2,81,0.01,10.949962,,157.15527,499.3913,73.45454545454545,,inf,1616,-127.080124,-0.2,-0.2,inf,-152.15527,-499.3913
-99.79039,0.01,2.8029285e-06,0.01,,23,10.758973,9.11763620376587,23,,,,11,3571.851,9.978831,,,-0.40443185,0.01,,81,0.01,9.457543,,155.29787,499.3913,71.1304347826087,,inf,1636,-109.434944,-0.2,-0.2,inf,-150.29787,-499.3913
-99.79039,0.01,2.5742172e-06,0.01,,24,10.7164135,9.599653720855713,24,,,,11,3700.2732,9.978091,,,-0.18261601,0.01,0.2,81,0.01,10.939916,,154.17805,499.3913,69.25,,inf,1662,-123.42229,-0.2,-0.2,inf,-149.17805,-499.3913
-99.79039,0.01,2.3723985e-06,0.01,,25,10.675591,10.131360054016113,25,,,,11,3834.7405,9.935441,,,-0.42900085,0.01,-0.2,81,0.01,9.891573,,153.38962,499.3913,68.0,,inf,1700,-129.46725,,-0.2,inf,-148.38962,-499.3913
-86.810036,0.01,2.1934156e-06,0.01,,26,10.636371,10.725097179412842,26,,,,11,3926.5505,9.784044,,,-0.23495828,0.01,,81,0.01,6.979656,,151.02118,499.3913,68.07692307692308,,inf,1770,-86.810036,,-0.2,inf,-146.02118,-499.3913
-86.810036,0.01,2.0339492e-06,0.01,,27,10.598631,11.947887420654297,27,,,,11,4399.833,9.661803,,,-0.0014901757,0.01,0.2,81,0.01,7.464771,,162.95677,499.3913,84.07407407407408,,inf,2270,-468.28247,,-0.2,inf,-157.95677,-499.3913
-86.810036,0.01,1.8912613e-06,0.01,,28,10.562263,12.633240699768066,28,,,,11,4651.703,9.585887,,,-0.20271218,0.01,-0.2,81,0.01,8.518105,,166.13225,499.3913,86.35714285714286,,inf,2418,-246.87025,0.2,-0.2,inf,-161.13225,-499.3913
-86.810036,0.01,1.7630787e-06,0.01,,29,10.527171,13.072595357894897,29,,,,11,4759.8906,9.600331,,,-0.011544852,0.01,,81,0.01,10.9873495,,164.13416,499.3913,84.17241379310344,,inf,2441,-103.187675,0.2,-0.2,inf,-159.13416,-499.3913
-86.810036,0.01,1.6474991e-06,0.01,,30,10.49327,13.538905620574951,30,,,,11,4894.434,9.584932,,,0.20294666,0.01,0.2,81,0.01,10.121487,,163.1478,499.3913,82.5,,inf,2475,-129.54318,0.2,-0.2,inf,-158.1478,-499.3913
-86.810036,0.01,1.542923e-06,0.01,,31,10.46048,14.041412591934204,31,,,,11,5029.758,9.495328,,,-0.21305633,0.01,,81,0.01,7.7908816,0.2,162.25026,499.3913,80.87096774193549,,inf,2507,-130.32355,-0.2,-0.2,inf,-157.25026,-499.3913
-86.810036,0.01,1.4479971e-06,0.01,,32,10.428732,14.509285926818848,32,,,,11,5153.9434,9.499676,,,-0.22700012,0.01,-0.2,81,0.01,10.618658,0.2,161.06073,499.3913,79.0625,,inf,2530,-119.18559,,-0.2,inf,-156.06073,-499.3913
-86.810036,0.01,1.3615693e-06,0.01,,33,10.39796,15.03858494758606,33,,,,11,5284.528,9.452774,,,0.019015096,0.01,,81,0.01,8.936649,0.2,160.1372,499.3913,78.06060606060606,,inf,2576,-125.58466,,-0.2,inf,-155.1372,-499.3913
-86.810036,0.01,1.2826548e-06,0.01,,34,10.368107,15.569900274276733,34,,,,11,5416.6714,9.450436,,,0.21678832,0.01,0.2,81,0.01,10.358366,0.2,159.31386,499.3913,76.97058823529412,,inf,2617,-127.14368,,-0.2,inf,-154.31386,-499.3913
